team_1,team_2,score_1,score_2,game_url
SD,ATL,5,4,usa/mlb/san-diego-padres-atlanta-braves-YDr7sah4/
SD,ATL,4,0,usa/mlb/san-diego-padres-atlanta-braves-CbfbqLNi/
ATL,NYM,3,0,usa/mlb/atlanta-braves-new-york-mets-nHjotbof/
ATL,NYM,7,8,usa/mlb/atlanta-braves-new-york-mets-MgPZDeUO/
ATL,KC,2,4,usa/mlb/atlanta-braves-kansas-city-royals-AFmVWFZA/
ATL,KC,2,1,usa/mlb/atlanta-braves-kansas-city-royals-xWthxBBj/
ATL,KC,3,0,usa/mlb/atlanta-braves-kansas-city-royals-nwxVcqvR/
ATL,NYM,5,1,usa/mlb/atlanta-braves-new-york-mets-f5hyWTkA/
MIA,ATL,4,5,usa/mlb/miami-marlins-atlanta-braves-nZoJto4S/
MIA,ATL,2,6,usa/mlb/miami-marlins-atlanta-braves-WlSwWl77/
MIA,ATL,4,3,usa/mlb/miami-marlins-atlanta-braves-lbxXmNSh/
CIN,ATL,3,15,usa/mlb/cincinnati-reds-atlanta-braves-hdrWdIBN/
CIN,ATL,1,7,usa/mlb/cincinnati-reds-atlanta-braves-vRLC9eeT/
CIN,ATL,6,5,usa/mlb/cincinnati-reds-atlanta-braves-jRQ5vGf3/
ATL,LAD,0,9,usa/mlb/atlanta-braves-los-angeles-dodgers-faDuUMxD/
ATL,LAD,2,9,usa/mlb/atlanta-braves-los-angeles-dodgers-dOJ943EP/
ATL,LAD,10,1,usa/mlb/atlanta-braves-los-angeles-dodgers-hUoHfm2b/
ATL,LAD,6,2,usa/mlb/atlanta-braves-los-angeles-dodgers-CWiEKzMK/
WSH,ATL,5,1,usa/mlb/washington-nationals-atlanta-braves-QH2nNTsJ/
WSH,ATL,0,12,usa/mlb/washington-nationals-atlanta-braves-bTVmu234/
ATL,CIN,0,1,usa/mlb/atlanta-braves-cincinnati-reds-EkknLWFO/
ATL,TOR,4,3,usa/mlb/atlanta-braves-toronto-blue-jays-MJ8hLymC/
ATL,TOR,5,9,usa/mlb/atlanta-braves-toronto-blue-jays-4rbcKe2I/
ATL,TOR,3,1,usa/mlb/atlanta-braves-toronto-blue-jays-Io21JFHO/
ATL,COL,1,3,usa/mlb/atlanta-braves-colorado-rockies-rkaPIT8N/
ATL,COL,5,2,usa/mlb/atlanta-braves-colorado-rockies-z7bTDvNe/
ATL,COL,3,0,usa/mlb/atlanta-braves-colorado-rockies-Ycb6naTK/
PHI,ATL,3,2,usa/mlb/philadelphia-phillies-atlanta-braves-vwdQCesQ/
PHI,ATL,3,0,usa/mlb/philadelphia-phillies-atlanta-braves-Q77t54uH/
PHI,ATL,2,7,usa/mlb/philadelphia-phillies-atlanta-braves-IPA2AaHd/
PHI,ATL,5,4,usa/mlb/philadelphia-phillies-atlanta-braves-OKYYRn4R/
MIN,ATL,1,5,usa/mlb/minnesota-twins-atlanta-braves-rmxzYEWH/
MIN,ATL,6,8,usa/mlb/minnesota-twins-atlanta-braves-tbdS2ZVi/
MIN,ATL,6,10,usa/mlb/minnesota-twins-atlanta-braves-W6DMCAaG/
ATL,WSH,1,5,usa/mlb/atlanta-braves-washington-nationals-bepCJIC0/
ATL,WSH,4,2,usa/mlb/atlanta-braves-washington-nationals-l4ynxnpP/
ATL,WSH,3,2,usa/mlb/atlanta-braves-washington-nationals-xnL9UfrG/
ATL,PHI,3,2,usa/mlb/atlanta-braves-philadelphia-phillies-23Nzqfc9/
ATL,PHI,2,3,usa/mlb/atlanta-braves-philadelphia-phillies-OxzRgBBR/
ATL,PHI,3,1,usa/mlb/atlanta-braves-philadelphia-phillies-x4rma6m7/
LAA,ATL,1,3,usa/mlb/los-angeles-angels-atlanta-braves-82wsHv9h/
LAA,ATL,3,11,usa/mlb/los-angeles-angels-atlanta-braves-EsauQZiN/
LAA,ATL,3,2,usa/mlb/los-angeles-angels-atlanta-braves-zDDXffic/
SF,ATL,6,0,usa/mlb/san-francisco-giants-atlanta-braves-zgJYU3kQ/
SF,ATL,2,13,usa/mlb/san-francisco-giants-atlanta-braves-GCjQKJRI/
SF,ATL,3,4,usa/mlb/san-francisco-giants-atlanta-braves-E7rQkvRh/
SF,ATL,0,1,usa/mlb/san-francisco-giants-atlanta-braves-dMYzLMMf/
COL,ATL,9,8,usa/mlb/colorado-rockies-atlanta-braves-AVoNWJL6/
COL,ATL,8,11,usa/mlb/colorado-rockies-atlanta-braves-GlxxRlko/
COL,ATL,6,5,usa/mlb/colorado-rockies-atlanta-braves-hAe4qIM9/
ATL,MIL,7,16,usa/mlb/atlanta-braves-milwaukee-brewers-hh2YniT1/
ATL,MIL,5,8,usa/mlb/atlanta-braves-milwaukee-brewers-KC3O55Zt/
ATL,MIL,0,10,usa/mlb/atlanta-braves-milwaukee-brewers-z9JME0IB/
ATL,MIA,0,7,usa/mlb/atlanta-braves-miami-marlins-G0jCL8Ve/
ATL,MIA,3,4,usa/mlb/atlanta-braves-miami-marlins-jwelfTyL/
ATL,MIA,5,3,usa/mlb/atlanta-braves-miami-marlins-I73AaOD0/
ATL,MIA,4,2,usa/mlb/atlanta-braves-miami-marlins-WfyrdAO5/
MIL,ATL,2,6,usa/mlb/milwaukee-brewers-atlanta-braves-SMUjflgI/
MIL,ATL,1,5,usa/mlb/milwaukee-brewers-atlanta-braves-hMDmD2ac/
MIL,ATL,8,3,usa/mlb/milwaukee-brewers-atlanta-braves-MLToMcrS/
NYM,ATL,2,9,usa/mlb/new-york-mets-atlanta-braves-WA7qVzLr/
NYM,ATL,0,4,usa/mlb/new-york-mets-atlanta-braves-x80meOv5/
