team_1,team_2,score_1,score_2,game_url
CHC,CIN,0,3,usa/mlb/chicago-cubs-cincinnati-reds-2kpNYy5b/
CHC,CIN,3,0,usa/mlb/chicago-cubs-cincinnati-reds-hb5LsXmT/
CHC,CIN,1,0,usa/mlb/chicago-cubs-cincinnati-reds-vDYMa59E/
PHI,CHC,9,6,usa/mlb/philadelphia-phillies-chicago-cubs-0KYEIJFg/
PHI,CHC,4,10,usa/mlb/philadelphia-phillies-chicago-cubs-ShDxBSDp/
PHI,CHC,6,2,usa/mlb/philadelphia-phillies-chicago-cubs-tWebo9kc/
CHC,WSH,5,0,usa/mlb/chicago-cubs-washington-nationals-dWZQYjNl/
CHC,WSH,1,5,usa/mlb/chicago-cubs-washington-nationals-48Be7BTD/
CHC,WSH,3,1,usa/mlb/chicago-cubs-washington-nationals-IwjJaKR4/
CHC,WSH,7,6,usa/mlb/chicago-cubs-washington-nationals-YTI4BHQG/
CHC,OAK,3,5,usa/mlb/chicago-cubs-oakland-athletics-KpsnOfAM/
CHC,OAK,3,4,usa/mlb/chicago-cubs-oakland-athletics-6Fh2G38D/
CHC,OAK,9,2,usa/mlb/chicago-cubs-oakland-athletics-A7eSiQUJ/
COL,CHC,2,6,usa/mlb/colorado-rockies-chicago-cubs-82wFrMi6/
COL,CHC,6,5,usa/mlb/colorado-rockies-chicago-cubs-8tp5ckIu/
COL,CHC,9,5,usa/mlb/colorado-rockies-chicago-cubs-OABJbga1/
LAD,CHC,10,8,usa/mlb/los-angeles-dodgers-chicago-cubs-GpEcUpkn/
LAD,CHC,3,6,usa/mlb/los-angeles-dodgers-chicago-cubs-IVokwtYG/
LAD,CHC,4,10,usa/mlb/los-angeles-dodgers-chicago-cubs-4456qHfj/
CHC,NYY,2,1,usa/mlb/chicago-cubs-new-york-yankees-bNAvJHo9/
CHC,NYY,0,2,usa/mlb/chicago-cubs-new-york-yankees-Ey4heZAa/
CHC,NYY,0,3,usa/mlb/chicago-cubs-new-york-yankees-ryKj4UgU/
CHC,PIT,12,0,usa/mlb/chicago-cubs-pittsburgh-pirates-KfYWXaER/
CHC,PIT,0,5,usa/mlb/chicago-cubs-pittsburgh-pirates-jcmpuHLf/
CHC,PIT,3,5,usa/mlb/chicago-cubs-pittsburgh-pirates-Yu5zjYZC/
WSH,CHC,1,14,usa/mlb/washington-nationals-chicago-cubs-GKbg6gKg/
WSH,CHC,3,5,usa/mlb/washington-nationals-chicago-cubs-vFmHb2Ip/
WSH,CHC,6,7,usa/mlb/washington-nationals-chicago-cubs-UNviHVk9/
PIT,CHC,10,14,usa/mlb/pittsburgh-pirates-chicago-cubs-jDurWh1U/
PIT,CHC,5,9,usa/mlb/pittsburgh-pirates-chicago-cubs-zcky1D04/
PIT,CHC,8,18,usa/mlb/pittsburgh-pirates-chicago-cubs-rqtjerUr/
MIA,CHC,7,2,usa/mlb/miami-marlins-chicago-cubs-j95T81br/
MIA,CHC,2,14,usa/mlb/miami-marlins-chicago-cubs-KAYKHdsD/
MIA,CHC,3,6,usa/mlb/miami-marlins-chicago-cubs-KnSHWP7n/
CHC,DET,10,2,usa/mlb/chicago-cubs-detroit-tigers-vVytNCzj/
CHC,DET,2,8,usa/mlb/chicago-cubs-detroit-tigers-fcnEdDR8/
CHC,DET,3,1,usa/mlb/chicago-cubs-detroit-tigers-nFkz283l/
CHC,TOR,0,1,usa/mlb/chicago-cubs-toronto-blue-jays-SCDNfQ8k/
CHC,TOR,3,2,usa/mlb/chicago-cubs-toronto-blue-jays-pl8SgpOe/
CHC,TOR,6,5,usa/mlb/chicago-cubs-toronto-blue-jays-Ov7Wh4w2/
CLE,CHC,6,1,usa/mlb/cleveland-guardians-chicago-cubs-UFv8q34J/
CLE,CHC,2,1,usa/mlb/cleveland-guardians-chicago-cubs-tUEMlbta/
CLE,CHC,9,8,usa/mlb/cleveland-guardians-chicago-cubs-zDXvKtx1/
CHW,CHC,1,3,usa/mlb/chicago-white-sox-chicago-cubs-reUNlhsh/
CHW,CHC,6,7,usa/mlb/chicago-white-sox-chicago-cubs-YJ3CsdiM/
CHC,MIN,8,2,usa/mlb/chicago-cubs-minnesota-twins-b32S4Plm/
CHC,MIN,7,3,usa/mlb/chicago-cubs-minnesota-twins-lCNQDKXH/
CHC,MIN,0,3,usa/mlb/chicago-cubs-minnesota-twins-bBWCPHWT/
CHC,STL,6,2,usa/mlb/chicago-cubs-st-louis-cardinals-rDVAtA7L/
CHC,STL,4,5,usa/mlb/chicago-cubs-st-louis-cardinals-MulWo5q1/
CHC,STL,6,3,usa/mlb/chicago-cubs-st-louis-cardinals-Maz74YGP/
CHC,STL,5,4,usa/mlb/chicago-cubs-st-louis-cardinals-pbuneUwC/
CIN,CHC,4,13,usa/mlb/cincinnati-reds-chicago-cubs-4nhKxMNp/
CIN,CHC,6,3,usa/mlb/cincinnati-reds-chicago-cubs-0nDiCME3/
CIN,CHC,7,1,usa/mlb/cincinnati-reds-chicago-cubs-S26EHHjq/
KC,CHC,3,7,usa/mlb/kansas-city-royals-chicago-cubs-0pCmUfzk/
KC,CHC,4,9,usa/mlb/kansas-city-royals-chicago-cubs-GbaifrfB/
KC,CHC,6,0,usa/mlb/kansas-city-royals-chicago-cubs-f58lOM8i/
CHC,MIL,2,3,usa/mlb/chicago-cubs-milwaukee-brewers-EVM09ZGC/
CHC,MIL,0,1,usa/mlb/chicago-cubs-milwaukee-brewers-QTE0vfGn/
CHC,MIL,3,1,usa/mlb/chicago-cubs-milwaukee-brewers-dWBdyq6M/
CHC,ARI,2,1,usa/mlb/chicago-cubs-arizona-diamondbacks-8pAJjO59/
CHC,ARI,0,3,usa/mlb/chicago-cubs-arizona-diamondbacks-02DudJsk/
CHC,ARI,2,5,usa/mlb/chicago-cubs-arizona-diamondbacks-AiNHUwlE/
STL,CHC,3,8,usa/mlb/st-louis-cardinals-chicago-cubs-SnUTNSWb/
STL,CHC,5,4,usa/mlb/st-louis-cardinals-chicago-cubs-C6WwpfZL/
STL,CHC,11,3,usa/mlb/st-louis-cardinals-chicago-cubs-CtsPGWtT/
STL,CHC,1,5,usa/mlb/st-louis-cardinals-chicago-cubs-dQjIoit3/
BAL,CHC,0,8,usa/mlb/baltimore-orioles-chicago-cubs-WIkuv0vf/
BAL,CHC,0,4,usa/mlb/baltimore-orioles-chicago-cubs-tIbRkcw6/
BAL,CHC,2,9,usa/mlb/baltimore-orioles-chicago-cubs-CCNJKHxt/
CHC,LAA,5,0,usa/mlb/chicago-cubs-los-angeles-angels-OYyoXoS2/
CHC,LAA,0,7,usa/mlb/chicago-cubs-los-angeles-angels-CYGbxs4r/
CHC,LAA,5,1,usa/mlb/chicago-cubs-los-angeles-angels-hCEeVpEC/
CHC,PHI,10,2,usa/mlb/chicago-cubs-philadelphia-phillies-rZrS0x4c/
CHC,PHI,3,5,usa/mlb/chicago-cubs-philadelphia-phillies-Ys4Q9XnS/
CHC,PHI,4,6,usa/mlb/chicago-cubs-philadelphia-phillies-0Grl2toJ/
MIL,CHC,7,1,usa/mlb/milwaukee-brewers-chicago-cubs-CUtBHLp6/
MIL,CHC,3,5,usa/mlb/milwaukee-brewers-chicago-cubs-YwUBntpt/
MIL,CHC,4,2,usa/mlb/milwaukee-brewers-chicago-cubs-lla9eyTA/
SF,CHC,3,5,usa/mlb/san-francisco-giants-chicago-cubs-ALjuOKjt/
SF,CHC,4,3,usa/mlb/san-francisco-giants-chicago-cubs-lpupLcJ1/
SF,CHC,5,1,usa/mlb/san-francisco-giants-chicago-cubs-xW4VF2sM/
SF,CHC,5,4,usa/mlb/san-francisco-giants-chicago-cubs-vaFZmghC/
CHC,NYM,2,5,usa/mlb/chicago-cubs-new-york-mets-vyXnccVP/
CHC,NYM,8,1,usa/mlb/chicago-cubs-new-york-mets-zo5MNdv7/
CHC,NYM,1,11,usa/mlb/chicago-cubs-new-york-mets-8drSDLAr/
CHC,SF,6,5,usa/mlb/chicago-cubs-san-francisco-giants-OWEqMOo5/
CHC,SF,5,2,usa/mlb/chicago-cubs-san-francisco-giants-4bGNGT9P/
CHC,SF,6,7,usa/mlb/chicago-cubs-san-francisco-giants-zDwcsTI6/
CHC,STL,1,2,usa/mlb/chicago-cubs-st-louis-cardinals-82wItdSe/
CHC,STL,5,1,usa/mlb/chicago-cubs-st-louis-cardinals-lUvdy1jG/
CHC,STL,0,3,usa/mlb/chicago-cubs-st-louis-cardinals-0Yi5S57o/
TB,CHC,3,2,usa/mlb/tampa-bay-rays-chicago-cubs-hnuLIevK/
TB,CHC,3,4,usa/mlb/tampa-bay-rays-chicago-cubs-tUro0S6e/
TB,CHC,5,2,usa/mlb/tampa-bay-rays-chicago-cubs-UF8WfXUF/
CIN,CHC,2,4,usa/mlb/cincinnati-reds-chicago-cubs-zVlAsNfa/
CIN,CHC,4,3,usa/mlb/cincinnati-reds-chicago-cubs-OGEexSIJ/
CIN,CHC,3,2,usa/mlb/cincinnati-reds-chicago-cubs-nBDN2RR0/
CIN,CHC,8,4,usa/mlb/cincinnati-reds-chicago-cubs-v7oD0s0o/
CHC,CHW,7,6,usa/mlb/chicago-cubs-chicago-white-sox-IF37mz5a/
CHC,CHW,7,6,usa/mlb/chicago-cubs-chicago-white-sox-4UdieR68/
CHC,CIN,2,5,usa/mlb/chicago-cubs-cincinnati-reds-fH8WUUh3/
CHC,CIN,7,5,usa/mlb/chicago-cubs-cincinnati-reds-l68xDdXH/
CHC,CIN,4,5,usa/mlb/chicago-cubs-cincinnati-reds-K6hv41lm/
MIL,CHC,6,4,usa/mlb/milwaukee-brewers-chicago-cubs-bwPdiO4s/
MIL,CHC,10,6,usa/mlb/milwaukee-brewers-chicago-cubs-lrbnomr8/
MIL,CHC,3,6,usa/mlb/milwaukee-brewers-chicago-cubs-2H4zTeaN/
MIL,CHC,5,1,usa/mlb/milwaukee-brewers-chicago-cubs-bPolHb0B/
STL,CHC,4,3,usa/mlb/st-louis-cardinals-chicago-cubs-Cn817NWn/
STL,CHC,7,6,usa/mlb/st-louis-cardinals-chicago-cubs-jLZakkB1/
CHC,ATL,0,3,usa/mlb/chicago-cubs-atlanta-braves-4Qv8Wz5M/
CHC,ATL,2,9,usa/mlb/chicago-cubs-atlanta-braves-riSHLJj4/
CHC,ATL,4,3,usa/mlb/chicago-cubs-atlanta-braves-lIvH3oVI/
CHC,PIT,2,3,usa/mlb/chicago-cubs-pittsburgh-pirates-QuPJsqi2/
CHC,PIT,1,0,usa/mlb/chicago-cubs-pittsburgh-pirates-CfI3kzgB/
CHC,PIT,3,9,usa/mlb/chicago-cubs-pittsburgh-pirates-re25tuAt/
CHC,PIT,4,5,usa/mlb/chicago-cubs-pittsburgh-pirates-ID8D9buJ/
ATL,CHC,1,7,usa/mlb/atlanta-braves-chicago-cubs-j5esLXs3/
ATL,CHC,7,0,usa/mlb/atlanta-braves-chicago-cubs-4fbsjDrT/
ATL,CHC,2,0,usa/mlb/atlanta-braves-chicago-cubs-GlYddTm5/
PIT,CHC,4,5,usa/mlb/pittsburgh-pirates-chicago-cubs-zXis2bKQ/
PIT,CHC,10,9,usa/mlb/pittsburgh-pirates-chicago-cubs-0tY5TwE1/
PIT,CHC,2,7,usa/mlb/pittsburgh-pirates-chicago-cubs-lSciOrxM/
CHC,SD,0,3,usa/mlb/chicago-cubs-san-diego-padres-IeBiSZWu/
CHC,SD,3,2,usa/mlb/chicago-cubs-san-diego-padres-n1nacFX5/
CHC,SD,3,6,usa/mlb/chicago-cubs-san-diego-padres-YZwwhKeQ/
CHC,MIL,5,0,usa/mlb/chicago-cubs-milwaukee-brewers-jZznfkLd/
CHC,MIL,6,5,usa/mlb/chicago-cubs-milwaukee-brewers-x6qeuMfN/
CHC,MIL,1,3,usa/mlb/chicago-cubs-milwaukee-brewers-MeEcWQBh/
NYM,CHC,7,6,usa/mlb/new-york-mets-chicago-cubs-QVkeEhj7/
NYM,CHC,0,1,usa/mlb/new-york-mets-chicago-cubs-vuc94HMr/
NYM,CHC,4,2,usa/mlb/new-york-mets-chicago-cubs-dh3naMp3/
NYM,CHC,1,3,usa/mlb/new-york-mets-chicago-cubs-Wpt1mPoi/
BOS,CHC,5,4,usa/mlb/boston-red-sox-chicago-cubs-QZu7VjQ5/
BOS,CHC,17,0,usa/mlb/boston-red-sox-chicago-cubs-pvyltmNQ/
BOS,CHC,1,7,usa/mlb/boston-red-sox-chicago-cubs-zmIM6nW7/
CHC,HOU,3,1,usa/mlb/chicago-cubs-houston-astros-695PUbIc/
CHC,HOU,4,3,usa/mlb/chicago-cubs-houston-astros-EXXvJ1Jo/
CHC,HOU,7,2,usa/mlb/chicago-cubs-houston-astros-UmOolsKB/
CHC,MIA,3,6,usa/mlb/chicago-cubs-miami-marlins-zo9ksZ6R/
CHC,MIA,5,3,usa/mlb/chicago-cubs-miami-marlins-0CjLIw7C/
