team_1,team_2,score_1,score_2,game_url
DET,CHW,5,9,usa/mlb/detroit-tigers-chicago-white-sox-OboJZHkh/
DET,CHW,0,4,usa/mlb/detroit-tigers-chicago-white-sox-ve1HrDYM/
DET,CHW,4,1,usa/mlb/detroit-tigers-chicago-white-sox-0MZI0of8/
CHW,LAA,7,0,usa/mlb/chicago-white-sox-los-angeles-angels-AH0T6MGs/
CHW,LAA,4,3,usa/mlb/chicago-white-sox-los-angeles-angels-4hu6Kuos/
CHW,LAA,3,2,usa/mlb/chicago-white-sox-los-angeles-angels-Mgo5TzUB/
SD,CHW,4,2,usa/mlb/san-diego-padres-chicago-white-sox-SSTox5Cq/
SD,CHW,6,2,usa/mlb/san-diego-padres-chicago-white-sox-phGLfYq8/
SD,CHW,3,2,usa/mlb/san-diego-padres-chicago-white-sox-WMRymsra/
LAA,CHW,4,3,usa/mlb/los-angeles-angels-chicago-white-sox-Obcq4ZIj/
LAA,CHW,5,0,usa/mlb/los-angeles-angels-chicago-white-sox-biUDxfPF/
LAA,CHW,4,8,usa/mlb/los-angeles-angels-chicago-white-sox-4AKSWOhf/
CHW,OAK,4,3,usa/mlb/chicago-white-sox-oakland-athletics-b7ztcL6a/
CHW,OAK,7,6,usa/mlb/chicago-white-sox-oakland-athletics-fe7czJGq/
CHW,OAK,0,2,usa/mlb/chicago-white-sox-oakland-athletics-4UWhDhEf/
CHW,CLE,4,6,usa/mlb/chicago-white-sox-cleveland-guardians-CC76SOJb/
CHW,CLE,0,5,usa/mlb/chicago-white-sox-cleveland-guardians-QekcyK2T/
CHW,CLE,3,5,usa/mlb/chicago-white-sox-cleveland-guardians-I79AryAd/
BOS,CHW,2,7,usa/mlb/boston-red-sox-chicago-white-sox-tnvE2d1S/
BOS,CHW,7,5,usa/mlb/boston-red-sox-chicago-white-sox-fHIye5aJ/
BOS,CHW,3,1,usa/mlb/boston-red-sox-chicago-white-sox-SvUR9YPh/
BAL,CHW,1,8,usa/mlb/baltimore-orioles-chicago-white-sox-2g0LF0hq/
BAL,CHW,9,0,usa/mlb/baltimore-orioles-chicago-white-sox-xW4clLb8/
BAL,CHW,13,3,usa/mlb/baltimore-orioles-chicago-white-sox-hMXr0IcK/
CHW,NYM,0,2,usa/mlb/chicago-white-sox-new-york-mets-dxJwoqlo/
CHW,NYM,3,5,usa/mlb/chicago-white-sox-new-york-mets-KUSFJ3fA/
CHW,NYM,1,5,usa/mlb/chicago-white-sox-new-york-mets-0CIZ87ck/
CHW,TEX,1,2,usa/mlb/chicago-white-sox-texas-rangers-0pIXPaYt/
CHW,TEX,3,4,usa/mlb/chicago-white-sox-texas-rangers-Ei4tuWwo/
