team_1,team_2,score_1,score_2,game_url
DET,CLE,4,5,usa/mlb/detroit-tigers-cleveland-guardians-rRCPIaIM/
DET,CLE,3,0,usa/mlb/detroit-tigers-cleveland-guardians-niqELHz0/
CLE,DET,0,3,usa/mlb/cleveland-guardians-detroit-tigers-jPk5Nw6m/
CLE,DET,7,0,usa/mlb/cleveland-guardians-detroit-tigers-fg4ZSarQ/
CLE,HOU,3,4,usa/mlb/cleveland-guardians-houston-astros-burlwidp/
CLE,HOU,2,5,usa/mlb/cleveland-guardians-houston-astros-8nwRbPOK/
CLE,CIN,5,2,usa/mlb/cleveland-guardians-cincinnati-reds-vBXIHwVa/
CLE,CIN,6,1,usa/mlb/cleveland-guardians-cincinnati-reds-6qCtAnTj/
STL,CLE,2,1,usa/mlb/st-louis-cardinals-cleveland-guardians-6JSkyPRk/
STL,CLE,6,5,usa/mlb/st-louis-cardinals-cleveland-guardians-rwZOghaE/
STL,CLE,1,5,usa/mlb/st-louis-cardinals-cleveland-guardians-ADQun1c5/
CLE,MIN,3,2,usa/mlb/cleveland-guardians-minnesota-twins-joNqGuCo/
CLE,MIN,5,4,usa/mlb/cleveland-guardians-minnesota-twins-nXrvQGuA/
CLE,MIN,1,4,usa/mlb/cleveland-guardians-minnesota-twins-AmagIPw1/
CLE,MIN,4,3,usa/mlb/cleveland-guardians-minnesota-twins-YkCqTthJ/
CLE,TB,2,0,usa/mlb/cleveland-guardians-tampa-bay-rays-fZTleayC/
CLE,TB,6,1,usa/mlb/cleveland-guardians-tampa-bay-rays-GAe6Ydod/
CLE,TB,1,3,usa/mlb/cleveland-guardians-tampa-bay-rays-ARZ0BWr7/
CLE,TB,2,5,usa/mlb/cleveland-guardians-tampa-bay-rays-jaAZPVc0/
CHW,CLE,4,6,usa/mlb/chicago-white-sox-cleveland-guardians-CC76SOJb/
CHW,CLE,0,5,usa/mlb/chicago-white-sox-cleveland-guardians-QekcyK2T/
CHW,CLE,3,5,usa/mlb/chicago-white-sox-cleveland-guardians-I79AryAd/
LAD,CLE,4,0,usa/mlb/los-angeles-dodgers-cleveland-guardians-xIPqczPk/
LAD,CLE,7,2,usa/mlb/los-angeles-dodgers-cleveland-guardians-MwPD2HIP/
LAD,CLE,1,3,usa/mlb/los-angeles-dodgers-cleveland-guardians-z5XZ7Cf5/
KC,CLE,4,1,usa/mlb/kansas-city-royals-cleveland-guardians-tpaPEK7k/
KC,CLE,1,7,usa/mlb/kansas-city-royals-cleveland-guardians-jZ81muEE/
KC,CLE,2,4,usa/mlb/kansas-city-royals-cleveland-guardians-nqXnaxDQ/
CLE,PIT,6,1,usa/mlb/cleveland-guardians-pittsburgh-pirates-dSFP8nth/
CLE,PIT,0,3,usa/mlb/cleveland-guardians-pittsburgh-pirates-hrRNHsPM/
CLE,PIT,10,8,usa/mlb/cleveland-guardians-pittsburgh-pirates-6Pmz7oS1/
CLE,KC,7,5,usa/mlb/cleveland-guardians-kansas-city-royals-UwBhjdnn/
CLE,KC,1,6,usa/mlb/cleveland-guardians-kansas-city-royals-8AmqaiVG/
CLE,KC,4,9,usa/mlb/cleveland-guardians-kansas-city-royals-YXY2htE1/
CLE,KC,3,4,usa/mlb/cleveland-guardians-kansas-city-royals-j5eKpYlI/
CLE,TEX,4,2,usa/mlb/cleveland-guardians-texas-rangers-ULu8Kbcf/
CLE,TEX,13,5,usa/mlb/cleveland-guardians-texas-rangers-pWA5TgtP/
CLE,TEX,3,5,usa/mlb/cleveland-guardians-texas-rangers-rPL5VzT9/
NYY,CLE,6,0,usa/mlb/new-york-yankees-cleveland-guardians-rajASYCS/
NYY,CLE,8,1,usa/mlb/new-york-yankees-cleveland-guardians-SjfSY9Z1/
NYY,CLE,5,9,usa/mlb/new-york-yankees-cleveland-guardians-2sE37UuR/
MIL,CLE,2,0,usa/mlb/milwaukee-brewers-cleveland-guardians-rLVgExgB/
MIL,CLE,2,1,usa/mlb/milwaukee-brewers-cleveland-guardians-MmlFJXUj/
MIL,CLE,5,3,usa/mlb/milwaukee-brewers-cleveland-guardians-AV5phhyG/
CLE,CHC,6,1,usa/mlb/cleveland-guardians-chicago-cubs-UFv8q34J/
CLE,CHC,2,1,usa/mlb/cleveland-guardians-chicago-cubs-tUEMlbta/
CLE,CHC,9,8,usa/mlb/cleveland-guardians-chicago-cubs-zDXvKtx1/
MIN,CLE,3,5,usa/mlb/minnesota-twins-cleveland-guardians-ry2xwert/
MIN,CLE,1,2,usa/mlb/minnesota-twins-cleveland-guardians-vNNWnWB4/
MIN,CLE,6,3,usa/mlb/minnesota-twins-cleveland-guardians-UkkrxzFq/
MIN,CLE,4,2,usa/mlb/minnesota-twins-cleveland-guardians-p8YOBezn/
CLE,ARI,3,5,usa/mlb/cleveland-guardians-arizona-diamondbacks-xEyzO4eP/
