date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
22-09-2024,HOU,LAA,8,9,0,MLB,usa/mlb/houston-astros-los-angeles-angels-ELmBr7ZF/,-267,224,-250,242
21-09-2024,HOU,LAA,10,4,1,MLB,usa/mlb/houston-astros-los-angeles-angels-zNYUXAxe/,-226,192,-208,213
20-09-2024,HOU,LAA,9,7,1,MLB,usa/mlb/houston-astros-los-angeles-angels-tYYOkqbt/,-248,209,-238,224
19-09-2024,HOU,LAA,3,1,1,MLB,usa/mlb/houston-astros-los-angeles-angels-WtfNbvsB/,-284,236,-270,256
18-09-2024,SD,HOU,4,0,1,MLB,usa/mlb/san-diego-padres-houston-astros-j5kVRxBc/,-108,-107,-104,-101
17-09-2024,SD,HOU,3,4,0,MLB,usa/mlb/san-diego-padres-houston-astros-xz1oKo9l/,-117,102,-114,108
16-09-2024,SD,HOU,3,1,1,MLB,usa/mlb/san-diego-padres-houston-astros-0xEyV2N6/,-117,101,-115,106
15-09-2024,LAA,HOU,4,6,0,MLB,usa/mlb/los-angeles-angels-houston-astros-UHRNt0MI/,170,-200,177,-196
14-09-2024,LAA,HOU,3,5,0,MLB,usa/mlb/los-angeles-angels-houston-astros-YP4n6y7R/,134,-157,140,-152
13-09-2024,LAA,HOU,3,5,0,MLB,usa/mlb/los-angeles-angels-houston-astros-G4b5Mdi8/,183,-216,193,-200
12-09-2024,HOU,OAK,6,3,1,MLB,usa/mlb/houston-astros-oakland-athletics-dOeWQBrf/,-273,228,-256,256
11-09-2024,HOU,OAK,4,5,0,MLB,usa/mlb/houston-astros-oakland-athletics-8b3RN0YT/,-236,199,-217,208
10-09-2024,HOU,OAK,3,4,0,MLB,usa/mlb/houston-astros-oakland-athletics-Kb8KhLX3/,-196,169,-179,175
08-09-2024,HOU,ARI,6,12,0,MLB,usa/mlb/houston-astros-arizona-diamondbacks-SrzA3xnM/,-133,115,-128,120
07-09-2024,HOU,ARI,11,5,1,MLB,usa/mlb/houston-astros-arizona-diamondbacks-GQJXeopD/,-153,132,-147,136
06-09-2024,HOU,ARI,8,0,1,MLB,usa/mlb/houston-astros-arizona-diamondbacks-llVNAEAn/,-163,141,-156,145
05-09-2024,CIN,HOU,1,0,1,MLB,usa/mlb/cincinnati-reds-houston-astros-SMzdD7Wp/,132,-152,136,-147
04-09-2024,CIN,HOU,12,5,1,MLB,usa/mlb/cincinnati-reds-houston-astros-jFtGyrF2/,123,-143,129,-139
02-09-2024,CIN,HOU,5,3,1,MLB,usa/mlb/cincinnati-reds-houston-astros-40DJgGzl/,135,-157,140,-152
01-09-2024,HOU,KC,7,2,1,MLB,usa/mlb/houston-astros-kansas-city-royals-UN2c5DZa/,-158,137,-147,149
31-08-2024,HOU,KC,5,2,1,MLB,usa/mlb/houston-astros-kansas-city-royals-I5nLcMXj/,-127,110,-120,123
30-08-2024,HOU,KC,3,2,1,MLB,usa/mlb/houston-astros-kansas-city-royals-8EweGk5F/,-183,157,-179,163
29-08-2024,HOU,KC,6,3,1,MLB,usa/mlb/houston-astros-kansas-city-royals-8hA5MQRl/,-163,140,-156,146
28-08-2024,PHI,HOU,0,10,0,MLB,usa/mlb/philadelphia-phillies-houston-astros-Gz7lixXu/,104,-121,106,-114
27-08-2024,PHI,HOU,5,0,1,MLB,usa/mlb/philadelphia-phillies-houston-astros-UJlu0XFA/,-138,118,-130,123
26-08-2024,PHI,HOU,3,2,1,MLB,usa/mlb/philadelphia-phillies-houston-astros-GdvbgMbe/,-192,165,-189,170
25-08-2024,BAL,HOU,3,6,0,MLB,usa/mlb/baltimore-orioles-houston-astros-Klcp5Jc7/,-108,-108,-105,-102
24-08-2024,BAL,HOU,3,2,1,MLB,usa/mlb/baltimore-orioles-houston-astros-jqMxzvcs/,-108,-107,-105,-101
23-08-2024,BAL,HOU,7,5,1,MLB,usa/mlb/baltimore-orioles-houston-astros-lSJYSs7B/,103,-119,106,-114
22-08-2024,BAL,HOU,0,6,0,MLB,usa/mlb/baltimore-orioles-houston-astros-hYupMWkd/,-160,138,-154,146
21-08-2024,HOU,BOS,1,4,0,MLB,usa/mlb/houston-astros-boston-red-sox-WO0JzW4k/,-136,117,-128,122
20-08-2024,HOU,BOS,5,6,0,MLB,usa/mlb/houston-astros-boston-red-sox-AZed9jBE/,-108,-107,-101,-102
19-08-2024,HOU,BOS,5,4,1,MLB,usa/mlb/houston-astros-boston-red-sox-82HB1a95/,-144,124,-139,129
18-08-2024,HOU,CHW,2,0,1,MLB,usa/mlb/houston-astros-chicago-white-sox-4UWkFIw5/,-360,294,-323,334
17-08-2024,HOU,CHW,6,1,1,MLB,usa/mlb/houston-astros-chicago-white-sox-ADpBKDFp/,-363,296,-345,305
16-08-2024,HOU,CHW,4,5,0,MLB,usa/mlb/houston-astros-chicago-white-sox-Wv7tgYL9/,-264,222,-250,242
14-08-2024,TB,HOU,1,2,0,MLB,usa/mlb/tampa-bay-rays-houston-astros-l0LvvsSt/,107,-124,112,-120
13-08-2024,TB,HOU,2,3,0,MLB,usa/mlb/tampa-bay-rays-houston-astros-EsDUnxBB/,107,-123,110,-120
12-08-2024,TB,HOU,1,6,0,MLB,usa/mlb/tampa-bay-rays-houston-astros-UBQmIK6D/,109,-126,112,-122
11-08-2024,BOS,HOU,2,10,0,MLB,usa/mlb/boston-red-sox-houston-astros-j15pyZCh/,124,-143,131,-137
10-08-2024,BOS,HOU,4,5,0,MLB,usa/mlb/boston-red-sox-houston-astros-CzMvoAtH/,-111,-104,-108,102
09-08-2024,BOS,HOU,4,8,0,MLB,usa/mlb/boston-red-sox-houston-astros-QHrizEqd/,-131,113,-125,117
07-08-2024,TEX,HOU,4,6,0,MLB,usa/mlb/texas-rangers-houston-astros-UXq4AoRP/,112,-130,116,-125
06-08-2024,TEX,HOU,2,4,0,MLB,usa/mlb/texas-rangers-houston-astros-tnKIFt35/,109,-127,114,-123
05-08-2024,TEX,HOU,4,3,1,MLB,usa/mlb/texas-rangers-houston-astros-4lX8QcHN/,-111,-105,-106,100
04-08-2024,HOU,TB,0,1,0,MLB,usa/mlb/houston-astros-tampa-bay-rays-CnzFuUMR/,-155,134,-147,147
03-08-2024,HOU,TB,1,6,0,MLB,usa/mlb/houston-astros-tampa-bay-rays-44wyoPb7/,-150,130,-145,133
02-08-2024,HOU,TB,3,2,1,MLB,usa/mlb/houston-astros-tampa-bay-rays-vuNYahPt/,-162,139,-156,144
31-07-2024,HOU,PIT,5,4,1,MLB,usa/mlb/houston-astros-pittsburgh-pirates-trpVfLqT/,-228,193,-208,208
30-07-2024,HOU,PIT,2,6,0,MLB,usa/mlb/houston-astros-pittsburgh-pirates-htxVPuq3/,-202,172,-192,179
29-07-2024,HOU,PIT,3,5,0,MLB,usa/mlb/houston-astros-pittsburgh-pirates-vDS4xJS8/,112,-130,118,-120
28-07-2024,HOU,LAD,2,6,0,MLB,usa/mlb/houston-astros-los-angeles-dodgers-nwhrjxc8/,-135,117,-130,120
27-07-2024,HOU,LAD,7,6,1,MLB,usa/mlb/houston-astros-los-angeles-dodgers-8lp7BqPo/,-161,139,-154,142
26-07-2024,HOU,LAD,5,0,1,MLB,usa/mlb/houston-astros-los-angeles-dodgers-ObF4Kv8G/,-139,120,-135,125
24-07-2024,OAK,HOU,1,8,0,MLB,usa/mlb/oakland-athletics-houston-astros-pdIdAF16/,131,-152,134,-143
23-07-2024,OAK,HOU,8,2,1,MLB,usa/mlb/oakland-athletics-houston-astros-r5Peuz1t/,118,-137,124,-133
22-07-2024,OAK,HOU,4,0,1,MLB,usa/mlb/oakland-athletics-houston-astros-rT7hxPjG/,129,-150,134,-145
21-07-2024,SEA,HOU,6,4,1,MLB,usa/mlb/seattle-mariners-houston-astros-CIh2r0Dk/,-113,-103,-101,104
20-07-2024,SEA,HOU,2,4,0,MLB,usa/mlb/seattle-mariners-houston-astros-SEhvHKJE/,-129,111,-123,123
19-07-2024,SEA,HOU,0,3,0,MLB,usa/mlb/seattle-mariners-houston-astros-Eq4f9TH5/,-114,-105,-106,102
14-07-2024,HOU,TEX,2,4,0,MLB,usa/mlb/houston-astros-texas-rangers-QPvDJYdA/,-123,106,-115,110
13-07-2024,HOU,TEX,1,2,0,MLB,usa/mlb/houston-astros-texas-rangers-vimZOTYk/,101,-118,104,-114
12-07-2024,HOU,TEX,6,3,1,MLB,usa/mlb/houston-astros-texas-rangers-Mq05p21Q/,-144,125,-135,131
11-07-2024,HOU,MIA,6,3,1,MLB,usa/mlb/houston-astros-miami-marlins-vkxdzIwJ/,-184,159,-175,169
10-07-2024,HOU,MIA,9,1,1,MLB,usa/mlb/houston-astros-miami-marlins-4WVm7b8t/,-229,195,-217,202
09-07-2024,HOU,MIA,4,3,1,MLB,usa/mlb/houston-astros-miami-marlins-hSIvGgiB/,-241,204,-227,218
07-07-2024,MIN,HOU,3,2,1,MLB,usa/mlb/minnesota-twins-houston-astros-8vZWNskk/,-145,126,-139,131
06-07-2024,MIN,HOU,9,3,1,MLB,usa/mlb/minnesota-twins-houston-astros-bkw0tBMD/,-135,117,-130,127
05-07-2024,MIN,HOU,12,13,0,MLB,usa/mlb/minnesota-twins-houston-astros-CYWMYJK4/,-148,128,-143,133
04-07-2024,TOR,HOU,3,5,0,MLB,usa/mlb/toronto-blue-jays-houston-astros-MLTDfGaE/,-104,-111,100,-105
03-07-2024,TOR,HOU,2,9,0,MLB,usa/mlb/toronto-blue-jays-houston-astros-vcOIgzFK/,101,-116,106,-110
02-07-2024,TOR,HOU,7,6,1,MLB,usa/mlb/toronto-blue-jays-houston-astros-ImNMhfUQ/,-111,-104,-103,100
01-07-2024,TOR,HOU,1,3,0,MLB,usa/mlb/toronto-blue-jays-houston-astros-zT9llExr/,112,-129,117,-123
30-06-2024,NYM,HOU,5,10,0,MLB,usa/mlb/new-york-mets-houston-astros-xCEXYMFt/,-125,108,-119,112
29-06-2024,NYM,HOU,6,9,0,MLB,usa/mlb/new-york-mets-houston-astros-fDKWsIbB/,-116,100,-112,104
28-06-2024,NYM,HOU,7,2,1,MLB,usa/mlb/new-york-mets-houston-astros-fgEgzRd2/,-110,-105,-106,100
26-06-2024,HOU,COL,7,1,1,MLB,usa/mlb/houston-astros-colorado-rockies-tvSVr1B8/,-192,165,-189,170
25-06-2024,HOU,COL,5,2,1,MLB,usa/mlb/houston-astros-colorado-rockies-61NgAt5q/,-264,225,-192,249
23-06-2024,HOU,BAL,8,1,1,MLB,usa/mlb/houston-astros-baltimore-orioles-WCziwxvf/,-108,-107,-102,100
22-06-2024,HOU,BAL,5,1,1,MLB,usa/mlb/houston-astros-baltimore-orioles-nLWYW0HK/,124,-143,129,-139
21-06-2024,HOU,BAL,14,11,1,MLB,usa/mlb/houston-astros-baltimore-orioles-jLB1c0Q1/,132,-152,138,-147
20-06-2024,CHW,HOU,3,5,0,MLB,usa/mlb/chicago-white-sox-houston-astros-EFCRD0go/,152,-175,159,-167
19-06-2024,CHW,HOU,1,4,0,MLB,usa/mlb/chicago-white-sox-houston-astros-M3hE6qnI/,-102,-113,102,-110
18-06-2024,CHW,HOU,2,0,1,MLB,usa/mlb/chicago-white-sox-houston-astros-h4xGcl3m/,152,-176,156,-167
16-06-2024,HOU,DET,4,1,1,MLB,usa/mlb/houston-astros-detroit-tigers-nP6MiMzc/,-164,142,-159,150
15-06-2024,HOU,DET,5,13,0,MLB,usa/mlb/houston-astros-detroit-tigers-lGaNM1yN/,-117,101,-109,108
14-06-2024,HOU,DET,4,0,1,MLB,usa/mlb/houston-astros-detroit-tigers-nVRVD6hh/,-120,104,-110,108
12-06-2024,SF,HOU,5,3,1,MLB,usa/mlb/san-francisco-giants-houston-astros-hSCZ6bu8/,-115,-100,-114,104
11-06-2024,SF,HOU,1,3,0,MLB,usa/mlb/san-francisco-giants-houston-astros-rNl7lV7q/,-117,101,-114,106
10-06-2024,SF,HOU,4,3,1,MLB,usa/mlb/san-francisco-giants-houston-astros-fwUTzCwp/,-101,-115,102,-111
09-06-2024,LAA,HOU,9,7,1,MLB,usa/mlb/los-angeles-angels-houston-astros-MoiMvLvI/,127,-147,129,-143
08-06-2024,LAA,HOU,1,6,0,MLB,usa/mlb/los-angeles-angels-houston-astros-KOgWVPem/,152,-176,159,-172
07-06-2024,LAA,HOU,1,7,0,MLB,usa/mlb/los-angeles-angels-houston-astros-dteEPlZD/,138,-158,147,-154
05-06-2024,HOU,STL,2,4,0,MLB,usa/mlb/houston-astros-st-louis-cardinals-Yi3iqtVA/,-151,131,-147,136
04-06-2024,HOU,STL,8,5,1,MLB,usa/mlb/houston-astros-st-louis-cardinals-SQAfjxLt/,-155,134,-152,140
03-06-2024,HOU,STL,7,4,1,MLB,usa/mlb/houston-astros-st-louis-cardinals-4v05XNE1/,-185,160,-179,165
