team_1,team_2,score_1,score_2,game_url
KC,NYY,1,3,usa/mlb/kansas-city-royals-new-york-yankees-6adCGU8c/
KC,NYY,2,3,usa/mlb/kansas-city-royals-new-york-yankees-MBKDiSDc/
NYY,KC,2,4,usa/mlb/new-york-yankees-kansas-city-royals-63xRTOLj/
NYY,KC,6,5,usa/mlb/new-york-yankees-kansas-city-royals-AXjeZpbT/
BAL,KC,1,2,usa/mlb/baltimore-orioles-kansas-city-royals-fyHSo1bB/
BAL,KC,0,1,usa/mlb/baltimore-orioles-kansas-city-royals-00GKI2UO/
ATL,KC,2,4,usa/mlb/atlanta-braves-kansas-city-royals-AFmVWFZA/
ATL,KC,2,1,usa/mlb/atlanta-braves-kansas-city-royals-xWthxBBj/
ATL,KC,3,0,usa/mlb/atlanta-braves-kansas-city-royals-nwxVcqvR/
WSH,KC,4,7,usa/mlb/washington-nationals-kansas-city-royals-Is4y50of/
WSH,KC,0,3,usa/mlb/washington-nationals-kansas-city-royals-nyXMGcp6/
WSH,KC,0,1,usa/mlb/washington-nationals-kansas-city-royals-8ljPYV5i/
KC,SF,0,2,usa/mlb/kansas-city-royals-san-francisco-giants-29zNZW7r/
KC,SF,0,9,usa/mlb/kansas-city-royals-san-francisco-giants-4G5KrSjD/
KC,SF,1,2,usa/mlb/kansas-city-royals-san-francisco-giants-OGjF00Cb/
KC,DET,2,4,usa/mlb/kansas-city-royals-detroit-tigers-CEjRSIei/
KC,DET,1,3,usa/mlb/kansas-city-royals-detroit-tigers-vkrrLRgr/
KC,DET,6,7,usa/mlb/kansas-city-royals-detroit-tigers-nZ9XVr80/
PIT,KC,4,3,usa/mlb/pittsburgh-pirates-kansas-city-royals-rLVRuKyP/
PIT,KC,1,5,usa/mlb/pittsburgh-pirates-kansas-city-royals-EwmDeTnh/
PIT,KC,3,8,usa/mlb/pittsburgh-pirates-kansas-city-royals-U729LG6E/
NYY,KC,4,3,usa/mlb/new-york-yankees-kansas-city-royals-I9AEQ2lB/
NYY,KC,0,5,usa/mlb/new-york-yankees-kansas-city-royals-ATQTVcQj/
NYY,KC,10,4,usa/mlb/new-york-yankees-kansas-city-royals-KCmg7Knc/
KC,MIN,2,0,usa/mlb/kansas-city-royals-minnesota-twins-nm7zKcW2/
KC,MIN,4,2,usa/mlb/kansas-city-royals-minnesota-twins-zo5ldFeg/
KC,MIN,5,0,usa/mlb/kansas-city-royals-minnesota-twins-4pLn5AvO/
KC,CLE,4,1,usa/mlb/kansas-city-royals-cleveland-guardians-tpaPEK7k/
