team_1,team_2,score_1,score_2,game_url
LAD,SD,2,0,usa/mlb/los-angeles-dodgers-san-diego-padres-4EEzirFL/
SD,LAD,0,8,usa/mlb/san-diego-padres-los-angeles-dodgers-ng0DEXQG/
SD,LAD,6,5,usa/mlb/san-diego-padres-los-angeles-dodgers-W2ZDGZnQ/
LAD,SD,2,10,usa/mlb/los-angeles-dodgers-san-diego-padres-4dsShWfJ/
LAD,SD,7,5,usa/mlb/los-angeles-dodgers-san-diego-padres-rsgJfhQ6/
COL,LAD,1,2,usa/mlb/colorado-rockies-los-angeles-dodgers-hvwzWZlH/
COL,LAD,2,13,usa/mlb/colorado-rockies-los-angeles-dodgers-jmpZ0fli/
COL,LAD,4,11,usa/mlb/colorado-rockies-los-angeles-dodgers-hKEcg3nr/
LAD,SD,7,2,usa/mlb/los-angeles-dodgers-san-diego-padres-hEBm2bVC/
LAD,SD,4,3,usa/mlb/los-angeles-dodgers-san-diego-padres-zcDHxu7P/
LAD,SD,2,4,usa/mlb/los-angeles-dodgers-san-diego-padres-MROXUm5G/
LAD,COL,6,5,usa/mlb/los-angeles-dodgers-colorado-rockies-0tSgzqsd/
LAD,COL,3,6,usa/mlb/los-angeles-dodgers-colorado-rockies-Q1OThCEK/
LAD,COL,6,4,usa/mlb/los-angeles-dodgers-colorado-rockies-vmVqoLCB/
MIA,LAD,4,20,usa/mlb/miami-marlins-los-angeles-dodgers-ltq1idZp/
MIA,LAD,4,8,usa/mlb/miami-marlins-los-angeles-dodgers-YTvzRdQ3/
MIA,LAD,11,9,usa/mlb/miami-marlins-los-angeles-dodgers-Wd0kJ5Of/
ATL,LAD,0,9,usa/mlb/atlanta-braves-los-angeles-dodgers-faDuUMxD/
ATL,LAD,2,9,usa/mlb/atlanta-braves-los-angeles-dodgers-dOJ943EP/
ATL,LAD,10,1,usa/mlb/atlanta-braves-los-angeles-dodgers-hUoHfm2b/
ATL,LAD,6,2,usa/mlb/atlanta-braves-los-angeles-dodgers-CWiEKzMK/
LAD,CHC,10,8,usa/mlb/los-angeles-dodgers-chicago-cubs-GpEcUpkn/
LAD,CHC,3,6,usa/mlb/los-angeles-dodgers-chicago-cubs-IVokwtYG/
LAD,CHC,4,10,usa/mlb/los-angeles-dodgers-chicago-cubs-4456qHfj/
LAD,CLE,4,0,usa/mlb/los-angeles-dodgers-cleveland-guardians-xIPqczPk/
LAD,CLE,7,2,usa/mlb/los-angeles-dodgers-cleveland-guardians-MwPD2HIP/
LAD,CLE,1,3,usa/mlb/los-angeles-dodgers-cleveland-guardians-z5XZ7Cf5/
LAA,LAD,10,1,usa/mlb/los-angeles-angels-los-angeles-dodgers-U5uKz2U8/
LAA,LAD,2,6,usa/mlb/los-angeles-angels-los-angeles-dodgers-ClcAoJrR/
ARI,LAD,6,11,usa/mlb/arizona-diamondbacks-los-angeles-dodgers-riCNhzjf/
ARI,LAD,14,3,usa/mlb/arizona-diamondbacks-los-angeles-dodgers-Cnh24Xl6/
ARI,LAD,6,8,usa/mlb/arizona-diamondbacks-los-angeles-dodgers-pCz3M5Ai/
ARI,LAD,9,10,usa/mlb/arizona-diamondbacks-los-angeles-dodgers-jwTaF9KL/
LAD,BAL,6,3,usa/mlb/los-angeles-dodgers-baltimore-orioles-QTK0N6Cr/
LAD,BAL,6,4,usa/mlb/los-angeles-dodgers-baltimore-orioles-CMtvXYoO/
LAD,BAL,2,3,usa/mlb/los-angeles-dodgers-baltimore-orioles-OMoX1gob/
LAD,TB,3,1,usa/mlb/los-angeles-dodgers-tampa-bay-rays-jVt4Lvrl/
LAD,TB,8,9,usa/mlb/los-angeles-dodgers-tampa-bay-rays-6uC1UZQI/
LAD,TB,7,3,usa/mlb/los-angeles-dodgers-tampa-bay-rays-ULH1WGD3/
LAD,SEA,8,4,usa/mlb/los-angeles-dodgers-seattle-mariners-8ABclkZl/
LAD,SEA,6,3,usa/mlb/los-angeles-dodgers-seattle-mariners-4AzZM9uE/
LAD,SEA,3,0,usa/mlb/los-angeles-dodgers-seattle-mariners-xr9ScH8U/
STL,LAD,1,2,usa/mlb/st-louis-cardinals-los-angeles-dodgers-joZ1CGNN/
STL,LAD,5,2,usa/mlb/st-louis-cardinals-los-angeles-dodgers-2qR1syNc/
STL,LAD,6,7,usa/mlb/st-louis-cardinals-los-angeles-dodgers-GUXHZqLl/
MIL,LAD,6,4,usa/mlb/milwaukee-brewers-los-angeles-dodgers-fw05PsDm/
MIL,LAD,5,4,usa/mlb/milwaukee-brewers-los-angeles-dodgers-MDJnxLdg/
MIL,LAD,2,7,usa/mlb/milwaukee-brewers-los-angeles-dodgers-A96woGuO/
MIL,LAD,2,5,usa/mlb/milwaukee-brewers-los-angeles-dodgers-M5DZuObK/
LAD,PIT,6,5,usa/mlb/los-angeles-dodgers-pittsburgh-pirates-QJccYWdB/
LAD,PIT,4,1,usa/mlb/los-angeles-dodgers-pittsburgh-pirates-lIO7v8Jp/
LAD,PIT,9,5,usa/mlb/los-angeles-dodgers-pittsburgh-pirates-zmQscyi9/
LAD,PHI,4,9,usa/mlb/los-angeles-dodgers-philadelphia-phillies-6T5z33Ja/
LAD,PHI,2,6,usa/mlb/los-angeles-dodgers-philadelphia-phillies-ARBZBb2U/
LAD,PHI,5,3,usa/mlb/los-angeles-dodgers-philadelphia-phillies-KExvLyuo/
OAK,LAD,2,3,usa/mlb/oakland-athletics-los-angeles-dodgers-zkZEMlGk/
OAK,LAD,0,10,usa/mlb/oakland-athletics-los-angeles-dodgers-dGepe9ME/
OAK,LAD,6,5,usa/mlb/oakland-athletics-los-angeles-dodgers-zqE504bf/
SD,LAD,8,1,usa/mlb/san-diego-padres-los-angeles-dodgers-EHZAaqVc/
SD,LAD,6,5,usa/mlb/san-diego-padres-los-angeles-dodgers-UR488vES/
HOU,LAD,2,6,usa/mlb/houston-astros-los-angeles-dodgers-nwhrjxc8/
HOU,LAD,7,6,usa/mlb/houston-astros-los-angeles-dodgers-8lp7BqPo/
HOU,LAD,5,0,usa/mlb/houston-astros-los-angeles-dodgers-ObF4Kv8G/
LAD,SF,6,4,usa/mlb/los-angeles-dodgers-san-francisco-giants-t2zVeGnD/
LAD,SF,3,8,usa/mlb/los-angeles-dodgers-san-francisco-giants-Ai5IRGWt/
LAD,SF,5,2,usa/mlb/los-angeles-dodgers-san-francisco-giants-ULBHzCFB/
LAD,SF,3,2,usa/mlb/los-angeles-dodgers-san-francisco-giants-KOTOUtqj/
LAD,BOS,9,6,usa/mlb/los-angeles-dodgers-boston-red-sox-GADRl2zM/
LAD,BOS,7,6,usa/mlb/los-angeles-dodgers-boston-red-sox-MH1lfcC1/
LAD,BOS,4,1,usa/mlb/los-angeles-dodgers-boston-red-sox-GjkkCVXn/
DET,LAD,4,3,usa/mlb/detroit-tigers-los-angeles-dodgers-dSLpKpWN/
DET,LAD,11,9,usa/mlb/detroit-tigers-los-angeles-dodgers-d4FsZDdc/
DET,LAD,3,4,usa/mlb/detroit-tigers-los-angeles-dodgers-Ov7bRMfl/
PHI,LAD,5,1,usa/mlb/philadelphia-phillies-los-angeles-dodgers-0bwhybOC/
PHI,LAD,4,3,usa/mlb/philadelphia-phillies-los-angeles-dodgers-2NqMBv0P/
PHI,LAD,10,1,usa/mlb/philadelphia-phillies-los-angeles-dodgers-thFzHZy5/
LAD,MIL,2,9,usa/mlb/los-angeles-dodgers-milwaukee-brewers-UgNuMLJ1/
LAD,MIL,5,3,usa/mlb/los-angeles-dodgers-milwaukee-brewers-4nt8vkiQ/
LAD,MIL,8,5,usa/mlb/los-angeles-dodgers-milwaukee-brewers-80QVWckH/
LAD,ARI,3,9,usa/mlb/los-angeles-dodgers-arizona-diamondbacks-4Se0nwk4/
LAD,ARI,4,12,usa/mlb/los-angeles-dodgers-arizona-diamondbacks-GtWEiYQq/
LAD,ARI,6,5,usa/mlb/los-angeles-dodgers-arizona-diamondbacks-WxWjQhX8/
SF,LAD,10,4,usa/mlb/san-francisco-giants-los-angeles-dodgers-Kz4xYtVn/
SF,LAD,7,14,usa/mlb/san-francisco-giants-los-angeles-dodgers-lzKzsxEH/
SF,LAD,5,3,usa/mlb/san-francisco-giants-los-angeles-dodgers-dE6SrJ02/
CHW,LAD,0,4,usa/mlb/chicago-white-sox-los-angeles-dodgers-fsWZsLQE/
CHW,LAD,3,4,usa/mlb/chicago-white-sox-los-angeles-dodgers-phMc90Kk/
CHW,LAD,0,3,usa/mlb/chicago-white-sox-los-angeles-dodgers-Isn7Vpxo/
LAD,LAA,7,2,usa/mlb/los-angeles-dodgers-los-angeles-angels-CluqAwA7/
LAD,LAA,2,3,usa/mlb/los-angeles-dodgers-los-angeles-angels-G2Jl02tq/
COL,LAD,3,5,usa/mlb/colorado-rockies-los-angeles-dodgers-WjsCLCCi/
COL,LAD,7,6,usa/mlb/colorado-rockies-los-angeles-dodgers-IVoN4NGU/
COL,LAD,9,11,usa/mlb/colorado-rockies-los-angeles-dodgers-0UuOeSXa/
COL,LAD,5,9,usa/mlb/colorado-rockies-los-angeles-dodgers-6XotoBJs/
LAD,KC,3,0,usa/mlb/los-angeles-dodgers-kansas-city-royals-QF5Qjtj3/
LAD,KC,2,7,usa/mlb/los-angeles-dodgers-kansas-city-royals-S6bRLLjT/
LAD,KC,4,3,usa/mlb/los-angeles-dodgers-kansas-city-royals-b5VZCQ7b/
LAD,TEX,1,3,usa/mlb/los-angeles-dodgers-texas-rangers-6DN79i16/
LAD,TEX,2,3,usa/mlb/los-angeles-dodgers-texas-rangers-jNfMcf2f/
LAD,TEX,15,2,usa/mlb/los-angeles-dodgers-texas-rangers-ChwA8jaF/
NYY,LAD,6,4,usa/mlb/new-york-yankees-los-angeles-dodgers-4AtRwufO/
NYY,LAD,3,11,usa/mlb/new-york-yankees-los-angeles-dodgers-lbbzVqBg/
NYY,LAD,1,2,usa/mlb/new-york-yankees-los-angeles-dodgers-zXgIO8lK/
PIT,LAD,7,11,usa/mlb/pittsburgh-pirates-los-angeles-dodgers-EPwQcup4/
PIT,LAD,10,6,usa/mlb/pittsburgh-pirates-los-angeles-dodgers-pSfOqh4O/
PIT,LAD,1,0,usa/mlb/pittsburgh-pirates-los-angeles-dodgers-dSyWmqar/
LAD,COL,4,0,usa/mlb/los-angeles-dodgers-colorado-rockies-lv8zUl89/
LAD,COL,4,1,usa/mlb/los-angeles-dodgers-colorado-rockies-U3M6eU1p/
LAD,COL,1,4,usa/mlb/los-angeles-dodgers-colorado-rockies-SWir3L3g/
NYM,LAD,3,10,usa/mlb/new-york-mets-los-angeles-dodgers-ttwRw5zr/
NYM,LAD,0,3,usa/mlb/new-york-mets-los-angeles-dodgers-hbg3odxi/
NYM,LAD,2,5,usa/mlb/new-york-mets-los-angeles-dodgers-O6VS9Gho/
CIN,LAD,4,1,usa/mlb/cincinnati-reds-los-angeles-dodgers-tSaI3uWB/
CIN,LAD,3,1,usa/mlb/cincinnati-reds-los-angeles-dodgers-jJvKfpms/
CIN,LAD,9,6,usa/mlb/cincinnati-reds-los-angeles-dodgers-44BIxCRe/
LAD,ARI,0,6,usa/mlb/los-angeles-dodgers-arizona-diamondbacks-UmODMayb/
LAD,ARI,3,7,usa/mlb/los-angeles-dodgers-arizona-diamondbacks-ARuD4RFC/
LAD,ARI,6,4,usa/mlb/los-angeles-dodgers-arizona-diamondbacks-zgDv8u57/
LAD,CIN,3,2,usa/mlb/los-angeles-dodgers-cincinnati-reds-CA6R4Fhb/
LAD,CIN,4,0,usa/mlb/los-angeles-dodgers-cincinnati-reds-tGsZZfgO/
LAD,CIN,7,3,usa/mlb/los-angeles-dodgers-cincinnati-reds-CGRzRaAg/
LAD,CIN,2,7,usa/mlb/los-angeles-dodgers-cincinnati-reds-4zz5Dttf/
SF,LAD,4,1,usa/mlb/san-francisco-giants-los-angeles-dodgers-xQZPC9kq/
SF,LAD,2,10,usa/mlb/san-francisco-giants-los-angeles-dodgers-Iiy47ED3/
SF,LAD,4,6,usa/mlb/san-francisco-giants-los-angeles-dodgers-nwCul5eo/
SD,LAD,4,0,usa/mlb/san-diego-padres-los-angeles-dodgers-6LVPgzS6/
SD,LAD,0,5,usa/mlb/san-diego-padres-los-angeles-dodgers-0xI4lujR/
SD,LAD,2,1,usa/mlb/san-diego-padres-los-angeles-dodgers-vBeZFKq2/
LAD,MIA,3,1,usa/mlb/los-angeles-dodgers-miami-marlins-p8tw9CWH/
LAD,MIA,8,2,usa/mlb/los-angeles-dodgers-miami-marlins-dCgn0Hmm/
LAD,MIA,6,3,usa/mlb/los-angeles-dodgers-miami-marlins-pE1nVdlD/
LAD,ATL,5,1,usa/mlb/los-angeles-dodgers-atlanta-braves-nwSIf1fA/
