team_1,team_2,score_1,score_2,game_url
TOR,MIA,1,3,usa/mlb/toronto-blue-jays-miami-marlins-M7rhd0w3/
TOR,MIA,1,8,usa/mlb/toronto-blue-jays-miami-marlins-4WXdeKh9/
TOR,MIA,5,15,usa/mlb/toronto-blue-jays-miami-marlins-IZy1fv8F/
MIN,MIA,6,8,usa/mlb/minnesota-twins-miami-marlins-06gt4K00/
MIN,MIA,8,3,usa/mlb/minnesota-twins-miami-marlins-QRVQFHaC/
MIN,MIA,1,4,usa/mlb/minnesota-twins-miami-marlins-MifTXkLc/
MIA,ATL,4,5,usa/mlb/miami-marlins-atlanta-braves-nZoJto4S/
MIA,ATL,2,6,usa/mlb/miami-marlins-atlanta-braves-WlSwWl77/
MIA,ATL,4,3,usa/mlb/miami-marlins-atlanta-braves-lbxXmNSh/
MIA,LAD,4,20,usa/mlb/miami-marlins-los-angeles-dodgers-ltq1idZp/
MIA,LAD,4,8,usa/mlb/miami-marlins-los-angeles-dodgers-YTvzRdQ3/
MIA,LAD,11,9,usa/mlb/miami-marlins-los-angeles-dodgers-Wd0kJ5Of/
WSH,MIA,4,3,usa/mlb/washington-nationals-miami-marlins-bX5y0NMt/
WSH,MIA,4,1,usa/mlb/washington-nationals-miami-marlins-A5tMg7H4/
WSH,MIA,4,1,usa/mlb/washington-nationals-miami-marlins-jNjIJfyR/
WSH,MIA,3,6,usa/mlb/washington-nationals-miami-marlins-z97NSXDs/
PIT,MIA,3,1,usa/mlb/pittsburgh-pirates-miami-marlins-0YaJPM3H/
PIT,MIA,6,4,usa/mlb/pittsburgh-pirates-miami-marlins-bqKBfs3i/
PIT,MIA,3,2,usa/mlb/pittsburgh-pirates-miami-marlins-b3nc6v23/
MIA,PHI,10,1,usa/mlb/miami-marlins-philadelphia-phillies-tn0qIy1F/
MIA,PHI,9,5,usa/mlb/miami-marlins-philadelphia-phillies-rB8dfgQ5/
MIA,PHI,2,16,usa/mlb/miami-marlins-philadelphia-phillies-8bocPDPu/
MIA,PHI,2,5,usa/mlb/miami-marlins-philadelphia-phillies-fTSsyBOi/
MIA,WSH,4,3,usa/mlb/miami-marlins-washington-nationals-S0N6Rcie/
MIA,WSH,2,6,usa/mlb/miami-marlins-washington-nationals-xEkdxF5D/
SF,MIA,5,7,usa/mlb/san-francisco-giants-miami-marlins-jwi63i4C/
SF,MIA,3,4,usa/mlb/san-francisco-giants-miami-marlins-O2Z6LPPc/
SF,MIA,3,1,usa/mlb/san-francisco-giants-miami-marlins-4tX3ETZR/
COL,MIA,8,12,usa/mlb/colorado-rockies-miami-marlins-KSD9Lpse/
COL,MIA,8,2,usa/mlb/colorado-rockies-miami-marlins-O0AdkG1h/
COL,MIA,8,9,usa/mlb/colorado-rockies-miami-marlins-QorlbBpN/
COL,MIA,3,2,usa/mlb/colorado-rockies-miami-marlins-COX6i0T7/
MIA,CHC,7,2,usa/mlb/miami-marlins-chicago-cubs-j95T81br/
MIA,CHC,2,14,usa/mlb/miami-marlins-chicago-cubs-KAYKHdsD/
MIA,CHC,3,6,usa/mlb/miami-marlins-chicago-cubs-KnSHWP7n/
MIA,ARI,8,10,usa/mlb/miami-marlins-arizona-diamondbacks-zgFmthsS/
MIA,ARI,1,3,usa/mlb/miami-marlins-arizona-diamondbacks-fRD9omJ7/
MIA,ARI,6,9,usa/mlb/miami-marlins-arizona-diamondbacks-0xE33Lvg/
NYM,MIA,2,3,usa/mlb/new-york-mets-miami-marlins-Y9O6BzwU/
NYM,MIA,4,0,usa/mlb/new-york-mets-miami-marlins-WIV5tex4/
NYM,MIA,7,3,usa/mlb/new-york-mets-miami-marlins-bgNMY3ze/
PHI,MIA,9,5,usa/mlb/philadelphia-phillies-miami-marlins-YmNjyuCa/
PHI,MIA,0,5,usa/mlb/philadelphia-phillies-miami-marlins-l05spzeU/
MIA,SD,7,6,usa/mlb/miami-marlins-san-diego-padres-Ktc1XjCH/
MIA,SD,8,9,usa/mlb/miami-marlins-san-diego-padres-2LSBwSYj/
MIA,SD,2,6,usa/mlb/miami-marlins-san-diego-padres-EwPode6F/
MIA,CIN,4,10,usa/mlb/miami-marlins-cincinnati-reds-Kv4QlDbk/
MIA,CIN,6,4,usa/mlb/miami-marlins-cincinnati-reds-xvcInrZI/
MIA,CIN,2,8,usa/mlb/miami-marlins-cincinnati-reds-pKQ9H2Yh/
MIA,CIN,3,10,usa/mlb/miami-marlins-cincinnati-reds-QcY4Rw2H/
ATL,MIA,0,7,usa/mlb/atlanta-braves-miami-marlins-G0jCL8Ve/
ATL,MIA,3,4,usa/mlb/atlanta-braves-miami-marlins-jwelfTyL/
ATL,MIA,5,3,usa/mlb/atlanta-braves-miami-marlins-I73AaOD0/
ATL,MIA,4,2,usa/mlb/atlanta-braves-miami-marlins-WfyrdAO5/
TB,MIA,2,6,usa/mlb/tampa-bay-rays-miami-marlins-C2hEb3p4/
TB,MIA,9,3,usa/mlb/tampa-bay-rays-miami-marlins-Wziz4bMq/
MIL,MIA,6,2,usa/mlb/milwaukee-brewers-miami-marlins-QTjnkdCE/
MIL,MIA,3,7,usa/mlb/milwaukee-brewers-miami-marlins-nuqBA3vh/
MIL,MIA,2,6,usa/mlb/milwaukee-brewers-miami-marlins-0OxY2Cxq/
MIA,BAL,6,7,usa/mlb/miami-marlins-baltimore-orioles-bJvA0vYs/
MIA,BAL,6,3,usa/mlb/miami-marlins-baltimore-orioles-E7vEIwfQ/
MIA,BAL,6,3,usa/mlb/miami-marlins-baltimore-orioles-vXdZNYV5/
MIA,NYM,4,6,usa/mlb/miami-marlins-new-york-mets-jgB0z3LS/
MIA,NYM,4,2,usa/mlb/miami-marlins-new-york-mets-pWjAtvr2/
MIA,NYM,0,1,usa/mlb/miami-marlins-new-york-mets-OtnmFblR/
MIA,NYM,6,4,usa/mlb/miami-marlins-new-york-mets-863b8mXB/
CIN,MIA,2,3,usa/mlb/cincinnati-reds-miami-marlins-jkLlJ4oU/
CIN,MIA,10,6,usa/mlb/cincinnati-reds-miami-marlins-vT4nYXB3/
CIN,MIA,7,4,usa/mlb/cincinnati-reds-miami-marlins-hEB2QtAf/
HOU,MIA,6,3,usa/mlb/houston-astros-miami-marlins-vkxdzIwJ/
HOU,MIA,9,1,usa/mlb/houston-astros-miami-marlins-4WVm7b8t/
HOU,MIA,4,3,usa/mlb/houston-astros-miami-marlins-hSIvGgiB/
MIA,CHW,7,4,usa/mlb/miami-marlins-chicago-white-sox-xdr1T3RR/
MIA,CHW,4,3,usa/mlb/miami-marlins-chicago-white-sox-GQDFYb37/
MIA,CHW,2,3,usa/mlb/miami-marlins-chicago-white-sox-48TEztjh/
MIA,BOS,5,6,usa/mlb/miami-marlins-boston-red-sox-0fk9pHJG/
MIA,BOS,2,7,usa/mlb/miami-marlins-boston-red-sox-lfUMkCed/
MIA,BOS,3,8,usa/mlb/miami-marlins-boston-red-sox-QwlP7pHs/
PHI,MIA,7,6,usa/mlb/philadelphia-phillies-miami-marlins-WA7tX0pg/
PHI,MIA,2,3,usa/mlb/philadelphia-phillies-miami-marlins-SQIvtdTN/
PHI,MIA,2,0,usa/mlb/philadelphia-phillies-miami-marlins-z55WswG8/
PHI,MIA,4,7,usa/mlb/philadelphia-phillies-miami-marlins-OrceKxj5/
KC,MIA,5,1,usa/mlb/kansas-city-royals-miami-marlins-zup4Qhes/
KC,MIA,1,2,usa/mlb/kansas-city-royals-miami-marlins-vFL18KZe/
KC,MIA,4,1,usa/mlb/kansas-city-royals-miami-marlins-WpzkfUEo/
MIA,SEA,6,4,usa/mlb/miami-marlins-seattle-mariners-dGJEhHws/
MIA,SEA,0,9,usa/mlb/miami-marlins-seattle-mariners-Ey4QMGgD/
MIA,SEA,3,2,usa/mlb/miami-marlins-seattle-mariners-QXxXCuQl/
MIA,STL,4,3,usa/mlb/miami-marlins-st-louis-cardinals-MHXnLr1B/
MIA,STL,9,8,usa/mlb/miami-marlins-st-louis-cardinals-672kCmIt/
MIA,STL,6,7,usa/mlb/miami-marlins-st-louis-cardinals-2Z9gtmYC/
WSH,MIA,3,1,usa/mlb/washington-nationals-miami-marlins-8veVk059/
WSH,MIA,4,0,usa/mlb/washington-nationals-miami-marlins-KbjgHuap/
WSH,MIA,8,1,usa/mlb/washington-nationals-miami-marlins-tUKvCpN4/
NYM,MIA,3,2,usa/mlb/new-york-mets-miami-marlins-zBUPHFgQ/
NYM,MIA,10,4,usa/mlb/new-york-mets-miami-marlins-WIBw6IfE/
NYM,MIA,2,4,usa/mlb/new-york-mets-miami-marlins-t87AmkNk/
MIA,CLE,3,6,usa/mlb/miami-marlins-cleveland-guardians-ELmEtsA5/
MIA,CLE,0,8,usa/mlb/miami-marlins-cleveland-guardians-ziIaynYP/
MIA,CLE,3,2,usa/mlb/miami-marlins-cleveland-guardians-tYCR1os7/
MIA,TB,3,5,usa/mlb/miami-marlins-tampa-bay-rays-SSHfr0pH/
