date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
22-09-2024,MIA,ATL,4,5,0,MLB,usa/mlb/miami-marlins-atlanta-braves-nZoJto4S/,165,-194,172,-185
21-09-2024,MIA,ATL,2,6,0,MLB,usa/mlb/miami-marlins-atlanta-braves-WlSwWl77/,225,-267,229,-256
20-09-2024,MIA,ATL,4,3,1,MLB,usa/mlb/miami-marlins-atlanta-braves-lbxXmNSh/,182,-215,190,-208
19-09-2024,MIA,LAD,4,20,0,MLB,usa/mlb/miami-marlins-los-angeles-dodgers-ltq1idZp/,174,-204,181,-196
18-09-2024,MIA,LAD,4,8,0,MLB,usa/mlb/miami-marlins-los-angeles-dodgers-YTvzRdQ3/,161,-189,175,-172
17-09-2024,MIA,LAD,11,9,1,MLB,usa/mlb/miami-marlins-los-angeles-dodgers-Wd0kJ5Of/,182,-215,195,-189
15-09-2024,WSH,MIA,4,3,1,MLB,usa/mlb/washington-nationals-miami-marlins-bX5y0NMt/,-174,149,-164,154
14-09-2024,WSH,MIA,4,1,1,MLB,usa/mlb/washington-nationals-miami-marlins-A5tMg7H4/,-144,124,-139,129
13-09-2024,WSH,MIA,4,1,1,MLB,usa/mlb/washington-nationals-miami-marlins-jNjIJfyR/,-142,122,-135,127
12-09-2024,WSH,MIA,3,6,0,MLB,usa/mlb/washington-nationals-miami-marlins-z97NSXDs/,-193,164,-185,175
11-09-2024,PIT,MIA,3,1,1,MLB,usa/mlb/pittsburgh-pirates-miami-marlins-0YaJPM3H/,-151,130,-143,138
10-09-2024,PIT,MIA,6,4,1,MLB,usa/mlb/pittsburgh-pirates-miami-marlins-bqKBfs3i/,-160,139,-143,144
09-09-2024,PIT,MIA,3,2,1,MLB,usa/mlb/pittsburgh-pirates-miami-marlins-b3nc6v23/,-266,224,-250,229
08-09-2024,MIA,PHI,10,1,1,MLB,usa/mlb/miami-marlins-philadelphia-phillies-tn0qIy1F/,112,-130,117,-127
07-09-2024,MIA,PHI,9,5,1,MLB,usa/mlb/miami-marlins-philadelphia-phillies-rB8dfgQ5/,219,-259,229,-250
06-09-2024,MIA,PHI,2,16,0,MLB,usa/mlb/miami-marlins-philadelphia-phillies-8bocPDPu/,229,-273,239,-263
05-09-2024,MIA,PHI,2,5,0,MLB,usa/mlb/miami-marlins-philadelphia-phillies-fTSsyBOi/,200,-238,211,-227
04-09-2024,MIA,WSH,4,3,1,MLB,usa/mlb/miami-marlins-washington-nationals-S0N6Rcie/,123,-142,127,-139
03-09-2024,MIA,WSH,2,6,0,MLB,usa/mlb/miami-marlins-washington-nationals-xEkdxF5D/,-111,-105,-105,-103
01-09-2024,SF,MIA,5,7,0,MLB,usa/mlb/san-francisco-giants-miami-marlins-jwi63i4C/,-277,231,-263,249
31-08-2024,SF,MIA,3,4,0,MLB,usa/mlb/san-francisco-giants-miami-marlins-O2Z6LPPc/,-140,121,-133,133
