date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
22-09-2024,MIL,ARI,10,9,1,MLB,usa/mlb/milwaukee-brewers-arizona-diamondbacks-8rmFsRlM/,-137,119,-133,123
21-09-2024,MIL,ARI,0,5,0,MLB,usa/mlb/milwaukee-brewers-arizona-diamondbacks-hbTZWUi1/,-110,-105,-105,104
20-09-2024,MIL,ARI,4,7,0,MLB,usa/mlb/milwaukee-brewers-arizona-diamondbacks-zeYSl3Dn/,115,-133,122,-127
19-09-2024,MIL,ARI,1,5,0,MLB,usa/mlb/milwaukee-brewers-arizona-diamondbacks-E5qScbdH/,106,-123,112,-118
18-09-2024,MIL,PHI,2,1,1,MLB,usa/mlb/milwaukee-brewers-philadelphia-phillies-0dbqNEPS/,-115,-100,-106,108
17-09-2024,MIL,PHI,1,5,0,MLB,usa/mlb/milwaukee-brewers-philadelphia-phillies-KItpumoE/,120,-139,127,-132
16-09-2024,MIL,PHI,6,2,1,MLB,usa/mlb/milwaukee-brewers-philadelphia-phillies-lbfWjppQ/,-106,-109,-102,-105
15-09-2024,ARI,MIL,11,10,1,MLB,usa/mlb/arizona-diamondbacks-milwaukee-brewers-QgxYbsxm/,-164,141,-156,149
14-09-2024,ARI,MIL,8,15,0,MLB,usa/mlb/arizona-diamondbacks-milwaukee-brewers-lduQhRWA/,-154,133,-149,140
13-09-2024,ARI,MIL,1,2,0,MLB,usa/mlb/arizona-diamondbacks-milwaukee-brewers-rFrpFEqr/,-124,107,-115,112
12-09-2024,SF,MIL,0,3,0,MLB,usa/mlb/san-francisco-giants-milwaukee-brewers-IXdSRiTm/,115,-133,120,-130
11-09-2024,SF,MIL,13,2,1,MLB,usa/mlb/san-francisco-giants-milwaukee-brewers-vPbNOtJN/,-136,117,-127,122
10-09-2024,SF,MIL,2,3,0,MLB,usa/mlb/san-francisco-giants-milwaukee-brewers-xzJFg1Ic/,-101,-114,114,-110
08-09-2024,MIL,COL,1,4,0,MLB,usa/mlb/milwaukee-brewers-colorado-rockies-fgKldfvd/,-295,245,-278,256
07-09-2024,MIL,COL,5,2,1,MLB,usa/mlb/milwaukee-brewers-colorado-rockies-vJBubyRt/,-297,247,-278,264
06-09-2024,MIL,COL,2,3,0,MLB,usa/mlb/milwaukee-brewers-colorado-rockies-ITMv7W9B/,-234,197,-222,202
04-09-2024,MIL,STL,2,3,0,MLB,usa/mlb/milwaukee-brewers-st-louis-cardinals-lAO2Swxk/,-118,102,-114,106
03-09-2024,MIL,STL,4,7,0,MLB,usa/mlb/milwaukee-brewers-st-louis-cardinals-bNjhwej7/,-152,132,-149,140
02-09-2024,MIL,STL,9,3,1,MLB,usa/mlb/milwaukee-brewers-st-louis-cardinals-0ncMDySJ/,-165,143,-154,154
01-09-2024,CIN,MIL,4,3,1,MLB,usa/mlb/cincinnati-reds-milwaukee-brewers-KCeA2BJI/,111,-129,114,-125
31-08-2024,CIN,MIL,4,5,0,MLB,usa/mlb/cincinnati-reds-milwaukee-brewers-6ROBKqu4/,111,-130,117,-127
30-08-2024,CIN,MIL,0,14,0,MLB,usa/mlb/cincinnati-reds-milwaukee-brewers-MLJV9mrq/,-118,102,-115,108
30-08-2024,CIN,MIL,4,5,0,MLB,usa/mlb/cincinnati-reds-milwaukee-brewers-dpgIri7h/,-101,-114,102,-110
29-08-2024,MIL,SF,6,0,1,MLB,usa/mlb/milwaukee-brewers-san-francisco-giants-8lf4sS3E/,-128,111,-120,120
28-08-2024,MIL,SF,5,3,1,MLB,usa/mlb/milwaukee-brewers-san-francisco-giants-UJS9phGN/,-169,146,-161,154
27-08-2024,MIL,SF,4,5,0,MLB,usa/mlb/milwaukee-brewers-san-francisco-giants-GGAAFCFc/,-113,-103,-111,102
25-08-2024,OAK,MIL,4,3,1,MLB,usa/mlb/oakland-athletics-milwaukee-brewers-budl4wDD/,125,-145,131,-139
24-08-2024,OAK,MIL,5,9,0,MLB,usa/mlb/oakland-athletics-milwaukee-brewers-UZKtZcCm/,105,-122,108,-116
23-08-2024,OAK,MIL,3,11,0,MLB,usa/mlb/oakland-athletics-milwaukee-brewers-02NxS1MH/,-103,-113,100,-108
22-08-2024,STL,MIL,3,0,1,MLB,usa/mlb/st-louis-cardinals-milwaukee-brewers-fwKSpGSd/,108,-125,110,-118
21-08-2024,STL,MIL,10,6,1,MLB,usa/mlb/st-louis-cardinals-milwaukee-brewers-xMyJeXtF/,-118,102,-116,106
20-08-2024,STL,MIL,2,3,0,MLB,usa/mlb/st-louis-cardinals-milwaukee-brewers-Glfv1SIf/,-120,103,-116,106
18-08-2024,MIL,CLE,2,0,1,MLB,usa/mlb/milwaukee-brewers-cleveland-guardians-rLVgExgB/,-124,107,-119,110
17-08-2024,MIL,CLE,2,1,1,MLB,usa/mlb/milwaukee-brewers-cleveland-guardians-MmlFJXUj/,-124,107,-118,116
16-08-2024,MIL,CLE,5,3,1,MLB,usa/mlb/milwaukee-brewers-cleveland-guardians-AV5phhyG/,-107,-108,-103,-105
15-08-2024,MIL,LAD,6,4,1,MLB,usa/mlb/milwaukee-brewers-los-angeles-dodgers-fw05PsDm/,119,-139,125,-135
14-08-2024,MIL,LAD,5,4,1,MLB,usa/mlb/milwaukee-brewers-los-angeles-dodgers-MDJnxLdg/,-104,-111,100,-104
13-08-2024,MIL,LAD,2,7,0,MLB,usa/mlb/milwaukee-brewers-los-angeles-dodgers-A96woGuO/,-104,-111,-101,-108
12-08-2024,MIL,LAD,2,5,0,MLB,usa/mlb/milwaukee-brewers-los-angeles-dodgers-M5DZuObK/,-102,-113,104,-108
11-08-2024,MIL,CIN,3,4,0,MLB,usa/mlb/milwaukee-brewers-cincinnati-reds-rcaUUcjJ/,-128,110,-123,131
10-08-2024,MIL,CIN,1,0,1,MLB,usa/mlb/milwaukee-brewers-cincinnati-reds-QJJSmCdb/,-141,122,-135,129
09-08-2024,MIL,CIN,8,3,1,MLB,usa/mlb/milwaukee-brewers-cincinnati-reds-St3GtG6S/,-155,134,-149,141
08-08-2024,ATL,MIL,7,16,0,MLB,usa/mlb/atlanta-braves-milwaukee-brewers-hh2YniT1/,-129,111,-125,118
07-08-2024,ATL,MIL,5,8,0,MLB,usa/mlb/atlanta-braves-milwaukee-brewers-KC3O55Zt/,-168,145,-161,152
