team_1,team_2,score_1,score_2,game_url
SEA,OAK,6,4,usa/mlb/seattle-mariners-oakland-athletics-04trUDJT/
SEA,OAK,7,6,usa/mlb/seattle-mariners-oakland-athletics-C2YsaYI3/
SEA,OAK,2,0,usa/mlb/seattle-mariners-oakland-athletics-0pI5isHf/
HOU,SEA,1,8,usa/mlb/houston-astros-seattle-mariners-x6aqYbFt/
HOU,SEA,4,3,usa/mlb/houston-astros-seattle-mariners-0INyU7KM/
HOU,SEA,1,6,usa/mlb/houston-astros-seattle-mariners-KMf2pT43/
TEX,SEA,6,5,usa/mlb/texas-rangers-seattle-mariners-QmqevDaR/
TEX,SEA,4,8,usa/mlb/texas-rangers-seattle-mariners-QP6Gq8y7/
TEX,SEA,2,8,usa/mlb/texas-rangers-seattle-mariners-pQiB1tch/
SEA,NYY,3,2,usa/mlb/seattle-mariners-new-york-yankees-4lRmFaRi/
SEA,NYY,1,2,usa/mlb/seattle-mariners-new-york-yankees-tfrrPzeG/
SEA,NYY,2,11,usa/mlb/seattle-mariners-new-york-yankees-SOgbHqg7/
SEA,TEX,7,0,usa/mlb/seattle-mariners-texas-rangers-YPShfJjI/
SEA,TEX,5,4,usa/mlb/seattle-mariners-texas-rangers-rHqlctOd/
SEA,TEX,5,4,usa/mlb/seattle-mariners-texas-rangers-lIY4AjbD/
SEA,TEX,4,5,usa/mlb/seattle-mariners-texas-rangers-Uk9wPkD6/
SEA,SD,5,2,usa/mlb/seattle-mariners-san-diego-padres-A7kgJKto/
SEA,SD,3,7,usa/mlb/seattle-mariners-san-diego-padres-IqRNiumA/
STL,SEA,4,10,usa/mlb/st-louis-cardinals-seattle-mariners-IBNC09Vs/
STL,SEA,2,0,usa/mlb/st-louis-cardinals-seattle-mariners-M170gDuC/
STL,SEA,1,6,usa/mlb/st-louis-cardinals-seattle-mariners-M1k1OXvn/
OAK,SEA,4,6,usa/mlb/oakland-athletics-seattle-mariners-xhInzVwb/
OAK,SEA,3,16,usa/mlb/oakland-athletics-seattle-mariners-fmPbTJMr/
OAK,SEA,3,2,usa/mlb/oakland-athletics-seattle-mariners-40ilvyy1/
OAK,SEA,5,4,usa/mlb/oakland-athletics-seattle-mariners-nq9vkhkJ/
LAA,SEA,3,2,usa/mlb/los-angeles-angels-seattle-mariners-UuEX6QA4/
