team_1,team_2,score_1,score_2,game_url
CLE,IND,117,129,usa/nba/cleveland-cavaliers-indiana-pacers-tMtHNjP5/
CLE,CHI,112,116,usa/nba/cleveland-cavaliers-chicago-bulls-0QybYnMQ/
CLE,IND,100,93,usa/nba-las-vegas-summer-league/cleveland-cavaliers-indiana-pacers-tvKTEHn1/
CLE,LAL,89,93,usa/nba-las-vegas-summer-league/cleveland-cavaliers-los-angeles-lakers-dA6BRSE7/
CLE,GSW,85,96,usa/nba-las-vegas-summer-league/cleveland-cavaliers-golden-state-warriors-2wzzSy9j/
MIL,CLE,81,112,usa/nba-las-vegas-summer-league/milwaukee-bucks-cleveland-cavaliers-EFEA4mfS/
ORL,CLE,106,79,usa/nba-las-vegas-summer-league/orlando-magic-cleveland-cavaliers-h8bIwKkC/
BOS,CLE,113,98,usa/nba-2023-2024/boston-celtics-cleveland-cavaliers-lj28NK5j/
CLE,BOS,102,109,usa/nba-2023-2024/cleveland-cavaliers-boston-celtics-vcMXAHxR/
CLE,BOS,93,106,usa/nba-2023-2024/cleveland-cavaliers-boston-celtics-IsYOCw8E/
BOS,CLE,94,118,usa/nba-2023-2024/boston-celtics-cleveland-cavaliers-jytwkzG7/
BOS,CLE,120,95,usa/nba-2023-2024/boston-celtics-cleveland-cavaliers-WYPyidoe/
CLE,ORL,106,94,usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-EihMmTT9/
ORL,CLE,103,96,usa/nba-2023-2024/orlando-magic-cleveland-cavaliers-6sXxmCP8/
CLE,ORL,104,103,usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-AN71LTVG/
ORL,CLE,112,89,usa/nba-2023-2024/orlando-magic-cleveland-cavaliers-Y9fdUhnS/
ORL,CLE,121,83,usa/nba-2023-2024/orlando-magic-cleveland-cavaliers-vB1mWEHF/
CLE,ORL,96,86,usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-WpbuYzm3/
CLE,ORL,97,83,usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-p6Vq7s7E/
CLE,CHA,110,120,usa/nba-2023-2024/cleveland-cavaliers-charlotte-hornets-C0VrA75k/
CLE,IND,129,120,usa/nba-2023-2024/cleveland-cavaliers-indiana-pacers-pYZTFxxB/
CLE,MEM,110,98,usa/nba-2023-2024/cleveland-cavaliers-memphis-grizzlies-tvGABNpP/
LAC,CLE,120,118,usa/nba-2023-2024/los-angeles-clippers-cleveland-cavaliers-AeNlloXf/
LAL,CLE,116,97,usa/nba-2023-2024/los-angeles-lakers-cleveland-cavaliers-E7249e33/
PHX,CLE,122,101,usa/nba-2023-2024/phoenix-suns-cleveland-cavaliers-fq7dtcZG/
UTAH,CLE,113,129,usa/nba-2023-2024/utah-jazz-cleveland-cavaliers-2krJSw5H/
DEN,CLE,130,101,usa/nba-2023-2024/denver-nuggets-cleveland-cavaliers-xAceHk0l/
CLE,PHI,117,114,usa/nba-2023-2024/cleveland-cavaliers-philadelphia-76ers-AZwE4CGr/
