team_1,team_2,score_1,score_2,game_url
CLE,IND,117,129,usa/nba/cleveland-cavaliers-indiana-pacers-tMtHNjP5/
ATL,IND,131,130,usa/nba/atlanta-hawks-indiana-pacers-UuSTSQql/
CLE,IND,100,93,usa/nba-las-vegas-summer-league/cleveland-cavaliers-indiana-pacers-tvKTEHn1/
DEN,IND,86,71,usa/nba-las-vegas-summer-league/denver-nuggets-indiana-pacers-SWgEku1c/
PHX,IND,94,98,usa/nba-las-vegas-summer-league/phoenix-suns-indiana-pacers-IqPHTxNt/
IND,MIN,94,105,usa/nba-las-vegas-summer-league/indiana-pacers-minnesota-timberwolves-6R8lc5n2/
IND,BKN,95,97,usa/nba-las-vegas-summer-league/indiana-pacers-brooklyn-nets-SxFhuXQG/
IND,BOS,102,105,usa/nba-2023-2024/indiana-pacers-boston-celtics-jwigCJQO/
IND,BOS,111,114,usa/nba-2023-2024/indiana-pacers-boston-celtics-IPhoEudC/
BOS,IND,126,110,usa/nba-2023-2024/boston-celtics-indiana-pacers-xGpwG1Ra/
BOS,IND,133,128,usa/nba-2023-2024/boston-celtics-indiana-pacers-UksVHNdm/
NY,IND,109,130,usa/nba-2023-2024/new-york-knicks-indiana-pacers-SfhZgKEt/
IND,NY,116,103,usa/nba-2023-2024/indiana-pacers-new-york-knicks-Igzo14wH/
NY,IND,121,91,usa/nba-2023-2024/new-york-knicks-indiana-pacers-6kRuDu1b/
IND,NY,121,89,usa/nba-2023-2024/indiana-pacers-new-york-knicks-2RTpI9o1/
IND,NY,111,106,usa/nba-2023-2024/indiana-pacers-new-york-knicks-f1QxKVGl/
NY,IND,130,121,usa/nba-2023-2024/new-york-knicks-indiana-pacers-CtNDPigR/
NY,IND,121,117,usa/nba-2023-2024/new-york-knicks-indiana-pacers-vTO5RDOE/
IND,MIL,120,98,usa/nba-2023-2024/indiana-pacers-milwaukee-bucks-QL0flNVF/
MIL,IND,115,92,usa/nba-2023-2024/milwaukee-bucks-indiana-pacers-4dTtOD64/
IND,MIL,126,113,usa/nba-2023-2024/indiana-pacers-milwaukee-bucks-E3jSlZo2/
IND,MIL,121,118,usa/nba-2023-2024/indiana-pacers-milwaukee-bucks-IycJjeHk/
MIL,IND,108,125,usa/nba-2023-2024/milwaukee-bucks-indiana-pacers-M5BmdHgS/
MIL,IND,109,94,usa/nba-2023-2024/milwaukee-bucks-indiana-pacers-MXqko0pe/
IND,ATL,157,115,usa/nba-2023-2024/indiana-pacers-atlanta-hawks-6NUn9RKe/
CLE,IND,129,120,usa/nba-2023-2024/cleveland-cavaliers-indiana-pacers-pYZTFxxB/
TOR,IND,123,140,usa/nba-2023-2024/toronto-raptors-indiana-pacers-lv86jG9h/
IND,MIA,117,115,usa/nba-2023-2024/indiana-pacers-miami-heat-lnMhm5n1/
IND,OKC,126,112,usa/nba-2023-2024/indiana-pacers-oklahoma-city-thunder-hvZMdIJc/
BKN,IND,115,111,usa/nba-2023-2024/brooklyn-nets-indiana-pacers-KQEqqakb/
IND,BKN,133,111,usa/nba-2023-2024/indiana-pacers-brooklyn-nets-GIiqG0LB/
IND,LAL,109,90,usa/nba-2023-2024/indiana-pacers-los-angeles-lakers-bsuzCfO8/
CHI,IND,125,99,usa/nba-2023-2024/chicago-bulls-indiana-pacers-tpg4byf9/
LAC,IND,116,133,usa/nba-2023-2024/los-angeles-clippers-indiana-pacers-6RvMobA3/
LAL,IND,150,145,usa/nba-2023-2024/los-angeles-lakers-indiana-pacers-Gdrt2bwm/
GSW,IND,111,123,usa/nba-2023-2024/golden-state-warriors-indiana-pacers-xjZrYJO6/
DET,IND,103,122,usa/nba-2023-2024/detroit-pistons-indiana-pacers-O4OAVQ28/
IND,CLE,103,108,usa/nba-2023-2024/indiana-pacers-cleveland-cavaliers-Sv08DhsN/
IND,BKN,121,100,usa/nba-2023-2024/indiana-pacers-brooklyn-nets-67QDzJqC/
IND,CHI,129,132,usa/nba-2023-2024/indiana-pacers-chicago-bulls-6NlrdsJI/
OKC,IND,111,121,usa/nba-2023-2024/oklahoma-city-thunder-indiana-pacers-4GqK1oks/
ORL,IND,97,111,usa/nba-2023-2024/orlando-magic-indiana-pacers-bFv6fUsE/
IND,MIN,111,113,usa/nba-2023-2024/indiana-pacers-minnesota-timberwolves-4KJYOxhT/
DAL,IND,120,137,usa/nba-2023-2024/dallas-mavericks-indiana-pacers-jB6nDugH/
SA,IND,117,105,usa/nba-2023-2024/san-antonio-spurs-indiana-pacers-ll9d4pAn/
NO,IND,129,102,usa/nba-2023-2024/new-orleans-pelicans-indiana-pacers-Q7701Nx8/
IND,NO,123,114,usa/nba-2023-2024/indiana-pacers-new-orleans-pelicans-YFVVaA13/
IND,TOR,122,130,usa/nba-2023-2024/indiana-pacers-toronto-raptors-tl7M3HDb/
IND,DAL,133,111,usa/nba-2023-2024/indiana-pacers-dallas-mavericks-IRXjUIBI/
IND,DET,129,115,usa/nba-2023-2024/indiana-pacers-detroit-pistons-rFMI8pqr/
TOR,IND,125,127,usa/nba-2023-2024/toronto-raptors-indiana-pacers-6VE96JTu/
CHA,IND,111,102,usa/nba-2023-2024/charlotte-hornets-indiana-pacers-A5KfmwH4/
NY,IND,111,125,usa/nba-2023-2024/new-york-knicks-indiana-pacers-l688ZNY0/
IND,GSW,109,131,usa/nba-2023-2024/indiana-pacers-golden-state-warriors-prTmWryT/
IND,HOU,132,129,usa/nba-2023-2024/indiana-pacers-houston-rockets-8xCgM774/
CHA,IND,99,115,usa/nba-2023-2024/charlotte-hornets-indiana-pacers-YaaHMG1m/
IND,SAC,122,133,usa/nba-2023-2024/indiana-pacers-sacramento-kings-d0gEhxm7/
NY,IND,109,105,usa/nba-2023-2024/new-york-knicks-indiana-pacers-A3LQ1tQK/
BOS,IND,129,124,usa/nba-2023-2024/boston-celtics-indiana-pacers-l0ZdTLJe/
IND,MEM,116,110,usa/nba-2023-2024/indiana-pacers-memphis-grizzlies-ryCLwFyn/
IND,PHX,133,131,usa/nba-2023-2024/indiana-pacers-phoenix-suns-KOiSPRe6/
IND,PHI,134,122,usa/nba-2023-2024/indiana-pacers-philadelphia-76ers-OdxlC8R6/
IND,DEN,109,114,usa/nba-2023-2024/indiana-pacers-denver-nuggets-xKnVIJrM/
PHX,IND,117,110,usa/nba-2023-2024/phoenix-suns-indiana-pacers-UgNi50EM/
POR,IND,118,115,usa/nba-2023-2024/portland-trail-blazers-indiana-pacers-bZU5ePpb/
SAC,IND,121,126,usa/nba-2023-2024/sacramento-kings-indiana-pacers-r38ztpoB/
UTAH,IND,132,105,usa/nba-2023-2024/utah-jazz-indiana-pacers-zZnMQDu7/
DEN,IND,117,109,usa/nba-2023-2024/denver-nuggets-indiana-pacers-QTbZGxCr/
ATL,IND,108,126,usa/nba-2023-2024/atlanta-hawks-indiana-pacers-4xHT3VGd/
IND,WSH,112,104,usa/nba-2023-2024/indiana-pacers-washington-wizards-QgKAiXjg/
IND,BOS,133,131,usa/nba-2023-2024/indiana-pacers-boston-celtics-bROec2NE/
IND,BOS,101,118,usa/nba-2023-2024/indiana-pacers-boston-celtics-h8dVN1We/
IND,ATL,150,116,usa/nba-2023-2024/indiana-pacers-atlanta-hawks-M5sIGpPS/
IND,MIL,142,130,usa/nba-2023-2024/indiana-pacers-milwaukee-bucks-dbzN69e4/
MIL,IND,113,122,usa/nba-2023-2024/milwaukee-bucks-indiana-pacers-jwXECvSP/
IND,NY,140,126,usa/nba-2023-2024/indiana-pacers-new-york-knicks-OCGoxbjD/
CHI,IND,104,120,usa/nba-2023-2024/chicago-bulls-indiana-pacers-QsvLZ4UE/
HOU,IND,117,123,usa/nba-2023-2024/houston-rockets-indiana-pacers-6FbViRSo/
IND,ORL,110,117,usa/nba-2023-2024/indiana-pacers-orlando-magic-IHbJP8qg/
MEM,IND,116,103,usa/nba-2023-2024/memphis-grizzlies-indiana-pacers-8MX8JXMJ/
IND,CHA,144,113,usa/nba-2023-2024/indiana-pacers-charlotte-hornets-pWvrecv2/
IND,LAC,127,151,usa/nba-2023-2024/indiana-pacers-los-angeles-clippers-IFoLk22M/
MIN,IND,127,109,usa/nba-2023-2024/minnesota-timberwolves-indiana-pacers-ILlVt7Ji/
WSH,IND,137,123,usa/nba-2023-2024/washington-wizards-indiana-pacers-p8UiTmkh/
MIL,IND,140,126,usa/nba-2023-2024/milwaukee-bucks-indiana-pacers-0INeQQHD/
DET,IND,123,131,usa/nba-2023-2024/detroit-pistons-indiana-pacers-4GH4B36h/
LAL,IND,123,109,usa/nba-in-season-tournament/los-angeles-lakers-indiana-pacers-OQs6RxVk/
MIL,IND,119,128,usa/nba-2023-2024/milwaukee-bucks-indiana-pacers-8ruZkWKu/
IND,BOS,122,112,usa/nba-2023-2024/indiana-pacers-boston-celtics-jVQkl9KD/
MIA,IND,129,144,usa/nba-2023-2024/miami-heat-indiana-pacers-WnVYcpxg/
MIA,IND,142,132,usa/nba-2023-2024/miami-heat-indiana-pacers-COZQUo86/
IND,POR,110,114,usa/nba-2023-2024/indiana-pacers-portland-trail-blazers-UuIzKUgl/
IND,DET,136,113,usa/nba-2023-2024/indiana-pacers-detroit-pistons-QVaEVEkf/
IND,TOR,131,132,usa/nba-2023-2024/indiana-pacers-toronto-raptors-EwkoyZaL/
ATL,IND,152,157,usa/nba-2023-2024/atlanta-hawks-indiana-pacers-U365XzLs/
IND,ORL,116,128,usa/nba-2023-2024/indiana-pacers-orlando-magic-ddZz3H1a/
PHI,IND,126,132,usa/nba-2023-2024/philadelphia-76ers-indiana-pacers-0WQUjPL2/
PHI,IND,137,126,usa/nba-2023-2024/philadelphia-76ers-indiana-pacers-bPquy8Ck/
IND,MIL,126,124,usa/nba-2023-2024/indiana-pacers-milwaukee-bucks-fV1DM8cd/
IND,UTAH,134,118,usa/nba-2023-2024/indiana-pacers-utah-jazz-EDLcSwUH/
IND,SA,152,111,usa/nba-2023-2024/indiana-pacers-san-antonio-spurs-40g8HMFa/
IND,CHA,124,125,usa/nba-2023-2024/indiana-pacers-charlotte-hornets-bsFP651s/
IND,CLE,121,116,usa/nba-2023-2024/indiana-pacers-cleveland-cavaliers-j1qvU1Ek/
BOS,IND,155,104,usa/nba-2023-2024/boston-celtics-indiana-pacers-fiFFa6v8/
IND,CHI,105,112,usa/nba-2023-2024/indiana-pacers-chicago-bulls-SIzh7ctH/
CLE,IND,113,125,usa/nba-2023-2024/cleveland-cavaliers-indiana-pacers-tnpIfKdB/
IND,WSH,143,120,usa/nba-2023-2024/indiana-pacers-washington-wizards-Egw9jEa8/
IND,CLE,109,104,usa/nba-2023-2024/indiana-pacers-cleveland-cavaliers-xCCpqtTD/
IND,ATL,116,112,usa/nba-2023-2024/indiana-pacers-atlanta-hawks-pKMMpg4I/
HOU,IND,122,103,usa/nba-2023-2024/houston-rockets-indiana-pacers-6VEo60We/
MEM,IND,127,122,usa/nba-2023-2024/memphis-grizzlies-indiana-pacers-Stg2W2q8/
IND,DET,85,100,usa/nba-las-vegas-summer-league-2023/indiana-pacers-detroit-pistons-MZ89eGqn/
IND,DAL,91,112,usa/nba-las-vegas-summer-league-2023/indiana-pacers-dallas-mavericks-jRG8gqdG/
IND,OKC,87,98,usa/nba-las-vegas-summer-league-2023/indiana-pacers-oklahoma-city-thunder-SApFq8Si/
ORL,IND,85,108,usa/nba-las-vegas-summer-league-2023/orlando-magic-indiana-pacers-QofPQgMC/
WSH,IND,83,91,usa/nba-las-vegas-summer-league-2023/washington-wizards-indiana-pacers-K6YQHbwr/
NY,IND,136,141,usa/nba-2022-2023/new-york-knicks-indiana-pacers-rm8Yh54P/
IND,DET,115,122,usa/nba-2022-2023/indiana-pacers-detroit-pistons-2cYeM6Tm/
IND,NY,129,138,usa/nba-2022-2023/indiana-pacers-new-york-knicks-tMdtSy09/
CLE,IND,115,105,usa/nba-2022-2023/cleveland-cavaliers-indiana-pacers-21UuawWM/
IND,OKC,121,117,usa/nba-2022-2023/indiana-pacers-oklahoma-city-thunder-Sdu84Mpl/
IND,MIL,136,149,usa/nba-2022-2023/indiana-pacers-milwaukee-bucks-ImabboOE/
IND,DAL,104,127,usa/nba-2022-2023/indiana-pacers-dallas-mavericks-GOhUN4n2/
ATL,IND,143,130,usa/nba-2022-2023/atlanta-hawks-indiana-pacers-zmA2WyZ4/
BOS,IND,120,95,usa/nba-2022-2023/boston-celtics-indiana-pacers-2JNWII45/
TOR,IND,114,118,usa/nba-2022-2023/toronto-raptors-indiana-pacers-06PccKeB/
CHA,IND,115,109,usa/nba-2022-2023/charlotte-hornets-indiana-pacers-zVnP1QTD/
IND,PHI,121,141,usa/nba-2022-2023/indiana-pacers-philadelphia-76ers-nyT1vWVk/
MIL,IND,123,139,usa/nba-2022-2023/milwaukee-bucks-indiana-pacers-v7yjm6cN/
DET,IND,117,97,usa/nba-2022-2023/detroit-pistons-indiana-pacers-GYL8Gh4e/
DET,IND,115,121,usa/nba-2022-2023/detroit-pistons-indiana-pacers-2kSoOq64/
IND,HOU,134,125,usa/nba-2022-2023/indiana-pacers-houston-rockets-f3m3DSin/
IND,PHI,143,147,usa/nba-2022-2023/indiana-pacers-philadelphia-76ers-0MarmWws/
CHI,IND,122,125,usa/nba-2022-2023/chicago-bulls-indiana-pacers-fNBujafL/
SA,IND,110,99,usa/nba-2022-2023/san-antonio-spurs-indiana-pacers-fmeWOMeM/
DAL,IND,122,124,usa/nba-2022-2023/dallas-mavericks-indiana-pacers-QmuYFRCi/
ORL,IND,108,121,usa/nba-2022-2023/orlando-magic-indiana-pacers-xjX6aoBD/
IND,BOS,138,142,usa/nba-2022-2023/indiana-pacers-boston-celtics-x8QxdC4L/
IND,CHI,117,113,usa/nba-2022-2023/indiana-pacers-chicago-bulls-rV6laNEo/
IND,UTAH,117,123,usa/nba-2022-2023/indiana-pacers-utah-jazz-I54kU2FB/
WSH,IND,127,113,usa/nba-2022-2023/washington-wizards-indiana-pacers-MwkBGqoC/
IND,PHX,104,117,usa/nba-2022-2023/indiana-pacers-phoenix-suns-EiAS5SWg/
MIA,IND,116,111,usa/nba-2022-2023/miami-heat-indiana-pacers-dGNwgUVj/
IND,CLE,103,122,usa/nba-2022-2023/indiana-pacers-cleveland-cavaliers-YaogotYC/
IND,SAC,107,104,usa/nba-2022-2023/indiana-pacers-sacramento-kings-C8ZOs7RK/
IND,LAL,111,112,usa/nba-2022-2023/indiana-pacers-los-angeles-lakers-Y1ncT7CR/
MEM,IND,112,100,usa/nba-2022-2023/memphis-grizzlies-indiana-pacers-n9QJJuwn/
IND,MIL,131,141,usa/nba-2022-2023/indiana-pacers-milwaukee-bucks-xO2Nk1O5/
ORL,IND,126,120,usa/nba-2022-2023/orlando-magic-indiana-pacers-boNb1w6K/
IND,CHI,116,110,usa/nba-2022-2023/indiana-pacers-chicago-bulls-Qyuhrbar/
PHX,IND,112,107,usa/nba-2022-2023/phoenix-suns-indiana-pacers-Q3ufR5Oj/
DEN,IND,134,111,usa/nba-2022-2023/denver-nuggets-indiana-pacers-jN8bxWWi/
OKC,IND,126,106,usa/nba-2022-2023/oklahoma-city-thunder-indiana-pacers-0v136VnO/
MIL,IND,132,119,usa/nba-2022-2023/milwaukee-bucks-indiana-pacers-6c5rF2ZQ/
IND,MEM,112,130,usa/nba-2022-2023/indiana-pacers-memphis-grizzlies-Igvk5R52/
IND,ATL,111,113,usa/nba-2022-2023/indiana-pacers-atlanta-hawks-8OK6hlMd/
NY,IND,119,113,usa/nba-2022-2023/new-york-knicks-indiana-pacers-jDgLzvpC/
IND,CHA,116,111,usa/nba-2022-2023/indiana-pacers-charlotte-hornets-UFjTp3jM/
IND,POR,108,99,usa/nba-2022-2023/indiana-pacers-portland-trail-blazers-bcwqE4Fp/
PHI,IND,129,126,usa/nba-2022-2023/philadelphia-76ers-indiana-pacers-IucTJZo6/
IND,TOR,122,114,usa/nba-2022-2023/indiana-pacers-toronto-raptors-bcLAoebU/
IND,LAC,131,130,usa/nba-2022-2023/indiana-pacers-los-angeles-clippers-jVMxtK31/
IND,CLE,135,126,usa/nba-2022-2023/indiana-pacers-cleveland-cavaliers-b1TfV2kq/
IND,ATL,129,114,usa/nba-2022-2023/indiana-pacers-atlanta-hawks-SffSwzxn/
NO,IND,113,93,usa/nba-2022-2023/new-orleans-pelicans-indiana-pacers-rkD2NEi5/
MIA,IND,108,111,usa/nba-2022-2023/miami-heat-indiana-pacers-OOI3A7dJ/
BOS,IND,112,117,usa/nba-2022-2023/boston-celtics-indiana-pacers-MwVyJvqM/
IND,NY,106,109,usa/nba-2022-2023/indiana-pacers-new-york-knicks-tQGGf404/
CLE,IND,118,112,usa/nba-2022-2023/cleveland-cavaliers-indiana-pacers-p0hExWvJ/
IND,GSW,125,119,usa/nba-2022-2023/indiana-pacers-golden-state-warriors-Kfd6NaZE/
IND,MIA,82,87,usa/nba-2022-2023/indiana-pacers-miami-heat-8x4z4jHd/
IND,BKN,133,136,usa/nba-2022-2023/indiana-pacers-brooklyn-nets-EHJGA1YB/
IND,WSH,121,111,usa/nba-2022-2023/indiana-pacers-washington-wizards-tlXpcr4C/
MIN,IND,121,115,usa/nba-2022-2023/minnesota-timberwolves-indiana-pacers-GncCrqkJ/
GSW,IND,104,112,usa/nba-2022-2023/golden-state-warriors-indiana-pacers-QcrUV55D/
POR,IND,116,100,usa/nba-2022-2023/portland-trail-blazers-indiana-pacers-EeQygx79/
UTAH,IND,139,119,usa/nba-2022-2023/utah-jazz-indiana-pacers-lv2uPchT/
SAC,IND,137,114,usa/nba-2022-2023/sacramento-kings-indiana-pacers-KblgD0gH/
LAL,IND,115,116,usa/nba-2022-2023/los-angeles-lakers-indiana-pacers-IiJe45An/
LAC,IND,114,100,usa/nba-2022-2023/los-angeles-clippers-indiana-pacers-21na348e/
IND,BKN,128,117,usa/nba-2022-2023/indiana-pacers-brooklyn-nets-dtuZbkH9/
IND,MIN,101,115,usa/nba-2022-2023/indiana-pacers-minnesota-timberwolves-0v78PlQj/
IND,ORL,123,102,usa/nba-2022-2023/indiana-pacers-orlando-magic-GUHkWas6/
IND,ORL,114,113,usa/nba-2022-2023/indiana-pacers-orlando-magic-jNAfMODs/
HOU,IND,91,99,usa/nba-2022-2023/houston-rockets-indiana-pacers-8UcY6qEf/
CHA,IND,113,125,usa/nba-2022-2023/charlotte-hornets-indiana-pacers-QqFlj0Xo/
