team_1,team_2,score_1,score_2,game_url
CHA,MIA,111,108,usa/nba/charlotte-hornets-miami-heat-vBmkz9iE/
MIA,MEM,120,118,usa/nba-las-vegas-summer-league/miami-heat-memphis-grizzlies-tb0Km44M/
MIA,GSW,102,99,usa/nba-las-vegas-summer-league/miami-heat-golden-state-warriors-W6eNBizh/
MIA,TOR,109,73,usa/nba-las-vegas-summer-league/miami-heat-toronto-raptors-4IQ074Sa/
DAL,MIA,79,92,usa/nba-las-vegas-summer-league/dallas-mavericks-miami-heat-dxVLKK1N/
MIA,OKC,102,73,usa/nba-las-vegas-summer-league/miami-heat-oklahoma-city-thunder-hrXV9rW7/
BOS,MIA,114,119,usa/nba-las-vegas-summer-league/boston-celtics-miami-heat-vc0SiAAM/
LAL,MIA,76,80,usa/california-classic/los-angeles-lakers-miami-heat-OfLyxuYO/
SAC,MIA,86,102,usa/california-classic/sacramento-kings-miami-heat-lEltm5tQ/
GSW,MIA,105,66,usa/california-classic/golden-state-warriors-miami-heat-GAgnRNJ6/
BOS,MIA,118,84,usa/nba-2023-2024/boston-celtics-miami-heat-repuKinJ/
MIA,BOS,88,102,usa/nba-2023-2024/miami-heat-boston-celtics-xtdtbE3e/
MIA,BOS,84,104,usa/nba-2023-2024/miami-heat-boston-celtics-4ErZazZr/
BOS,MIA,101,111,usa/nba-2023-2024/boston-celtics-miami-heat-Kt725dBL/
BOS,MIA,114,94,usa/nba-2023-2024/boston-celtics-miami-heat-CG3f7It9/
MIA,CHI,112,91,usa/nba-2023-2024/miami-heat-chicago-bulls-QwG418yo/
PHI,MIA,105,104,usa/nba-2023-2024/philadelphia-76ers-miami-heat-I3Do4aYq/
MIA,TOR,118,103,usa/nba-2023-2024/miami-heat-toronto-raptors-zeAImEgB/
MIA,TOR,125,103,usa/nba-2023-2024/miami-heat-toronto-raptors-Mi6Elfv5/
MIA,DAL,92,111,usa/nba-2023-2024/miami-heat-dallas-mavericks-0Ods618n/
ATL,MIA,111,117,usa/nba-2023-2024/atlanta-hawks-miami-heat-f50ybM0J/
IND,MIA,117,115,usa/nba-2023-2024/indiana-pacers-miami-heat-lnMhm5n1/
HOU,MIA,104,119,usa/nba-2023-2024/houston-rockets-miami-heat-MJQwgzJM/
MIA,PHI,105,109,usa/nba-2023-2024/miami-heat-philadelphia-76ers-l660uHlN/
MIA,NY,109,99,usa/nba-2023-2024/miami-heat-new-york-knicks-Y9j2WL5h/
WSH,MIA,107,119,usa/nba-2023-2024/washington-wizards-miami-heat-Sbj8Emp7/
MIA,POR,142,82,usa/nba-2023-2024/miami-heat-portland-trail-blazers-4dwI3WVl/
MIA,GSW,92,113,usa/nba-2023-2024/miami-heat-golden-state-warriors-pIwQpIP9/
MIA,CLE,121,84,usa/nba-2023-2024/miami-heat-cleveland-cavaliers-r9DRrywP/
MIA,NO,88,111,usa/nba-2023-2024/miami-heat-new-orleans-pelicans-2XtWzMvl/
CLE,MIA,104,107,usa/nba-2023-2024/cleveland-cavaliers-miami-heat-MapS6sQ7/
PHI,MIA,98,91,usa/nba-2023-2024/philadelphia-76ers-miami-heat-nPtu8W4p/
DET,MIA,101,104,usa/nba-2023-2024/detroit-pistons-miami-heat-fioilxEB/
DET,MIA,95,108,usa/nba-2023-2024/detroit-pistons-miami-heat-vsGgusVt/
MIA,DEN,88,100,usa/nba-2023-2024/miami-heat-denver-nuggets-pEmne1YO/
MIA,WSH,108,110,usa/nba-2023-2024/miami-heat-washington-wizards-r7dJWQk7/
OKC,MIA,107,100,usa/nba-2023-2024/oklahoma-city-thunder-miami-heat-E7pwYFUq/
DAL,MIA,114,108,usa/nba-2023-2024/dallas-mavericks-miami-heat-z360Kd0p/
MIA,DET,118,110,usa/nba-2023-2024/miami-heat-detroit-pistons-0MDZFs9b/
MIA,UTAH,126,120,usa/nba-2023-2024/miami-heat-utah-jazz-fmVh7DQQ/
DEN,MIA,103,97,usa/nba-2023-2024/denver-nuggets-miami-heat-Sb6AB70F/
POR,MIA,96,106,usa/nba-2023-2024/portland-trail-blazers-miami-heat-KCRR0jnc/
