date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
21-07-2024,MIN,ORL,115,100,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/minnesota-timberwolves-orlando-magic-pCQKGwIl/,-136,106,-132,121
18-07-2024,HOU,MIN,83,93,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/houston-rockets-minnesota-timberwolves-pWn6mAyR/,-139,108,-130,122
16-07-2024,MIN,PHI,90,92,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/minnesota-timberwolves-philadelphia-76ers-zaSlMCLU/,-259,193,-222,204
14-07-2024,IND,MIN,94,105,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/indiana-pacers-minnesota-timberwolves-6R8lc5n2/,120,-158,129,-149
12-07-2024,MIN,NO,81,74,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/minnesota-timberwolves-new-orleans-pelicans-rkukLBZp/,-221,165,-208,175
30-05-2024,MIN,DAL,103,124,0,NBA_2023/2024,usa/nba-2023-2024/minnesota-timberwolves-dallas-mavericks-2V13yfaE/,-200,164,-189,173
28-05-2024,DAL,MIN,100,105,0,NBA_2023/2024,usa/nba-2023-2024/dallas-mavericks-minnesota-timberwolves-tQzVri13/,-117,100,-112,104
26-05-2024,DAL,MIN,116,107,1,NBA_2023/2024,usa/nba-2023-2024/dallas-mavericks-minnesota-timberwolves-QHhrLm9d/,-119,100,-115,104
24-05-2024,MIN,DAL,108,109,0,NBA_2023/2024,usa/nba-2023-2024/minnesota-timberwolves-dallas-mavericks-IikzN9vp/,-250,204,-213,212
22-05-2024,MIN,DAL,105,108,0,NBA_2023/2024,usa/nba-2023-2024/minnesota-timberwolves-dallas-mavericks-b3x2uIfB/,-198,162,-189,175
19-05-2024,DEN,MIN,90,98,0,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-minnesota-timberwolves-vJHjMg0m/,-193,160,-179,170
16-05-2024,MIN,DEN,115,70,1,NBA_2023/2024,usa/nba-2023-2024/minnesota-timberwolves-denver-nuggets-UDcZnEI6/,-131,110,-120,117
