date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
21-07-2024,MIN,ORL,115,100,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/minnesota-timberwolves-orlando-magic-pCQKGwIl/,-136,106,-132,121
18-07-2024,BKN,ORL,102,100,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/brooklyn-nets-orlando-magic-2BD2Tlpe/,113,-146,125,-135
17-07-2024,ORL,MEM,98,104,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/orlando-magic-memphis-grizzlies-2Fimytn4/,133,-173,140,-159
14-07-2024,NO,ORL,86,91,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/new-orleans-pelicans-orlando-magic-fmkqJn9L/,220,-302,231,-278
12-07-2024,ORL,CLE,106,79,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/orlando-magic-cleveland-cavaliers-h8bIwKkC/,-208,157,-196,175
05-05-2024,CLE,ORL,106,94,1,NBA_2023/2024,usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-EihMmTT9/,-160,132,-154,145
03-05-2024,ORL,CLE,103,96,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-cleveland-cavaliers-6sXxmCP8/,-184,153,-167,162
30-04-2024,CLE,ORL,104,103,1,NBA_2023/2024,usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-AN71LTVG/,-185,154,-172,172
27-04-2024,ORL,CLE,112,89,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-cleveland-cavaliers-Y9fdUhnS/,-136,115,-125,125
25-04-2024,ORL,CLE,121,83,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-cleveland-cavaliers-vB1mWEHF/,-147,123,-133,135
22-04-2024,CLE,ORL,96,86,1,NBA_2023/2024,usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-WpbuYzm3/,-206,170,-192,192
20-04-2024,CLE,ORL,97,83,1,NBA_2023/2024,usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-p6Vq7s7E/,-220,179,-208,200
14-04-2024,ORL,MIL,113,88,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-milwaukee-bucks-MVCZWUC2/,-226,184,-213,202
12-04-2024,PHI,ORL,125,113,1,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-orlando-magic-nuLOIvhh/,-246,199,-222,220
10-04-2024,MIL,ORL,117,99,1,NBA_2023/2024,usa/nba-2023-2024/milwaukee-bucks-orlando-magic-vFeo5LNh/,104,-124,110,-115
09-04-2024,HOU,ORL,118,106,1,NBA_2023/2024,usa/nba-2023-2024/houston-rockets-orlando-magic-OOSagOOt/,120,-143,131,-128
07-04-2024,ORL,CHI,113,98,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-chicago-bulls-MiQyASgE/,-282,227,-270,240
05-04-2024,CHA,ORL,124,115,1,NBA_2023/2024,usa/nba-2023-2024/charlotte-hornets-orlando-magic-EmzJcb4i/,509,-722,555,-625
03-04-2024,NO,ORL,108,117,0,NBA_2023/2024,usa/nba-2023-2024/new-orleans-pelicans-orlando-magic-Gh8hswKA/,-195,161,-185,170
01-04-2024,ORL,POR,104,103,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-portland-trail-blazers-f9jmFKzI/,-1912,1012,-1667,1116
30-03-2024,ORL,MEM,118,88,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-memphis-grizzlies-SzCPMBxR/,-823,559,-714,604
29-03-2024,ORL,LAC,97,100,0,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-los-angeles-clippers-SGqvBEwF/,105,-123,110,-118
27-03-2024,ORL,GSW,93,101,0,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-golden-state-warriors-hOC9xfXk/,-172,143,-161,154
23-03-2024,ORL,SAC,107,109,0,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-sacramento-kings-lnxWg1oQ/,-143,120,-139,127
21-03-2024,ORL,NO,121,106,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-new-orleans-pelicans-2J1cMMPf/,116,-137,125,-133
19-03-2024,ORL,CHA,112,92,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-charlotte-hornets-trQsSidG/,-855,573,-769,625
17-03-2024,ORL,TOR,111,96,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-toronto-raptors-S4V3Gfc4/,-643,456,-588,476
15-03-2024,TOR,ORL,103,113,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-orlando-magic-lEWaHzrb/,253,-318,270,-286
13-03-2024,ORL,BKN,114,106,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-brooklyn-nets-C0kvcN3C/,-239,194,-227,208
10-03-2024,ORL,IND,97,111,0,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-indiana-pacers-bFv6fUsE/,-105,-110,104,-106
08-03-2024,NY,ORL,98,74,1,NBA_2023/2024,usa/nba-2023-2024/new-york-knicks-orlando-magic-bsu8wx7M/,-136,115,-127,125
06-03-2024,WSH,ORL,109,119,0,NBA_2023/2024,usa/nba-2023-2024/washington-wizards-orlando-magic-CQfeBJNT/,214,-268,238,-244
05-03-2024,CHA,ORL,89,101,0,NBA_2023/2024,usa/nba-2023-2024/charlotte-hornets-orlando-magic-E5BNIqPu/,285,-362,300,-345
03-03-2024,ORL,DET,113,91,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-detroit-pistons-dGiOMhQD/,-604,426,-526,509
29-02-2024,ORL,UTAH,115,107,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-utah-jazz-dEzBj6Ok/,-265,214,-238,240
27-02-2024,ORL,BKN,108,81,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-brooklyn-nets-OpCmmXHc/,-255,204,-222,225
25-02-2024,ATL,ORL,109,92,1,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-orlando-magic-YZFwhM3P/,-128,108,-123,114
24-02-2024,DET,ORL,109,112,0,NBA_2023/2024,usa/nba-2023-2024/detroit-pistons-orlando-magic-MuxWYtcm/,262,-341,303,-323
22-02-2024,CLE,ORL,109,116,0,NBA_2023/2024,usa/nba-2023-2024/cleveland-cavaliers-orlando-magic-QZZjDQzR/,-231,187,-204,234
14-02-2024,ORL,NY,118,100,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-new-york-knicks-GtreGyoi/,-159,134,-152,145
