date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
21-07-2024,BOS,PHI,98,103,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/boston-celtics-philadelphia-76ers-Uq6qOtsC/,119,-154,131,-145
19-07-2024,SA,PHI,80,96,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/san-antonio-spurs-philadelphia-76ers-zPgBdmEs/,105,-136,120,-120
16-07-2024,MIN,PHI,90,92,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/minnesota-timberwolves-philadelphia-76ers-zaSlMCLU/,-259,193,-222,204
15-07-2024,PHI,POR,95,97,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/philadelphia-76ers-portland-trail-blazers-buhiDHx0/,-247,181,-233,190
13-07-2024,PHI,DET,94,81,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/philadelphia-76ers-detroit-pistons-dEtanlYq/,-216,161,-200,179
10-07-2024,UTAH,PHI,93,85,1,NBA_Salt_Lake_City_Summer_League,usa/nba-salt-lake-city-summer-league/utah-jazz-philadelphia-76ers-UVdN6BfD/,-305,221,-270,243
09-07-2024,PHI,MEM,85,87,0,NBA_Salt_Lake_City_Summer_League,usa/nba-salt-lake-city-summer-league/philadelphia-76ers-memphis-grizzlies-t6OZFFXQ/,-129,102,-111,150
08-07-2024,PHI,OKC,102,92,1,NBA_Salt_Lake_City_Summer_League,usa/nba-salt-lake-city-summer-league/philadelphia-76ers-oklahoma-city-thunder-YkOufYA7/,-216,163,-196,185
02-05-2024,PHI,NY,115,118,0,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-new-york-knicks-Ua0r3Puo/,-153,128,-145,135
30-04-2024,NY,PHI,106,112,0,NBA_2023/2024,usa/nba-2023-2024/new-york-knicks-philadelphia-76ers-UoyqUcEl/,-174,145,-156,154
28-04-2024,PHI,NY,92,97,0,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-new-york-knicks-CK78vhSP/,-205,170,-192,192
25-04-2024,PHI,NY,125,114,1,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-new-york-knicks-KQKMGlzJ/,-237,192,-222,204
22-04-2024,NY,PHI,104,101,1,NBA_2023/2024,usa/nba-2023-2024/new-york-knicks-philadelphia-76ers-ObRDIA56/,-181,150,-167,161
20-04-2024,NY,PHI,111,104,1,NBA_2023/2024,usa/nba-2023-2024/new-york-knicks-philadelphia-76ers-QNFGHB8a/,-190,158,-182,170
17-04-2024,PHI,MIA,105,104,1,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-miami-heat-I3Do4aYq/,-221,180,-208,195
14-04-2024,PHI,BKN,107,86,1,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-brooklyn-nets-0MBwWlS8/,-778,545,-667,620
12-04-2024,PHI,ORL,125,113,1,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-orlando-magic-nuLOIvhh/,-246,199,-222,220
09-04-2024,PHI,DET,120,102,1,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-detroit-pistons-GE1Xb2oD/,-1238,750,-1000,850
07-04-2024,SA,PHI,126,133,0,NBA_2023/2024,usa/nba-2023-2024/san-antonio-spurs-philadelphia-76ers-KS5C3QWs/,143,-170,156,-164
06-04-2024,MEM,PHI,96,116,0,NBA_2023/2024,usa/nba-2023-2024/memphis-grizzlies-philadelphia-76ers-MX5C7ZXF/,729,-1171,800,-1000
04-04-2024,MIA,PHI,105,109,0,NBA_2023/2024,usa/nba-2023-2024/miami-heat-philadelphia-76ers-l660uHlN/,-147,125,-141,133
02-04-2024,PHI,OKC,109,105,1,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-oklahoma-city-thunder-SdL1Ysyt/,-145,123,-133,136
31-03-2024,TOR,PHI,120,135,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-philadelphia-76ers-ny9sn1I6/,319,-410,359,-357
29-03-2024,CLE,PHI,117,114,1,NBA_2023/2024,usa/nba-2023-2024/cleveland-cavaliers-philadelphia-76ers-AZwE4CGr/,-269,218,-244,240
27-03-2024,PHI,LAC,107,108,0,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-los-angeles-clippers-bL3aaHv3/,206,-254,222,-238
25-03-2024,SAC,PHI,108,96,1,NBA_2023/2024,usa/nba-2023-2024/sacramento-kings-philadelphia-76ers-C4uInvec/,-295,236,-278,257
24-03-2024,LAC,PHI,107,121,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-clippers-philadelphia-76ers-WY9NqHNI/,-393,301,-370,325
22-03-2024,LAL,PHI,101,94,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-philadelphia-76ers-A3XjWcgJ/,-316,251,-294,267
20-03-2024,PHX,PHI,115,102,1,NBA_2023/2024,usa/nba-2023-2024/phoenix-suns-philadelphia-76ers-fgbkOrer/,-411,316,-370,350
18-03-2024,PHI,MIA,98,91,1,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-miami-heat-nPtu8W4p/,-145,123,-137,131
16-03-2024,PHI,CHA,109,98,1,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-charlotte-hornets-0UPHZxaI/,-476,359,-417,400
14-03-2024,MIL,PHI,114,105,1,NBA_2023/2024,usa/nba-2023-2024/milwaukee-bucks-philadelphia-76ers-hnBZZog1/,-299,237,-278,252
12-03-2024,NY,PHI,106,79,1,NBA_2023/2024,usa/nba-2023-2024/new-york-knicks-philadelphia-76ers-pW2m77RJ/,-225,185,-217,200
10-03-2024,NY,PHI,73,79,0,NBA_2023/2024,usa/nba-2023-2024/new-york-knicks-philadelphia-76ers-dA0NVp5D/,-276,223,-256,240
08-03-2024,PHI,NO,95,103,0,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-new-orleans-pelicans-OOnetvN3/,256,-321,270,-294
06-03-2024,PHI,MEM,109,115,0,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-memphis-grizzlies-0MZ4VM8o/,-173,146,-169,152
05-03-2024,BKN,PHI,112,107,1,NBA_2023/2024,usa/nba-2023-2024/brooklyn-nets-philadelphia-76ers-nJ9VGNgh/,-105,-111,-101,-105
03-03-2024,DAL,PHI,116,120,0,NBA_2023/2024,usa/nba-2023-2024/dallas-mavericks-philadelphia-76ers-noAXaVI0/,-327,254,-294,267
01-03-2024,PHI,CHA,121,114,1,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-charlotte-hornets-MFAq55wq/,-692,472,-588,538
27-02-2024,BOS,PHI,117,99,1,NBA_2023/2024,usa/nba-2023-2024/boston-celtics-philadelphia-76ers-EZ40pV1G/,-643,444,-588,475
25-02-2024,PHI,MIL,98,119,0,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-milwaukee-bucks-CUUrWvs6/,165,-196,175,-175
23-02-2024,PHI,CLE,104,97,1,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-cleveland-cavaliers-4rj0LNSm/,109,-130,117,-125
22-02-2024,PHI,NY,96,110,0,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-new-york-knicks-M5LM74bl/,-121,100,-114,110
14-02-2024,PHI,MIA,104,109,0,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-miami-heat-SGoaFe0c/,-140,118,-133,127
12-02-2024,CLE,PHI,121,123,0,NBA_2023/2024,usa/nba-2023-2024/cleveland-cavaliers-philadelphia-76ers-ldJbncWA/,-645,455,-588,500
10-02-2024,WSH,PHI,113,119,0,NBA_2023/2024,usa/nba-2023-2024/washington-wizards-philadelphia-76ers-hvFayp4l/,175,-216,183,-204
09-02-2024,PHI,ATL,121,127,0,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-atlanta-hawks-462Qq25S/,135,-160,152,-152
07-02-2024,PHI,GSW,104,127,0,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-golden-state-warriors-A5YOym7i/,129,-155,140,-141
05-02-2024,PHI,DAL,102,118,0,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-dallas-mavericks-AqclP9No/,121,-145,133,-137
03-02-2024,PHI,BKN,121,136,0,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-brooklyn-nets-feLv9cXm/,-129,109,-112,125
01-02-2024,UTAH,PHI,124,127,0,NBA_2023/2024,usa/nba-2023-2024/utah-jazz-philadelphia-76ers-lfKU00uR/,-188,159,-172,172
30-01-2024,GSW,PHI,119,107,1,NBA_2023/2024,usa/nba-2023-2024/golden-state-warriors-philadelphia-76ers-G6RriPB2/,-132,112,-114,150
29-01-2024,POR,PHI,130,104,1,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-philadelphia-76ers-f1tlVskq/,180,-222,200,-196
27-01-2024,DEN,PHI,111,105,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-philadelphia-76ers-IZymPFMh/,-345,257,-286,284
25-01-2024,IND,PHI,134,122,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-philadelphia-76ers-OdxlC8R6/,142,-169,150,-161
22-01-2024,PHI,SA,133,123,1,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-san-antonio-spurs-Mi2WcI6d/,-894,618,-769,700
20-01-2024,CHA,PHI,89,97,0,NBA_2023/2024,usa/nba-2023-2024/charlotte-hornets-philadelphia-76ers-UXoHhNUG/,467,-659,525,-500
19-01-2024,ORL,PHI,109,124,0,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-philadelphia-76ers-UJ6rvOFN/,168,-204,175,-192
16-01-2024,PHI,DEN,126,121,1,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-denver-nuggets-SSZ7lHXD/,-124,106,-118,110
15-01-2024,PHI,HOU,124,115,1,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-houston-rockets-UcZYyvl8/,-340,272,-303,292
12-01-2024,PHI,SAC,112,93,1,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-sacramento-kings-QoIP4B1j/,-110,-106,-103,-103
10-01-2024,ATL,PHI,139,132,1,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-philadelphia-76ers-YJJEji6a/,-114,-102,-111,106
06-01-2024,PHI,UTAH,109,120,0,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-utah-jazz-KElHo5O2/,-261,214,-238,294
