team_1,team_2,score_1,score_2,game_url
PHX,DET,91,109,usa/nba/phoenix-suns-detroit-pistons-0MRBuPpi/
DET,PHX,97,105,usa/nba/detroit-pistons-phoenix-suns-t01N4NLM/
LAL,PHX,114,118,usa/nba/los-angeles-lakers-phoenix-suns-hvcFNV78/
SAC,PHX,87,77,usa/nba-las-vegas-summer-league/sacramento-kings-phoenix-suns-8UHzQ2Ca/
PHX,MIL,115,90,usa/nba-las-vegas-summer-league/phoenix-suns-milwaukee-bucks-GEwxrlal/
OKC,PHX,99,100,usa/nba-las-vegas-summer-league/oklahoma-city-thunder-phoenix-suns-AueeZJGG/
PHX,IND,94,98,usa/nba-las-vegas-summer-league/phoenix-suns-indiana-pacers-IqPHTxNt/
GSW,PHX,90,73,usa/nba-las-vegas-summer-league/golden-state-warriors-phoenix-suns-h0Q169PF/
PHX,MIN,116,122,usa/nba-2023-2024/phoenix-suns-minnesota-timberwolves-48ijj4qS/
PHX,MIN,109,126,usa/nba-2023-2024/phoenix-suns-minnesota-timberwolves-IigrhQEF/
MIN,PHX,105,93,usa/nba-2023-2024/minnesota-timberwolves-phoenix-suns-dx5Zgnp3/
MIN,PHX,120,95,usa/nba-2023-2024/minnesota-timberwolves-phoenix-suns-IawbqvF7/
MIN,PHX,106,125,usa/nba-2023-2024/minnesota-timberwolves-phoenix-suns-nwAoUSdL/
SAC,PHX,107,108,usa/nba-2023-2024/sacramento-kings-phoenix-suns-hGlCFTsS/
LAC,PHX,108,124,usa/nba-2023-2024/los-angeles-clippers-phoenix-suns-Szlb2J7B/
PHX,LAC,92,105,usa/nba-2023-2024/phoenix-suns-los-angeles-clippers-EXNOmKhI/
PHX,NO,105,113,usa/nba-2023-2024/phoenix-suns-new-orleans-pelicans-zeUu9n9K/
PHX,MIN,97,87,usa/nba-2023-2024/phoenix-suns-minnesota-timberwolves-YBPHohBd/
PHX,CLE,122,101,usa/nba-2023-2024/phoenix-suns-cleveland-cavaliers-fq7dtcZG/
NO,PHX,111,124,usa/nba-2023-2024/new-orleans-pelicans-phoenix-suns-jypdDb5U/
OKC,PHX,128,103,usa/nba-2023-2024/oklahoma-city-thunder-phoenix-suns-rmxM2joe/
DEN,PHX,97,104,usa/nba-2023-2024/denver-nuggets-phoenix-suns-ALbujD1k/
SA,PHX,104,102,usa/nba-2023-2024/san-antonio-spurs-phoenix-suns-GxCTu8Mp/
SA,PHX,106,131,usa/nba-2023-2024/san-antonio-spurs-phoenix-suns-tpHAnJw0/
PHX,ATL,128,115,usa/nba-2023-2024/phoenix-suns-atlanta-hawks-Wlj0trHQ/
PHX,PHI,115,102,usa/nba-2023-2024/phoenix-suns-philadelphia-76ers-fgbkOrer/
MIL,PHX,140,129,usa/nba-2023-2024/milwaukee-bucks-phoenix-suns-nRomkIb5/
CHA,PHX,96,107,usa/nba-2023-2024/charlotte-hornets-phoenix-suns-bq2Pd90E/
BOS,PHX,127,112,usa/nba-2023-2024/boston-celtics-phoenix-suns-vNeUxl9r/
CLE,PHX,111,117,usa/nba-2023-2024/cleveland-cavaliers-phoenix-suns-dAMhoQ40/
PHX,BOS,107,117,usa/nba-2023-2024/phoenix-suns-boston-celtics-beKthyMF/
PHX,TOR,120,113,usa/nba-2023-2024/phoenix-suns-toronto-raptors-xz3sagST/
DEN,PHX,107,117,usa/nba-2023-2024/denver-nuggets-phoenix-suns-U15jCa8N/
PHX,OKC,110,118,usa/nba-2023-2024/phoenix-suns-oklahoma-city-thunder-Sv8034Ph/
PHX,HOU,109,118,usa/nba-2023-2024/phoenix-suns-houston-rockets-8fBT0B3f/
PHX,HOU,110,105,usa/nba-2023-2024/phoenix-suns-houston-rockets-pzH5Cmo9/
PHX,LAL,123,113,usa/nba-2023-2024/phoenix-suns-los-angeles-lakers-O4YnVbdC/
HOU,PHX,114,110,usa/nba-2023-2024/houston-rockets-phoenix-suns-Iof4Ksrf/
DAL,PHX,123,113,usa/nba-2023-2024/dallas-mavericks-phoenix-suns-vsGR6ODf/
PHX,DET,116,100,usa/nba-2023-2024/phoenix-suns-detroit-pistons-pKfhhPb1/
PHX,SAC,130,125,usa/nba-2023-2024/phoenix-suns-sacramento-kings-42ExbfVM/
GSW,PHX,113,112,usa/nba-2023-2024/golden-state-warriors-phoenix-suns-rT7CYsl7/
PHX,UTAH,129,115,usa/nba-2023-2024/phoenix-suns-utah-jazz-Ik0En4L9/
PHX,MIL,114,106,usa/nba-2023-2024/phoenix-suns-milwaukee-bucks-80ftD3Uj/
WSH,PHX,112,140,usa/nba-2023-2024/washington-wizards-phoenix-suns-IZgnSxvQ/
ATL,PHX,129,120,usa/nba-2023-2024/atlanta-hawks-phoenix-suns-vPb9gIX0/
BKN,PHX,120,136,usa/nba-2023-2024/brooklyn-nets-phoenix-suns-pnJamsBR/
MIA,PHX,105,118,usa/nba-2023-2024/miami-heat-phoenix-suns-IHrHSlTp/
ORL,PHX,113,98,usa/nba-2023-2024/orlando-magic-phoenix-suns-v35Uyg6b/
IND,PHX,133,131,usa/nba-2023-2024/indiana-pacers-phoenix-suns-KOiSPRe6/
DAL,PHX,109,132,usa/nba-2023-2024/dallas-mavericks-phoenix-suns-jqvtEUdf/
PHX,CHI,115,113,usa/nba-2023-2024/phoenix-suns-chicago-bulls-WMqNKuE9/
PHX,IND,117,110,usa/nba-2023-2024/phoenix-suns-indiana-pacers-UgNi50EM/
NO,PHX,109,123,usa/nba-2023-2024/new-orleans-pelicans-phoenix-suns-27yccoGo/
PHX,SAC,119,117,usa/nba-2023-2024/phoenix-suns-sacramento-kings-tWwCmymK/
POR,PHX,116,127,usa/nba-2023-2024/portland-trail-blazers-phoenix-suns-ShejDfB7/
LAL,PHX,109,127,usa/nba-2023-2024/los-angeles-lakers-phoenix-suns-dCDL5inp/
LAC,PHX,138,111,usa/nba-2023-2024/los-angeles-clippers-phoenix-suns-pzaywYy0/
PHX,MEM,115,121,usa/nba-2023-2024/phoenix-suns-memphis-grizzlies-4Ss5zuG1/
PHX,MIA,113,97,usa/nba-2023-2024/phoenix-suns-miami-heat-tUGfU3gS/
PHX,LAC,122,131,usa/nba-2023-2024/phoenix-suns-los-angeles-clippers-re8Ac5Ij/
PHX,POR,109,88,usa/nba-2023-2024/phoenix-suns-portland-trail-blazers-zB8o7Ikm/
PHX,ORL,112,107,usa/nba-2023-2024/phoenix-suns-orlando-magic-0bRPkHKC/
PHX,CHA,133,119,usa/nba-2023-2024/phoenix-suns-charlotte-hornets-KKJUutil/
HOU,PHX,113,129,usa/nba-2023-2024/houston-rockets-phoenix-suns-zgBSTEtd/
PHX,DAL,114,128,usa/nba-2023-2024/phoenix-suns-dallas-mavericks-fyVCZqDH/
SAC,PHX,120,105,usa/nba-2023-2024/sacramento-kings-phoenix-suns-6wV07RTO/
POR,PHX,109,104,usa/nba-2023-2024/portland-trail-blazers-phoenix-suns-OGjZdJ9k/
PHX,WSH,112,108,usa/nba-2023-2024/phoenix-suns-washington-wizards-CdT7fQmi/
PHX,NY,122,139,usa/nba-2023-2024/phoenix-suns-new-york-knicks-hvH8P5lH/
PHX,BKN,112,116,usa/nba-2023-2024/phoenix-suns-brooklyn-nets-rsmtYxyK/
PHX,GSW,119,116,usa/nba-2023-2024/phoenix-suns-golden-state-warriors-j93HZUfR/
PHX,SAC,106,114,usa/nba-2023-2024/phoenix-suns-sacramento-kings-fXz5TiRi/
LAL,PHX,106,103,usa/nba-2023-2024/los-angeles-lakers-phoenix-suns-l62rkXKD/
PHX,MEM,116,109,usa/nba-2023-2024/phoenix-suns-memphis-grizzlies-zuSkf2yI/
PHX,DEN,111,119,usa/nba-2023-2024/phoenix-suns-denver-nuggets-ro3Ctq7I/
TOR,PHX,112,105,usa/nba-2023-2024/toronto-raptors-phoenix-suns-dbhAVCNr/
NY,PHX,113,116,usa/nba-2023-2024/new-york-knicks-phoenix-suns-OrcFGemd/
MEM,PHX,89,110,usa/nba-2023-2024/memphis-grizzlies-phoenix-suns-Eky1AAIh/
PHX,GSW,123,115,usa/nba-2023-2024/phoenix-suns-golden-state-warriors-xEFU4blp/
PHX,POR,120,107,usa/nba-2023-2024/phoenix-suns-portland-trail-blazers-INshCWmt/
UTAH,PHX,137,140,usa/nba-2023-2024/utah-jazz-phoenix-suns-AZ7qaZ0O/
UTAH,PHX,128,131,usa/nba-2023-2024/utah-jazz-phoenix-suns-2B7rhT2O/
PHX,MIN,133,115,usa/nba-2023-2024/phoenix-suns-minnesota-timberwolves-GvgL8nYK/
PHX,OKC,99,111,usa/nba-2023-2024/phoenix-suns-oklahoma-city-thunder-02qwd9lF/
PHX,LAL,119,122,usa/nba-2023-2024/phoenix-suns-los-angeles-lakers-2ywveVI5/
CHI,PHX,115,116,usa/nba-2023-2024/chicago-bulls-phoenix-suns-08QHXY5c/
DET,PHX,106,120,usa/nba-2023-2024/detroit-pistons-phoenix-suns-0SAPPp8J/
PHI,PHX,112,100,usa/nba-2023-2024/philadelphia-76ers-phoenix-suns-MLNcBogQ/
PHX,SA,121,132,usa/nba-2023-2024/phoenix-suns-san-antonio-spurs-vcYhCRwK/
PHX,SA,114,115,usa/nba-2023-2024/phoenix-suns-san-antonio-spurs-nLSb3luq/
PHX,UTAH,126,104,usa/nba-2023-2024/phoenix-suns-utah-jazz-xEwRhbRN/
LAL,PHX,100,95,usa/nba-2023-2024/los-angeles-lakers-phoenix-suns-CnUJoPDt/
GSW,PHX,104,108,usa/nba-2023-2024/golden-state-warriors-phoenix-suns-nmoNSA71/
LAL,PHX,100,123,usa/nba-2023-2024/los-angeles-lakers-phoenix-suns-80jTzIzf/
PHX,POR,117,106,usa/nba-2023-2024/phoenix-suns-portland-trail-blazers-dbju3zKn/
POR,PHX,111,122,usa/nba-2023-2024/portland-trail-blazers-phoenix-suns-OURfGpf3/
PHX,DEN,107,115,usa/nba-2023-2024/phoenix-suns-denver-nuggets-WEgpR18L/
DET,PHX,126,130,usa/nba-2023-2024/detroit-pistons-phoenix-suns-zm6G8ai1/
PHX,MEM,102,79,usa/nba-las-vegas-summer-league-2023/phoenix-suns-memphis-grizzlies-QicpXF2q/
PHX,UTAH,93,97,usa/nba-las-vegas-summer-league-2023/phoenix-suns-utah-jazz-xOYZ94tc/
NO,PHX,82,73,usa/nba-las-vegas-summer-league-2023/new-orleans-pelicans-phoenix-suns-EmMoreim/
MIA,PHX,70,73,usa/nba-las-vegas-summer-league-2023/miami-heat-phoenix-suns-UJ0GSFi0/
PHX,MIL,75,84,usa/nba-las-vegas-summer-league-2023/phoenix-suns-milwaukee-bucks-bcXUGIhl/
PHX,DEN,100,125,usa/nba-2022-2023/phoenix-suns-denver-nuggets-I5jKTf70/
DEN,PHX,118,102,usa/nba-2022-2023/denver-nuggets-phoenix-suns-tEG1H6Ia/
PHX,DEN,129,124,usa/nba-2022-2023/phoenix-suns-denver-nuggets-p8OgrBJs/
PHX,DEN,121,114,usa/nba-2022-2023/phoenix-suns-denver-nuggets-raxSniBQ/
DEN,PHX,97,87,usa/nba-2022-2023/denver-nuggets-phoenix-suns-lxwOmXeK/
