team_1,team_2,score_1,score_2,game_url
SA,UTAH,126,120,usa/nba/san-antonio-spurs-utah-jazz-Ym5hh2Ud/
SA,ORL,107,97,usa/nba/san-antonio-spurs-orlando-magic-GdlVWf2J/
SA,OKC,107,112,usa/nba/san-antonio-spurs-oklahoma-city-thunder-Gx2fERUf/
SA,TOR,100,89,usa/nba-las-vegas-summer-league/san-antonio-spurs-toronto-raptors-WSnMK7zK/
SA,PHI,80,96,usa/nba-las-vegas-summer-league/san-antonio-spurs-philadelphia-76ers-zPgBdmEs/
SA,NO,90,85,usa/nba-las-vegas-summer-league/san-antonio-spurs-new-orleans-pelicans-OOWDMtXA/
ATL,SA,76,79,usa/nba-las-vegas-summer-league/atlanta-hawks-san-antonio-spurs-O2uFDQWr/
POR,SA,77,83,usa/nba-las-vegas-summer-league/portland-trail-blazers-san-antonio-spurs-URv7pS2d/
SAC,SA,85,59,usa/california-classic/sacramento-kings-san-antonio-spurs-GOYKuNYa/
SA,CHA,65,97,usa/california-classic/san-antonio-spurs-charlotte-hornets-dK1fP1lJ/
SA,DET,123,95,usa/nba-2023-2024/san-antonio-spurs-detroit-pistons-0pjMNQZl/
SA,DEN,121,120,usa/nba-2023-2024/san-antonio-spurs-denver-nuggets-02qhKiTd/
OKC,SA,127,89,usa/nba-2023-2024/oklahoma-city-thunder-san-antonio-spurs-Yyek4uwa/
MEM,SA,87,102,usa/nba-2023-2024/memphis-grizzlies-san-antonio-spurs-xSW3hrvm/
SA,PHI,126,133,usa/nba-2023-2024/san-antonio-spurs-philadelphia-76ers-KS5C3QWs/
NO,SA,109,111,usa/nba-2023-2024/new-orleans-pelicans-san-antonio-spurs-t47AmEtp/
DEN,SA,110,105,usa/nba-2023-2024/denver-nuggets-san-antonio-spurs-KQhETJkB/
SA,GSW,113,117,usa/nba-2023-2024/san-antonio-spurs-golden-state-warriors-EgeSJrMn/
SA,NY,130,126,usa/nba-2023-2024/san-antonio-spurs-new-york-knicks-0OWQ1A01/
UTAH,SA,111,118,usa/nba-2023-2024/utah-jazz-san-antonio-spurs-WUayignq/
SA,PHX,104,102,usa/nba-2023-2024/san-antonio-spurs-phoenix-suns-GxCTu8Mp/
SA,PHX,106,131,usa/nba-2023-2024/san-antonio-spurs-phoenix-suns-tpHAnJw0/
SA,MEM,97,99,usa/nba-2023-2024/san-antonio-spurs-memphis-grizzlies-OnVvZa90/
SA,DAL,107,113,usa/nba-2023-2024/san-antonio-spurs-dallas-mavericks-EZtK83ee/
SA,BKN,122,115,usa/nba-2023-2024/san-antonio-spurs-brooklyn-nets-fR10FECA/
SA,DEN,106,117,usa/nba-2023-2024/san-antonio-spurs-denver-nuggets-n7J1wLag/
SA,HOU,101,103,usa/nba-2023-2024/san-antonio-spurs-houston-rockets-r7rO054m/
SA,GSW,102,112,usa/nba-2023-2024/san-antonio-spurs-golden-state-warriors-hxG1q4ZC/
GSW,SA,113,126,usa/nba-2023-2024/golden-state-warriors-san-antonio-spurs-jirAz9jr/
SAC,SA,131,129,usa/nba-2023-2024/sacramento-kings-san-antonio-spurs-U1misK7c/
HOU,SA,114,101,usa/nba-2023-2024/houston-rockets-san-antonio-spurs-My2rELwB/
SA,IND,117,105,usa/nba-2023-2024/san-antonio-spurs-indiana-pacers-ll9d4pAn/
SA,OKC,132,118,usa/nba-2023-2024/san-antonio-spurs-oklahoma-city-thunder-6qI1DTV2/
MIN,SA,114,105,usa/nba-2023-2024/minnesota-timberwolves-san-antonio-spurs-8Yc9r9WS/
UTAH,SA,128,109,usa/nba-2023-2024/utah-jazz-san-antonio-spurs-QXfIpvda/
LAL,SA,123,118,usa/nba-2023-2024/los-angeles-lakers-san-antonio-spurs-rkwSZMss/
SAC,SA,127,122,usa/nba-2023-2024/sacramento-kings-san-antonio-spurs-MJ0eM3Ds/
DAL,SA,116,93,usa/nba-2023-2024/dallas-mavericks-san-antonio-spurs-lh1qfoUl/
TOR,SA,99,122,usa/nba-2023-2024/toronto-raptors-san-antonio-spurs-U9w4ozbU/
BKN,SA,123,103,usa/nba-2023-2024/brooklyn-nets-san-antonio-spurs-r5PPsnRK/
ORL,SA,127,111,usa/nba-2023-2024/orlando-magic-san-antonio-spurs-M3KFR2qp/
MIA,SA,116,104,usa/nba-2023-2024/miami-heat-san-antonio-spurs-fgzyZpiA/
SA,CLE,101,117,usa/nba-2023-2024/san-antonio-spurs-cleveland-cavaliers-2RBa4ZoJ/
SA,NO,113,114,usa/nba-2023-2024/san-antonio-spurs-new-orleans-pelicans-pMZ8EJ9Q/
SA,ORL,98,108,usa/nba-2023-2024/san-antonio-spurs-orlando-magic-nVZVua31/
SA,WSH,113,118,usa/nba-2023-2024/san-antonio-spurs-washington-wizards-6wPBlWk4/
SA,MIN,113,112,usa/nba-2023-2024/san-antonio-spurs-minnesota-timberwolves-UwJ8KiyO/
SA,POR,116,100,usa/nba-2023-2024/san-antonio-spurs-portland-trail-blazers-80nDVHqP/
SA,OKC,114,140,usa/nba-2023-2024/san-antonio-spurs-oklahoma-city-thunder-IiN3XIcF/
PHI,SA,133,123,usa/nba-2023-2024/philadelphia-76ers-san-antonio-spurs-Mi2WcI6d/
WSH,SA,127,131,usa/nba-2023-2024/washington-wizards-san-antonio-spurs-CdyMispN/
CHA,SA,124,120,usa/nba-2023-2024/charlotte-hornets-san-antonio-spurs-jT7vu40H/
BOS,SA,117,98,usa/nba-2023-2024/boston-celtics-san-antonio-spurs-YTIjtguf/
ATL,SA,109,99,usa/nba-2023-2024/atlanta-hawks-san-antonio-spurs-MeEDUetr/
SA,CHI,116,122,usa/nba-2023-2024/san-antonio-spurs-chicago-bulls-UcD3MblL/
SA,CHA,135,99,usa/nba-2023-2024/san-antonio-spurs-charlotte-hornets-hGvd3Jsq/
DET,SA,108,130,usa/nba-2023-2024/detroit-pistons-san-antonio-spurs-n3L6hDym/
CLE,SA,117,115,usa/nba-2023-2024/cleveland-cavaliers-san-antonio-spurs-tUxQqqgF/
SA,MIL,121,125,usa/nba-2023-2024/san-antonio-spurs-milwaukee-bucks-WGl5JnuA/
MEM,SA,106,98,usa/nba-2023-2024/memphis-grizzlies-san-antonio-spurs-v3523zkC/
SA,BOS,101,134,usa/nba-2023-2024/san-antonio-spurs-boston-celtics-4WXGiwj0/
POR,SA,134,128,usa/nba-2023-2024/portland-trail-blazers-san-antonio-spurs-xdEZv06f/
POR,SA,105,118,usa/nba-2023-2024/portland-trail-blazers-san-antonio-spurs-tUbeRtxe/
SA,UTAH,118,130,usa/nba-2023-2024/san-antonio-spurs-utah-jazz-tYjrkPC4/
DAL,SA,144,119,usa/nba-2023-2024/dallas-mavericks-san-antonio-spurs-v58sK4DU/
CHI,SA,114,95,usa/nba-2023-2024/chicago-bulls-san-antonio-spurs-6HgQflpJ/
MIL,SA,132,119,usa/nba-2023-2024/milwaukee-bucks-san-antonio-spurs-hYa32unS/
SA,NO,110,146,usa/nba-2023-2024/san-antonio-spurs-new-orleans-pelicans-pjyMWMep/
SA,LAL,129,115,usa/nba-2023-2024/san-antonio-spurs-los-angeles-lakers-WOSaRRJ4/
SA,LAL,119,122,usa/nba-2023-2024/san-antonio-spurs-los-angeles-lakers-4jlxZILD/
HOU,SA,93,82,usa/nba-2023-2024/houston-rockets-san-antonio-spurs-tvpZMiBL/
SA,CHI,112,121,usa/nba-2023-2024/san-antonio-spurs-chicago-bulls-GxnOTjPo/
MIN,SA,102,94,usa/nba-2023-2024/minnesota-timberwolves-san-antonio-spurs-EF6Xkyss/
NO,SA,121,106,usa/nba-2023-2024/new-orleans-pelicans-san-antonio-spurs-Q987sPiC/
SA,ATL,135,137,usa/nba-2023-2024/san-antonio-spurs-atlanta-hawks-IwInnmws/
DEN,SA,132,120,usa/nba-2023-2024/denver-nuggets-san-antonio-spurs-C4wAxwAF/
GSW,SA,118,112,usa/nba-2023-2024/golden-state-warriors-san-antonio-spurs-WCrH8942/
SA,LAC,102,109,usa/nba-2023-2024/san-antonio-spurs-los-angeles-clippers-WWx29vtT/
SA,LAC,99,124,usa/nba-2023-2024/san-antonio-spurs-los-angeles-clippers-jgTIDYFH/
SA,MEM,108,120,usa/nba-2023-2024/san-antonio-spurs-memphis-grizzlies-67tO5JHt/
SA,SAC,120,129,usa/nba-2023-2024/san-antonio-spurs-sacramento-kings-46jVp6Ce/
OKC,SA,123,87,usa/nba-2023-2024/oklahoma-city-thunder-san-antonio-spurs-ri2MnSsq/
SA,MIA,113,118,usa/nba-2023-2024/san-antonio-spurs-miami-heat-6upZdkZ8/
SA,MIN,110,117,usa/nba-2023-2024/san-antonio-spurs-minnesota-timberwolves-b1uk5zbA/
NY,SA,126,105,usa/nba-2023-2024/new-york-knicks-san-antonio-spurs-MHRDYEji/
IND,SA,152,111,usa/nba-2023-2024/indiana-pacers-san-antonio-spurs-40g8HMFa/
SA,TOR,116,123,usa/nba-2023-2024/san-antonio-spurs-toronto-raptors-Ii5rHD8k/
PHX,SA,121,132,usa/nba-2023-2024/phoenix-suns-san-antonio-spurs-vcYhCRwK/
PHX,SA,114,115,usa/nba-2023-2024/phoenix-suns-san-antonio-spurs-nLSb3luq/
LAC,SA,123,83,usa/nba-2023-2024/los-angeles-clippers-san-antonio-spurs-h0ruAadb/
SA,HOU,126,122,usa/nba-2023-2024/san-antonio-spurs-houston-rockets-SrKrtLsI/
SA,DAL,119,126,usa/nba-2023-2024/san-antonio-spurs-dallas-mavericks-fVa5S1DI/
GSW,SA,117,122,usa/nba-2023-2024/golden-state-warriors-san-antonio-spurs-2aoFT0TQ/
SA,HOU,117,103,usa/nba-2023-2024/san-antonio-spurs-houston-rockets-jqrpXZZI/
SA,HOU,89,99,usa/nba-2023-2024/san-antonio-spurs-houston-rockets-QFa98ddP/
