team_1,team_2,score_1,score_2,game_url
GSW,SAC,109,106,usa/nba/golden-state-warriors-sacramento-kings-YZPJw3F3/
SAC,GSW,112,122,usa/nba/sacramento-kings-golden-state-warriors-Yew9PCfg/
SAC,PHX,87,77,usa/nba-las-vegas-summer-league/sacramento-kings-phoenix-suns-8UHzQ2Ca/
SAC,WSH,69,73,usa/nba-las-vegas-summer-league/sacramento-kings-washington-wizards-foAfVAFr/
NY,SAC,106,105,usa/nba-las-vegas-summer-league/new-york-knicks-sacramento-kings-GMBhFbPp/
SAC,UTAH,82,70,usa/nba-las-vegas-summer-league/sacramento-kings-utah-jazz-65eaBe7C/
MEM,SAC,103,83,usa/nba-las-vegas-summer-league/memphis-grizzlies-sacramento-kings-OpIyqFRi/
GSW,SAC,91,90,usa/california-classic/golden-state-warriors-sacramento-kings-2LjndrJt/
SAC,CHA,82,86,usa/california-classic/sacramento-kings-charlotte-hornets-xvNTw13C/
SAC,SA,85,59,usa/california-classic/sacramento-kings-san-antonio-spurs-GOYKuNYa/
SAC,MIA,86,102,usa/california-classic/sacramento-kings-miami-heat-lEltm5tQ/
SAC,LAL,108,94,usa/california-classic/sacramento-kings-los-angeles-lakers-8pjvTqkf/
NO,SAC,105,98,usa/nba-2023-2024/new-orleans-pelicans-sacramento-kings-nktbZsdD/
SAC,GSW,118,94,usa/nba-2023-2024/sacramento-kings-golden-state-warriors-pE30vhXA/
SAC,POR,121,82,usa/nba-2023-2024/sacramento-kings-portland-trail-blazers-z3rZKOJ7/
SAC,PHX,107,108,usa/nba-2023-2024/sacramento-kings-phoenix-suns-hGlCFTsS/
SAC,NO,123,135,usa/nba-2023-2024/sacramento-kings-new-orleans-pelicans-hILKJKxn/
OKC,SAC,112,105,usa/nba-2023-2024/oklahoma-city-thunder-sacramento-kings-bsLCjM8a/
BKN,SAC,77,107,usa/nba-2023-2024/brooklyn-nets-sacramento-kings-l2AG2pnl/
BOS,SAC,101,100,usa/nba-2023-2024/boston-celtics-sacramento-kings-l6SVfdlA/
NY,SAC,120,109,usa/nba-2023-2024/new-york-knicks-sacramento-kings-29A4vy4T/
SAC,LAC,109,95,usa/nba-2023-2024/sacramento-kings-los-angeles-clippers-ttsNRcKN/
SAC,UTAH,127,106,usa/nba-2023-2024/sacramento-kings-utah-jazz-QTbWI2yg/
SAC,DAL,103,107,usa/nba-2023-2024/sacramento-kings-dallas-mavericks-6LNGOX7E/
SAC,DAL,96,132,usa/nba-2023-2024/sacramento-kings-dallas-mavericks-z7WxrG9S/
SAC,PHI,108,96,usa/nba-2023-2024/sacramento-kings-philadelphia-76ers-C4uInvec/
ORL,SAC,107,109,usa/nba-2023-2024/orlando-magic-sacramento-kings-lnxWg1oQ/
WSH,SAC,109,102,usa/nba-2023-2024/washington-wizards-sacramento-kings-tA01Ltu1/
TOR,SAC,89,123,usa/nba-2023-2024/toronto-raptors-sacramento-kings-tzQbfPAQ/
SAC,MEM,121,111,usa/nba-2023-2024/sacramento-kings-memphis-grizzlies-zoNZTDR3/
SAC,NY,91,98,usa/nba-2023-2024/sacramento-kings-new-york-knicks-8zmqjbqa/
SAC,LAL,120,107,usa/nba-2023-2024/sacramento-kings-los-angeles-lakers-2142sU0R/
SAC,MIL,129,94,usa/nba-2023-2024/sacramento-kings-milwaukee-bucks-bcozb3l6/
SAC,HOU,104,112,usa/nba-2023-2024/sacramento-kings-houston-rockets-x6wAglcK/
SAC,SA,131,129,usa/nba-2023-2024/sacramento-kings-san-antonio-spurs-U1misK7c/
LAL,SAC,120,130,usa/nba-2023-2024/los-angeles-lakers-sacramento-kings-r5VPQbNG/
