date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
21-07-2024,SA,TOR,100,89,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/san-antonio-spurs-toronto-raptors-WSnMK7zK/,-142,110,-130,124
19-07-2024,MIA,TOR,109,73,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/miami-heat-toronto-raptors-4IQ074Sa/,-261,194,-244,214
17-07-2024,UTAH,TOR,86,76,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/utah-jazz-toronto-raptors-W4Sh9Qcm/,152,-199,166,-179
14-07-2024,TOR,DEN,84,81,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/toronto-raptors-denver-nuggets-CKoMEnzQ/,-229,169,-204,181
13-07-2024,TOR,OKC,94,69,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/toronto-raptors-oklahoma-city-thunder-pEgziqrJ/,-178,135,-159,145
14-04-2024,MIA,TOR,118,103,1,NBA_2023/2024,usa/nba-2023-2024/miami-heat-toronto-raptors-zeAImEgB/,-1625,915,-1429,1050
12-04-2024,MIA,TOR,125,103,1,NBA_2023/2024,usa/nba-2023-2024/miami-heat-toronto-raptors-Mi6Elfv5/,-956,633,-769,700
10-04-2024,BKN,TOR,106,102,1,NBA_2023/2024,usa/nba-2023-2024/brooklyn-nets-toronto-raptors-SU6AkzPb/,-653,464,-625,509
09-04-2024,TOR,IND,123,140,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-indiana-pacers-lv86jG9h/,627,-929,670,-833
07-04-2024,TOR,WSH,130,122,1,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-washington-wizards-W2D1idfn/,-197,165,-172,177
05-04-2024,MIL,TOR,111,117,0,NBA_2023/2024,usa/nba-2023-2024/milwaukee-bucks-toronto-raptors-hCEchxut/,-1074,687,-909,790
03-04-2024,MIN,TOR,133,85,1,NBA_2023/2024,usa/nba-2023-2024/minnesota-timberwolves-toronto-raptors-tz2jpumJ/,-2131,1083,-1667,1330
02-04-2024,TOR,LAL,111,128,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-los-angeles-lakers-UabnoLXC/,622,-922,670,-714
31-03-2024,TOR,PHI,120,135,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-philadelphia-76ers-ny9sn1I6/,319,-410,359,-357
27-03-2024,TOR,NY,101,145,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-new-york-knicks-8pAwms30/,640,-977,725,-833
25-03-2024,TOR,BKN,88,96,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-brooklyn-nets-vB5ZmNmf/,195,-238,214,-222
23-03-2024,WSH,TOR,112,109,1,NBA_2023/2024,usa/nba-2023-2024/washington-wizards-toronto-raptors-0K6Vl3Ym/,-232,188,-222,197
22-03-2024,TOR,OKC,103,123,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-oklahoma-city-thunder-IeHQkqJs/,866,-1512,955,-1250
20-03-2024,TOR,SAC,89,123,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-sacramento-kings-tzQbfPAQ/,432,-594,475,-556
17-03-2024,ORL,TOR,111,96,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-toronto-raptors-S4V3Gfc4/,-643,456,-588,476
15-03-2024,TOR,ORL,103,113,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-orlando-magic-lEWaHzrb/,253,-318,270,-286
13-03-2024,DET,TOR,113,104,1,NBA_2023/2024,usa/nba-2023-2024/detroit-pistons-toronto-raptors-fiXeIGSi/,-157,132,-145,142
11-03-2024,DEN,TOR,125,119,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-toronto-raptors-tlTiJdDo/,-1733,955,-1429,1117
09-03-2024,POR,TOR,128,118,1,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-toronto-raptors-vqk9fDzo/,119,-141,127,-130
07-03-2024,PHX,TOR,120,113,1,NBA_2023/2024,usa/nba-2023-2024/phoenix-suns-toronto-raptors-xz3sagST/,-550,406,-500,436
05-03-2024,TOR,NO,98,139,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-new-orleans-pelicans-80bw0ZCN/,344,-453,379,-400
03-03-2024,TOR,CHA,111,106,1,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-charlotte-hornets-U9aZ0FcH/,-299,237,-278,252
01-03-2024,TOR,GSW,105,120,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-golden-state-warriors-noAU1erB/,121,-146,129,-139
28-02-2024,TOR,DAL,125,136,0,NBA_2023/2024,usa/nba-2023-2024/toronto-raptors-dallas-mavericks-zB6Q2yT4/,138,-164,149,-149
26-02-2024,IND,TOR,122,130,0,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-toronto-raptors-tl7M3HDb/,-227,184,-213,195
23-02-2024,ATL,TOR,121,123,0,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-toronto-raptors-2c8I4cbh/,-302,239,-270,261
