date,team_1,score_1,score_2,team_2,game_url
20/Jul,Washington Wizards,91,79,Milwaukee Bucks,usa/nba-las-vegas-summer-league/washington-wizards-milwaukee-bucks-EiIyDeHD/
19/Jul,Phoenix Suns,115,90,Milwaukee Bucks,usa/nba-las-vegas-summer-league/phoenix-suns-milwaukee-bucks-GEwxrlal/
16/Jul,Milwaukee Bucks,97,112,Los Angeles Clippers,usa/nba-las-vegas-summer-league/milwaukee-bucks-los-angeles-clippers-Sdw5O22b/
14/Jul,Milwaukee Bucks,81,112,Cleveland Cavaliers,usa/nba-las-vegas-summer-league/milwaukee-bucks-cleveland-cavaliers-EFEA4mfS/
13/Jul,Chicago Bulls,96,89,Milwaukee Bucks,usa/nba-las-vegas-summer-league/chicago-bulls-milwaukee-bucks-AH8BehBc/
02/May,Indiana Pacers,120,98,Milwaukee Bucks,usa/nba-2023-2024/indiana-pacers-milwaukee-bucks-QL0flNVF/
30/Apr,Milwaukee Bucks,115,92,Indiana Pacers,usa/nba-2023-2024/milwaukee-bucks-indiana-pacers-4dTtOD64/
28/Apr,Indiana Pacers,126,113,Milwaukee Bucks,usa/nba-2023-2024/indiana-pacers-milwaukee-bucks-E3jSlZo2/
26/Apr,Indiana Pacers,121,118,Milwaukee Bucks,usa/nba-2023-2024/indiana-pacers-milwaukee-bucks-IycJjeHk/
23/Apr,Milwaukee Bucks,108,125,Indiana Pacers,usa/nba-2023-2024/milwaukee-bucks-indiana-pacers-M5BmdHgS/
21/Apr,Milwaukee Bucks,109,94,Indiana Pacers,usa/nba-2023-2024/milwaukee-bucks-indiana-pacers-MXqko0pe/
14/Apr,Orlando Magic,113,88,Milwaukee Bucks,usa/nba-2023-2024/orlando-magic-milwaukee-bucks-MVCZWUC2/
12/Apr,Oklahoma City Thunder,125,107,Milwaukee Bucks,usa/nba-2023-2024/oklahoma-city-thunder-milwaukee-bucks-CnjAe8jd/
10/Apr,Milwaukee Bucks,117,99,Orlando Magic,usa/nba-2023-2024/milwaukee-bucks-orlando-magic-vFeo5LNh/
09/Apr,Milwaukee Bucks,104,91,Boston Celtics,usa/nba-2023-2024/milwaukee-bucks-boston-celtics-ShsUbp1J/
07/Apr,Milwaukee Bucks,109,122,New York Knicks,usa/nba-2023-2024/milwaukee-bucks-new-york-knicks-IJJp86OQ/
05/Apr,Milwaukee Bucks,111,117,Toronto Raptors,usa/nba-2023-2024/milwaukee-bucks-toronto-raptors-hCEchxut/
03/Apr,Milwaukee Bucks,101,111,Memphis Grizzlies,usa/nba-2023-2024/milwaukee-bucks-memphis-grizzlies-bHDmrJ44/
