team_1,team_2,score_1,score_2,game_url
CHI,CAR,36,10,usa/nfl/chicago-bears-carolina-panthers-2qHzU8DO/
CAR,CIN,24,34,usa/nfl/carolina-panthers-cincinnati-bengals-jqEW76Z7/
LV,CAR,22,36,usa/nfl/las-vegas-raiders-carolina-panthers-lrdrfP8t/
CAR,LAC,3,26,usa/nfl/carolina-panthers-los-angeles-chargers-E9mjby5j/
NO,CAR,47,10,usa/nfl/new-orleans-saints-carolina-panthers-IcxjT1mQ/
BUF,CAR,26,31,usa/nfl/buffalo-bills-carolina-panthers-UTXMzZKi/
CAR,NYJ,12,15,usa/nfl/carolina-panthers-new-york-jets-n9l0VIRE/
NE,CAR,17,3,usa/nfl/new-england-patriots-carolina-panthers-j7x0yigC/
CAR,TB,0,9,usa/nfl-2023-2024/carolina-panthers-tampa-bay-buccaneers-zLRa6XYS/
JAX,CAR,26,0,usa/nfl-2023-2024/jacksonville-jaguars-carolina-panthers-dCXB7MD5/
CAR,GB,30,33,usa/nfl-2023-2024/carolina-panthers-green-bay-packers-OpYau4UC/
CAR,ATL,9,7,usa/nfl-2023-2024/carolina-panthers-atlanta-falcons-jHoURp0D/
NO,CAR,28,6,usa/nfl-2023-2024/new-orleans-saints-carolina-panthers-SdN3FGAj/
TB,CAR,21,18,usa/nfl-2023-2024/tampa-bay-buccaneers-carolina-panthers-b7xf9ulH/
TEN,CAR,17,10,usa/nfl-2023-2024/tennessee-titans-carolina-panthers-GOK3bOZb/
CAR,DAL,10,33,usa/nfl-2023-2024/carolina-panthers-dallas-cowboys-n75K6RAL/
CHI,CAR,16,13,usa/nfl-2023-2024/chicago-bears-carolina-panthers-KI64ukCM/
CAR,IND,13,27,usa/nfl-2023-2024/carolina-panthers-indianapolis-colts-CnGqpDci/
CAR,HOU,15,13,usa/nfl-2023-2024/carolina-panthers-houston-texans-bBjCEL76/
MIA,CAR,42,21,usa/nfl-2023-2024/miami-dolphins-carolina-panthers-rFErjoPl/
DET,CAR,42,24,usa/nfl-2023-2024/detroit-lions-carolina-panthers-jqORbzdo/
CAR,MIN,13,21,usa/nfl-2023-2024/carolina-panthers-minnesota-vikings-YP62fL4a/
SEA,CAR,37,27,usa/nfl-2023-2024/seattle-seahawks-carolina-panthers-h6oTuMk6/
CAR,NO,17,20,usa/nfl-2023-2024/carolina-panthers-new-orleans-saints-nm7pV4yl/
ATL,CAR,24,10,usa/nfl-2023-2024/atlanta-falcons-carolina-panthers-ni3U7yvN/
CAR,DET,17,26,usa/nfl-2023-2024/carolina-panthers-detroit-lions-OA5iBrz5/
NYG,CAR,21,19,usa/nfl-2023-2024/new-york-giants-carolina-panthers-IigCyulA/
CAR,NYJ,0,27,usa/nfl-2023-2024/carolina-panthers-new-york-jets-CEWpLJ3T/
NO,CAR,7,10,usa/nfl-2022-2023/new-orleans-saints-carolina-panthers-tOojBus4/
TB,CAR,30,24,usa/nfl-2022-2023/tampa-bay-buccaneers-carolina-panthers-4626wRoo/
CAR,DET,37,23,usa/nfl-2022-2023/carolina-panthers-detroit-lions-8tbFKCu6/
CAR,PIT,16,24,usa/nfl-2022-2023/carolina-panthers-pittsburgh-steelers-SOHaQsCR/
SEA,CAR,24,30,usa/nfl-2022-2023/seattle-seahawks-carolina-panthers-lK31TnNp/
CAR,DEN,23,10,usa/nfl-2022-2023/carolina-panthers-denver-broncos-8tIxtoeF/
BAL,CAR,13,3,usa/nfl-2022-2023/baltimore-ravens-carolina-panthers-ltXsOCZT/
CAR,ATL,25,15,usa/nfl-2022-2023/carolina-panthers-atlanta-falcons-6F6pFHja/
CIN,CAR,42,21,usa/nfl-2022-2023/cincinnati-bengals-carolina-panthers-dpm22v7g/
ATL,CAR,37,34,usa/nfl-2022-2023/atlanta-falcons-carolina-panthers-ILl0nSGe/
CAR,TB,21,3,usa/nfl-2022-2023/carolina-panthers-tampa-bay-buccaneers-xvkrtifM/
LAR,CAR,24,10,usa/nfl-2022-2023/los-angeles-rams-carolina-panthers-vmPxw3Mp/
CAR,SF,15,37,usa/nfl-2022-2023/carolina-panthers-san-francisco-49ers-jmpPX7p5/
CAR,ARI,16,26,usa/nfl-2022-2023/carolina-panthers-arizona-cardinals-KtRIGF9D/
CAR,NO,22,14,usa/nfl-2022-2023/carolina-panthers-new-orleans-saints-88OIaNYL/
NYG,CAR,19,16,usa/nfl-2022-2023/new-york-giants-carolina-panthers-AeNwajrB/
CAR,CLE,24,26,usa/nfl-2022-2023/carolina-panthers-cleveland-browns-pxnIhZ2l/
CAR,BUF,21,0,usa/nfl-2022-2023/carolina-panthers-buffalo-bills-hMg7v0jM/
NE,CAR,20,10,usa/nfl-2022-2023/new-england-patriots-carolina-panthers-GIXhPTpI/
WSH,CAR,21,23,usa/nfl-2022-2023/washington-commanders-carolina-panthers-UosJCj1C/
TB,CAR,41,17,usa/nfl-2021-2022/tampa-bay-buccaneers-carolina-panthers-EP7sE2QC/
NO,CAR,18,10,usa/nfl-2021-2022/new-orleans-saints-carolina-panthers-QLKIlnc1/
