date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
29-09-2024,CAR,CIN,24,34,0,NFL,usa/nfl/carolina-panthers-cincinnati-bengals-jqEW76Z7/,187,-235,200,-213
22-09-2024,LV,CAR,22,36,0,NFL,usa/nfl/las-vegas-raiders-carolina-panthers-lrdrfP8t/,-257,206,-244,215
15-09-2024,CAR,LAC,3,26,0,NFL,usa/nfl/carolina-panthers-los-angeles-chargers-E9mjby5j/,171,-208,185,-192
08-09-2024,NO,CAR,47,10,1,NFL,usa/nfl/new-orleans-saints-carolina-panthers-IcxjT1mQ/,-197,162,-185,167
24-08-2024,BUF,CAR,26,31,0,NFL,usa/nfl/buffalo-bills-carolina-panthers-UTXMzZKi/,184,-244,206,-227
17-08-2024,CAR,NYJ,12,15,0,NFL,usa/nfl/carolina-panthers-new-york-jets-n9l0VIRE/,-143,111,-135,121
08-08-2024,NE,CAR,17,3,1,NFL,usa/nfl/new-england-patriots-carolina-panthers-j7x0yigC/,-302,224,-278,235
07-01-2024,CAR,TB,0,9,0,NFL_2023/2024,usa/nfl-2023-2024/carolina-panthers-tampa-bay-buccaneers-zLRa6XYS/,191,-235,200,-227
31-12-2023,JAX,CAR,26,0,1,NFL_2023/2024,usa/nfl-2023-2024/jacksonville-jaguars-carolina-panthers-dCXB7MD5/,-195,161,-189,172
24-12-2023,CAR,GB,30,33,0,NFL_2023/2024,usa/nfl-2023-2024/carolina-panthers-green-bay-packers-OpYau4UC/,162,-196,170,-189
17-12-2023,CAR,ATL,9,7,1,NFL_2023/2024,usa/nfl-2023-2024/carolina-panthers-atlanta-falcons-jHoURp0D/,123,-149,131,-143
10-12-2023,NO,CAR,28,6,1,NFL_2023/2024,usa/nfl-2023-2024/new-orleans-saints-carolina-panthers-SdN3FGAj/,-251,200,-233,220
03-12-2023,TB,CAR,21,18,1,NFL_2023/2024,usa/nfl-2023-2024/tampa-bay-buccaneers-carolina-panthers-b7xf9ulH/,-203,168,-182,200
26-11-2023,TEN,CAR,17,10,1,NFL_2023/2024,usa/nfl-2023-2024/tennessee-titans-carolina-panthers-GOK3bOZb/,-185,154,-175,166
19-11-2023,CAR,DAL,10,33,0,NFL_2023/2024,usa/nfl-2023-2024/carolina-panthers-dallas-cowboys-n75K6RAL/,423,-603,490,-526
09-11-2023,CHI,CAR,16,13,1,NFL_2023/2024,usa/nfl-2023-2024/chicago-bears-carolina-panthers-KI64ukCM/,-180,149,-169,166
05-11-2023,CAR,IND,13,27,0,NFL_2023/2024,usa/nfl-2023-2024/carolina-panthers-indianapolis-colts-CnGqpDci/,102,-125,110,-115
29-10-2023,CAR,HOU,15,13,1,NFL_2023/2024,usa/nfl-2023-2024/carolina-panthers-houston-texans-bBjCEL76/,151,-181,158,-167
15-10-2023,MIA,CAR,42,21,1,NFL_2023/2024,usa/nfl-2023-2024/miami-dolphins-carolina-panthers-rFErjoPl/,-976,614,-833,719
08-10-2023,DET,CAR,42,24,1,NFL_2023/2024,usa/nfl-2023-2024/detroit-lions-carolina-panthers-jqORbzdo/,-460,345,-435,359
01-10-2023,CAR,MIN,13,21,0,NFL_2023/2024,usa/nfl-2023-2024/carolina-panthers-minnesota-vikings-YP62fL4a/,169,-207,181,-196
24-09-2023,SEA,CAR,37,27,1,NFL_2023/2024,usa/nfl-2023-2024/seattle-seahawks-carolina-panthers-h6oTuMk6/,-215,176,-204,190
18-09-2023,CAR,NO,17,20,0,NFL_2023/2024,usa/nfl-2023-2024/carolina-panthers-new-orleans-saints-nm7pV4yl/,147,-176,163,-164
10-09-2023,ATL,CAR,24,10,1,NFL_2023/2024,usa/nfl-2023-2024/atlanta-falcons-carolina-panthers-ni3U7yvN/,-187,155,-182,170
25-08-2023,CAR,DET,17,26,0,NFL_2023/2024,usa/nfl-2023-2024/carolina-panthers-detroit-lions-OA5iBrz5/,-223,170,-200,184
18-08-2023,NYG,CAR,21,19,1,NFL_2023/2024,usa/nfl-2023-2024/new-york-giants-carolina-panthers-IigCyulA/,-175,138,-154,150
12-08-2023,CAR,NYJ,0,27,0,NFL_2023/2024,usa/nfl-2023-2024/carolina-panthers-new-york-jets-CEWpLJ3T/,-162,127,-149,135
08-01-2023,NO,CAR,7,10,0,NFL_2022/2023,usa/nfl-2022-2023/new-orleans-saints-carolina-panthers-tOojBus4/,-185,154,-175,165
01-01-2023,TB,CAR,30,24,1,NFL_2022/2023,usa/nfl-2022-2023/tampa-bay-buccaneers-carolina-panthers-4626wRoo/,-191,158,-179,175
24-12-2022,CAR,DET,37,23,1,NFL_2022/2023,usa/nfl-2022-2023/carolina-panthers-detroit-lions-8tbFKCu6/,113,-135,120,-130
18-12-2022,CAR,PIT,16,24,0,NFL_2022/2023,usa/nfl-2022-2023/carolina-panthers-pittsburgh-steelers-SOHaQsCR/,-152,126,-143,141
11-12-2022,SEA,CAR,24,30,0,NFL_2022/2023,usa/nfl-2022-2023/seattle-seahawks-carolina-panthers-lK31TnNp/,-200,164,-189,175
27-11-2022,CAR,DEN,23,10,1,NFL_2022/2023,usa/nfl-2022-2023/carolina-panthers-denver-broncos-8tIxtoeF/,-102,-118,108,-110
