date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
29-09-2024,LV,CLE,20,16,1,NFL,usa/nfl/las-vegas-raiders-cleveland-browns-UHwfHVTI/,122,-149,129,-141
22-09-2024,CLE,NYG,15,21,0,NFL,usa/nfl/cleveland-browns-new-york-giants-GWStxime/,-292,232,-270,245
15-09-2024,JAX,CLE,13,18,0,NFL,usa/nfl/jacksonville-jaguars-cleveland-browns-hGzICzKq/,-174,143,-164,150
08-09-2024,CLE,DAL,17,33,0,NFL,usa/nfl/cleveland-browns-dallas-cowboys-zXF1lOW7/,-127,105,-116,116
24-08-2024,SEA,CLE,37,33,1,NFL,usa/nfl/seattle-seahawks-cleveland-browns-pv3KqU3M/,-222,169,-204,190
17-08-2024,CLE,MIN,12,27,0,NFL,usa/nfl/cleveland-browns-minnesota-vikings-tC1E7FZ7/,-145,113,-137,125
10-08-2024,CLE,GB,10,23,0,NFL,usa/nfl/cleveland-browns-green-bay-packers-prw84kNb/,-237,179,-227,209
13-01-2024,HOU,CLE,45,14,1,NFL_2023/2024,usa/nfl-2023-2024/houston-texans-cleveland-browns-0xKQFK5L/,114,-136,129,-132
07-01-2024,CIN,CLE,31,14,1,NFL_2023/2024,usa/nfl-2023-2024/cincinnati-bengals-cleveland-browns-xUDR1isp/,-346,270,-312,285
28-12-2023,CLE,NYJ,37,20,1,NFL_2023/2024,usa/nfl-2023-2024/cleveland-browns-new-york-jets-YFirhsEI/,-330,260,-312,275
24-12-2023,HOU,CLE,22,36,0,NFL_2023/2024,usa/nfl-2023-2024/houston-texans-cleveland-browns-xlx4vOqJ/,130,-157,140,-145
17-12-2023,CLE,CHI,20,17,1,NFL_2023/2024,usa/nfl-2023-2024/cleveland-browns-chicago-bears-INwGklhK/,-151,125,-143,140
10-12-2023,CLE,JAX,31,27,1,NFL_2023/2024,usa/nfl-2023-2024/cleveland-browns-jacksonville-jaguars-GMJaGdep/,-130,111,135,121
03-12-2023,LAR,CLE,36,19,1,NFL_2023/2024,usa/nfl-2023-2024/los-angeles-rams-cleveland-browns-fqm4RM3o/,-190,159,-175,185
26-11-2023,DEN,CLE,29,12,1,NFL_2023/2024,usa/nfl-2023-2024/denver-broncos-cleveland-browns-OlOBd24B/,-129,107,-123,116
19-11-2023,CLE,PIT,13,10,1,NFL_2023/2024,usa/nfl-2023-2024/cleveland-browns-pittsburgh-steelers-SIMH5oQR/,-139,117,-133,125
12-11-2023,BAL,CLE,31,33,0,NFL_2023/2024,usa/nfl-2023-2024/baltimore-ravens-cleveland-browns-EgL7v9RS/,-251,204,-238,225
05-11-2023,CLE,ARI,27,0,1,NFL_2023/2024,usa/nfl-2023-2024/cleveland-browns-arizona-cardinals-p0hMSBSG/,-719,495,-625,562
29-10-2023,SEA,CLE,24,20,1,NFL_2023/2024,usa/nfl-2023-2024/seattle-seahawks-cleveland-browns-hnVlSvx6/,-209,169,-192,179
22-10-2023,IND,CLE,38,39,0,NFL_2023/2024,usa/nfl-2023-2024/indianapolis-colts-cleveland-browns-UVxQ2O8f/,153,-184,163,-179
15-10-2023,CLE,SF,19,17,1,NFL_2023/2024,usa/nfl-2023-2024/cleveland-browns-san-francisco-49ers-U7Y7dmnL/,361,-488,405,-435
01-10-2023,CLE,BAL,3,28,0,NFL_2023/2024,usa/nfl-2023-2024/cleveland-browns-baltimore-ravens-QXO9haZB/,102,-121,110,-116
24-09-2023,CLE,TEN,27,3,1,NFL_2023/2024,usa/nfl-2023-2024/cleveland-browns-tennessee-titans-Eab1RMzD/,-187,155,-169,166
18-09-2023,PIT,CLE,26,22,1,NFL_2023/2024,usa/nfl-2023-2024/pittsburgh-steelers-cleveland-browns-Qw6lUOjf/,116,-138,127,-133
10-09-2023,CLE,CIN,24,3,1,NFL_2023/2024,usa/nfl-2023-2024/cleveland-browns-cincinnati-bengals-IZg02F1p/,-109,-109,-105,100
26-08-2023,KC,CLE,33,32,1,NFL_2023/2024,usa/nfl-2023-2024/kansas-city-chiefs-cleveland-browns-UBlz3Kso/,166,-217,175,-200
17-08-2023,PHI,CLE,18,18,0,NFL_2023/2024,usa/nfl-2023-2024/philadelphia-eagles-cleveland-browns-AmLhfjaD/,-191,150,-169,181
11-08-2023,CLE,WSH,15,17,0,NFL_2023/2024,usa/nfl-2023-2024/cleveland-browns-washington-commanders-niP24zNK/,-152,119,-143,125
03-08-2023,CLE,NYJ,21,16,1,NFL_2023/2024,usa/nfl-2023-2024/cleveland-browns-new-york-jets-tfl3qZpe/,107,-135,120,106
08-01-2023,PIT,CLE,28,14,1,NFL_2022/2023,usa/nfl-2022-2023/pittsburgh-steelers-cleveland-browns-xjua9JBG/,-146,122,-141,131
01-01-2023,WSH,CLE,10,24,0,NFL_2022/2023,usa/nfl-2022-2023/washington-commanders-cleveland-browns-6Btk2AOo/,-125,103,-115,110
24-12-2022,CLE,NO,10,17,0,NFL_2022/2023,usa/nfl-2022-2023/cleveland-browns-new-orleans-saints-t8BMIjAI/,-179,149,-154,161
17-12-2022,CLE,BAL,13,3,1,NFL_2022/2023,usa/nfl-2022-2023/cleveland-browns-baltimore-ravens-WAX2GF1n/,-157,131,-152,140
11-12-2022,CIN,CLE,23,10,1,NFL_2022/2023,usa/nfl-2022-2023/cincinnati-bengals-cleveland-browns-x2JGjJOt/,-214,171,-196,185
04-12-2022,HOU,CLE,14,27,0,NFL_2022/2023,usa/nfl-2022-2023/houston-texans-cleveland-browns-zVGh7NgE/,270,-345,290,-312
27-11-2022,CLE,TB,23,17,1,NFL_2022/2023,usa/nfl-2022-2023/cleveland-browns-tampa-bay-buccaneers-nXGtu5AL/,146,-175,158,-167
20-11-2022,BUF,CLE,31,23,1,NFL_2022/2023,usa/nfl-2022-2023/buffalo-bills-cleveland-browns-OYN9JWso/,-363,284,-312,305
13-11-2022,MIA,CLE,39,17,1,NFL_2022/2023,usa/nfl-2022-2023/miami-dolphins-cleveland-browns-zeb1BZkO/,-180,149,-172,154
31-10-2022,CLE,CIN,32,13,1,NFL_2022/2023,usa/nfl-2022-2023/cleveland-browns-cincinnati-bengals-tCoV9MEJ/,141,-172,150,-164
23-10-2022,BAL,CLE,23,20,1,NFL_2022/2023,usa/nfl-2022-2023/baltimore-ravens-cleveland-browns-Q3ovsXvG/,-290,229,-270,250
16-10-2022,CLE,NE,15,38,0,NFL_2022/2023,usa/nfl-2022-2023/cleveland-browns-new-england-patriots-nFFgmmph/,-148,121,-143,131
