team_1,team_2,score_1,score_2,game_url
PIT,DAL,17,20,usa/nfl/pittsburgh-steelers-dallas-cowboys-M7pIxwdd/
NYG,DAL,15,20,usa/nfl/new-york-giants-dallas-cowboys-CIpOBlzq/
DAL,BAL,25,28,usa/nfl/dallas-cowboys-baltimore-ravens-xQ30lLxI/
DAL,NO,19,44,usa/nfl/dallas-cowboys-new-orleans-saints-tGuxMvcc/
CLE,DAL,17,33,usa/nfl/cleveland-browns-dallas-cowboys-zXF1lOW7/
DAL,LAC,19,26,usa/nfl/dallas-cowboys-los-angeles-chargers-d4i4mC4c/
LV,DAL,12,27,usa/nfl/las-vegas-raiders-dallas-cowboys-j5ZKKMUg/
LAR,DAL,13,12,usa/nfl/los-angeles-rams-dallas-cowboys-CIUOdbLk/
DAL,GB,32,48,usa/nfl-2023-2024/dallas-cowboys-green-bay-packers-zgm3m80s/
WSH,DAL,10,38,usa/nfl-2023-2024/washington-commanders-dallas-cowboys-pGhAC8e2/
DAL,DET,20,19,usa/nfl-2023-2024/dallas-cowboys-detroit-lions-C6jni1TO/
MIA,DAL,22,20,usa/nfl-2023-2024/miami-dolphins-dallas-cowboys-rRbVfqUa/
BUF,DAL,31,10,usa/nfl-2023-2024/buffalo-bills-dallas-cowboys-xfuEVS0l/
DAL,PHI,33,13,usa/nfl-2023-2024/dallas-cowboys-philadelphia-eagles-MHVVIkHr/
DAL,SEA,41,35,usa/nfl-2023-2024/dallas-cowboys-seattle-seahawks-n3eYD3Zo/
DAL,WSH,45,10,usa/nfl-2023-2024/dallas-cowboys-washington-commanders-YyHzaz9C/
CAR,DAL,10,33,usa/nfl-2023-2024/carolina-panthers-dallas-cowboys-n75K6RAL/
DAL,NYG,49,17,usa/nfl-2023-2024/dallas-cowboys-new-york-giants-fDtsg8tM/
PHI,DAL,28,23,usa/nfl-2023-2024/philadelphia-eagles-dallas-cowboys-p0EiriS3/
DAL,LAR,43,20,usa/nfl-2023-2024/dallas-cowboys-los-angeles-rams-hYkGDuNC/
LAC,DAL,17,20,usa/nfl-2023-2024/los-angeles-chargers-dallas-cowboys-xYcoA6GK/
SF,DAL,42,10,usa/nfl-2023-2024/san-francisco-49ers-dallas-cowboys-IBBDBJvb/
DAL,NE,38,3,usa/nfl-2023-2024/dallas-cowboys-new-england-patriots-CUpu8vZb/
ARI,DAL,28,16,usa/nfl-2023-2024/arizona-cardinals-dallas-cowboys-WdpXvt5C/
DAL,NYJ,30,10,usa/nfl-2023-2024/dallas-cowboys-new-york-jets-bPk8lgx9/
NYG,DAL,0,40,usa/nfl-2023-2024/new-york-giants-dallas-cowboys-UVYvEC0d/
DAL,LV,31,16,usa/nfl-2023-2024/dallas-cowboys-las-vegas-raiders-QHdKZIIM/
SEA,DAL,22,14,usa/nfl-2023-2024/seattle-seahawks-dallas-cowboys-v1f8xLY3/
DAL,JAX,23,28,usa/nfl-2023-2024/dallas-cowboys-jacksonville-jaguars-OWItchFf/
SF,DAL,19,12,usa/nfl-2022-2023/san-francisco-49ers-dallas-cowboys-SEjKxU7B/
TB,DAL,14,31,usa/nfl-2022-2023/tampa-bay-buccaneers-dallas-cowboys-rBIbKRFI/
WSH,DAL,26,6,usa/nfl-2022-2023/washington-commanders-dallas-cowboys-WCv38wRM/
TEN,DAL,13,27,usa/nfl-2022-2023/tennessee-titans-dallas-cowboys-6k5EkXvt/
DAL,PHI,40,34,usa/nfl-2022-2023/dallas-cowboys-philadelphia-eagles-lEYmZBfa/
JAX,DAL,40,34,usa/nfl-2022-2023/jacksonville-jaguars-dallas-cowboys-xb7ZJuke/
DAL,HOU,27,23,usa/nfl-2022-2023/dallas-cowboys-houston-texans-GhIKkwvm/
DAL,IND,54,19,usa/nfl-2022-2023/dallas-cowboys-indianapolis-colts-UihldcoD/
DAL,NYG,28,20,usa/nfl-2022-2023/dallas-cowboys-new-york-giants-CEOTs7Q2/
MIN,DAL,3,40,usa/nfl-2022-2023/minnesota-vikings-dallas-cowboys-v9KpLqJk/
GB,DAL,31,28,usa/nfl-2022-2023/green-bay-packers-dallas-cowboys-tnI81Qnd/
DAL,CHI,49,29,usa/nfl-2022-2023/dallas-cowboys-chicago-bears-dCm4onW1/
DAL,DET,24,6,usa/nfl-2022-2023/dallas-cowboys-detroit-lions-Y9zEzVHq/
PHI,DAL,26,17,usa/nfl-2022-2023/philadelphia-eagles-dallas-cowboys-zFhRqZfc/
LAR,DAL,10,22,usa/nfl-2022-2023/los-angeles-rams-dallas-cowboys-O0rXVoFH/
DAL,WSH,25,10,usa/nfl-2022-2023/dallas-cowboys-washington-commanders-YVZRQaXK/
NYG,DAL,16,23,usa/nfl-2022-2023/new-york-giants-dallas-cowboys-MZWv5IA1/
DAL,CIN,20,17,usa/nfl-2022-2023/dallas-cowboys-cincinnati-bengals-CMrKvMdd/
DAL,TB,3,19,usa/nfl-2022-2023/dallas-cowboys-tampa-bay-buccaneers-Sv22j4wI/
DAL,SEA,27,26,usa/nfl-2022-2023/dallas-cowboys-seattle-seahawks-WChBwK5S/
LAC,DAL,18,32,usa/nfl-2022-2023/los-angeles-chargers-dallas-cowboys-zLPaLKqp/
DEN,DAL,17,7,usa/nfl-2022-2023/denver-broncos-dallas-cowboys-nwtxTBog/
