team_1,team_2,score_1,score_2,game_url
DET,SEA,42,29,usa/nfl/detroit-lions-seattle-seahawks-Y3PJXjEa/
ARI,DET,13,20,usa/nfl/arizona-cardinals-detroit-lions-GAFijs85/
DET,TB,16,20,usa/nfl/detroit-lions-tampa-bay-buccaneers-xrZpKIR9/
DET,LAR,26,20,usa/nfl/detroit-lions-los-angeles-rams-8l2e91Di/
DET,PIT,24,17,usa/nfl/detroit-lions-pittsburgh-steelers-xfyVYCk4/
KC,DET,23,24,usa/nfl/kansas-city-chiefs-detroit-lions-KdD59y5e/
NYG,DET,14,3,usa/nfl/new-york-giants-detroit-lions-nZV8ZUNO/
SF,DET,34,31,usa/nfl-2023-2024/san-francisco-49ers-detroit-lions-WU5Zib9G/
DET,TB,31,23,usa/nfl-2023-2024/detroit-lions-tampa-bay-buccaneers-jqIgpo8U/
DET,LAR,24,23,usa/nfl-2023-2024/detroit-lions-los-angeles-rams-vN1XhUxK/
DET,MIN,30,20,usa/nfl-2023-2024/detroit-lions-minnesota-vikings-Kh3W0Bdj/
DAL,DET,20,19,usa/nfl-2023-2024/dallas-cowboys-detroit-lions-C6jni1TO/
MIN,DET,24,30,usa/nfl-2023-2024/minnesota-vikings-detroit-lions-vgGn37MJ/
DET,DEN,42,17,usa/nfl-2023-2024/detroit-lions-denver-broncos-0nTKl87Q/
CHI,DET,28,13,usa/nfl-2023-2024/chicago-bears-detroit-lions-WlrTLIXM/
NO,DET,28,33,usa/nfl-2023-2024/new-orleans-saints-detroit-lions-8IqsCs4b/
DET,GB,22,29,usa/nfl-2023-2024/detroit-lions-green-bay-packers-foIWaGg6/
DET,CHI,31,26,usa/nfl-2023-2024/detroit-lions-chicago-bears-UR8q15Yr/
LAC,DET,38,41,usa/nfl-2023-2024/los-angeles-chargers-detroit-lions-0jswflRF/
DET,LV,26,14,usa/nfl-2023-2024/detroit-lions-las-vegas-raiders-GK05WgTi/
BAL,DET,38,6,usa/nfl-2023-2024/baltimore-ravens-detroit-lions-dIvI4pvr/
TB,DET,6,20,usa/nfl-2023-2024/tampa-bay-buccaneers-detroit-lions-M5Dnk5ve/
DET,CAR,42,24,usa/nfl-2023-2024/detroit-lions-carolina-panthers-jqORbzdo/
GB,DET,20,34,usa/nfl-2023-2024/green-bay-packers-detroit-lions-CAIgdszm/
DET,ATL,20,6,usa/nfl-2023-2024/detroit-lions-atlanta-falcons-hjc5QtjJ/
DET,SEA,31,37,usa/nfl-2023-2024/detroit-lions-seattle-seahawks-CEEwZDxM/
KC,DET,20,21,usa/nfl-2023-2024/kansas-city-chiefs-detroit-lions-pnTVqy6h/
CAR,DET,17,26,usa/nfl-2023-2024/carolina-panthers-detroit-lions-OA5iBrz5/
DET,JAX,7,25,usa/nfl-2023-2024/detroit-lions-jacksonville-jaguars-OUR4176t/
