team_1,team_2,score_1,score_2,game_url
MIN,NYJ,23,17,usa/nfl/minnesota-vikings-new-york-jets-AqsCQIf3/
GB,MIN,29,31,usa/nfl/green-bay-packers-minnesota-vikings-v5fRTmdR/
MIN,HOU,34,7,usa/nfl/minnesota-vikings-houston-texans-4h9ybY9E/
MIN,SF,23,17,usa/nfl/minnesota-vikings-san-francisco-49ers-0tvQAEld/
NYG,MIN,6,28,usa/nfl/new-york-giants-minnesota-vikings-xrJMNuBm/
PHI,MIN,3,26,usa/nfl/philadelphia-eagles-minnesota-vikings-4A4IP8Cj/
CLE,MIN,12,27,usa/nfl/cleveland-browns-minnesota-vikings-tC1E7FZ7/
MIN,LV,24,23,usa/nfl/minnesota-vikings-las-vegas-raiders-voz06Bhn/
DET,MIN,30,20,usa/nfl-2023-2024/detroit-lions-minnesota-vikings-Kh3W0Bdj/
MIN,GB,10,33,usa/nfl-2023-2024/minnesota-vikings-green-bay-packers-YeVrAFZ3/
MIN,DET,24,30,usa/nfl-2023-2024/minnesota-vikings-detroit-lions-vgGn37MJ/
CIN,MIN,27,24,usa/nfl-2023-2024/cincinnati-bengals-minnesota-vikings-vXvCjUxE/
LV,MIN,0,3,usa/nfl-2023-2024/las-vegas-raiders-minnesota-vikings-KjAkwK2c/
MIN,CHI,10,12,usa/nfl-2023-2024/minnesota-vikings-chicago-bears-zTiUEqKu/
DEN,MIN,21,20,usa/nfl-2023-2024/denver-broncos-minnesota-vikings-bJON1xPg/
MIN,NO,27,19,usa/nfl-2023-2024/minnesota-vikings-new-orleans-saints-CU0rY64d/
ATL,MIN,28,31,usa/nfl-2023-2024/atlanta-falcons-minnesota-vikings-xzkEUXc4/
GB,MIN,10,24,usa/nfl-2023-2024/green-bay-packers-minnesota-vikings-jJ8JCaxJ/
MIN,SF,22,17,usa/nfl-2023-2024/minnesota-vikings-san-francisco-49ers-2qc3Gswf/
CHI,MIN,13,19,usa/nfl-2023-2024/chicago-bears-minnesota-vikings-Of37b9H8/
MIN,KC,20,27,usa/nfl-2023-2024/minnesota-vikings-kansas-city-chiefs-zZMCxSfk/
CAR,MIN,13,21,usa/nfl-2023-2024/carolina-panthers-minnesota-vikings-YP62fL4a/
MIN,LAC,24,28,usa/nfl-2023-2024/minnesota-vikings-los-angeles-chargers-vsWNrO5m/
PHI,MIN,34,28,usa/nfl-2023-2024/philadelphia-eagles-minnesota-vikings-rZMMxdwc/
MIN,TB,17,20,usa/nfl-2023-2024/minnesota-vikings-tampa-bay-buccaneers-dIbuQIgi/
MIN,ARI,17,18,usa/nfl-2023-2024/minnesota-vikings-arizona-cardinals-WGSIR3Ko/
MIN,TEN,16,24,usa/nfl-2023-2024/minnesota-vikings-tennessee-titans-GptEcP55/
SEA,MIN,24,13,usa/nfl-2023-2024/seattle-seahawks-minnesota-vikings-WbDHFcRj/
MIN,NYG,24,31,usa/nfl-2022-2023/minnesota-vikings-new-york-giants-nqPkMmo6/
