team_1,team_2,score_1,score_2,game_url
KC,NO,26,13,usa/nfl/kansas-city-chiefs-new-orleans-saints-23N40tl3/
ATL,NO,26,24,usa/nfl/atlanta-falcons-new-orleans-saints-pWrW9S4e/
NO,PHI,12,15,usa/nfl/new-orleans-saints-philadelphia-eagles-8Oz9uQgm/
DAL,NO,19,44,usa/nfl/dallas-cowboys-new-orleans-saints-tGuxMvcc/
NO,CAR,47,10,usa/nfl/new-orleans-saints-carolina-panthers-IcxjT1mQ/
NO,TEN,27,30,usa/nfl/new-orleans-saints-tennessee-titans-UBviv8Rq/
SF,NO,16,10,usa/nfl/san-francisco-49ers-new-orleans-saints-UV2TGvUI/
ARI,NO,14,16,usa/nfl/arizona-cardinals-new-orleans-saints-KKkp4tTF/
NO,ATL,48,17,usa/nfl-2023-2024/new-orleans-saints-atlanta-falcons-hIDVJj3S/
TB,NO,13,23,usa/nfl-2023-2024/tampa-bay-buccaneers-new-orleans-saints-pzkllYCp/
LAR,NO,30,22,usa/nfl-2023-2024/los-angeles-rams-new-orleans-saints-WUJjqnVm/
NO,NYG,24,6,usa/nfl-2023-2024/new-orleans-saints-new-york-giants-pd0ZxB8E/
NO,CAR,28,6,usa/nfl-2023-2024/new-orleans-saints-carolina-panthers-SdN3FGAj/
NO,DET,28,33,usa/nfl-2023-2024/new-orleans-saints-detroit-lions-8IqsCs4b/
ATL,NO,24,15,usa/nfl-2023-2024/atlanta-falcons-new-orleans-saints-t2KrcEwP/
MIN,NO,27,19,usa/nfl-2023-2024/minnesota-vikings-new-orleans-saints-CU0rY64d/
NO,CHI,24,17,usa/nfl-2023-2024/new-orleans-saints-chicago-bears-zVW0LTKj/
IND,NO,27,38,usa/nfl-2023-2024/indianapolis-colts-new-orleans-saints-hOn2yqFJ/
NO,JAX,24,31,usa/nfl-2023-2024/new-orleans-saints-jacksonville-jaguars-GOdk9QVQ/
HOU,NO,20,13,usa/nfl-2023-2024/houston-texans-new-orleans-saints-OUXBe71R/
NE,NO,0,34,usa/nfl-2023-2024/new-england-patriots-new-orleans-saints-dp3ScxRc/
NO,TB,9,26,usa/nfl-2023-2024/new-orleans-saints-tampa-bay-buccaneers-0jHMkcJU/
GB,NO,18,17,usa/nfl-2023-2024/green-bay-packers-new-orleans-saints-t6jmkQSJ/
CAR,NO,17,20,usa/nfl-2023-2024/carolina-panthers-new-orleans-saints-nm7pV4yl/
NO,TEN,16,15,usa/nfl-2023-2024/new-orleans-saints-tennessee-titans-z9cqPx9c/
NO,HOU,13,17,usa/nfl-2023-2024/new-orleans-saints-houston-texans-v1YxNuZG/
LAC,NO,17,22,usa/nfl-2023-2024/los-angeles-chargers-new-orleans-saints-dbEzFQzt/
NO,KC,26,24,usa/nfl-2023-2024/new-orleans-saints-kansas-city-chiefs-WdMleWq7/
NO,CAR,7,10,usa/nfl-2022-2023/new-orleans-saints-carolina-panthers-tOojBus4/
PHI,NO,10,20,usa/nfl-2022-2023/philadelphia-eagles-new-orleans-saints-SpBvr7wU/
CLE,NO,10,17,usa/nfl-2022-2023/cleveland-browns-new-orleans-saints-t8BMIjAI/
NO,ATL,21,18,usa/nfl-2022-2023/new-orleans-saints-atlanta-falcons-CKuBEgWb/
TB,NO,17,16,usa/nfl-2022-2023/tampa-bay-buccaneers-new-orleans-saints-8riheH0J/
SF,NO,13,0,usa/nfl-2022-2023/san-francisco-49ers-new-orleans-saints-t8eJhOvL/
NO,LAR,27,20,usa/nfl-2022-2023/new-orleans-saints-los-angeles-rams-Cf44uE44/
PIT,NO,20,10,usa/nfl-2022-2023/pittsburgh-steelers-new-orleans-saints-jLmAVxyt/
NO,BAL,13,27,usa/nfl-2022-2023/new-orleans-saints-baltimore-ravens-lvCuGcyg/
NO,LV,24,0,usa/nfl-2022-2023/new-orleans-saints-las-vegas-raiders-6sVf89wF/
ARI,NO,42,34,usa/nfl-2022-2023/arizona-cardinals-new-orleans-saints-rudZsDP9/
