team_1,team_2,score_1,score_2,game_url
MIN,NYJ,23,17,usa/nfl/minnesota-vikings-new-york-jets-AqsCQIf3/
NYJ,DEN,9,10,usa/nfl/new-york-jets-denver-broncos-x0xEKqJD/
NYJ,NE,24,3,usa/nfl/new-york-jets-new-england-patriots-K4ZXwDIr/
TEN,NYJ,17,24,usa/nfl/tennessee-titans-new-york-jets-l2KKWeBF/
SF,NYJ,32,19,usa/nfl/san-francisco-49ers-new-york-jets-GQ7CUAdf/
NYJ,NYG,10,6,usa/nfl/new-york-jets-new-york-giants-hWpDojZ9/
CAR,NYJ,12,15,usa/nfl/carolina-panthers-new-york-jets-n9l0VIRE/
NYJ,WSH,20,17,usa/nfl/new-york-jets-washington-commanders-S66slUxI/
NE,NYJ,3,17,usa/nfl-2023-2024/new-england-patriots-new-york-jets-vF9RKWmM/
CLE,NYJ,37,20,usa/nfl-2023-2024/cleveland-browns-new-york-jets-YFirhsEI/
NYJ,WSH,30,28,usa/nfl-2023-2024/new-york-jets-washington-commanders-IqFj2RyQ/
MIA,NYJ,30,0,usa/nfl-2023-2024/miami-dolphins-new-york-jets-WhdVwig8/
NYJ,HOU,30,6,usa/nfl-2023-2024/new-york-jets-houston-texans-t0Bov0mi/
NYJ,ATL,8,13,usa/nfl-2023-2024/new-york-jets-atlanta-falcons-xhloB1J4/
NYJ,MIA,13,34,usa/nfl-2023-2024/new-york-jets-miami-dolphins-fkQzgg64/
BUF,NYJ,32,6,usa/nfl-2023-2024/buffalo-bills-new-york-jets-6B6G3bfs/
LV,NYJ,16,12,usa/nfl-2023-2024/las-vegas-raiders-new-york-jets-CUMDmn4q/
NYJ,LAC,6,27,usa/nfl-2023-2024/new-york-jets-los-angeles-chargers-tS70tVdG/
NYG,NYJ,10,13,usa/nfl-2023-2024/new-york-giants-new-york-jets-O6wYVMxs/
NYJ,PHI,20,14,usa/nfl-2023-2024/new-york-jets-philadelphia-eagles-WzewCSo8/
DEN,NYJ,21,31,usa/nfl-2023-2024/denver-broncos-new-york-jets-drO8w8uq/
NYJ,KC,20,23,usa/nfl-2023-2024/new-york-jets-kansas-city-chiefs-boqm6I3B/
NYJ,NE,10,15,usa/nfl-2023-2024/new-york-jets-new-england-patriots-Y3VRsrLg/
DAL,NYJ,30,10,usa/nfl-2023-2024/dallas-cowboys-new-york-jets-bPk8lgx9/
NYJ,BUF,22,16,usa/nfl-2023-2024/new-york-jets-buffalo-bills-vayFEucp/
NYG,NYJ,24,32,usa/nfl-2023-2024/new-york-giants-new-york-jets-nRcGza3G/
NYJ,TB,6,13,usa/nfl-2023-2024/new-york-jets-tampa-bay-buccaneers-dx53w1Jc/
CAR,NYJ,0,27,usa/nfl-2023-2024/carolina-panthers-new-york-jets-CEWpLJ3T/
CLE,NYJ,21,16,usa/nfl-2023-2024/cleveland-browns-new-york-jets-tfl3qZpe/
MIA,NYJ,11,6,usa/nfl-2022-2023/miami-dolphins-new-york-jets-2XnnCLRc/
SEA,NYJ,23,6,usa/nfl-2022-2023/seattle-seahawks-new-york-jets-Eypc0lgb/
NYJ,JAX,3,19,usa/nfl-2022-2023/new-york-jets-jacksonville-jaguars-CE46MYAg/
NYJ,DET,17,20,usa/nfl-2022-2023/new-york-jets-detroit-lions-KMdvJa41/
BUF,NYJ,20,12,usa/nfl-2022-2023/buffalo-bills-new-york-jets-KMWleaGP/
MIN,NYJ,27,22,usa/nfl-2022-2023/minnesota-vikings-new-york-jets-ELFd6s9K/
NYJ,CHI,31,10,usa/nfl-2022-2023/new-york-jets-chicago-bears-0vcHY2mk/
NE,NYJ,10,3,usa/nfl-2022-2023/new-england-patriots-new-york-jets-Y350tfkb/
NYJ,BUF,20,17,usa/nfl-2022-2023/new-york-jets-buffalo-bills-0xpJbd6I/
NYJ,NE,17,22,usa/nfl-2022-2023/new-york-jets-new-england-patriots-21CNjs8s/
DEN,NYJ,9,16,usa/nfl-2022-2023/denver-broncos-new-york-jets-drM8dCv3/
GB,NYJ,10,27,usa/nfl-2022-2023/green-bay-packers-new-york-jets-Uw5bn7ab/
NYJ,MIA,40,17,usa/nfl-2022-2023/new-york-jets-miami-dolphins-0biCzA0n/
PIT,NYJ,20,24,usa/nfl-2022-2023/pittsburgh-steelers-new-york-jets-Me8FHef7/
NYJ,CIN,12,27,usa/nfl-2022-2023/new-york-jets-cincinnati-bengals-SCeqGrJ2/
CLE,NYJ,30,31,usa/nfl-2022-2023/cleveland-browns-new-york-jets-rqWM2Yrn/
NYJ,BAL,9,24,usa/nfl-2022-2023/new-york-jets-baltimore-ravens-vcfpd89t/
NYJ,NYG,31,27,usa/nfl-2022-2023/new-york-jets-new-york-giants-n10IVPOl/
NYJ,ATL,24,16,usa/nfl-2022-2023/new-york-jets-atlanta-falcons-2X0fs263/
PHI,NYJ,21,24,usa/nfl-2022-2023/philadelphia-eagles-new-york-jets-MLwBECWa/
BUF,NYJ,27,10,usa/nfl-2021-2022/buffalo-bills-new-york-jets-2s2dV3em/
NYJ,TB,24,28,usa/nfl-2021-2022/new-york-jets-tampa-bay-buccaneers-4CJMm6C7/
NYJ,JAX,26,21,usa/nfl-2021-2022/new-york-jets-jacksonville-jaguars-tzQYleip/
MIA,NYJ,31,24,usa/nfl-2021-2022/miami-dolphins-new-york-jets-vmcLPaPO/
NYJ,NO,9,30,usa/nfl-2021-2022/new-york-jets-new-orleans-saints-GWMJYPwm/
NYJ,PHI,18,33,usa/nfl-2021-2022/new-york-jets-philadelphia-eagles-2eJHIDmk/
HOU,NYJ,14,21,usa/nfl-2021-2022/houston-texans-new-york-jets-t4BiEbd3/
NYJ,MIA,17,24,usa/nfl-2021-2022/new-york-jets-miami-dolphins-8jRvntDA/
NYJ,BUF,17,45,usa/nfl-2021-2022/new-york-jets-buffalo-bills-YuBnLC8f/
IND,NYJ,45,30,usa/nfl-2021-2022/indianapolis-colts-new-york-jets-QyyUGcH8/
NYJ,CIN,34,31,usa/nfl-2021-2022/new-york-jets-cincinnati-bengals-O4zUEGUN/
NE,NYJ,54,13,usa/nfl-2021-2022/new-england-patriots-new-york-jets-fB3v4aG5/
ATL,NYJ,27,20,usa/nfl-2021-2022/atlanta-falcons-new-york-jets-ARcCqYYL/
NYJ,TEN,27,24,usa/nfl-2021-2022/new-york-jets-tennessee-titans-EJxZCZcp/
DEN,NYJ,26,0,usa/nfl-2021-2022/denver-broncos-new-york-jets-nkjrNJLi/
NYJ,NE,6,25,usa/nfl-2021-2022/new-york-jets-new-england-patriots-bXu59uze/
CAR,NYJ,19,14,usa/nfl-2021-2022/carolina-panthers-new-york-jets-WGnr4pbF/
NYJ,PHI,31,31,usa/nfl-2021-2022/new-york-jets-philadelphia-eagles-tWyjbEnl/
GB,NYJ,14,23,usa/nfl-2021-2022/green-bay-packers-new-york-jets-IZLA1Syq/
NYG,NYJ,7,12,usa/nfl-2021-2022/new-york-giants-new-york-jets-nZ95Z9hj/
NE,NYJ,28,14,usa/nfl-2020-2021/new-england-patriots-new-york-jets-0fgqtGDK/
NYJ,CLE,23,16,usa/nfl-2020-2021/new-york-jets-cleveland-browns-0fwLqwcb/
LAR,NYJ,20,23,usa/nfl-2020-2021/los-angeles-rams-new-york-jets-GATREIcO/
