team_1,team_2,score_1,score_2,game_url
WSH,CLE,34,13,usa/nfl/washington-commanders-cleveland-browns-0vHzQaCj/
ARI,WSH,14,42,usa/nfl/arizona-cardinals-washington-commanders-QJcUMZas/
CIN,WSH,33,38,usa/nfl/cincinnati-bengals-washington-commanders-xvqZ2KiB/
WSH,NYG,21,18,usa/nfl/washington-commanders-new-york-giants-r1DTUZuS/
TB,WSH,37,20,usa/nfl/tampa-bay-buccaneers-washington-commanders-jDXA1kfo/
WSH,NE,20,10,usa/nfl/washington-commanders-new-england-patriots-hpQo0kl3/
MIA,WSH,13,6,usa/nfl/miami-dolphins-washington-commanders-v7TvOzKl/
NYJ,WSH,20,17,usa/nfl/new-york-jets-washington-commanders-S66slUxI/
WSH,DAL,10,38,usa/nfl-2023-2024/washington-commanders-dallas-cowboys-pGhAC8e2/
WSH,SF,10,27,usa/nfl-2023-2024/washington-commanders-san-francisco-49ers-OQmhmhSj/
NYJ,WSH,30,28,usa/nfl-2023-2024/new-york-jets-washington-commanders-IqFj2RyQ/
LAR,WSH,28,20,usa/nfl-2023-2024/los-angeles-rams-washington-commanders-b3tAW8or/
WSH,MIA,15,45,usa/nfl-2023-2024/washington-commanders-miami-dolphins-6Xu27JIT/
DAL,WSH,45,10,usa/nfl-2023-2024/dallas-cowboys-washington-commanders-YyHzaz9C/
WSH,NYG,19,31,usa/nfl-2023-2024/washington-commanders-new-york-giants-nNgrM6A8/
SEA,WSH,29,26,usa/nfl-2023-2024/seattle-seahawks-washington-commanders-6mpohSeS/
NE,WSH,17,20,usa/nfl-2023-2024/new-england-patriots-washington-commanders-dvYdM95p/
WSH,PHI,31,38,usa/nfl-2023-2024/washington-commanders-philadelphia-eagles-bPVpTKMa/
NYG,WSH,14,7,usa/nfl-2023-2024/new-york-giants-washington-commanders-QcWY02w7/
ATL,WSH,16,24,usa/nfl-2023-2024/atlanta-falcons-washington-commanders-p443ak22/
WSH,CHI,20,40,usa/nfl-2023-2024/washington-commanders-chicago-bears-fDxd4dYN/
PHI,WSH,34,31,usa/nfl-2023-2024/philadelphia-eagles-washington-commanders-xChSAtkt/
WSH,BUF,3,37,usa/nfl-2023-2024/washington-commanders-buffalo-bills-CfUVt2z0/
DEN,WSH,33,35,usa/nfl-2023-2024/denver-broncos-washington-commanders-hnkCmDiF/
WSH,ARI,20,16,usa/nfl-2023-2024/washington-commanders-arizona-cardinals-rZ0iNGwA/
WSH,CIN,21,19,usa/nfl-2023-2024/washington-commanders-cincinnati-bengals-A7RMQNZi/
WSH,BAL,29,28,usa/nfl-2023-2024/washington-commanders-baltimore-ravens-zkDvEpjn/
CLE,WSH,15,17,usa/nfl-2023-2024/cleveland-browns-washington-commanders-niP24zNK/
WSH,DAL,26,6,usa/nfl-2022-2023/washington-commanders-dallas-cowboys-WCv38wRM/
WSH,CLE,10,24,usa/nfl-2022-2023/washington-commanders-cleveland-browns-6Btk2AOo/
SF,WSH,37,20,usa/nfl-2022-2023/san-francisco-49ers-washington-commanders-Wxvqzhug/
WSH,NYG,12,20,usa/nfl-2022-2023/washington-commanders-new-york-giants-6suFDDo5/
NYG,WSH,20,20,usa/nfl-2022-2023/new-york-giants-washington-commanders-WdA151OQ/
WSH,ATL,19,13,usa/nfl-2022-2023/washington-commanders-atlanta-falcons-hnFOWtI1/
HOU,WSH,10,23,usa/nfl-2022-2023/houston-texans-washington-commanders-Qw2hrGKo/
PHI,WSH,21,32,usa/nfl-2022-2023/philadelphia-eagles-washington-commanders-bivVQEkB/
WSH,MIN,17,20,usa/nfl-2022-2023/washington-commanders-minnesota-vikings-vTrNcGLO/
IND,WSH,16,17,usa/nfl-2022-2023/indianapolis-colts-washington-commanders-hj5zluh0/
WSH,GB,23,21,usa/nfl-2022-2023/washington-commanders-green-bay-packers-ruI4chPd/
CHI,WSH,7,12,usa/nfl-2022-2023/chicago-bears-washington-commanders-K8N7Pqho/
WSH,TEN,17,21,usa/nfl-2022-2023/washington-commanders-tennessee-titans-YBkKYmVb/
DAL,WSH,25,10,usa/nfl-2022-2023/dallas-cowboys-washington-commanders-YVZRQaXK/
WSH,PHI,8,24,usa/nfl-2022-2023/washington-commanders-philadelphia-eagles-MBlhEMmF/
DET,WSH,36,27,usa/nfl-2022-2023/detroit-lions-washington-commanders-Q7LR1hbh/
WSH,JAX,28,22,usa/nfl-2022-2023/washington-commanders-jacksonville-jaguars-K8BseSOn/
BAL,WSH,17,15,usa/nfl-2022-2023/baltimore-ravens-washington-commanders-nwIVvU12/
KC,WSH,24,14,usa/nfl-2022-2023/kansas-city-chiefs-washington-commanders-UJtHTrx4/
WSH,CAR,21,23,usa/nfl-2022-2023/washington-commanders-carolina-panthers-UosJCj1C/
NYG,WSH,7,22,usa/nfl-2021-2022/new-york-giants-washington-commanders-hAJYFOe0/
WSH,PHI,16,20,usa/nfl-2021-2022/washington-commanders-philadelphia-eagles-8pQDkSse/
DAL,WSH,56,14,usa/nfl-2021-2022/dallas-cowboys-washington-commanders-zXR5ilDr/
PHI,WSH,27,17,usa/nfl-2021-2022/philadelphia-eagles-washington-commanders-thy4lq2P/
WSH,DAL,20,27,usa/nfl-2021-2022/washington-commanders-dallas-cowboys-2ZqcHO8C/
LV,WSH,15,17,usa/nfl-2021-2022/las-vegas-raiders-washington-commanders-SfQ8wFPE/
WSH,SEA,17,15,usa/nfl-2021-2022/washington-commanders-seattle-seahawks-SYlYQyt9/
CAR,WSH,21,27,usa/nfl-2021-2022/carolina-panthers-washington-commanders-nsQro0SG/
