team_1,team_2,score_1,score_2,game_url
SJ,ANA,0,2,usa/nhl/san-jose-sharks-anaheim-ducks-rZ6wGDJG/
SJ,ANA,2,3,usa/nhl/san-jose-sharks-anaheim-ducks-vgnABTo2/
ANA,LAK,0,4,usa/nhl/anaheim-ducks-los-angeles-kings-SG7AmKWF/
LAK,ANA,3,2,usa/nhl/los-angeles-kings-anaheim-ducks-z9k3kt23/
ANA,SJ,2,3,usa/nhl/anaheim-ducks-san-jose-sharks-YuH9DkHk/
SJ,ANA,3,4,usa/nhl/san-jose-sharks-anaheim-ducks-xAVwJBgS/
VGK,ANA,1,4,usa/nhl-2023-2024/vegas-golden-knights-anaheim-ducks-ERC2Osdm/
LAK,ANA,3,1,usa/nhl-2023-2024/los-angeles-kings-anaheim-ducks-Kntg8V5k/
ANA,CGY,3,6,usa/nhl-2023-2024/anaheim-ducks-calgary-flames-Glhg2cvh/
ANA,LAK,3,1,usa/nhl-2023-2024/anaheim-ducks-los-angeles-kings-KCPqsg7j/
ANA,SEA,1,3,usa/nhl-2023-2024/anaheim-ducks-seattle-kraken-4ExgkdrD/
CGY,ANA,3,5,usa/nhl-2023-2024/calgary-flames-anaheim-ducks-bw3zosiR/
VAN,ANA,3,2,usa/nhl-2023-2024/vancouver-canucks-anaheim-ducks-GIXcyFHo/
EDM,ANA,6,1,usa/nhl-2023-2024/edmonton-oilers-anaheim-ducks-MFEzKDnB/
SEA,ANA,4,2,usa/nhl-2023-2024/seattle-kraken-anaheim-ducks-Im9oFklF/
SEA,ANA,4,0,usa/nhl-2023-2024/seattle-kraken-anaheim-ducks-dIWE1WJF/
ANA,TB,2,3,usa/nhl-2023-2024/anaheim-ducks-tampa-bay-lightning-trzv0JrB/
ANA,CHI,4,0,usa/nhl-2023-2024/anaheim-ducks-chicago-blackhawks-EgyOYtpC/
ANA,MIN,0,4,usa/nhl-2023-2024/anaheim-ducks-minnesota-wild-MaCpLNFC/
WPG,ANA,6,0,usa/nhl-2023-2024/winnipeg-jets-anaheim-ducks-jaIYn9LL/
MIN,ANA,2,0,usa/nhl-2023-2024/minnesota-wild-anaheim-ducks-pIggVnMM/
CHI,ANA,7,2,usa/nhl-2023-2024/chicago-blackhawks-anaheim-ducks-6DFGHTiN/
ANA,NYI,1,6,usa/nhl-2023-2024/anaheim-ducks-new-york-islanders-prwp4ANN/
ANA,DAL,2,6,usa/nhl-2023-2024/anaheim-ducks-dallas-stars-pOAbhDOB/
ANA,OTT,2,1,usa/nhl-2023-2024/anaheim-ducks-ottawa-senators-EydZUhpU/
ANA,VAN,1,2,usa/nhl-2023-2024/anaheim-ducks-vancouver-canucks-Ikr1ULgJ/
ANA,NJ,4,3,usa/nhl-2023-2024/anaheim-ducks-new-jersey-devils-8AgCnaaJ/
SJ,ANA,4,6,usa/nhl-2023-2024/san-jose-sharks-anaheim-ducks-0pj4lLU6/
ANA,NSH,2,4,usa/nhl-2023-2024/anaheim-ducks-nashville-predators-SbxxaEnc/
LAK,ANA,3,2,usa/nhl-2023-2024/los-angeles-kings-anaheim-ducks-MLFArg2G/
ANA,CBJ,4,7,usa/nhl-2023-2024/anaheim-ducks-columbus-blue-jackets-llLTAEto/
BUF,ANA,3,4,usa/nhl-2023-2024/buffalo-sabres-anaheim-ducks-vcKJF3SC/
TOR,ANA,9,2,usa/nhl-2023-2024/toronto-maple-leafs-anaheim-ducks-2Lf9Ky7B/
OTT,ANA,1,5,usa/nhl-2023-2024/ottawa-senators-anaheim-ducks-tE6tN9BC/
MTL,ANA,5,0,usa/nhl-2023-2024/montreal-canadiens-anaheim-ducks-tEUlXgZJ/
ANA,EDM,3,5,usa/nhl-2023-2024/anaheim-ducks-edmonton-oilers-EwB7KGkE/
ANA,SJ,3,2,usa/nhl-2023-2024/anaheim-ducks-san-jose-sharks-juvlkqIu/
MIN,ANA,2,3,usa/nhl-2023-2024/minnesota-wild-anaheim-ducks-t6UOlF6a/
DAL,ANA,4,3,usa/nhl-2023-2024/dallas-stars-anaheim-ducks-SvQ6rvpQ/
ANA,BUF,4,2,usa/nhl-2023-2024/anaheim-ducks-buffalo-sabres-t8ZWV00K/
ANA,NYR,2,5,usa/nhl-2023-2024/anaheim-ducks-new-york-rangers-EcZiVT99/
SJ,ANA,5,3,usa/nhl-2023-2024/san-jose-sharks-anaheim-ducks-jkJpv8oB/
WSH,ANA,2,0,usa/nhl-2023-2024/washington-capitals-anaheim-ducks-4CJSEiIa/
FLA,ANA,4,5,usa/nhl-2023-2024/florida-panthers-anaheim-ducks-O42dCbd1/
TB,ANA,5,1,usa/nhl-2023-2024/tampa-bay-lightning-anaheim-ducks-2RV0NO42/
CAR,ANA,6,3,usa/nhl-2023-2024/carolina-hurricanes-anaheim-ducks-j9wV3Fnp/
NSH,ANA,3,5,usa/nhl-2023-2024/nashville-predators-anaheim-ducks-KKanCwu4/
ANA,DET,2,3,usa/nhl-2023-2024/anaheim-ducks-detroit-red-wings-2T0TeIfN/
ANA,WPG,1,3,usa/nhl-2023-2024/anaheim-ducks-winnipeg-jets-prPqwO6f/
ANA,TOR,1,2,usa/nhl-2023-2024/anaheim-ducks-toronto-maple-leafs-boidnSq8/
ANA,EDM,2,7,usa/nhl-2023-2024/anaheim-ducks-edmonton-oilers-QH4QY8F8/
ANA,ARI,0,2,usa/nhl-2023-2024/anaheim-ducks-arizona-coyotes-vZLgIB61/
ANA,VGK,5,2,usa/nhl-2023-2024/anaheim-ducks-vegas-golden-knights-pCpbTyF2/
ANA,SEA,2,3,usa/nhl-2023-2024/anaheim-ducks-seattle-kraken-KC559sOT/
ANA,CGY,0,3,usa/nhl-2023-2024/anaheim-ducks-calgary-flames-6ZrD2MDp/
DET,ANA,3,4,usa/nhl-2023-2024/detroit-red-wings-anaheim-ducks-M9R19XUa/
NJ,ANA,1,5,usa/nhl-2023-2024/new-jersey-devils-anaheim-ducks-QsYhBg0m/
NYR,ANA,5,1,usa/nhl-2023-2024/new-york-rangers-anaheim-ducks-KtTv4xgK/
NYI,ANA,4,3,usa/nhl-2023-2024/new-york-islanders-anaheim-ducks-p4lxpH1l/
ANA,WPG,2,4,usa/nhl-2023-2024/anaheim-ducks-winnipeg-jets-buvTBdGH/
CHI,ANA,1,0,usa/nhl-2023-2024/chicago-blackhawks-anaheim-ducks-CIEvuVJi/
COL,ANA,3,2,usa/nhl-2023-2024/colorado-avalanche-anaheim-ducks-hfu2RBkh/
ANA,COL,4,3,usa/nhl-2023-2024/anaheim-ducks-colorado-avalanche-d47eE4f6/
ANA,WSH,4,5,usa/nhl-2023-2024/anaheim-ducks-washington-capitals-rsqSCiJ1/
VAN,ANA,3,1,usa/nhl-2023-2024/vancouver-canucks-anaheim-ducks-2kCLyPYm/
EDM,ANA,8,2,usa/nhl-2023-2024/edmonton-oilers-anaheim-ducks-MeEhYkSe/
ANA,LAK,2,5,usa/nhl-2023-2024/anaheim-ducks-los-angeles-kings-4vActKrN/
ANA,MTL,3,4,usa/nhl-2023-2024/anaheim-ducks-montreal-canadiens-dGTvTfjG/
ANA,FLA,1,2,usa/nhl-2023-2024/anaheim-ducks-florida-panthers-phWhGWO0/
COL,ANA,8,2,usa/nhl-2023-2024/colorado-avalanche-anaheim-ducks-UBnQEkDF/
NSH,ANA,2,3,usa/nhl-2023-2024/nashville-predators-anaheim-ducks-tj6Vh8jd/
ANA,SJ,4,1,usa/nhl-2023-2024/anaheim-ducks-san-jose-sharks-EZxr2CT9/
ANA,PHI,3,6,usa/nhl-2023-2024/anaheim-ducks-philadelphia-flyers-pt6hieFi/
ANA,PIT,0,2,usa/nhl-2023-2024/anaheim-ducks-pittsburgh-penguins-EyjnoxwC/
ANA,VGK,4,2,usa/nhl-2023-2024/anaheim-ducks-vegas-golden-knights-xvwGrqHD/
ANA,ARI,4,3,usa/nhl-2023-2024/anaheim-ducks-arizona-coyotes-reQqsWu9/
PIT,ANA,3,4,usa/nhl-2023-2024/pittsburgh-penguins-anaheim-ducks-p0fFRjtM/
PHI,ANA,4,7,usa/nhl-2023-2024/philadelphia-flyers-anaheim-ducks-OWQXEDdG/
BOS,ANA,3,4,usa/nhl-2023-2024/boston-bruins-anaheim-ducks-ldRlFMja/
CBJ,ANA,2,3,usa/nhl-2023-2024/columbus-blue-jackets-anaheim-ducks-2PzF2q7g/
ANA,BOS,1,3,usa/nhl-2023-2024/anaheim-ducks-boston-bruins-82yB3Pim/
ARI,ANA,2,1,usa/nhl-2023-2024/arizona-coyotes-anaheim-ducks-bXHSjn8s/
ANA,DAL,2,3,usa/nhl-2023-2024/anaheim-ducks-dallas-stars-82k6Zpw7/
ANA,CAR,6,3,usa/nhl-2023-2024/anaheim-ducks-carolina-hurricanes-fJeqsxuG/
VGK,ANA,4,1,usa/nhl-2023-2024/vegas-golden-knights-anaheim-ducks-bi2zqbA3/
ARI,ANA,7,1,usa/nhl-2023-2024/arizona-coyotes-anaheim-ducks-zPZB3b6d/
ANA,ARI,2,4,usa/nhl-2023-2024/anaheim-ducks-arizona-coyotes-pfH2QLD9/
LAK,ANA,4,1,usa/nhl-2023-2024/los-angeles-kings-anaheim-ducks-vJk5Ai1j/
ARI,ANA,4,5,usa/nhl-2023-2024/arizona-coyotes-anaheim-ducks-dYz84vij/
ANA,LAK,3,4,usa/nhl-2023-2024/anaheim-ducks-los-angeles-kings-8zaZFDwT/
ANA,SJ,4,2,usa/nhl-2023-2024/anaheim-ducks-san-jose-sharks-6afHHiUB/
SJ,ANA,2,4,usa/nhl-2023-2024/san-jose-sharks-anaheim-ducks-nclKi4Ak/
ANA,LAK,3,2,usa/nhl-2023-2024/anaheim-ducks-los-angeles-kings-Ey6QHZ8G/
ANA,LAK,3,5,usa/nhl-2022-2023/anaheim-ducks-los-angeles-kings-CAtIrItb/
ANA,VAN,2,3,usa/nhl-2022-2023/anaheim-ducks-vancouver-canucks-8O8Kpl5F/
ANA,COL,4,5,usa/nhl-2022-2023/anaheim-ducks-colorado-avalanche-4AM0J1Dn/
ARI,ANA,5,4,usa/nhl-2022-2023/arizona-coyotes-anaheim-ducks-xz3J6OTt/
ANA,EDM,1,3,usa/nhl-2022-2023/anaheim-ducks-edmonton-oilers-fNeEZ2uH/
CGY,ANA,5,4,usa/nhl-2022-2023/calgary-flames-anaheim-ducks-2TWzMqBH/
EDM,ANA,6,0,usa/nhl-2022-2023/edmonton-oilers-anaheim-ducks-byzKPRBh/
