team_1,team_2,score_1,score_2,game_url
ARI,EDM,5,2,usa/nhl-2023-2024/arizona-coyotes-edmonton-oilers-AVmEgQik/
CGY,ARI,6,5,usa/nhl-2023-2024/calgary-flames-arizona-coyotes-viqEcZhN/
EDM,ARI,2,3,usa/nhl-2023-2024/edmonton-oilers-arizona-coyotes-2olk3wPo/
VAN,ARI,3,4,usa/nhl-2023-2024/vancouver-canucks-arizona-coyotes-UwHOnIv5/
SEA,ARI,5,0,usa/nhl-2023-2024/seattle-kraken-arizona-coyotes-MH3S5xpi/
SJ,ARI,2,5,usa/nhl-2023-2024/san-jose-sharks-arizona-coyotes-Ye12UFNp/
ARI,VGK,7,4,usa/nhl-2023-2024/arizona-coyotes-vegas-golden-knights-r5yclGcJ/
ARI,VAN,1,2,usa/nhl-2023-2024/arizona-coyotes-vancouver-canucks-jyrFwaq1/
ARI,NYR,5,8,usa/nhl-2023-2024/arizona-coyotes-new-york-rangers-rVhQ77tk/
ARI,NSH,8,4,usa/nhl-2023-2024/arizona-coyotes-nashville-predators-zPJtGVY8/
ARI,CBJ,6,2,usa/nhl-2023-2024/arizona-coyotes-columbus-blue-jackets-IRXA2C49/
ARI,DAL,2,4,usa/nhl-2023-2024/arizona-coyotes-dallas-stars-rcHz1aT4/
ARI,SEA,2,1,usa/nhl-2023-2024/arizona-coyotes-seattle-kraken-Yc8lk2Uh/
DAL,ARI,5,2,usa/nhl-2023-2024/dallas-stars-arizona-coyotes-Sd3zroNP/
ARI,NJ,4,1,usa/nhl-2023-2024/arizona-coyotes-new-jersey-devils-4MMFnlic/
DET,ARI,1,4,usa/nhl-2023-2024/detroit-red-wings-arizona-coyotes-Gx2xZUMc/
MIN,ARI,4,1,usa/nhl-2023-2024/minnesota-wild-arizona-coyotes-OlQBI9xH/
CHI,ARI,7,4,usa/nhl-2023-2024/chicago-blackhawks-arizona-coyotes-6ivt5j8H/
ARI,DET,4,0,usa/nhl-2023-2024/arizona-coyotes-detroit-red-wings-O8MkfZga/
ARI,MIN,2,5,usa/nhl-2023-2024/arizona-coyotes-minnesota-wild-js9rdePn/
ARI,CHI,2,5,usa/nhl-2023-2024/arizona-coyotes-chicago-blackhawks-EcBBg23l/
WSH,ARI,2,5,usa/nhl-2023-2024/washington-capitals-arizona-coyotes-thVzsPJr/
OTT,ARI,3,5,usa/nhl-2023-2024/ottawa-senators-arizona-coyotes-QTKTR1pk/
TOR,ARI,4,2,usa/nhl-2023-2024/toronto-maple-leafs-arizona-coyotes-CMvgY37L/
MTL,ARI,4,2,usa/nhl-2023-2024/montreal-canadiens-arizona-coyotes-dYSIWjWG/
WPG,ARI,4,3,usa/nhl-2023-2024/winnipeg-jets-arizona-coyotes-MFz6Zhnb/
ARI,TOR,3,6,usa/nhl-2023-2024/arizona-coyotes-toronto-maple-leafs-E3WKFnLq/
ARI,EDM,3,6,usa/nhl-2023-2024/arizona-coyotes-edmonton-oilers-nmaTPWri/
COL,ARI,4,3,usa/nhl-2023-2024/colorado-avalanche-arizona-coyotes-Kf4IHPc0/
ARI,CAR,1,5,usa/nhl-2023-2024/arizona-coyotes-carolina-hurricanes-CUvu46T0/
ARI,MIN,1,3,usa/nhl-2023-2024/arizona-coyotes-minnesota-wild-pE7mEji8/
PHI,ARI,5,3,usa/nhl-2023-2024/philadelphia-flyers-arizona-coyotes-AJXA0XM8/
NSH,ARI,5,4,usa/nhl-2023-2024/nashville-predators-arizona-coyotes-dvjOxUU1/
ARI,VGK,2,3,usa/nhl-2023-2024/arizona-coyotes-vegas-golden-knights-bNhWlzOd/
CAR,ARI,3,1,usa/nhl-2023-2024/carolina-hurricanes-arizona-coyotes-z5kpdcEP/
TB,ARI,6,3,usa/nhl-2023-2024/tampa-bay-lightning-arizona-coyotes-llR2qKUJ/
FLA,ARI,6,2,usa/nhl-2023-2024/florida-panthers-arizona-coyotes-0hG3QvOs/
ARI,PIT,5,2,usa/nhl-2023-2024/arizona-coyotes-pittsburgh-penguins-nkjUBu9l/
ARI,NSH,3,2,usa/nhl-2023-2024/arizona-coyotes-nashville-predators-GWQXtA1h/
