date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
27-09-2024,munchen (ger),buffalo sabres (usa),0,5,0,Club_Friendly,world/club-friendly/munchen-buffalo-sabres-EFKNo6Mj/,541,469,550,495
26-09-2024,OTT,BUF,2,3,0,NHL,usa/nhl/ottawa-senators-buffalo-sabres-4hafCtbL/,-164,360,-156,380
24-09-2024,PIT,BUF,2,3,0,NHL,usa/nhl/pittsburgh-penguins-buffalo-sabres-GWIajay2/,-150,367,-133,383
23-09-2024,BUF,CBJ,6,1,1,NHL,usa/nhl/buffalo-sabres-columbus-blue-jackets-xfN62eT7/,-218,400,-196,428
21-09-2024,BUF,PIT,7,3,1,NHL,usa/nhl/buffalo-sabres-pittsburgh-penguins-UFKihL6k/,-256,420,-250,453
15-04-2024,TB,BUF,2,4,0,NHL_2023/2024,usa/nhl-2023-2024/tampa-bay-lightning-buffalo-sabres-xlA0RACR/,-106,336,100,378
13-04-2024,FLA,BUF,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-buffalo-sabres-GEcAGgb9/,-131,341,-116,378
11-04-2024,BUF,WSH,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-washington-capitals-Us7z4GE3/,117,320,125,358
09-04-2024,DAL,BUF,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/dallas-stars-buffalo-sabres-lUYDnFqT/,-133,349,-116,388
07-04-2024,DET,BUF,3,1,1,NHL_2023/2024,usa/nhl-2023-2024/detroit-red-wings-buffalo-sabres-04pQm4O5/,124,325,135,373
05-04-2024,BUF,PHI,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-philadelphia-flyers-UsVthbbf/,134,325,142,363
02-04-2024,BUF,WSH,6,2,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-washington-capitals-WYJJHrAD/,119,318,127,363
30-03-2024,BUF,TOR,0,3,0,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-toronto-maple-leafs-4v4uJX1H/,198,345,208,378
29-03-2024,BUF,NJ,5,2,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-new-jersey-devils-UNCkE93L/,175,349,190,400
27-03-2024,BUF,OTT,2,6,0,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-ottawa-senators-r9R85EXH/,117,335,129,368
24-03-2024,CGY,BUF,1,4,0,NHL_2023/2024,usa/nhl-2023-2024/calgary-flames-buffalo-sabres-KCVIFbeP/,177,328,190,351
21-03-2024,EDM,BUF,8,3,1,NHL_2023/2024,usa/nhl-2023-2024/edmonton-oilers-buffalo-sabres-rRKv2uRP/,-144,365,-135,400
19-03-2024,VAN,BUF,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/vancouver-canucks-buffalo-sabres-KhZqtb46/,-124,345,-115,388
18-03-2024,SEA,BUF,2,6,0,NHL_2023/2024,usa/nhl-2023-2024/seattle-kraken-buffalo-sabres-Ol25URhQ/,135,317,145,342
16-03-2024,DET,BUF,4,1,1,NHL_2023/2024,usa/nhl-2023-2024/detroit-red-wings-buffalo-sabres-bPZTOpaj/,162,319,170,351
14-03-2024,BUF,NYI,4,0,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-new-york-islanders-Gn5jBRUj/,150,321,160,357
12-03-2024,BUF,DET,7,3,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-detroit-red-wings-dM62Miwh/,125,329,135,368
09-03-2024,BUF,EDM,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-edmonton-oilers-Eky8qhaN/,228,338,245,373
07-03-2024,NSH,BUF,4,2,1,NHL_2023/2024,usa/nhl-2023-2024/nashville-predators-buffalo-sabres-8IJwcyAt/,-104,336,104,380
06-03-2024,TOR,BUF,2,1,1,NHL_2023/2024,usa/nhl-2023-2024/toronto-maple-leafs-buffalo-sabres-WC6UVYUN/,-113,343,-104,388
03-03-2024,BUF,WPG,2,5,0,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-winnipeg-jets-vaqcV1vD/,153,326,166,350
02-03-2024,BUF,VGK,7,2,1,NHL_2023/2024,usa/nhl-2023-2024/buffalo-sabres-vegas-golden-knights-MH5OkVQt/,144,301,156,370
29-02-2024,TB,BUF,2,3,0,NHL_2023/2024,usa/nhl-2023-2024/tampa-bay-lightning-buffalo-sabres-W4bmh3Vs/,102,334,110,374
27-02-2024,FLA,BUF,3,2,1,NHL_2023/2024,usa/nhl-2023-2024/florida-panthers-buffalo-sabres-txBpeWoM/,-141,357,-133,400
