team_1,team_2,score_1,score_2,game_url
CAR,TB,1,4,usa/nhl/carolina-hurricanes-tampa-bay-lightning-tzfDhJLh/
NSH,CAR,3,5,usa/nhl/nashville-predators-carolina-hurricanes-UHR7DBLh/
CAR,TB,2,1,usa/nhl/carolina-hurricanes-tampa-bay-lightning-d4TaFXjt/
CAR,NSH,4,6,usa/nhl/carolina-hurricanes-nashville-predators-GABiBLvP/
FLA,CAR,5,4,usa/nhl/florida-panthers-carolina-hurricanes-rqbpDsAC/
CAR,FLA,8,2,usa/nhl/carolina-hurricanes-florida-panthers-MT9yF3u0/
TB,CAR,1,2,usa/nhl/tampa-bay-lightning-carolina-hurricanes-E36TGPAm/
CAR,NYR,3,5,usa/nhl-2023-2024/carolina-hurricanes-new-york-rangers-OSYhcFLF/
NYR,CAR,1,4,usa/nhl-2023-2024/new-york-rangers-carolina-hurricanes-CMEWhIid/
CAR,NYR,4,3,usa/nhl-2023-2024/carolina-hurricanes-new-york-rangers-z3SEjIlC/
CAR,NYR,2,3,usa/nhl-2023-2024/carolina-hurricanes-new-york-rangers-G0CDhvKa/
NYR,CAR,4,3,usa/nhl-2023-2024/new-york-rangers-carolina-hurricanes-rmE5f0km/
NYR,CAR,4,3,usa/nhl-2023-2024/new-york-rangers-carolina-hurricanes-8d6icu1E/
CAR,NYI,6,3,usa/nhl-2023-2024/carolina-hurricanes-new-york-islanders-vPEm2cm3/
NYI,CAR,3,2,usa/nhl-2023-2024/new-york-islanders-carolina-hurricanes-6uSfTY5d/
NYI,CAR,2,3,usa/nhl-2023-2024/new-york-islanders-carolina-hurricanes-nwCgVfyp/
CAR,NYI,5,3,usa/nhl-2023-2024/carolina-hurricanes-new-york-islanders-GjkMm3iB/
CAR,NYI,3,1,usa/nhl-2023-2024/carolina-hurricanes-new-york-islanders-t2C4YS9d/
CBJ,CAR,6,3,usa/nhl-2023-2024/columbus-blue-jackets-carolina-hurricanes-nNazL8ke/
CHI,CAR,2,4,usa/nhl-2023-2024/chicago-blackhawks-carolina-hurricanes-88MmUCS8/
BOS,CAR,1,4,usa/nhl-2023-2024/boston-bruins-carolina-hurricanes-MHscjcp4/
CAR,CBJ,3,0,usa/nhl-2023-2024/carolina-hurricanes-columbus-blue-jackets-MJYYorgI/
CAR,WSH,4,2,usa/nhl-2023-2024/carolina-hurricanes-washington-capitals-C6KoiID0/
CAR,BOS,1,4,usa/nhl-2023-2024/carolina-hurricanes-boston-bruins-AwbGywED/
MTL,CAR,0,3,usa/nhl-2023-2024/montreal-canadiens-carolina-hurricanes-rV2qIiHN/
