team_1,team_2,score_1,score_2,game_url
MIN,SEA,4,5,usa/nhl/minnesota-wild-seattle-kraken-tAAMJeKi/
SEA,EDM,6,2,usa/nhl/seattle-kraken-edmonton-oilers-0d0tk3RG/
CGY,SEA,4,3,usa/nhl/calgary-flames-seattle-kraken-p0IEkmHl/
EDM,SEA,5,4,usa/nhl/edmonton-oilers-seattle-kraken-vDAKlTl2/
SEA,VAN,3,1,usa/nhl/seattle-kraken-vancouver-canucks-2ZqjVp3B/
VAN,SEA,3,1,usa/nhl/vancouver-canucks-seattle-kraken-zNhZYS3n/
SEA,CGY,1,6,usa/nhl/seattle-kraken-calgary-flames-vNemZRW7/
MIN,SEA,3,4,usa/nhl-2023-2024/minnesota-wild-seattle-kraken-zyEbPNts/
WPG,SEA,4,3,usa/nhl-2023-2024/winnipeg-jets-seattle-kraken-bX9qDEhA/
DAL,SEA,3,1,usa/nhl-2023-2024/dallas-stars-seattle-kraken-Yk85HZr3/
SEA,SJ,1,3,usa/nhl-2023-2024/seattle-kraken-san-jose-sharks-88zq0YDS/
SEA,ARI,5,0,usa/nhl-2023-2024/seattle-kraken-arizona-coyotes-MH3S5xpi/
ANA,SEA,1,3,usa/nhl-2023-2024/anaheim-ducks-seattle-kraken-4ExgkdrD/
LA,SEA,5,2,usa/nhl-2023-2024/los-angeles-kings-seattle-kraken-WnaCxJb7/
SJ,SEA,2,4,usa/nhl-2023-2024/san-jose-sharks-seattle-kraken-hrLFIOf7/
SEA,DAL,0,3,usa/nhl-2023-2024/seattle-kraken-dallas-stars-r9oWQnmR/
SEA,ANA,4,2,usa/nhl-2023-2024/seattle-kraken-anaheim-ducks-Im9oFklF/
SEA,ANA,4,0,usa/nhl-2023-2024/seattle-kraken-anaheim-ducks-dIWE1WJF/
SEA,MTL,1,5,usa/nhl-2023-2024/seattle-kraken-montreal-canadiens-MLHpBI3t/
ARI,SEA,2,1,usa/nhl-2023-2024/arizona-coyotes-seattle-kraken-Yc8lk2Uh/
VGK,SEA,3,1,usa/nhl-2023-2024/vegas-golden-knights-seattle-kraken-8GzSX0aI/
SEA,BUF,2,6,usa/nhl-2023-2024/seattle-kraken-buffalo-sabres-Ol25URhQ/
SEA,NSH,1,4,usa/nhl-2023-2024/seattle-kraken-nashville-predators-S2W4Qcze/
SEA,WSH,1,2,usa/nhl-2023-2024/seattle-kraken-washington-capitals-vugcU6yT/
SEA,VGK,4,5,usa/nhl-2023-2024/seattle-kraken-vegas-golden-knights-p4EKGm7T/
SEA,WPG,0,3,usa/nhl-2023-2024/seattle-kraken-winnipeg-jets-WQo3pYqH/
WPG,SEA,3,4,usa/nhl-2023-2024/winnipeg-jets-seattle-kraken-On3MXf0B/
CGY,SEA,2,4,usa/nhl-2023-2024/calgary-flames-seattle-kraken-lUA9zcGh/
SEA,EDM,1,2,usa/nhl-2023-2024/seattle-kraken-edmonton-oilers-bsJyQuF1/
SEA,PIT,2,0,usa/nhl-2023-2024/seattle-kraken-pittsburgh-penguins-Mgi0k1F0/
SEA,BOS,4,3,usa/nhl-2023-2024/seattle-kraken-boston-bruins-zPupchH9/
SEA,MIN,2,5,usa/nhl-2023-2024/seattle-kraken-minnesota-wild-l8H2pFX3/
SEA,VAN,5,2,usa/nhl-2023-2024/seattle-kraken-vancouver-canucks-AkCJzlc9/
SEA,DET,3,4,usa/nhl-2023-2024/seattle-kraken-detroit-red-wings-UPVUMKZu/
BOS,SEA,1,4,usa/nhl-2023-2024/boston-bruins-seattle-kraken-O46iDA6E/
NYI,SEA,1,2,usa/nhl-2023-2024/new-york-islanders-seattle-kraken-dvCgh9Ul/
NJ,SEA,3,1,usa/nhl-2023-2024/new-jersey-devils-seattle-kraken-bqU61D72/
PHI,SEA,3,2,usa/nhl-2023-2024/philadelphia-flyers-seattle-kraken-ImiKwAFe/
SJ,SEA,2,0,usa/nhl-2023-2024/san-jose-sharks-seattle-kraken-AoMuoX5O/
SEA,CBJ,4,2,usa/nhl-2023-2024/seattle-kraken-columbus-blue-jackets-2LIXngyC/
SEA,CHI,6,2,usa/nhl-2023-2024/seattle-kraken-chicago-blackhawks-0Sp8Nx80/
SEA,TOR,1,3,usa/nhl-2023-2024/seattle-kraken-toronto-maple-leafs-d416e9Go/
EDM,SEA,4,2,usa/nhl-2023-2024/edmonton-oilers-seattle-kraken-KzEIGUfG/
NYR,SEA,5,2,usa/nhl-2023-2024/new-york-rangers-seattle-kraken-j9FOFX2g/
PIT,SEA,3,0,usa/nhl-2023-2024/pittsburgh-penguins-seattle-kraken-2obnZL3E/
CBJ,SEA,4,7,usa/nhl-2023-2024/columbus-blue-jackets-seattle-kraken-dUrFaLCe/
WSH,SEA,1,4,usa/nhl-2023-2024/washington-capitals-seattle-kraken-277JAoLd/
BUF,SEA,2,5,usa/nhl-2023-2024/buffalo-sabres-seattle-kraken-E7UoEaAi/
SEA,OTT,4,1,usa/nhl-2023-2024/seattle-kraken-ottawa-senators-lGVzupxr/
SEA,VGK,3,0,usa/nhl-2023-2024/seattle-kraken-vegas-golden-knights-4dBXT85D/
SEA,PHI,2,1,usa/nhl-2023-2024/seattle-kraken-philadelphia-flyers-IPKcHVL7/
CGY,SEA,1,2,usa/nhl-2023-2024/calgary-flames-seattle-kraken-MBheFacj/
ANA,SEA,2,3,usa/nhl-2023-2024/anaheim-ducks-seattle-kraken-KC559sOT/
LA,SEA,1,2,usa/nhl-2023-2024/los-angeles-kings-seattle-kraken-MyY91SPh/
DAL,SEA,4,3,usa/nhl-2023-2024/dallas-stars-seattle-kraken-rXgXm9eg/
SEA,LA,2,3,usa/nhl-2023-2024/seattle-kraken-los-angeles-kings-fasNGFxQ/
SEA,CHI,7,1,usa/nhl-2023-2024/seattle-kraken-chicago-blackhawks-EqtgtZ0D/
SEA,FLA,4,0,usa/nhl-2023-2024/seattle-kraken-florida-panthers-QJ75kwvR/
SEA,MIN,0,3,usa/nhl-2023-2024/seattle-kraken-minnesota-wild-6aAaWcXl/
SEA,TB,3,4,usa/nhl-2023-2024/seattle-kraken-tampa-bay-lightning-vofJjSI3/
SEA,NJ,1,2,usa/nhl-2023-2024/seattle-kraken-new-jersey-devils-IFHnw9l4/
MTL,SEA,4,2,usa/nhl-2023-2024/montreal-canadiens-seattle-kraken-4rOFo02C/
OTT,SEA,2,0,usa/nhl-2023-2024/ottawa-senators-seattle-kraken-UPV2l2Ig/
TOR,SEA,4,3,usa/nhl-2023-2024/toronto-maple-leafs-seattle-kraken-l6EXYMI6/
CHI,SEA,4,3,usa/nhl-2023-2024/chicago-blackhawks-seattle-kraken-zcHx2z5q/
SEA,VAN,1,5,usa/nhl-2023-2024/seattle-kraken-vancouver-canucks-MXV5sf59/
SEA,SJ,7,1,usa/nhl-2023-2024/seattle-kraken-san-jose-sharks-hzTyorUi/
SEA,CGY,3,4,usa/nhl-2023-2024/seattle-kraken-calgary-flames-hngu8gEj/
VAN,SEA,3,4,usa/nhl-2023-2024/vancouver-canucks-seattle-kraken-rD35EeyN/
SEA,NYI,4,3,usa/nhl-2023-2024/seattle-kraken-new-york-islanders-byUtJYvr/
EDM,SEA,4,3,usa/nhl-2023-2024/edmonton-oilers-seattle-kraken-zTyG3vN4/
SEA,COL,1,5,usa/nhl-2023-2024/seattle-kraken-colorado-avalanche-dbSn1WrG/
SEA,EDM,1,4,usa/nhl-2023-2024/seattle-kraken-edmonton-oilers-69siaPVI/
COL,SEA,3,4,usa/nhl-2023-2024/colorado-avalanche-seattle-kraken-dOBwzfpH/
ARI,SEA,4,3,usa/nhl-2023-2024/arizona-coyotes-seattle-kraken-d0esnIN5/
SEA,CGY,3,6,usa/nhl-2023-2024/seattle-kraken-calgary-flames-0SKLcCfE/
SEA,NSH,4,2,usa/nhl-2023-2024/seattle-kraken-nashville-predators-feLPXR2e/
TB,SEA,3,4,usa/nhl-2023-2024/tampa-bay-lightning-seattle-kraken-OjgJQAeS/
FLA,SEA,3,2,usa/nhl-2023-2024/florida-panthers-seattle-kraken-2NPyEXBM/
