team_1,team_2,score_1,score_2,game_url
CAR,TB,1,4,usa/nhl/carolina-hurricanes-tampa-bay-lightning-tzfDhJLh/
CAR,TB,2,1,usa/nhl/carolina-hurricanes-tampa-bay-lightning-d4TaFXjt/
TB,FLA,1,2,usa/nhl/tampa-bay-lightning-florida-panthers-2ojVGpSp/
FLA,TB,1,3,usa/nhl/florida-panthers-tampa-bay-lightning-W2aaM64N/
NSH,TB,6,0,usa/nhl/nashville-predators-tampa-bay-lightning-C0qbOSZA/
TB,FLA,8,7,usa/nhl/tampa-bay-lightning-florida-panthers-hdCX77kU/
TB,CAR,1,2,usa/nhl/tampa-bay-lightning-carolina-hurricanes-E36TGPAm/
FLA,TB,6,1,usa/nhl-2023-2024/florida-panthers-tampa-bay-lightning-EJW4km1D/
TB,FLA,6,3,usa/nhl-2023-2024/tampa-bay-lightning-florida-panthers-84YO3Fs9/
TB,FLA,3,5,usa/nhl-2023-2024/tampa-bay-lightning-florida-panthers-hdjxtCk2/
FLA,TB,3,2,usa/nhl-2023-2024/florida-panthers-tampa-bay-lightning-KrhUsYKk/
FLA,TB,3,2,usa/nhl-2023-2024/florida-panthers-tampa-bay-lightning-8SAwPbmD/
TB,TOR,6,4,usa/nhl-2023-2024/tampa-bay-lightning-toronto-maple-leafs-UJWGf6xq/
TB,BUF,2,4,usa/nhl-2023-2024/tampa-bay-lightning-buffalo-sabres-xlA0RACR/
WSH,TB,4,2,usa/nhl-2023-2024/washington-capitals-tampa-bay-lightning-MB0IEXSL/
TB,OTT,2,3,usa/nhl-2023-2024/tampa-bay-lightning-ottawa-senators-rsLSoxfB/
TB,CBJ,5,2,usa/nhl-2023-2024/tampa-bay-lightning-columbus-blue-jackets-AwzAmeUM/
PIT,TB,5,4,usa/nhl-2023-2024/pittsburgh-penguins-tampa-bay-lightning-Mk7wc81J/
MTL,TB,4,7,usa/nhl-2023-2024/montreal-canadiens-tampa-bay-lightning-MiGAMLQa/
TOR,TB,1,4,usa/nhl-2023-2024/toronto-maple-leafs-tampa-bay-lightning-INq7uLEl/
TB,DET,2,4,usa/nhl-2023-2024/tampa-bay-lightning-detroit-red-wings-z7QAJ4u1/
TB,NYI,4,1,usa/nhl-2023-2024/tampa-bay-lightning-new-york-islanders-WjZKTl38/
TB,BOS,3,1,usa/nhl-2023-2024/tampa-bay-lightning-boston-bruins-GKnGaAlS/
ANA,TB,2,3,usa/nhl-2023-2024/anaheim-ducks-tampa-bay-lightning-trzv0JrB/
LA,TB,4,3,usa/nhl-2023-2024/los-angeles-kings-tampa-bay-lightning-OhpApvqO/
SJ,TB,1,4,usa/nhl-2023-2024/san-jose-sharks-tampa-bay-lightning-n7ZVWKEO/
VGK,TB,3,5,usa/nhl-2023-2024/vegas-golden-knights-tampa-bay-lightning-EgaWrR7J/
FLA,TB,3,5,usa/nhl-2023-2024/florida-panthers-tampa-bay-lightning-rDLJo863/
TB,NYR,6,3,usa/nhl-2023-2024/tampa-bay-lightning-new-york-rangers-lj0pX8iA/
TB,PHI,7,0,usa/nhl-2023-2024/tampa-bay-lightning-philadelphia-flyers-WEqHAfvt/
TB,CGY,3,6,usa/nhl-2023-2024/tampa-bay-lightning-calgary-flames-pAqimz0b/
TB,MTL,4,3,usa/nhl-2023-2024/tampa-bay-lightning-montreal-canadiens-lAjpY3ff/
TB,BUF,2,3,usa/nhl-2023-2024/tampa-bay-lightning-buffalo-sabres-W4bmh3Vs/
PHI,TB,6,2,usa/nhl-2023-2024/philadelphia-flyers-tampa-bay-lightning-KS9lfj1S/
NJ,TB,1,4,usa/nhl-2023-2024/new-jersey-devils-tampa-bay-lightning-YeJEsDHM/
NYI,TB,2,4,usa/nhl-2023-2024/new-york-islanders-tampa-bay-lightning-KhguTD2T/
TB,WSH,3,5,usa/nhl-2023-2024/tampa-bay-lightning-washington-capitals-CM6OWe34/
TB,OTT,2,4,usa/nhl-2023-2024/tampa-bay-lightning-ottawa-senators-rFhxOAD3/
TB,FLA,2,9,usa/nhl-2023-2024/tampa-bay-lightning-florida-panthers-bNKZPmjK/
TB,COL,6,3,usa/nhl-2023-2024/tampa-bay-lightning-colorado-avalanche-xCnS68qr/
BOS,TB,2,3,usa/nhl-2023-2024/boston-bruins-tampa-bay-lightning-rXVIbBiL/
CBJ,TB,2,4,usa/nhl-2023-2024/columbus-blue-jackets-tampa-bay-lightning-lEnGvj0k/
NYI,TB,6,2,usa/nhl-2023-2024/new-york-islanders-tampa-bay-lightning-WG0pRWVk/
NYR,TB,3,1,usa/nhl-2023-2024/new-york-rangers-tampa-bay-lightning-rgq8pLWA/
TB,NJ,6,3,usa/nhl-2023-2024/tampa-bay-lightning-new-jersey-devils-fkWGjyxm/
TB,ARI,6,3,usa/nhl-2023-2024/tampa-bay-lightning-arizona-coyotes-llR2qKUJ/
PHI,TB,3,6,usa/nhl-2023-2024/philadelphia-flyers-tampa-bay-lightning-zBrs9wg7/
DET,TB,2,1,usa/nhl-2023-2024/detroit-red-wings-tampa-bay-lightning-r1DOWPwo/
BUF,TB,1,3,usa/nhl-2023-2024/buffalo-sabres-tampa-bay-lightning-rJSPrWWu/
TB,MIN,7,3,usa/nhl-2023-2024/tampa-bay-lightning-minnesota-wild-UF2jUWHn/
TB,ANA,5,1,usa/nhl-2023-2024/tampa-bay-lightning-anaheim-ducks-2RV0NO42/
TB,NJ,4,3,usa/nhl-2023-2024/tampa-bay-lightning-new-jersey-devils-bZtw2gHd/
TB,LA,3,2,usa/nhl-2023-2024/tampa-bay-lightning-los-angeles-kings-hbTkDJPc/
BOS,TB,7,3,usa/nhl-2023-2024/boston-bruins-tampa-bay-lightning-jZMLxwlo/
MIN,TB,1,4,usa/nhl-2023-2024/minnesota-wild-tampa-bay-lightning-bD9Ta9ks/
WPG,TB,4,2,usa/nhl-2023-2024/winnipeg-jets-tampa-bay-lightning-zD51QpNl/
TB,MTL,4,3,usa/nhl-2023-2024/tampa-bay-lightning-montreal-canadiens-CE0MZl02/
TB,NYR,1,5,usa/nhl-2023-2024/tampa-bay-lightning-new-york-rangers-tb6hwDrR/
TB,FLA,2,3,usa/nhl-2023-2024/tampa-bay-lightning-florida-panthers-rRxSQrg4/
WSH,TB,1,2,usa/nhl-2023-2024/washington-capitals-tampa-bay-lightning-bcHdB3gH/
TB,VGK,5,4,usa/nhl-2023-2024/tampa-bay-lightning-vegas-golden-knights-KjUUd4vO/
