team_1,team_2,score_1,score_2,game_url
WPG,CHI,2,1,usa/nhl/winnipeg-jets-chicago-blackhawks-f7ozOBAO/
EDM,WPG,0,6,usa/nhl/edmonton-oilers-winnipeg-jets-I1n0vCw8/
CGY,WPG,2,3,usa/nhl/calgary-flames-winnipeg-jets-hnizn7eB/
WPG,CGY,5,2,usa/nhl/winnipeg-jets-calgary-flames-6VhSmTQb/
MIN,WPG,8,5,usa/nhl/minnesota-wild-winnipeg-jets-pG4Jkkdn/
WPG,EDM,6,1,usa/nhl/winnipeg-jets-edmonton-oilers-fiP9VoBU/
EDM,WPG,3,2,usa/nhl/edmonton-oilers-winnipeg-jets-bPV0X7tI/
WPG,MIN,2,5,usa/nhl/winnipeg-jets-minnesota-wild-QBXhZTB5/
WPG,COL,3,6,usa/nhl-2023-2024/winnipeg-jets-colorado-avalanche-djYXeAu2/
COL,WPG,5,1,usa/nhl-2023-2024/colorado-avalanche-winnipeg-jets-Qq3IWPY9/
COL,WPG,6,2,usa/nhl-2023-2024/colorado-avalanche-winnipeg-jets-4UE9Yo4c/
WPG,COL,2,5,usa/nhl-2023-2024/winnipeg-jets-colorado-avalanche-viNNArCj/
WPG,COL,7,6,usa/nhl-2023-2024/winnipeg-jets-colorado-avalanche-MNvEK7X0/
WPG,VAN,4,2,usa/nhl-2023-2024/winnipeg-jets-vancouver-canucks-lMnIhp7e/
WPG,SEA,4,3,usa/nhl-2023-2024/winnipeg-jets-seattle-kraken-bX9qDEhA/
COL,WPG,0,7,usa/nhl-2023-2024/colorado-avalanche-winnipeg-jets-ABic1Hgb/
DAL,WPG,0,3,usa/nhl-2023-2024/dallas-stars-winnipeg-jets-bXNvqzvU/
NSH,WPG,3,4,usa/nhl-2023-2024/nashville-predators-winnipeg-jets-vkOBkKfn/
MIN,WPG,2,4,usa/nhl-2023-2024/minnesota-wild-winnipeg-jets-jX7RIwQO/
WPG,CGY,5,2,usa/nhl-2023-2024/winnipeg-jets-calgary-flames-IJ9JKaeC/
WPG,LAK,4,3,usa/nhl-2023-2024/winnipeg-jets-los-angeles-kings-CM0Omq78/
WPG,OTT,2,3,usa/nhl-2023-2024/winnipeg-jets-ottawa-senators-C47mHBWT/
WPG,VGK,1,4,usa/nhl-2023-2024/winnipeg-jets-vegas-golden-knights-zaCOMF2h/
WPG,EDM,3,4,usa/nhl-2023-2024/winnipeg-jets-edmonton-oilers-dhPd8Gma/
WSH,WPG,3,0,usa/nhl-2023-2024/washington-capitals-winnipeg-jets-AslShylC/
NYI,WPG,6,3,usa/nhl-2023-2024/new-york-islanders-winnipeg-jets-SbdBdJlm/
NJ,WPG,4,1,usa/nhl-2023-2024/new-jersey-devils-winnipeg-jets-GKShvxZI/
NYR,WPG,2,4,usa/nhl-2023-2024/new-york-rangers-winnipeg-jets-z5XXr0Km/
CBJ,WPG,1,6,usa/nhl-2023-2024/columbus-blue-jackets-winnipeg-jets-8jHi3U52/
WPG,ANA,6,0,usa/nhl-2023-2024/winnipeg-jets-anaheim-ducks-jaIYn9LL/
WPG,NSH,2,4,usa/nhl-2023-2024/winnipeg-jets-nashville-predators-ClqRTTEq/
WPG,WSH,3,0,usa/nhl-2023-2024/winnipeg-jets-washington-capitals-n7anyCM9/
VAN,WPG,5,0,usa/nhl-2023-2024/vancouver-canucks-winnipeg-jets-0jczvExi/
SEA,WPG,0,3,usa/nhl-2023-2024/seattle-kraken-winnipeg-jets-WQo3pYqH/
WPG,SEA,3,4,usa/nhl-2023-2024/winnipeg-jets-seattle-kraken-On3MXf0B/
BUF,WPG,2,5,usa/nhl-2023-2024/buffalo-sabres-winnipeg-jets-vaqcV1vD/
CAR,WPG,3,5,usa/nhl-2023-2024/carolina-hurricanes-winnipeg-jets-4KJXQLae/
DAL,WPG,4,1,usa/nhl-2023-2024/dallas-stars-winnipeg-jets-6qvcXNMR/
WPG,ARI,4,3,usa/nhl-2023-2024/winnipeg-jets-arizona-coyotes-MFz6Zhnb/
CHI,WPG,2,3,usa/nhl-2023-2024/chicago-blackhawks-winnipeg-jets-6H5SYRRL/
WPG,MIN,6,3,usa/nhl-2023-2024/winnipeg-jets-minnesota-wild-GSjpMlrG/
CGY,WPG,6,3,usa/nhl-2023-2024/calgary-flames-winnipeg-jets-QwbXOjbc/
VAN,WPG,2,4,usa/nhl-2023-2024/vancouver-canucks-winnipeg-jets-tCgDJeMH/
WPG,SJ,1,0,usa/nhl-2023-2024/winnipeg-jets-san-jose-sharks-pnDXOVt0/
WPG,PIT,2,1,usa/nhl-2023-2024/winnipeg-jets-pittsburgh-penguins-bVljChcf/
PHI,WPG,4,1,usa/nhl-2023-2024/philadelphia-flyers-winnipeg-jets-CYWOeXCD/
PIT,WPG,3,0,usa/nhl-2023-2024/pittsburgh-penguins-winnipeg-jets-CAlx5yjR/
WPG,TOR,2,4,usa/nhl-2023-2024/winnipeg-jets-toronto-maple-leafs-zFdRnxUr/
TOR,WPG,1,0,usa/nhl-2023-2024/toronto-maple-leafs-winnipeg-jets-KrnWk5pN/
BOS,WPG,4,1,usa/nhl-2023-2024/boston-bruins-winnipeg-jets-ze0AfTVi/
OTT,WPG,1,2,usa/nhl-2023-2024/ottawa-senators-winnipeg-jets-G27RE8PS/
WPG,NYI,4,2,usa/nhl-2023-2024/winnipeg-jets-new-york-islanders-v7FGd93p/
WPG,PHI,0,2,usa/nhl-2023-2024/winnipeg-jets-philadelphia-flyers-jssT5Dtb/
WPG,CHI,2,1,usa/nhl-2023-2024/winnipeg-jets-chicago-blackhawks-82mAkhdH/
WPG,CBJ,5,0,usa/nhl-2023-2024/winnipeg-jets-columbus-blue-jackets-CzYVyZRH/
ARI,WPG,2,6,usa/nhl-2023-2024/arizona-coyotes-winnipeg-jets-retFuHSh/
ANA,WPG,1,3,usa/nhl-2023-2024/anaheim-ducks-winnipeg-jets-prPqwO6f/
SJ,WPG,1,2,usa/nhl-2023-2024/san-jose-sharks-winnipeg-jets-S6Uvv4il/
WPG,TB,4,2,usa/nhl-2023-2024/winnipeg-jets-tampa-bay-lightning-zD51QpNl/
MIN,WPG,2,3,usa/nhl-2023-2024/minnesota-wild-winnipeg-jets-UkyxSxsd/
WPG,MIN,4,2,usa/nhl-2023-2024/winnipeg-jets-minnesota-wild-IcxbZKlM/
CHI,WPG,2,1,usa/nhl-2023-2024/chicago-blackhawks-winnipeg-jets-vm3jGurp/
WPG,BOS,5,1,usa/nhl-2023-2024/winnipeg-jets-boston-bruins-MsRaQP5i/
WPG,DET,5,2,usa/nhl-2023-2024/winnipeg-jets-detroit-red-wings-YNPOOCUn/
WPG,MTL,2,3,usa/nhl-2023-2024/winnipeg-jets-montreal-canadiens-GWQ58ip6/
WPG,COL,6,2,usa/nhl-2023-2024/winnipeg-jets-colorado-avalanche-KUtF4ZPl/
LAK,WPG,2,5,usa/nhl-2023-2024/los-angeles-kings-winnipeg-jets-pCSWidtq/
SJ,WPG,2,1,usa/nhl-2023-2024/san-jose-sharks-winnipeg-jets-EBj0A4dA/
ANA,WPG,2,4,usa/nhl-2023-2024/anaheim-ducks-winnipeg-jets-buvTBdGH/
COL,WPG,2,4,usa/nhl-2023-2024/colorado-avalanche-winnipeg-jets-bJ2haJWB/
WPG,CAR,2,1,usa/nhl-2023-2024/winnipeg-jets-carolina-hurricanes-b5NJpKHI/
WPG,CHI,3,1,usa/nhl-2023-2024/winnipeg-jets-chicago-blackhawks-MaSfjOms/
WPG,EDM,1,3,usa/nhl-2023-2024/winnipeg-jets-edmonton-oilers-WU3xYtYC/
WPG,DAL,0,2,usa/nhl-2023-2024/winnipeg-jets-dallas-stars-8lfmfXlF/
NSH,WPG,3,2,usa/nhl-2023-2024/nashville-predators-winnipeg-jets-hM9lZVCk/
FLA,WPG,0,3,usa/nhl-2023-2024/florida-panthers-winnipeg-jets-GK05qGzc/
TB,WPG,2,3,usa/nhl-2023-2024/tampa-bay-lightning-winnipeg-jets-2HzWUGL3/
WPG,ARI,5,2,usa/nhl-2023-2024/winnipeg-jets-arizona-coyotes-0lE0FyMG/
WPG,BUF,3,2,usa/nhl-2023-2024/winnipeg-jets-buffalo-sabres-vFNuKa7o/
WPG,NJ,6,3,usa/nhl-2023-2024/winnipeg-jets-new-jersey-devils-h4nB4K7b/
WPG,DAL,2,3,usa/nhl-2023-2024/winnipeg-jets-dallas-stars-0jPw4mHm/
WPG,NSH,6,3,usa/nhl-2023-2024/winnipeg-jets-nashville-predators-nqq3AkvK/
ARI,WPG,3,5,usa/nhl-2023-2024/arizona-coyotes-winnipeg-jets-APxUiM6e/
VGK,WPG,5,2,usa/nhl-2023-2024/vegas-golden-knights-winnipeg-jets-ClcgbOTR/
WPG,NYR,2,3,usa/nhl-2023-2024/winnipeg-jets-new-york-rangers-QXYBoopM/
MTL,WPG,4,3,usa/nhl-2023-2024/montreal-canadiens-winnipeg-jets-d0yKQq8d/
DET,WPG,1,4,usa/nhl-2023-2024/detroit-red-wings-winnipeg-jets-rVIRmG9h/
EDM,WPG,2,3,usa/nhl-2023-2024/edmonton-oilers-winnipeg-jets-M1kpywQn/
WPG,VGK,3,5,usa/nhl-2023-2024/winnipeg-jets-vegas-golden-knights-O6NJKHu6/
WPG,LAK,1,5,usa/nhl-2023-2024/winnipeg-jets-los-angeles-kings-xAkWTLIJ/
WPG,FLA,6,4,usa/nhl-2023-2024/winnipeg-jets-florida-panthers-2N5EhadD/
CGY,WPG,5,3,usa/nhl-2023-2024/calgary-flames-winnipeg-jets-G632e1Cf/
WPG,OTT,0,3,usa/nhl-2023-2024/winnipeg-jets-ottawa-senators-z57Qi17p/
CGY,WPG,5,4,usa/nhl-2023-2024/calgary-flames-winnipeg-jets-4MKbdsaT/
