date,tournament,team_1,team_2,score_1,score_2,result,avg_moneyline_1,avg_moneyline_2,avg_prob_1,game_url,espn_id,game_type,raw_prob_1,raw_prob_2,bookmaker_profit
21-08-2006,MLB_2006,SD,LAD,4,2,1,105,-116,0.4759,usa/mlb-2006/san-diego-padres-los-angeles-dodgers-0OtjvXUc/,260821125,2nd_half,0.5121,0.537,0.0491
21-08-2006,MLB_2006,TB,TEX,4,3,1,110,-132,0.4556,usa/mlb-2006/tampa-bay-rays-texas-rangers-vaiiW97O/,260821130,2nd_half,0.5238,0.5689,0.0927
21-08-2006,MLB_2006,SF,ARI,5,0,1,-116,105,0.524,usa/mlb-2006/san-francisco-giants-arizona-diamondbacks-ERpfwip4/,260821126,2nd_half,0.537,0.5121,0.0491
21-08-2006,MLB_2006,MIA,WSH,3,1,1,-135,114,0.5514,usa/mlb-2006/miami-marlins-washington-nationals-jgaaH9Np/,260821128,2nd_half,0.5744,0.5327,0.1071
21-08-2006,MLB_2006,CHC,PHI,5,6,0,110,-132,0.4556,usa/mlb-2006/chicago-cubs-philadelphia-phillies-IaiouDFi/,260821116,2nd_half,0.5238,0.5689,0.0927
21-08-2006,MLB_2006,CIN,HOU,4,3,1,-120,100,0.5217,usa/mlb-2006/cincinnati-reds-houston-astros-v9hstg0o/,260821117,2nd_half,0.5454,0.5,0.0454
22-06-2006,MLB_2006,BAL,MIA,5,8,0,-135,114,0.5514,usa/mlb-2006/baltimore-orioles-miami-marlins-Amangbom/,260622101,1st_half,0.5744,0.5327,0.1071
22-06-2006,MLB_2006,LAD,SEA,4,2,1,-125,104,0.5312,usa/mlb-2006/los-angeles-dodgers-seattle-mariners-SOgihI0g/,260622119,1st_half,0.5555,0.5098,0.0653
22-06-2006,MLB_2006,ATL,TOR,2,3,0,114,-135,0.4485,usa/mlb-2006/atlanta-braves-toronto-blue-jays-6FheixGa/,260622115,1st_half,0.5327,0.5744,0.1071
22-06-2006,MLB_2006,HOU,MIN,2,4,0,100,-120,0.4782,usa/mlb-2006/houston-astros-minnesota-twins-0xhajdV5/,260622118,1st_half,0.5,0.5454,0.0454
23-06-2006,MLB_2006,LAD,PIT,10,4,1,-125,104,0.5312,usa/mlb-2006/los-angeles-dodgers-pittsburgh-pirates-IDhyXTD1/,260623119,1st_half,0.5555,0.5098,0.0653
23-06-2006,MLB_2006,SD,SEA,2,1,1,-147,125,0.5724,usa/mlb-2006/san-diego-padres-seattle-mariners-WWGiLGUu/,260623125,1st_half,0.5951,0.5555,0.1506
23-06-2006,MLB_2006,SF,OAK,3,4,0,-152,129,0.58,usa/mlb-2006/san-francisco-giants-oakland-athletics-ANFeKzpn/,260623126,1st_half,0.6031,0.5633,0.1664
23-06-2006,MLB_2006,COL,TEX,6,8,0,-120,100,0.5217,usa/mlb-2006/colorado-rockies-texas-rangers-h6os1DqO/,260623127,1st_half,0.5454,0.5,0.0454
23-06-2006,MLB_2006,TB,ATL,3,4,0,129,-152,0.4199,usa/mlb-2006/tampa-bay-rays-atlanta-braves-0jXX4epa/,260623130,1st_half,0.5633,0.6031,0.1664
23-06-2006,MLB_2006,ARI,LAA,2,8,0,111,-111,0.526,usa/mlb-2006/arizona-diamondbacks-los-angeles-angels-69ko0XbU/,260623129,1st_half,0.526,0.526,0.052
23-06-2006,MLB_2006,MIN,CHC,7,2,1,-263,220,0.6986,usa/mlb-2006/minnesota-twins-chicago-cubs-KhmZ2ZEB/,260623109,1st_half,0.7245,0.6875,0.412
23-06-2006,MLB_2006,CHW,HOU,7,4,1,-175,154,0.6177,usa/mlb-2006/chicago-white-sox-houston-astros-bqnw2gUH/,260623104,1st_half,0.6363,0.6062,0.2425
23-06-2006,MLB_2006,CLE,CIN,0,3,0,-132,110,0.5443,usa/mlb-2006/cleveland-guardians-cincinnati-reds-KxaBmfFO/,260623105,1st_half,0.5689,0.5238,0.0927
24-06-2006,MLB_2006,LAD,PIT,7,0,1,-120,100,0.5217,usa/mlb-2006/los-angeles-dodgers-pittsburgh-pirates-d4iuWmT7/,260624119,1st_half,0.5454,0.5,0.0454
24-06-2006,MLB_2006,SD,SEA,5,9,0,111,-111,0.526,usa/mlb-2006/san-diego-padres-seattle-mariners-McNjHPZL/,260624125,1st_half,0.526,0.526,0.052
24-06-2006,MLB_2006,COL,TEX,11,6,1,-116,105,0.524,usa/mlb-2006/colorado-rockies-texas-rangers-lW9qJo59/,260624127,1st_half,0.537,0.5121,0.0491
24-06-2006,MLB_2006,DET,STL,7,6,1,-152,129,0.58,usa/mlb-2006/detroit-tigers-st-louis-cardinals-0ATlc4rj/,260624106,1st_half,0.6031,0.5633,0.1664
24-06-2006,MLB_2006,BAL,WSH,3,2,1,105,-116,0.4759,usa/mlb-2006/baltimore-orioles-washington-nationals-0C88HYT4/,260624101,1st_half,0.5121,0.537,0.0491
24-06-2006,MLB_2006,TB,ATL,3,2,1,-116,105,0.524,usa/mlb-2006/tampa-bay-rays-atlanta-braves-67KvKRk3/,260624130,1st_half,0.537,0.5121,0.0491
24-06-2006,MLB_2006,ARI,LAA,4,6,0,100,-120,0.4782,usa/mlb-2006/arizona-diamondbacks-los-angeles-angels-SM8mI5KF/,260624129,1st_half,0.5,0.5454,0.0454
24-06-2006,MLB_2006,MIN,CHC,3,0,1,-116,105,0.524,usa/mlb-2006/minnesota-twins-chicago-cubs-h4GzL7zc/,260624109,1st_half,0.537,0.5121,0.0491
24-06-2006,MLB_2006,CLE,CIN,4,0,1,105,-116,0.4759,usa/mlb-2006/cleveland-guardians-cincinnati-reds-CnCCGhqB/,260624105,1st_half,0.5121,0.537,0.0491
25-06-2006,MLB_2006,NYY,MIA,0,5,0,-167,145,0.6051,usa/mlb-2006/new-york-yankees-miami-marlins-dGyZT2JR/,260625310,1st_half,0.6254,0.5918,0.2172
26-06-2006,MLB_2006,NYY,ATL,5,2,1,-172,150,0.6125,usa/mlb-2006/new-york-yankees-atlanta-braves-fB73qrJE/,260626110,1st_half,0.6323,0.6,0.2323
26-06-2006,MLB_2006,CHC,MIL,0,6,0,100,-120,0.4782,usa/mlb-2006/chicago-cubs-milwaukee-brewers-OAqRgiLE/,260626116,1st_half,0.5,0.5454,0.0454
26-06-2006,MLB_2006,STL,CLE,3,10,0,-120,100,0.5217,usa/mlb-2006/st-louis-cardinals-cleveland-guardians-EDN4sMmR/,260626124,1st_half,0.5454,0.5,0.0454
26-06-2006,MLB_2006,LAA,COL,5,4,1,-161,140,0.5968,usa/mlb-2006/los-angeles-angels-colorado-rockies-pdEzx0Bl/,260626103,1st_half,0.6168,0.5833,0.2001
27-07-2006,MLB_2006,COL,SD,9,8,1,-116,105,0.524,usa/mlb-2006/colorado-rockies-san-diego-padres-IqD1U4Sq/,260727127,2nd_half,0.537,0.5121,0.0491
27-07-2006,MLB_2006,OAK,TOR,5,2,1,-116,105,0.524,usa/mlb-2006/oakland-athletics-toronto-blue-jays-tCNxzqkG/,260727111,2nd_half,0.537,0.5121,0.0491
27-07-2006,MLB_2006,KC,BAL,4,6,0,111,-111,0.526,usa/mlb-2006/kansas-city-royals-baltimore-orioles-nkOYzPZ9/,260727107,2nd_half,0.526,0.526,0.052
27-07-2006,MLB_2006,HOU,CIN,4,8,0,-116,105,0.524,usa/mlb-2006/houston-astros-cincinnati-reds-GzRZYpKS/,260727118,2nd_half,0.537,0.5121,0.0491
28-08-2006,MLB_2006,PIT,CHC,11,6,1,-132,110,0.5443,usa/mlb-2006/pittsburgh-pirates-chicago-cubs-AkCaUG2P/,260828123,2nd_half,0.5689,0.5238,0.0927
28-08-2006,MLB_2006,ARI,SD,7,4,1,-141,120,0.5627,usa/mlb-2006/arizona-diamondbacks-san-diego-padres-pr3RPzBt/,260828129,2nd_half,0.585,0.5454,0.1304
28-08-2006,MLB_2006,LAD,CIN,6,5,1,-161,140,0.5968,usa/mlb-2006/los-angeles-dodgers-cincinnati-reds-v52VOfQn/,260828119,2nd_half,0.6168,0.5833,0.2001
28-08-2006,MLB_2006,SEA,LAA,2,0,1,105,-116,0.4759,usa/mlb-2006/seattle-mariners-los-angeles-angels-rZMKkwKK/,260828112,2nd_half,0.5121,0.537,0.0491
28-08-2006,MLB_2006,NYM,PHI,8,3,1,-152,129,0.58,usa/mlb-2006/new-york-mets-philadelphia-phillies-UgZC6DAI/,260828121,2nd_half,0.6031,0.5633,0.1664
14-06-2007,MLB_2007,BOS,COL,1,7,0,-213,170,0.6475,usa/mlb-2007/boston-red-sox-colorado-rockies-SCZR02GE/,270614102,1st_half,0.6805,0.6296,0.3101
14-06-2007,MLB_2007,CIN,LAA,7,9,0,104,-135,0.4604,usa/mlb-2007/cincinnati-reds-los-angeles-angels-E99hn31L/,270614117,1st_half,0.5098,0.5744,0.0842
14-10-2007,MLB_2007,COL,ARI,4,1,1,-163,134,0.5918,usa/mlb-2007/colorado-rockies-arizona-diamondbacks-nmVmpTVf/,271014127,postseason,0.6197,0.5726,0.1923
15-04-2007,MLB_2007,LAD,SD,9,3,1,116,-116,0.537,usa/mlb-2007/los-angeles-dodgers-san-diego-padres-SbYfKpo1/,270415119,1st_half,0.537,0.537,0.074
15-04-2007,MLB_2007,OAK,NYY,5,4,1,116,-116,0.537,usa/mlb-2007/oakland-athletics-new-york-yankees-zVzkCKeO/,270415111,1st_half,0.537,0.537,0.074
15-04-2007,MLB_2007,ARI,COL,6,4,1,-132,100,0.5322,usa/mlb-2007/arizona-diamondbacks-colorado-rockies-EeUjLQVf/,270415129,1st_half,0.5689,0.5,0.0689
15-04-2007,MLB_2007,MIN,TB,4,6,0,-161,129,0.5855,usa/mlb-2007/minnesota-twins-tampa-bay-rays-v3stEtRB/,270415109,1st_half,0.6168,0.5633,0.1801
15-04-2007,MLB_2007,STL,MIL,10,2,1,111,-120,0.4649,usa/mlb-2007/st-louis-cardinals-milwaukee-brewers-trWrNn1r/,270415124,1st_half,0.526,0.5454,0.0714
15-05-2007,MLB_2007,SD,CIN,1,2,0,116,-116,0.537,usa/mlb-2007/san-diego-padres-cincinnati-reds-r1ymkCrT/,270515125,1st_half,0.537,0.537,0.074
15-05-2007,MLB_2007,TB,TEX,4,3,1,-147,114,0.5601,usa/mlb-2007/tampa-bay-rays-texas-rangers-dEEHRTVi/,270515130,1st_half,0.5951,0.5327,0.1278
15-05-2007,MLB_2007,LAD,STL,9,7,1,-161,129,0.5855,usa/mlb-2007/los-angeles-dodgers-st-louis-cardinals-tfWOfGEi/,270515119,1st_half,0.6168,0.5633,0.1801
15-05-2007,MLB_2007,WSH,ATL,2,6,0,165,-200,0.3614,usa/mlb-2007/washington-nationals-atlanta-braves-23XKedao/,270515120,1st_half,0.6226,0.6666,0.2892
15-05-2007,MLB_2007,COL,ARI,0,3,0,116,-116,0.537,usa/mlb-2007/colorado-rockies-arizona-diamondbacks-4AxqjhTM/,270515127,1st_half,0.537,0.537,0.074
15-05-2007,MLB_2007,HOU,SF,6,5,1,-120,111,0.535,usa/mlb-2007/houston-astros-san-francisco-giants-AZNuiYDG/,270515118,1st_half,0.5454,0.526,0.0714
15-05-2007,MLB_2007,NYM,CHC,1,10,0,-147,114,0.5601,usa/mlb-2007/new-york-mets-chicago-cubs-WrPyhEbA/,270515121,1st_half,0.5951,0.5327,0.1278
15-06-2007,MLB_2007,CHC,SD,4,1,1,-141,110,0.5512,usa/mlb-2007/chicago-cubs-san-diego-padres-CWFbbPvQ/,270615116,1st_half,0.585,0.5238,0.1088
15-06-2007,MLB_2007,OAK,STL,14,3,1,-192,154,0.6254,usa/mlb-2007/oakland-athletics-st-louis-cardinals-2BHcikqI/,270615111,1st_half,0.6575,0.6062,0.2637
15-06-2007,MLB_2007,CIN,TEX,6,7,0,-141,110,0.5512,usa/mlb-2007/cincinnati-reds-texas-rangers-llBseXqg/,270615117,1st_half,0.585,0.5238,0.1088
15-06-2007,MLB_2007,KC,MIA,6,2,1,116,-116,0.537,usa/mlb-2007/kansas-city-royals-miami-marlins-fRk8tYUa/,270615107,1st_half,0.537,0.537,0.074
15-06-2007,MLB_2007,BAL,ARI,3,7,0,-152,120,0.5702,usa/mlb-2007/baltimore-orioles-arizona-diamondbacks-Gzi4sEFg/,270615101,1st_half,0.6031,0.5454,0.1485
15-06-2007,MLB_2007,LAD,LAA,2,1,1,-120,111,0.535,usa/mlb-2007/los-angeles-dodgers-los-angeles-angels-2ikCuhp6/,270615119,1st_half,0.5454,0.526,0.0714
