Date,HomeTeam,AwayTeam,FTHG,FTAG,Season
19/04/2024,MIA,CHI,112,91,NBA_2024
17/04/2024,CHI,ATL,131,116,NBA_2024
14/04/2024,NY,CHI,120,119,NBA_2024
12/04/2024,WSH,CHI,127,129,NBA_2024
11/04/2024,DET,CHI,105,127,NBA_2024
09/04/2024,CHI,NY,117,128,NBA_2024
07/04/2024,ORL,CHI,113,98,NBA_2024
05/04/2024,CHI,NY,108,100,NBA_2024
01/04/2024,CHI,ATL,101,113,NBA_2024
31/03/2024,MIN,CHI,101,109,NBA_2024
29/03/2024,BKN,CHI,125,108,NBA_2024
27/03/2024,CHI,IND,125,99,NBA_2024
25/03/2024,CHI,WSH,105,107,NBA_2024
23/03/2024,CHI,BOS,113,124,NBA_2024
21/03/2024,HOU,CHI,127,117,NBA_2024
18/03/2024,CHI,POR,110,107,NBA_2024
16/03/2024,CHI,WSH,127,98,NBA_2024
14/03/2024,CHI,LAC,111,126,NBA_2024
13/03/2024,IND,CHI,129,132,NBA_2024
11/03/2024,CHI,DAL,92,127,NBA_2024
09/03/2024,LAC,CHI,112,102,NBA_2024
06/03/2024,UTAH,CHI,117,119,NBA_2024
04/03/2024,SAC,CHI,109,113,NBA_2024
01/03/2024,CHI,MIL,97,113,NBA_2024
28/02/2024,CHI,CLE,132,123,NBA_2024
27/02/2024,CHI,DET,95,105,NBA_2024
25/02/2024,NO,CHI,106,114,NBA_2024
22/02/2024,CHI,BOS,112,129,NBA_2024
14/02/2024,CLE,CHI,108,105,NBA_2024
12/02/2024,ATL,CHI,126,136,NBA_2024
10/02/2024,ORL,CHI,114,108,NBA_2024
08/02/2024,MEM,CHI,110,118,NBA_2024
06/02/2024,CHI,MIN,129,123,NBA_2024
03/02/2024,CHI,SAC,115,123,NBA_2024
31/01/2024,CHA,CHI,110,117,NBA_2024
30/01/2024,CHI,TOR,107,118,NBA_2024
28/01/2024,POR,CHI,96,104,NBA_2024
25/01/2024,LAL,CHI,141,132,NBA_2024
22/01/2024,PHX,CHI,115,113,NBA_2024
20/01/2024,CHI,MEM,125,96,NBA_2024
18/01/2024,TOR,CHI,110,116,NBA_2024
15/01/2024,CLE,CHI,109,91,NBA_2024
13/01/2024,SA,CHI,116,122,NBA_2024
10/01/2024,CHI,HOU,124,119,NBA_2024
08/01/2024,CHA,CHI,112,119,NBA_2024
05/01/2024,CHI,CHA,104,91,NBA_2024
03/01/2024,NY,CHI,116,100,NBA_2024
02/01/2024,PHI,CHI,110,97,NBA_2024
30/12/2023,CHI,PHI,105,92,NBA_2024
28/12/2023,CHI,IND,104,120,NBA_2024
26/12/2023,CHI,ATL,118,113,NBA_2024
23/12/2023,CHI,CLE,95,109,NBA_2024
21/12/2023,CHI,SA,114,95,NBA_2024
20/12/2023,CHI,LAL,124,108,NBA_2024
18/12/2023,PHI,CHI,104,108,NBA_2024
16/12/2023,MIA,CHI,118,116,NBA_2024
14/12/2023,MIA,CHI,116,124,NBA_2024
12/12/2023,CHI,DEN,106,114,NBA_2024
11/12/2023,MIL,CHI,133,129,NBA_2024
08/12/2023,SA,CHI,112,121,NBA_2024
06/12/2023,CHI,CHA,111,100,NBA_2024
02/12/2023,CHI,NO,124,118,NBA_2024
30/11/2023,CHI,MIL,120,113,NBA_2024
28/11/2023,BOS,CHI,124,97,NBA_2024
26/11/2023,BKN,CHI,118,109,NBA_2024
24/11/2023,TOR,CHI,121,108,NBA_2024
22/11/2023,OKC,CHI,116,102,NBA_2024
20/11/2023,CHI,MIA,100,118,NBA_2024
18/11/2023,CHI,MIA,102,97,NBA_2024
17/11/2023,CHI,ORL,97,103,NBA_2024
15/11/2023,CHI,ORL,94,96,NBA_2024
13/11/2023,MIL,CHI,118,109,NBA_2024
12/11/2023,CHI,DET,119,108,NBA_2024
08/11/2023,CHI,PHX,115,116,NBA_2024
06/11/2023,CHI,UTAH,130,113,NBA_2024
04/11/2023,DEN,CHI,123,101,NBA_2024
03/11/2023,CHI,BKN,107,109,NBA_2024
01/11/2023,DAL,CHI,114,105,NBA_2024
30/10/2023,IND,CHI,105,112,NBA_2024
28/10/2023,DET,CHI,118,102,NBA_2024
27/10/2023,CHI,TOR,104,103,NBA_2024
25/10/2023,CHI,OKC,104,124,NBA_2024
14/04/2023,MIA,CHI,102,91,NBA_2023
