Date,HomeTeam,AwayTeam,FTHG,FTAG
15/01/2024,BUF,PIT,31,17
06/01/2024,BAL,PIT,10,17
31/12/2023,SEA,PIT,23,30
23/12/2023,PIT,CIN,34,11
16/12/2023,IND,PIT,30,13
07/12/2023,PIT,NE,18,21
03/12/2023,PIT,ARI,10,24
26/11/2023,CIN,PIT,10,16
19/11/2023,CLE,PIT,13,10
12/11/2023,PIT,GB,23,19
02/11/2023,PIT,TEN,20,16
29/10/2023,PIT,JAX,10,20
22/10/2023,LAR,PIT,17,24
08/10/2023,PIT,BAL,17,10
01/10/2023,HOU,PIT,30,6
24/09/2023,LV,PIT,18,23
18/09/2023,PIT,CLE,26,22
10/09/2023,PIT,SF,7,30
08/01/2023,PIT,CLE,28,14
01/01/2023,BAL,PIT,13,16
24/12/2022,PIT,LV,13,10
18/12/2022,CAR,PIT,16,24
11/12/2022,PIT,BAL,14,16
04/12/2022,ATL,PIT,16,19
28/11/2022,IND,PIT,17,24
20/11/2022,PIT,CIN,30,37
13/11/2022,PIT,NO,20,10
30/10/2022,PHI,PIT,35,13
23/10/2022,MIA,PIT,16,10
16/10/2022,PIT,TB,20,18
09/10/2022,BUF,PIT,38,3
02/10/2022,PIT,NYJ,20,24
22/09/2022,CLE,PIT,29,17
18/09/2022,PIT,NE,14,17
11/09/2022,CIN,PIT,20,23
16/01/2022,KC,PIT,42,21
09/01/2022,BAL,PIT,13,16
03/01/2022,PIT,CLE,26,14
26/12/2021,KC,PIT,36,10
19/12/2021,PIT,TEN,19,13
09/12/2021,MIN,PIT,36,28
05/12/2021,PIT,BAL,20,19
28/11/2021,CIN,PIT,41,10
21/11/2021,LAC,PIT,41,37
14/11/2021,PIT,DET,16,16
08/11/2021,PIT,CHI,29,27
31/10/2021,CLE,PIT,10,15
17/10/2021,PIT,SEA,23,20
10/10/2021,PIT,DEN,27,19
03/10/2021,GB,PIT,27,17
26/09/2021,PIT,CIN,10,24
19/09/2021,PIT,LV,17,26
12/09/2021,BUF,PIT,16,23
10/01/2021,PIT,CLE,37,48
03/01/2021,CLE,PIT,24,22
27/12/2020,PIT,IND,28,24
21/12/2020,CIN,PIT,27,17
13/12/2020,BUF,PIT,26,15
07/12/2020,PIT,WSH,17,23
02/12/2020,PIT,BAL,19,14
22/11/2020,JAX,PIT,3,27
15/11/2020,PIT,CIN,36,10
08/11/2020,DAL,PIT,19,24
01/11/2020,BAL,PIT,24,28
25/10/2020,TEN,PIT,24,27
18/10/2020,PIT,CLE,38,7
11/10/2020,PIT,PHI,38,29
27/09/2020,PIT,HOU,28,21
20/09/2020,PIT,DEN,26,21
14/09/2020,NYG,PIT,16,26
29/12/2019,BAL,PIT,28,10
22/12/2019,NYJ,PIT,16,10
15/12/2019,PIT,BUF,10,17
08/12/2019,ARI,PIT,17,23
01/12/2019,PIT,CLE,20,13
24/11/2019,CIN,PIT,10,16
14/11/2019,CLE,PIT,21,7
10/11/2019,PIT,LAR,17,12
03/11/2019,PIT,IND,26,24
28/10/2019,PIT,MIA,27,14
13/10/2019,LAC,PIT,17,24
06/10/2019,PIT,BAL,23,26
30/09/2019,PIT,CIN,27,3
22/09/2019,SF,PIT,24,20
15/09/2019,PIT,SEA,26,28
08/09/2019,NE,PIT,33,3
30/12/2018,PIT,CIN,16,13
23/12/2018,NO,PIT,31,28
16/12/2018,PIT,NE,17,10
09/12/2018,LV,PIT,24,21
02/12/2018,PIT,LAC,30,33
