date,tournament,team_1,team_2,score_1,score_2,result,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2,avg_prob_1,high_prob_1,game_url,espn_id,game_type
17-04-2024,NHL_2024,NYI,PIT,5,4,1,173,318,183,363,0.3523,0.3351,usa/nhl-2023-2024/new-york-islanders-pittsburgh-penguins-dhsRsWd8/,401560531,regular_season
15-04-2024,NHL_2024,PIT,NSH,4,2,1,139,319,145,342,0.3034,0.2977,usa/nhl-2023-2024/pittsburgh-penguins-nashville-predators-fPKeSjcL/,401560517,regular_season
13-04-2024,NHL_2024,PIT,BOS,4,6,0,173,316,183,342,0.3537,0.3485,usa/nhl-2023-2024/pittsburgh-penguins-boston-bruins-tdsk9Bjq/,401560505,regular_season
11-04-2024,NHL_2024,PIT,DET,6,5,1,103,333,108,378,0.2362,0.2222,usa/nhl-2023-2024/pittsburgh-penguins-detroit-red-wings-Eoyu1EbM/,401560487,regular_season
08-04-2024,NHL_2024,TOR,PIT,3,2,1,112,339,121,374,0.2483,0.2444,usa/nhl-2023-2024/toronto-maple-leafs-pittsburgh-penguins-jmdkYIPB/,401560464,regular_season
06-04-2024,NHL_2024,PIT,TB,5,4,1,150,323,158,363,0.3171,0.3032,usa/nhl-2023-2024/pittsburgh-penguins-tampa-bay-lightning-Mk7wc81J/,401560444,regular_season
04-04-2024,NHL_2024,WSH,PIT,1,4,0,147,325,158,358,0.3114,0.3062,usa/nhl-2023-2024/washington-capitals-pittsburgh-penguins-xpj2at6K/,401560431,regular_season
02-04-2024,NHL_2024,NJ,PIT,3,6,0,-103,338,108,363,0.2335,0.2292,usa/nhl-2023-2024/new-jersey-devils-pittsburgh-penguins-px81tSnE/,401560418,regular_season
01-04-2024,NHL_2024,NYR,PIT,2,5,0,-118,343,-109,383,0.2559,0.2215,usa/nhl-2023-2024/new-york-rangers-pittsburgh-penguins-2gS2LQAl/,401560410,regular_season
30-03-2024,NHL_2024,CBJ,PIT,4,3,1,221,339,229,384,0.3946,0.3735,usa/nhl-2023-2024/columbus-blue-jackets-pittsburgh-penguins-GriY5oB1/,401560402,regular_season
28-03-2024,NHL_2024,PIT,CBJ,3,2,1,-144,374,-132,415,0.2779,0.2413,usa/nhl-2023-2024/pittsburgh-penguins-columbus-blue-jackets-URSjg8Re/,401560381,regular_season
26-03-2024,NHL_2024,PIT,CAR,4,1,1,241,344,254,374,0.4119,0.4044,usa/nhl-2023-2024/pittsburgh-penguins-carolina-hurricanes-8djKukcd/,401560366,regular_season
24-03-2024,NHL_2024,COL,PIT,5,4,1,-154,385,-143,430,0.2857,0.2495,usa/nhl-2023-2024/colorado-avalanche-pittsburgh-penguins-h8ON31qn/,401560352,regular_season
22-03-2024,NHL_2024,DAL,PIT,4,2,1,-121,353,-112,388,0.2552,0.224,usa/nhl-2023-2024/dallas-stars-pittsburgh-penguins-QX4tiOat/,401560337,regular_season
19-03-2024,NHL_2024,NJ,PIT,5,2,1,148,325,158,353,0.3128,0.3091,usa/nhl-2023-2024/new-jersey-devils-pittsburgh-penguins-8MwxP5Gm/,401560312,regular_season
17-03-2024,NHL_2024,PIT,DET,6,3,1,113,332,121,358,0.2539,0.2526,usa/nhl-2023-2024/pittsburgh-penguins-detroit-red-wings-GObcWmOD/,401560303,regular_season
16-03-2024,NHL_2024,PIT,NYR,4,7,0,150,318,159,347,0.3205,0.3142,usa/nhl-2023-2024/pittsburgh-penguins-new-york-rangers-xGYXN4Ed/,401560288,regular_season
14-03-2024,NHL_2024,PIT,SJ,6,3,1,-194,401,-172,450,0.326,0.2765,usa/nhl-2023-2024/pittsburgh-penguins-san-jose-sharks-Aa1tYlx4/,401560277,regular_season
12-03-2024,NHL_2024,OTT,PIT,2,1,1,160,323,173,368,0.3312,0.3197,usa/nhl-2023-2024/ottawa-senators-pittsburgh-penguins-rZheZkiM/,401560260,regular_season
10-03-2024,NHL_2024,PIT,EDM,0,4,0,210,336,225,355,0.3846,0.3879,usa/nhl-2023-2024/pittsburgh-penguins-edmonton-oilers-Eg1vwYic/,401560249,regular_season
09-03-2024,NHL_2024,BOS,PIT,5,1,1,-118,336,-111,363,0.2599,0.2341,usa/nhl-2023-2024/boston-bruins-pittsburgh-penguins-WvDAkB8U/,401560239,regular_season
07-03-2024,NHL_2024,PIT,WSH,0,6,0,-105,332,102,354,0.2402,0.2236,usa/nhl-2023-2024/pittsburgh-penguins-washington-capitals-dtiAE3uE/,401560224,regular_season
05-03-2024,NHL_2024,PIT,CBJ,5,3,1,-149,379,-137,420,0.2821,0.2459,usa/nhl-2023-2024/pittsburgh-penguins-columbus-blue-jackets-dtVvaOuR/,401560210,regular_season
03-03-2024,NHL_2024,EDM,PIT,6,1,1,-119,354,-109,380,0.2515,0.2229,usa/nhl-2023-2024/edmonton-oilers-pittsburgh-penguins-GGC1xJot/,401560201,regular_season
02-03-2024,NHL_2024,CGY,PIT,4,3,1,127,325,140,359,0.2809,0.2805,usa/nhl-2023-2024/calgary-flames-pittsburgh-penguins-pxpgWsP6/,401560195,regular_season
29-02-2024,NHL_2024,SEA,PIT,2,0,1,140,313,149,343,0.309,0.3028,usa/nhl-2023-2024/seattle-kraken-pittsburgh-penguins-Mgi0k1F0/,401560178,regular_season
27-02-2024,NHL_2024,VAN,PIT,3,4,0,106,325,114,369,0.2459,0.236,usa/nhl-2023-2024/vancouver-canucks-pittsburgh-penguins-x4nty6N2/,401560164,regular_season
25-02-2024,NHL_2024,PIT,PHI,7,6,1,-109,327,-102,369,0.25,0.2165,usa/nhl-2023-2024/pittsburgh-penguins-philadelphia-flyers-GK8JtXWS/,401560144,regular_season
22-02-2024,NHL_2024,PIT,MTL,4,1,1,-167,381,-154,426,0.3047,0.2655,usa/nhl-2023-2024/pittsburgh-penguins-montreal-canadiens-2P8BxASd/,401560120,regular_season
20-02-2024,NHL_2024,PIT,NYI,4,5,0,122,321,131,359,0.2753,0.2673,usa/nhl-2023-2024/pittsburgh-penguins-new-york-islanders-YHSoJxZ4/,401560105,regular_season
15-02-2024,NHL_2024,CHI,PIT,1,4,0,242,330,260,358,0.423,0.4207,usa/nhl-2023-2024/chicago-blackhawks-pittsburgh-penguins-G2oW5Sbl/,401560074,regular_season
14-02-2024,NHL_2024,PIT,FLA,2,5,0,175,321,190,363,0.3528,0.3435,usa/nhl-2023-2024/pittsburgh-penguins-florida-panthers-Wd46k7E7/,401560063,regular_season
10-02-2024,NHL_2024,WPG,PIT,2,1,1,103,324,112,370,0.2412,0.2323,usa/nhl-2023-2024/winnipeg-jets-pittsburgh-penguins-bVljChcf/,401560043,regular_season
09-02-2024,NHL_2024,MIN,PIT,3,2,1,172,329,185,359,0.3433,0.34,usa/nhl-2023-2024/minnesota-wild-pittsburgh-penguins-xEizlfw3/,401560030,regular_season
06-02-2024,NHL_2024,PIT,WPG,3,0,1,144,315,154,348,0.3137,0.3067,usa/nhl-2023-2024/pittsburgh-penguins-winnipeg-jets-CAlx5yjR/,401560016,regular_season
27-01-2024,NHL_2024,PIT,MTL,3,2,1,-134,356,-120,400,0.2734,0.2307,usa/nhl-2023-2024/pittsburgh-penguins-montreal-canadiens-bkZc44aG/,401559995,regular_season
26-01-2024,NHL_2024,PIT,FLA,2,3,0,172,330,185,369,0.3426,0.3339,usa/nhl-2023-2024/pittsburgh-penguins-florida-panthers-tn6sxxNg/,401559985,regular_season
22-01-2024,NHL_2024,ARI,PIT,5,2,1,206,332,225,369,0.3828,0.3787,usa/nhl-2023-2024/arizona-coyotes-pittsburgh-penguins-nkjUBu9l/,401559956,regular_season
20-01-2024,NHL_2024,VGK,PIT,3,2,1,172,326,184,349,0.3453,0.3452,usa/nhl-2023-2024/vegas-golden-knights-pittsburgh-penguins-pQXmwS0H/,401559944,regular_season
