Date,HomeTeam,AwayTeam,FTHG,FTAG
17/04/2024,NYI,PIT,5,4
15/04/2024,PIT,NSH,4,2
13/04/2024,PIT,BOS,4,6
11/04/2024,PIT,DET,6,5
08/04/2024,TOR,PIT,3,2
06/04/2024,PIT,TB,5,4
04/04/2024,WSH,PIT,1,4
02/04/2024,NJ,PIT,3,6
01/04/2024,NYR,PIT,2,5
30/03/2024,CBJ,PIT,4,3
28/03/2024,PIT,CBJ,3,2
26/03/2024,PIT,CAR,4,1
24/03/2024,COL,PIT,5,4
22/03/2024,DAL,PIT,4,2
19/03/2024,NJ,PIT,5,2
17/03/2024,PIT,DET,6,3
16/03/2024,PIT,NYR,4,7
14/03/2024,PIT,SJ,6,3
12/03/2024,OTT,PIT,2,1
10/03/2024,PIT,EDM,0,4
09/03/2024,BOS,PIT,5,1
07/03/2024,PIT,WSH,0,6
05/03/2024,PIT,CBJ,5,3
03/03/2024,EDM,PIT,6,1
02/03/2024,CGY,PIT,4,3
29/02/2024,SEA,PIT,2,0
27/02/2024,VAN,PIT,3,4
25/02/2024,PIT,PHI,7,6
22/02/2024,PIT,MTL,4,1
20/02/2024,PIT,NYI,4,5
18/02/2024,PIT,LA,1,2
15/02/2024,CHI,PIT,1,4
14/02/2024,PIT,FLA,2,5
10/02/2024,WPG,PIT,2,1
09/02/2024,MIN,PIT,3,2
06/02/2024,PIT,WPG,3,0
27/01/2024,PIT,MTL,3,2
26/01/2024,PIT,FLA,2,3
22/01/2024,ARI,PIT,5,2
20/01/2024,VGK,PIT,3,2
15/01/2024,PIT,SEA,3,0
13/01/2024,CAR,PIT,3,2
11/01/2024,PIT,VAN,3,4
08/01/2024,PHI,PIT,1,4
06/01/2024,PIT,BUF,1,3
04/01/2024,BOS,PIT,5,6
02/01/2024,PIT,WSH,3,4
31/12/2023,PIT,NYI,3,1
27/12/2023,NYI,PIT,0,7
23/12/2023,OTT,PIT,5,4
21/12/2023,PIT,CAR,2,1
18/12/2023,PIT,MIN,4,3
16/12/2023,TOR,PIT,7,0
13/12/2023,MTL,PIT,3,4
12/12/2023,PIT,ARI,4,2
08/12/2023,FLA,PIT,3,1
06/12/2023,TB,PIT,3,1
04/12/2023,PHI,PIT,2,1
02/12/2023,PIT,PHI,3,4
30/11/2023,TB,PIT,2,4
28/11/2023,NSH,PIT,3,2
25/11/2023,PIT,TOR,3,2
24/11/2023,BUF,PIT,3,2
22/11/2023,PIT,NYR,0,1
19/11/2023,PIT,VGK,3,0
18/11/2023,CAR,PIT,4,2
16/11/2023,PIT,NJ,2,5
14/11/2023,CBJ,PIT,3,5
11/11/2023,PIT,BUF,4,0
09/11/2023,LA,PIT,3,4
07/11/2023,ANA,PIT,0,2
04/11/2023,SJ,PIT,2,10
30/10/2023,PIT,ANA,3,4
28/10/2023,PIT,OTT,2,5
26/10/2023,PIT,COL,4,0
24/10/2023,PIT,DAL,1,4
18/10/2023,DET,PIT,6,3
14/10/2023,PIT,CGY,5,2
13/10/2023,WSH,PIT,0,4
10/10/2023,PIT,CHI,2,4
13/04/2023,CBJ,PIT,3,2
11/04/2023,PIT,CHI,2,5
08/04/2023,DET,PIT,1,5
06/04/2023,PIT,MIN,4,1
04/04/2023,NJ,PIT,5,1
02/04/2023,PIT,PHI,4,2
01/04/2023,PIT,BOS,3,4
30/03/2023,PIT,NSH,2,0
28/03/2023,DET,PIT,7,4
25/03/2023,PIT,WSH,4,3
23/03/2023,DAL,PIT,3,2
22/03/2023,COL,PIT,2,5
20/03/2023,PIT,OTT,1,2
18/03/2023,NYR,PIT,6,0
16/03/2023,NYR,PIT,4,2
14/03/2023,PIT,MTL,4,6
12/03/2023,PIT,NYR,3,2
11/03/2023,PIT,PHI,5,1
09/03/2023,PIT,NYI,3,4
07/03/2023,PIT,CBJ,5,4
04/03/2023,FLA,PIT,4,1
02/03/2023,TB,PIT,4,5
