team_NHL_2024,prediction_NHL_2024,team_NHL_2023,prediction_NHL_2023,team_NHL_2022,prediction_NHL_2022,team_NHL_2021,prediction_NHL_2021,team_NHL_2020,prediction_NHL_2020,team_NHL_2019,prediction_NHL_2019,team_NHL_2018,prediction_NHL_2018,team_NHL_2017,prediction_NHL_2017,team_NHL_2016,prediction_NHL_2016,team_NHL_2015,prediction_NHL_2015,team_NHL_2014,prediction_NHL_2014,team_NHL_2013,prediction_NHL_2013,team_NHL_2012,prediction_NHL_2012,team_NHL_2011,prediction_NHL_2011,team_NHL_2010,prediction_NHL_2010,team_NHL_2009,prediction_NHL_2009
NYR,0.06036932038499327,BOS,0.0946793225418715,COL,0.07267934008263412,TB,0.07047033115544316,TB,0.05944210836214862,TB,0.078572678618671,TB,0.0593101459240959,WSH,0.06202921694160673,WSH,0.06360963602723972,ANA,0.05590557189308829,ANA,0.057225435835793585,CHI,0.09239504178216328,PIT,0.049496146008988474,VAN,0.0601297972438573,CHI,0.06699831158180129,BOS,0.057223998444449274
FLA,0.05697096878431322,VGK,0.053587013120467444,FLA,0.05876581538653914,FLA,0.060103979272716004,PHI,0.04802403732965219,BOS,0.04940754465614206,NSH,0.05501457908493478,PIT,0.05563538989702873,PIT,0.052289337391198856,CHI,0.05568377432163844,BOS,0.0551648687067167,PIT,0.06909021666663483,NYR,0.048757787508332054,SJ,0.047414290878996054,SJ,0.05536975592382708,DET,0.05272701614628794
CAR,0.0491637564718726,CAR,0.04785354686864333,TB,0.053527836501271756,TOR,0.05624166956808119,COL,0.04798553397406087,CBJ,0.0443402787603971,VGK,0.05378560128841567,CBJ,0.047075126892720635,DAL,0.04968894484106454,NYR,0.054907433062170205,COL,0.05255040763276261,BOS,0.051776201777136384,NJ,0.047189998538203284,BOS,0.04574978805125682,WSH,0.05065330833515996,SJ,0.051741645500839074
DAL,0.04886630065750499,NJ,0.04580821173917592,CAR,0.051489879890328605,CAR,0.05622019809035603,BOS,0.046145367756244476,NYI,0.04215078385389802,WPG,0.053000016853285904,NYR,0.04469145911820569,STL,0.047640490020227265,TB,0.049606668283996326,STL,0.052079821839838954,ANA,0.048301224887270296,VAN,0.04662680583509123,DET,0.04527782859197034,ARI,0.05063402100936135,NJ,0.047796954640515
EDM,0.047119516628074225,COL,0.043242157118533325,TOR,0.05130421346534464,EDM,0.052374472203489196,WSH,0.04269988745956768,WSH,0.0416370975562093,WSH,0.05165262128020908,CHI,0.0427083942919381,TB,0.04505908795221744,STL,0.04802159439169518,SJ,0.050710706741830675,STL,0.04536702619048575,STL,0.04532351237720004,PIT,0.04381142331583124,VAN,0.049379848950563965,PIT,0.04571111212919246
COL,0.04555137560992859,EDM,0.0428775516229127,MIN,0.04799061239097639,PIT,0.04990389443943743,DAL,0.04060574572114864,CGY,0.041589616892233755,BOS,0.04370650356430762,EDM,0.04174496760436232,SJ,0.043128032256846596,MTL,0.04625514692522525,PIT,0.04816070642318797,LA,0.04313815308007022,NSH,0.04460088002683911,TB,0.04283332651495595,NSH,0.0446612208356392,WSH,0.04354473982585307
WPG,0.045415311730106614,TOR,0.04244877578471503,NYR,0.047040169904400894,WSH,0.04525127503128418,VGK,0.04042002796190156,STL,0.04106581147649734,TOR,0.04209326270388046,ANA,0.04162090852798356,CHI,0.04113956969415025,NSH,0.04293962222442908,LA,0.047385814488269194,SJ,0.03901789114986888,BOS,0.04335114334085023,WSH,0.041315239495177285,LA,0.04206757305292347,CHI,0.04265496417528758
VAN,0.044888945413329495,FLA,0.0380927941946975,BOS,0.04303068581124428,NYI,0.044984829098061334,NYI,0.03964486070335103,CAR,0.04034369768069132,PIT,0.03948017846834285,MIN,0.041119716862869936,LA,0.04045735751146348,VAN,0.04067189761655275,CHI,0.045637498995236905,MTL,0.03850998641705665,PHI,0.043101479603659565,ANA,0.04092153886235929,DET,0.03980851607032224,CGY,0.0406649695498822
BOS,0.03878115822430118,DAL,0.03792133480542118,STL,0.0430203325572666,WPG,0.04417322348258804,CAR,0.03812485822755328,TOR,0.0386227198473956,SJ,0.038461058824606605,MTL,0.04016872436726259,FLA,0.038890863245584745,NYI,0.039794925001297034,MTL,0.04139116587263776,DET,0.03776704958369807,DET,0.04241836505769396,LA,0.04055770701718282,PIT,0.03767231077213495,PHI,0.04017142955526672
NSH,0.036745842774790184,NYR,0.037524597133802844,EDM,0.041101159771117154,BOS,0.04285691415921559,STL,0.037900693395352965,WPG,0.03843868631238033,MIN,0.03542360571561948,OTT,0.039931878113609875,NYR,0.03885419903464635,MIN,0.03927641852380004,NYR,0.03816642363421108,TOR,0.03525253666452691,LA,0.04156282777774271,NSH,0.03849403987913505,NJ,0.037460555943349,VAN,0.03902158258784688
