Date,HomeTeam,AwayTeam,FTHG,FTAG,Season
01/10/2023,PIT,MIA,3,0,MLB_2023
30/09/2023,PIT,MIA,3,7,MLB_2023
29/09/2023,PIT,MIA,3,4,MLB_2023
28/09/2023,PHI,PIT,2,3,MLB_2023
27/09/2023,PHI,PIT,7,6,MLB_2023
26/09/2023,PHI,PIT,3,2,MLB_2023
24/09/2023,CIN,PIT,4,2,MLB_2023
23/09/2023,CIN,PIT,12,13,MLB_2023
22/09/2023,CIN,PIT,5,7,MLB_2023
21/09/2023,CHC,PIT,6,8,MLB_2023
20/09/2023,CHC,PIT,7,13,MLB_2023
19/09/2023,CHC,PIT,14,1,MLB_2023
17/09/2023,PIT,NYY,3,2,MLB_2023
16/09/2023,PIT,NYY,3,6,MLB_2023
15/09/2023,PIT,NYY,5,7,MLB_2023
14/09/2023,PIT,WSH,2,0,MLB_2023
13/09/2023,PIT,WSH,7,6,MLB_2023
12/09/2023,PIT,WSH,5,1,MLB_2023
11/09/2023,PIT,WSH,2,6,MLB_2023
10/09/2023,ATL,PIT,5,2,MLB_2023
09/09/2023,ATL,PIT,4,8,MLB_2023
08/09/2023,ATL,PIT,8,2,MLB_2023
06/09/2023,PIT,MIL,5,4,MLB_2023
05/09/2023,PIT,MIL,3,7,MLB_2023
04/09/2023,PIT,MIL,4,2,MLB_2023
03/09/2023,STL,PIT,6,4,MLB_2023
02/09/2023,STL,PIT,6,7,MLB_2023
01/09/2023,STL,PIT,2,4,MLB_2023
30/08/2023,KC,PIT,1,4,MLB_2023
29/08/2023,KC,PIT,3,6,MLB_2023
28/08/2023,KC,PIT,0,5,MLB_2023
27/08/2023,PIT,CHC,1,10,MLB_2023
26/08/2023,PIT,CHC,6,10,MLB_2023
25/08/2023,PIT,CHC,2,1,MLB_2023
24/08/2023,PIT,CHC,4,5,MLB_2023
23/08/2023,PIT,STL,4,6,MLB_2023
22/08/2023,PIT,STL,6,3,MLB_2023
21/08/2023,PIT,STL,11,1,MLB_2023
20/08/2023,MIN,PIT,2,0,MLB_2023
19/08/2023,MIN,PIT,4,7,MLB_2023
18/08/2023,MIN,PIT,5,1,MLB_2023
16/08/2023,NYM,PIT,8,3,MLB_2023
15/08/2023,NYM,PIT,4,7,MLB_2023
14/08/2023,NYM,PIT,7,2,MLB_2023
13/08/2023,PIT,CIN,5,6,MLB_2023
13/08/2023,PIT,CIN,4,2,MLB_2023
11/08/2023,PIT,CIN,2,9,MLB_2023
10/08/2023,PIT,ATL,7,5,MLB_2023
09/08/2023,PIT,ATL,5,6,MLB_2023
08/08/2023,PIT,ATL,6,8,MLB_2023
07/08/2023,PIT,ATL,7,6,MLB_2023
06/08/2023,MIL,PIT,1,4,MLB_2023
05/08/2023,MIL,PIT,3,2,MLB_2023
04/08/2023,MIL,PIT,4,8,MLB_2023
03/08/2023,MIL,PIT,14,1,MLB_2023
02/08/2023,PIT,DET,3,6,MLB_2023
01/08/2023,PIT,DET,4,1,MLB_2023
30/07/2023,PIT,PHI,6,4,MLB_2023
29/07/2023,PIT,PHI,7,6,MLB_2023
28/07/2023,PIT,PHI,1,2,MLB_2023
26/07/2023,SD,PIT,2,3,MLB_2023
25/07/2023,SD,PIT,5,1,MLB_2023
24/07/2023,SD,PIT,4,8,MLB_2023
23/07/2023,LAA,PIT,7,5,MLB_2023
22/07/2023,LAA,PIT,0,3,MLB_2023
21/07/2023,LAA,PIT,8,5,MLB_2023
19/07/2023,PIT,CLE,7,5,MLB_2023
18/07/2023,PIT,CLE,1,10,MLB_2023
17/07/2023,PIT,CLE,0,11,MLB_2023
16/07/2023,PIT,SF,4,8,MLB_2023
15/07/2023,PIT,SF,1,3,MLB_2023
14/07/2023,PIT,SF,4,6,MLB_2023
09/07/2023,ARI,PIT,2,4,MLB_2023
08/07/2023,ARI,PIT,3,2,MLB_2023
07/07/2023,ARI,PIT,7,3,MLB_2023
06/07/2023,LAD,PIT,5,2,MLB_2023
05/07/2023,LAD,PIT,6,4,MLB_2023
04/07/2023,LAD,PIT,7,9,MLB_2023
03/07/2023,LAD,PIT,5,2,MLB_2023
02/07/2023,PIT,MIL,3,6,MLB_2023
01/07/2023,PIT,MIL,8,11,MLB_2023
30/06/2023,PIT,MIL,8,7,MLB_2023
29/06/2023,PIT,SD,5,4,MLB_2023
28/06/2023,PIT,SD,7,1,MLB_2023
27/06/2023,PIT,SD,9,4,MLB_2023
25/06/2023,MIA,PIT,2,0,MLB_2023
24/06/2023,MIA,PIT,4,3,MLB_2023
23/06/2023,MIA,PIT,1,3,MLB_2023
22/06/2023,MIA,PIT,6,4,MLB_2023
21/06/2023,PIT,CHC,3,8,MLB_2023
20/06/2023,PIT,CHC,0,4,MLB_2023
19/06/2023,PIT,CHC,0,8,MLB_2023
18/06/2023,MIL,PIT,5,2,MLB_2023
17/06/2023,MIL,PIT,5,0,MLB_2023
16/06/2023,MIL,PIT,5,4,MLB_2023
15/06/2023,CHC,PIT,7,2,MLB_2023
14/06/2023,CHC,PIT,10,6,MLB_2023
13/06/2023,CHC,PIT,11,3,MLB_2023
11/06/2023,PIT,NYM,2,1,MLB_2023
10/06/2023,PIT,NYM,1,5,MLB_2023
09/06/2023,PIT,NYM,14,7,MLB_2023
07/06/2023,PIT,OAK,5,9,MLB_2023
06/06/2023,PIT,OAK,2,11,MLB_2023
05/06/2023,PIT,OAK,5,4,MLB_2023
04/06/2023,PIT,STL,2,1,MLB_2023
03/06/2023,PIT,STL,4,3,MLB_2023
02/06/2023,PIT,STL,7,5,MLB_2023
31/05/2023,SF,PIT,4,9,MLB_2023
30/05/2023,SF,PIT,1,2,MLB_2023
29/05/2023,SF,PIT,14,4,MLB_2023
28/05/2023,SEA,PIT,6,3,MLB_2023
27/05/2023,SEA,PIT,5,0,MLB_2023
26/05/2023,SEA,PIT,6,11,MLB_2023
24/05/2023,PIT,TEX,2,3,MLB_2023
23/05/2023,PIT,TEX,1,6,MLB_2023
22/05/2023,PIT,TEX,6,4,MLB_2023
21/05/2023,PIT,ARI,3,8,MLB_2023
20/05/2023,PIT,ARI,3,4,MLB_2023
19/05/2023,PIT,ARI,13,3,MLB_2023
17/05/2023,DET,PIT,0,8,MLB_2023
16/05/2023,DET,PIT,4,0,MLB_2023
14/05/2023,BAL,PIT,0,4,MLB_2023
13/05/2023,BAL,PIT,2,0,MLB_2023
12/05/2023,BAL,PIT,6,3,MLB_2023
10/05/2023,PIT,COL,3,4,MLB_2023
09/05/2023,PIT,COL,1,10,MLB_2023
08/05/2023,PIT,COL,2,0,MLB_2023
07/05/2023,PIT,TOR,1,10,MLB_2023
06/05/2023,PIT,TOR,2,8,MLB_2023
05/05/2023,PIT,TOR,0,4,MLB_2023
04/05/2023,TB,PIT,3,2,MLB_2023
03/05/2023,TB,PIT,8,1,MLB_2023
02/05/2023,TB,PIT,4,1,MLB_2023
30/04/2023,WSH,PIT,7,2,MLB_2023
29/04/2023,WSH,PIT,1,16,MLB_2023
29/04/2023,WSH,PIT,3,6,MLB_2023
27/04/2023,PIT,LAD,6,2,MLB_2023
26/04/2023,PIT,LAD,8,1,MLB_2023
25/04/2023,PIT,LAD,7,8,MLB_2023
23/04/2023,PIT,CIN,2,0,MLB_2023
22/04/2023,PIT,CIN,2,1,MLB_2023
21/04/2023,PIT,CIN,4,2,MLB_2023
20/04/2023,PIT,CIN,4,3,MLB_2023
19/04/2023,COL,PIT,3,14,MLB_2023
18/04/2023,COL,PIT,3,5,MLB_2023
17/04/2023,COL,PIT,3,14,MLB_2023
16/04/2023,STL,PIT,5,4,MLB_2023
15/04/2023,STL,PIT,3,6,MLB_2023
14/04/2023,STL,PIT,3,0,MLB_2023
13/04/2023,STL,PIT,0,5,MLB_2023
12/04/2023,PIT,HOU,0,7,MLB_2023
11/04/2023,PIT,HOU,7,4,MLB_2023
10/04/2023,PIT,HOU,2,8,MLB_2023
09/04/2023,PIT,CHW,1,0,MLB_2023
08/04/2023,PIT,CHW,5,11,MLB_2023
07/04/2023,PIT,CHW,13,9,MLB_2023
05/04/2023,BOS,PIT,1,4,MLB_2023
04/04/2023,BOS,PIT,1,4,MLB_2023
03/04/2023,BOS,PIT,6,7,MLB_2023
02/04/2023,CIN,PIT,3,1,MLB_2023
01/04/2023,CIN,PIT,6,2,MLB_2023
30/03/2023,CIN,PIT,4,5,MLB_2023
05/10/2022,PIT,STL,5,3,MLB_2022
04/10/2022,PIT,STL,7,8,MLB_2022
03/10/2022,PIT,STL,3,2,MLB_2022
02/10/2022,STL,PIT,5,7,MLB_2022
01/10/2022,STL,PIT,13,3,MLB_2022
30/09/2022,STL,PIT,2,1,MLB_2022
28/09/2022,PIT,CIN,4,3,MLB_2022
27/09/2022,PIT,CIN,4,1,MLB_2022
26/09/2022,PIT,CIN,8,3,MLB_2022
25/09/2022,PIT,CHC,3,8,MLB_2022
24/09/2022,PIT,CHC,6,0,MLB_2022
23/09/2022,PIT,CHC,5,6,MLB_2022
22/09/2022,PIT,CHC,2,3,MLB_2022
21/09/2022,NYY,PIT,14,2,MLB_2022
20/09/2022,NYY,PIT,9,8,MLB_2022
18/09/2022,NYM,PIT,7,3,MLB_2022
17/09/2022,NYM,PIT,5,1,MLB_2022
16/09/2022,NYM,PIT,4,3,MLB_2022
15/09/2022,NYM,PIT,7,1,MLB_2022
14/09/2022,CIN,PIT,4,10,MLB_2022
13/09/2022,CIN,PIT,0,1,MLB_2022
13/09/2022,CIN,PIT,1,6,MLB_2022
12/09/2022,CIN,PIT,3,6,MLB_2022
11/09/2022,PIT,STL,3,4,MLB_2022
10/09/2022,PIT,STL,5,7,MLB_2022
09/09/2022,PIT,STL,8,2,MLB_2022
07/09/2022,PIT,NYM,0,10,MLB_2022
06/09/2022,PIT,NYM,8,2,MLB_2022
04/09/2022,PIT,TOR,3,4,MLB_2022
03/09/2022,PIT,TOR,1,4,MLB_2022
02/09/2022,PIT,TOR,0,4,MLB_2022
31/08/2022,MIL,PIT,6,1,MLB_2022
30/08/2022,MIL,PIT,2,4,MLB_2022
29/08/2022,MIL,PIT,7,5,MLB_2022
28/08/2022,PHI,PIT,0,5,MLB_2022
27/08/2022,PHI,PIT,6,0,MLB_2022
26/08/2022,PHI,PIT,7,4,MLB_2022
24/08/2022,PIT,ATL,2,14,MLB_2022
23/08/2022,PIT,ATL,1,6,MLB_2022
22/08/2022,PIT,ATL,1,2,MLB_2022
21/08/2022,PIT,CIN,5,9,MLB_2022
20/08/2022,PIT,CIN,1,10,MLB_2022
19/08/2022,PIT,CIN,5,4,MLB_2022
18/08/2022,PIT,BOS,8,2,MLB_2022
17/08/2022,PIT,BOS,3,8,MLB_2022
16/08/2022,PIT,BOS,3,5,MLB_2022
14/08/2022,SF,PIT,8,7,MLB_2022
13/08/2022,SF,PIT,2,0,MLB_2022
12/08/2022,SF,PIT,5,3,MLB_2022
11/08/2022,ARI,PIT,9,3,MLB_2022
10/08/2022,ARI,PIT,4,6,MLB_2022
09/08/2022,ARI,PIT,6,4,MLB_2022
08/08/2022,ARI,PIT,3,0,MLB_2022
07/08/2022,BAL,PIT,1,8,MLB_2022
06/08/2022,BAL,PIT,6,3,MLB_2022
05/08/2022,BAL,PIT,1,0,MLB_2022
04/08/2022,PIT,MIL,5,4,MLB_2022
03/08/2022,PIT,MIL,8,7,MLB_2022
02/08/2022,PIT,MIL,5,3,MLB_2022
31/07/2022,PIT,PHI,2,8,MLB_2022
30/07/2022,PIT,PHI,1,2,MLB_2022
29/07/2022,PIT,PHI,2,4,MLB_2022
28/07/2022,PIT,PHI,7,8,MLB_2022
26/07/2022,CHC,PIT,4,2,MLB_2022
25/07/2022,CHC,PIT,3,2,MLB_2022
24/07/2022,PIT,MIA,5,6,MLB_2022
23/07/2022,PIT,MIA,1,0,MLB_2022
22/07/2022,PIT,MIA,1,8,MLB_2022
17/07/2022,COL,PIT,3,8,MLB_2022
16/07/2022,COL,PIT,2,0,MLB_2022
15/07/2022,COL,PIT,13,2,MLB_2022
14/07/2022,MIA,PIT,3,2,MLB_2022
13/07/2022,MIA,PIT,5,4,MLB_2022
12/07/2022,MIA,PIT,2,3,MLB_2022
11/07/2022,MIA,PIT,1,5,MLB_2022
10/07/2022,MIL,PIT,6,8,MLB_2022
09/07/2022,MIL,PIT,3,4,MLB_2022
08/07/2022,MIL,PIT,4,3,MLB_2022
07/07/2022,CIN,PIT,5,1,MLB_2022
07/07/2022,CIN,PIT,2,4,MLB_2022
06/07/2022,PIT,NYY,0,16,MLB_2022
05/07/2022,PIT,NYY,5,2,MLB_2022
03/07/2022,PIT,MIL,0,2,MLB_2022
02/07/2022,PIT,MIL,7,4,MLB_2022
01/07/2022,PIT,MIL,2,19,MLB_2022
30/06/2022,PIT,MIL,8,7,MLB_2022
29/06/2022,WSH,PIT,7,8,MLB_2022
28/06/2022,WSH,PIT,3,1,MLB_2022
27/06/2022,WSH,PIT,3,2,MLB_2022
26/06/2022,TB,PIT,4,2,MLB_2022
25/06/2022,TB,PIT,6,5,MLB_2022
24/06/2022,TB,PIT,4,3,MLB_2022
23/06/2022,PIT,CHC,8,7,MLB_2022
22/06/2022,PIT,CHC,5,14,MLB_2022
21/06/2022,PIT,CHC,7,1,MLB_2022
20/06/2022,PIT,CHC,12,1,MLB_2022
19/06/2022,PIT,SF,4,3,MLB_2022
18/06/2022,PIT,SF,5,7,MLB_2022
17/06/2022,PIT,SF,0,2,MLB_2022
15/06/2022,STL,PIT,4,6,MLB_2022
14/06/2022,STL,PIT,9,1,MLB_2022
14/06/2022,STL,PIT,3,1,MLB_2022
13/06/2022,STL,PIT,7,5,MLB_2022
12/06/2022,ATL,PIT,5,3,MLB_2022
11/06/2022,ATL,PIT,10,4,MLB_2022
10/06/2022,ATL,PIT,4,2,MLB_2022
09/06/2022,ATL,PIT,3,1,MLB_2022
08/06/2022,PIT,DET,1,3,MLB_2022
07/06/2022,PIT,DET,3,5,MLB_2022
05/06/2022,PIT,ARI,3,0,MLB_2022
04/06/2022,PIT,ARI,2,1,MLB_2022
03/06/2022,PIT,ARI,6,8,MLB_2022
01/06/2022,LAD,PIT,4,8,MLB_2022
31/05/2022,LAD,PIT,3,5,MLB_2022
30/05/2022,LAD,PIT,5,6,MLB_2022
29/05/2022,SD,PIT,4,2,MLB_2022
28/05/2022,SD,PIT,2,4,MLB_2022
27/05/2022,SD,PIT,4,3,MLB_2022
25/05/2022,PIT,COL,10,5,MLB_2022
24/05/2022,PIT,COL,1,2,MLB_2022
