date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
22-09-2024,MIL,ARI,10,9,1,MLB,usa/mlb/milwaukee-brewers-arizona-diamondbacks-8rmFsRlM/,-137,119
21-09-2024,MIL,ARI,0,5,0,MLB,usa/mlb/milwaukee-brewers-arizona-diamondbacks-hbTZWUi1/,-110,-105
20-09-2024,MIL,ARI,4,7,0,MLB,usa/mlb/milwaukee-brewers-arizona-diamondbacks-zeYSl3Dn/,115,-133
19-09-2024,MIL,ARI,1,5,0,MLB,usa/mlb/milwaukee-brewers-arizona-diamondbacks-E5qScbdH/,106,-123
18-09-2024,COL,ARI,4,9,0,MLB,usa/mlb/colorado-rockies-arizona-diamondbacks-SjI8AytN/,144,-167
17-09-2024,COL,ARI,8,2,1,MLB,usa/mlb/colorado-rockies-arizona-diamondbacks-CzS1uduc/,125,-145
16-09-2024,COL,ARI,3,2,1,MLB,usa/mlb/colorado-rockies-arizona-diamondbacks-QJLOX4wl/,150,-175
15-09-2024,ARI,MIL,11,10,1,MLB,usa/mlb/arizona-diamondbacks-milwaukee-brewers-QgxYbsxm/,-164,141
14-09-2024,ARI,MIL,8,15,0,MLB,usa/mlb/arizona-diamondbacks-milwaukee-brewers-lduQhRWA/,-154,133
13-09-2024,ARI,MIL,1,2,0,MLB,usa/mlb/arizona-diamondbacks-milwaukee-brewers-rFrpFEqr/,-124,107
11-09-2024,ARI,TEX,14,4,1,MLB,usa/mlb/arizona-diamondbacks-texas-rangers-QFXusOYi/,-162,139
10-09-2024,ARI,TEX,6,0,1,MLB,usa/mlb/arizona-diamondbacks-texas-rangers-jcPVkJHM/,-176,152
08-09-2024,HOU,ARI,6,12,0,MLB,usa/mlb/houston-astros-arizona-diamondbacks-SrzA3xnM/,-133,115
07-09-2024,HOU,ARI,11,5,1,MLB,usa/mlb/houston-astros-arizona-diamondbacks-GQJXeopD/,-153,132
06-09-2024,HOU,ARI,8,0,1,MLB,usa/mlb/houston-astros-arizona-diamondbacks-llVNAEAn/,-163,141
05-09-2024,SF,ARI,3,2,1,MLB,usa/mlb/san-francisco-giants-arizona-diamondbacks-p4tMJ9gH/,-157,135
04-09-2024,SF,ARI,4,6,0,MLB,usa/mlb/san-francisco-giants-arizona-diamondbacks-pILfY88A/,112,-130
03-09-2024,SF,ARI,7,8,0,MLB,usa/mlb/san-francisco-giants-arizona-diamondbacks-pxIBQH61/,-101,-115
02-09-2024,ARI,LAD,6,11,0,MLB,usa/mlb/arizona-diamondbacks-los-angeles-dodgers-riCNhzjf/,114,-132
01-09-2024,ARI,LAD,14,3,1,MLB,usa/mlb/arizona-diamondbacks-los-angeles-dodgers-Cnh24Xl6/,-110,-106
31-08-2024,ARI,LAD,6,8,0,MLB,usa/mlb/arizona-diamondbacks-los-angeles-dodgers-pCz3M5Ai/,113,-131
