date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
22-09-2024,MIA,ATL,4,5,0,MLB,usa/mlb/miami-marlins-atlanta-braves-nZoJto4S/,165,-194,172,-185
21-09-2024,MIA,ATL,2,6,0,MLB,usa/mlb/miami-marlins-atlanta-braves-WlSwWl77/,225,-267,229,-256
20-09-2024,MIA,ATL,4,3,1,MLB,usa/mlb/miami-marlins-atlanta-braves-lbxXmNSh/,182,-215,190,-208
19-09-2024,CIN,ATL,3,15,0,MLB,usa/mlb/cincinnati-reds-atlanta-braves-hdrWdIBN/,184,-217,196,-204
18-09-2024,CIN,ATL,1,7,0,MLB,usa/mlb/cincinnati-reds-atlanta-braves-vRLC9eeT/,122,-141,131,-130
17-09-2024,CIN,ATL,6,5,1,MLB,usa/mlb/cincinnati-reds-atlanta-braves-jRQ5vGf3/,121,-140,127,-132
16-09-2024,ATL,LAD,0,9,0,MLB,usa/mlb/atlanta-braves-los-angeles-dodgers-faDuUMxD/,117,-135,124,-130
15-09-2024,ATL,LAD,2,9,0,MLB,usa/mlb/atlanta-braves-los-angeles-dodgers-dOJ943EP/,-102,-113,102,-109
14-09-2024,ATL,LAD,10,1,1,MLB,usa/mlb/atlanta-braves-los-angeles-dodgers-hUoHfm2b/,-117,101,-110,104
13-09-2024,ATL,LAD,6,2,1,MLB,usa/mlb/atlanta-braves-los-angeles-dodgers-CWiEKzMK/,-105,-111,-101,-106
11-09-2024,WSH,ATL,5,1,1,MLB,usa/mlb/washington-nationals-atlanta-braves-QH2nNTsJ/,148,-171,156,-159
10-09-2024,WSH,ATL,0,12,0,MLB,usa/mlb/washington-nationals-atlanta-braves-bTVmu234/,120,-139,124,-130
09-09-2024,ATL,CIN,0,1,0,MLB,usa/mlb/atlanta-braves-cincinnati-reds-EkknLWFO/,-154,133,-147,137
08-09-2024,ATL,TOR,4,3,1,MLB,usa/mlb/atlanta-braves-toronto-blue-jays-MJ8hLymC/,-268,226,-250,249
07-09-2024,ATL,TOR,5,9,0,MLB,usa/mlb/atlanta-braves-toronto-blue-jays-4rbcKe2I/,-158,136,-152,142
06-09-2024,ATL,TOR,3,1,1,MLB,usa/mlb/atlanta-braves-toronto-blue-jays-Io21JFHO/,-166,144,-159,150
05-09-2024,ATL,COL,1,3,0,MLB,usa/mlb/atlanta-braves-colorado-rockies-rkaPIT8N/,-279,233,-263,249
04-09-2024,ATL,COL,5,2,1,MLB,usa/mlb/atlanta-braves-colorado-rockies-z7bTDvNe/,-275,231,-256,242
03-09-2024,ATL,COL,3,0,1,MLB,usa/mlb/atlanta-braves-colorado-rockies-Ycb6naTK/,-366,301,-345,320
01-09-2024,PHI,ATL,3,2,1,MLB,usa/mlb/philadelphia-phillies-atlanta-braves-vwdQCesQ/,-129,110,-125,118
31-08-2024,PHI,ATL,3,0,1,MLB,usa/mlb/philadelphia-phillies-atlanta-braves-Q77t54uH/,-166,144,-139,152
