date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
22-09-2024,CHC,WSH,5,0,1,MLB,usa/mlb/chicago-cubs-washington-nationals-dWZQYjNl/,-206,175
21-09-2024,CHC,WSH,1,5,0,MLB,usa/mlb/chicago-cubs-washington-nationals-48Be7BTD/,-136,118
20-09-2024,CHC,WSH,3,1,1,MLB,usa/mlb/chicago-cubs-washington-nationals-IwjJaKR4/,-164,141
19-09-2024,CHC,WSH,7,6,1,MLB,usa/mlb/chicago-cubs-washington-nationals-YTI4BHQG/,-182,156
18-09-2024,CHC,OAK,3,5,0,MLB,usa/mlb/chicago-cubs-oakland-athletics-KpsnOfAM/,-174,149
17-09-2024,CHC,OAK,3,4,0,MLB,usa/mlb/chicago-cubs-oakland-athletics-6Fh2G38D/,-153,132
16-09-2024,CHC,OAK,9,2,1,MLB,usa/mlb/chicago-cubs-oakland-athletics-A7eSiQUJ/,-200,171
15-09-2024,COL,CHC,2,6,0,MLB,usa/mlb/colorado-rockies-chicago-cubs-82wFrMi6/,117,-135
14-09-2024,COL,CHC,6,5,1,MLB,usa/mlb/colorado-rockies-chicago-cubs-8tp5ckIu/,128,-148
13-09-2024,COL,CHC,9,5,1,MLB,usa/mlb/colorado-rockies-chicago-cubs-OABJbga1/,125,-145
11-09-2024,LAD,CHC,10,8,1,MLB,usa/mlb/los-angeles-dodgers-chicago-cubs-GpEcUpkn/,-165,142
10-09-2024,LAD,CHC,3,6,0,MLB,usa/mlb/los-angeles-dodgers-chicago-cubs-IVokwtYG/,-149,129
09-09-2024,LAD,CHC,4,10,0,MLB,usa/mlb/los-angeles-dodgers-chicago-cubs-4456qHfj/,-191,163
08-09-2024,CHC,NYY,2,1,1,MLB,usa/mlb/chicago-cubs-new-york-yankees-bNAvJHo9/,138,-160
07-09-2024,CHC,NYY,0,2,0,MLB,usa/mlb/chicago-cubs-new-york-yankees-Ey4heZAa/,123,-143
06-09-2024,CHC,NYY,0,3,0,MLB,usa/mlb/chicago-cubs-new-york-yankees-ryKj4UgU/,101,-117
04-09-2024,CHC,PIT,12,0,1,MLB,usa/mlb/chicago-cubs-pittsburgh-pirates-KfYWXaER/,-211,180
03-09-2024,CHC,PIT,0,5,0,MLB,usa/mlb/chicago-cubs-pittsburgh-pirates-jcmpuHLf/,101,-118
02-09-2024,CHC,PIT,3,5,0,MLB,usa/mlb/chicago-cubs-pittsburgh-pirates-Yu5zjYZC/,-145,124
01-09-2024,WSH,CHC,1,14,0,MLB,usa/mlb/washington-nationals-chicago-cubs-GKbg6gKg/,109,-128
31-08-2024,WSH,CHC,3,5,0,MLB,usa/mlb/washington-nationals-chicago-cubs-vFmHb2Ip/,-104,-111
30-08-2024,WSH,CHC,6,7,0,MLB,usa/mlb/washington-nationals-chicago-cubs-UNviHVk9/,134,-155
28-08-2024,PIT,CHC,10,14,0,MLB,usa/mlb/pittsburgh-pirates-chicago-cubs-jDurWh1U/,-164,142
27-08-2024,PIT,CHC,5,9,0,MLB,usa/mlb/pittsburgh-pirates-chicago-cubs-zcky1D04/,105,-121
26-08-2024,PIT,CHC,8,18,0,MLB,usa/mlb/pittsburgh-pirates-chicago-cubs-rqtjerUr/,-114,-102
25-08-2024,MIA,CHC,7,2,1,MLB,usa/mlb/miami-marlins-chicago-cubs-j95T81br/,149,-173
24-08-2024,MIA,CHC,2,14,0,MLB,usa/mlb/miami-marlins-chicago-cubs-KAYKHdsD/,171,-199
23-08-2024,MIA,CHC,3,6,0,MLB,usa/mlb/miami-marlins-chicago-cubs-KnSHWP7n/,105,-124
22-08-2024,CHC,DET,10,2,1,MLB,usa/mlb/chicago-cubs-detroit-tigers-vVytNCzj/,-185,159
21-08-2024,CHC,DET,2,8,0,MLB,usa/mlb/chicago-cubs-detroit-tigers-fcnEdDR8/,-127,110
20-08-2024,CHC,DET,3,1,1,MLB,usa/mlb/chicago-cubs-detroit-tigers-nFkz283l/,-145,125
