date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
22-09-2024,SD,CHW,4,2,1,MLB,usa/mlb/san-diego-padres-chicago-white-sox-SSTox5Cq/,-345,283
21-09-2024,SD,CHW,6,2,1,MLB,usa/mlb/san-diego-padres-chicago-white-sox-phGLfYq8/,-304,250
20-09-2024,SD,CHW,3,2,1,MLB,usa/mlb/san-diego-padres-chicago-white-sox-WMRymsra/,-295,246
18-09-2024,LAA,CHW,4,3,1,MLB,usa/mlb/los-angeles-angels-chicago-white-sox-Obcq4ZIj/,-146,124
17-09-2024,LAA,CHW,5,0,1,MLB,usa/mlb/los-angeles-angels-chicago-white-sox-biUDxfPF/,-150,129
16-09-2024,LAA,CHW,4,8,0,MLB,usa/mlb/los-angeles-angels-chicago-white-sox-4AKSWOhf/,-194,166
15-09-2024,CHW,OAK,4,3,1,MLB,usa/mlb/chicago-white-sox-oakland-athletics-b7ztcL6a/,145,-168
14-09-2024,CHW,OAK,7,6,1,MLB,usa/mlb/chicago-white-sox-oakland-athletics-fe7czJGq/,146,-170
13-09-2024,CHW,OAK,0,2,0,MLB,usa/mlb/chicago-white-sox-oakland-athletics-4UWhDhEf/,116,-135
11-09-2024,CHW,CLE,4,6,0,MLB,usa/mlb/chicago-white-sox-cleveland-guardians-CC76SOJb/,198,-233
10-09-2024,CHW,CLE,0,5,0,MLB,usa/mlb/chicago-white-sox-cleveland-guardians-QekcyK2T/,192,-226
09-09-2024,CHW,CLE,3,5,0,MLB,usa/mlb/chicago-white-sox-cleveland-guardians-I79AryAd/,174,-204
08-09-2024,BOS,CHW,2,7,0,MLB,usa/mlb/boston-red-sox-chicago-white-sox-tnvE2d1S/,-273,230
07-09-2024,BOS,CHW,7,5,1,MLB,usa/mlb/boston-red-sox-chicago-white-sox-fHIye5aJ/,-204,175
06-09-2024,BOS,CHW,3,1,1,MLB,usa/mlb/boston-red-sox-chicago-white-sox-SvUR9YPh/,-275,232
04-09-2024,BAL,CHW,1,8,0,MLB,usa/mlb/baltimore-orioles-chicago-white-sox-2g0LF0hq/,-361,297
03-09-2024,BAL,CHW,9,0,1,MLB,usa/mlb/baltimore-orioles-chicago-white-sox-xW4clLb8/,-319,265
02-09-2024,BAL,CHW,13,3,1,MLB,usa/mlb/baltimore-orioles-chicago-white-sox-hMXr0IcK/,-448,359
01-09-2024,CHW,NYM,0,2,0,MLB,usa/mlb/chicago-white-sox-new-york-mets-dxJwoqlo/,150,-175
31-08-2024,CHW,NYM,3,5,0,MLB,usa/mlb/chicago-white-sox-new-york-mets-KUSFJ3fA/,165,-192
30-08-2024,CHW,NYM,1,5,0,MLB,usa/mlb/chicago-white-sox-new-york-mets-0CIZ87ck/,178,-208
29-08-2024,CHW,TEX,1,2,0,MLB,usa/mlb/chicago-white-sox-texas-rangers-0pIXPaYt/,231,-274
28-08-2024,CHW,TEX,3,4,0,MLB,usa/mlb/chicago-white-sox-texas-rangers-Ei4tuWwo/,166,-193
26-08-2024,CHW,DET,3,6,0,MLB,usa/mlb/chicago-white-sox-detroit-tigers-x6uff2qk/,114,-132
25-08-2024,CHW,DET,4,9,0,MLB,usa/mlb/chicago-white-sox-detroit-tigers-QRct6ar1/,133,-155
24-08-2024,CHW,DET,4,13,0,MLB,usa/mlb/chicago-white-sox-detroit-tigers-AkvAvKlQ/,196,-231
23-08-2024,CHW,DET,2,5,0,MLB,usa/mlb/chicago-white-sox-detroit-tigers-f5KUTNi5/,133,-154
21-08-2024,SF,CHW,2,6,0,MLB,usa/mlb/san-francisco-giants-chicago-white-sox-l0eOZkKe/,-232,197
20-08-2024,SF,CHW,4,1,1,MLB,usa/mlb/san-francisco-giants-chicago-white-sox-4de08AQK/,-245,207
19-08-2024,SF,CHW,5,3,1,MLB,usa/mlb/san-francisco-giants-chicago-white-sox-jR6G0JOB/,-237,202
18-08-2024,HOU,CHW,2,0,1,MLB,usa/mlb/houston-astros-chicago-white-sox-4UWkFIw5/,-360,294
17-08-2024,HOU,CHW,6,1,1,MLB,usa/mlb/houston-astros-chicago-white-sox-ADpBKDFp/,-363,296
16-08-2024,HOU,CHW,4,5,0,MLB,usa/mlb/houston-astros-chicago-white-sox-Wv7tgYL9/,-264,222
14-08-2024,CHW,NYY,2,10,0,MLB,usa/mlb/chicago-white-sox-new-york-yankees-GCCezaR5/,198,-234
13-08-2024,CHW,NYY,1,4,0,MLB,usa/mlb/chicago-white-sox-new-york-yankees-0Yom5JQu/,237,-283
12-08-2024,CHW,NYY,12,2,1,MLB,usa/mlb/chicago-white-sox-new-york-yankees-vs8vurEQ/,285,-346
10-08-2024,CHW,CHC,1,3,0,MLB,usa/mlb/chicago-white-sox-chicago-cubs-reUNlhsh/,187,-219
09-08-2024,CHW,CHC,6,7,0,MLB,usa/mlb/chicago-white-sox-chicago-cubs-YJ3CsdiM/,126,-146
07-08-2024,OAK,CHW,3,2,1,MLB,usa/mlb/oakland-athletics-chicago-white-sox-OzgEmOJC/,-184,158
06-08-2024,OAK,CHW,1,5,0,MLB,usa/mlb/oakland-athletics-chicago-white-sox-6TR5IrJn/,-186,159
05-08-2024,OAK,CHW,5,1,1,MLB,usa/mlb/oakland-athletics-chicago-white-sox-8Mw0SJnB/,-205,175
