team_1,team_2,score_1,score_2,game_url
COL,LAD,1,2,usa/mlb/colorado-rockies-los-angeles-dodgers-hvwzWZlH/
COL,LAD,2,13,usa/mlb/colorado-rockies-los-angeles-dodgers-jmpZ0fli/
COL,LAD,4,11,usa/mlb/colorado-rockies-los-angeles-dodgers-hKEcg3nr/
COL,STL,10,8,usa/mlb/colorado-rockies-st-louis-cardinals-W4Ai1IpJ/
COL,STL,2,5,usa/mlb/colorado-rockies-st-louis-cardinals-YXhhWxpg/
COL,STL,3,7,usa/mlb/colorado-rockies-st-louis-cardinals-W0E7Oorp/
LAD,COL,6,5,usa/mlb/los-angeles-dodgers-colorado-rockies-0tSgzqsd/
LAD,COL,3,6,usa/mlb/los-angeles-dodgers-colorado-rockies-Q1OThCEK/
LAD,COL,6,4,usa/mlb/los-angeles-dodgers-colorado-rockies-vmVqoLCB/
COL,ARI,4,9,usa/mlb/colorado-rockies-arizona-diamondbacks-SjI8AytN/
COL,ARI,8,2,usa/mlb/colorado-rockies-arizona-diamondbacks-CzS1uduc/
COL,ARI,3,2,usa/mlb/colorado-rockies-arizona-diamondbacks-QJLOX4wl/
COL,CHC,2,6,usa/mlb/colorado-rockies-chicago-cubs-82wFrMi6/
COL,CHC,6,5,usa/mlb/colorado-rockies-chicago-cubs-8tp5ckIu/
COL,CHC,9,5,usa/mlb/colorado-rockies-chicago-cubs-OABJbga1/
DET,COL,2,4,usa/mlb/detroit-tigers-colorado-rockies-bmGeXD5Q/
DET,COL,7,4,usa/mlb/detroit-tigers-colorado-rockies-6Z6ARrZ4/
DET,COL,11,0,usa/mlb/detroit-tigers-colorado-rockies-WxSPWwBp/
MIL,COL,1,4,usa/mlb/milwaukee-brewers-colorado-rockies-fgKldfvd/
MIL,COL,5,2,usa/mlb/milwaukee-brewers-colorado-rockies-vJBubyRt/
MIL,COL,2,3,usa/mlb/milwaukee-brewers-colorado-rockies-ITMv7W9B/
ATL,COL,1,3,usa/mlb/atlanta-braves-colorado-rockies-rkaPIT8N/
ATL,COL,5,2,usa/mlb/atlanta-braves-colorado-rockies-z7bTDvNe/
ATL,COL,3,0,usa/mlb/atlanta-braves-colorado-rockies-Ycb6naTK/
COL,BAL,1,6,usa/mlb/colorado-rockies-baltimore-orioles-r70o8Fks/
COL,BAL,7,5,usa/mlb/colorado-rockies-baltimore-orioles-KU6p4OfN/
COL,BAL,3,5,usa/mlb/colorado-rockies-baltimore-orioles-McyqJiLd/
COL,MIA,8,12,usa/mlb/colorado-rockies-miami-marlins-KSD9Lpse/
COL,MIA,8,2,usa/mlb/colorado-rockies-miami-marlins-O0AdkG1h/
COL,MIA,8,9,usa/mlb/colorado-rockies-miami-marlins-QorlbBpN/
COL,MIA,3,2,usa/mlb/colorado-rockies-miami-marlins-COX6i0T7/
NYY,COL,10,3,usa/mlb/new-york-yankees-colorado-rockies-COgx7uTf/
NYY,COL,2,9,usa/mlb/new-york-yankees-colorado-rockies-Wbu6u0ZJ/
NYY,COL,3,0,usa/mlb/new-york-yankees-colorado-rockies-GELQU3xa/
WSH,COL,8,3,usa/mlb/washington-nationals-colorado-rockies-p8xxOhLq/
WSH,COL,6,1,usa/mlb/washington-nationals-colorado-rockies-tfrAcgC2/
WSH,COL,1,3,usa/mlb/washington-nationals-colorado-rockies-8OjW2llr/
COL,SD,3,2,usa/mlb/colorado-rockies-san-diego-padres-SQCJUcwh/
COL,SD,3,8,usa/mlb/colorado-rockies-san-diego-padres-6yOIwgMM/
COL,SD,7,3,usa/mlb/colorado-rockies-san-diego-padres-UivYV1KD/
ARI,COL,11,4,usa/mlb/arizona-diamondbacks-colorado-rockies-86wCrNJP/
ARI,COL,4,3,usa/mlb/arizona-diamondbacks-colorado-rockies-KKDQmIe5/
ARI,COL,5,4,usa/mlb/arizona-diamondbacks-colorado-rockies-IyNqJ0i7/
COL,ATL,9,8,usa/mlb/colorado-rockies-atlanta-braves-AVoNWJL6/
COL,ATL,8,11,usa/mlb/colorado-rockies-atlanta-braves-GlxxRlko/
COL,ATL,6,5,usa/mlb/colorado-rockies-atlanta-braves-hAe4qIM9/
COL,NYM,1,9,usa/mlb/colorado-rockies-new-york-mets-U9oHBz62/
COL,NYM,3,5,usa/mlb/colorado-rockies-new-york-mets-hQ1W3q4g/
COL,NYM,6,3,usa/mlb/colorado-rockies-new-york-mets-WzDVCvmO/
SD,COL,10,2,usa/mlb/san-diego-padres-colorado-rockies-42CsucWG/
SD,COL,3,2,usa/mlb/san-diego-padres-colorado-rockies-t8DcX5U7/
SD,COL,2,5,usa/mlb/san-diego-padres-colorado-rockies-UoBc2QTs/
LAA,COL,4,5,usa/mlb/los-angeles-angels-colorado-rockies-bswzbWgg/
LAA,COL,1,2,usa/mlb/los-angeles-angels-colorado-rockies-h2o2150o/
LAA,COL,10,7,usa/mlb/los-angeles-angels-colorado-rockies-M110A0qG/
SF,COL,5,4,usa/mlb/san-francisco-giants-colorado-rockies-YZ30RhK7/
SF,COL,5,0,usa/mlb/san-francisco-giants-colorado-rockies-UNEditvU/
SF,COL,4,1,usa/mlb/san-francisco-giants-colorado-rockies-6q6On0no/
SF,COL,11,4,usa/mlb/san-francisco-giants-colorado-rockies-UN01LKhA/
