date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
22-09-2024,BAL,DET,3,4,0,MLB,usa/mlb/baltimore-orioles-detroit-tigers-EqWcZ2d2/,-124,107,-118,112
21-09-2024,BAL,DET,4,6,0,MLB,usa/mlb/baltimore-orioles-detroit-tigers-4hNXiWTQ/,-133,115,-128,119
20-09-2024,BAL,DET,7,1,1,MLB,usa/mlb/baltimore-orioles-detroit-tigers-IwUmpuSH/,-158,137,-149,145
18-09-2024,KC,DET,2,4,0,MLB,usa/mlb/kansas-city-royals-detroit-tigers-CEjRSIei/,116,-135,124,-127
17-09-2024,KC,DET,1,3,0,MLB,usa/mlb/kansas-city-royals-detroit-tigers-vkrrLRgr/,-159,137,-152,152
16-09-2024,KC,DET,6,7,0,MLB,usa/mlb/kansas-city-royals-detroit-tigers-nZ9XVr80/,-134,115,-125,127
15-09-2024,DET,BAL,4,2,1,MLB,usa/mlb/detroit-tigers-baltimore-orioles-0xz7prNg/,-105,-110,-103,-105
14-09-2024,DET,BAL,2,4,0,MLB,usa/mlb/detroit-tigers-baltimore-orioles-2aXdgw6O/,123,-143,125,-133
13-09-2024,DET,BAL,1,0,1,MLB,usa/mlb/detroit-tigers-baltimore-orioles-48eI0FUl/,110,-128,116,-123
12-09-2024,DET,COL,2,4,0,MLB,usa/mlb/detroit-tigers-colorado-rockies-bmGeXD5Q/,-297,245,-270,276
11-09-2024,DET,COL,7,4,1,MLB,usa/mlb/detroit-tigers-colorado-rockies-6Z6ARrZ4/,-200,172,-185,183
10-09-2024,DET,COL,11,0,1,MLB,usa/mlb/detroit-tigers-colorado-rockies-WxSPWwBp/,-192,165,-169,177
08-09-2024,OAK,DET,1,9,0,MLB,usa/mlb/oakland-athletics-detroit-tigers-YqJheEg2/,-114,-101,-111,104
07-09-2024,OAK,DET,1,2,0,MLB,usa/mlb/oakland-athletics-detroit-tigers-hMFqcetm/,-106,-109,100,-105
06-09-2024,OAK,DET,7,6,1,MLB,usa/mlb/oakland-athletics-detroit-tigers-dKLr6jPH/,134,-156,140,-147
05-09-2024,SD,DET,3,4,0,MLB,usa/mlb/san-diego-padres-detroit-tigers-QDlUHmOT/,-158,136,-154,141
04-09-2024,SD,DET,6,5,1,MLB,usa/mlb/san-diego-padres-detroit-tigers-lA2XCbx2/,-189,163,-179,175
02-09-2024,SD,DET,3,0,1,MLB,usa/mlb/san-diego-padres-detroit-tigers-MyOEfdLs/,-199,171,-192,175
01-09-2024,DET,BOS,4,1,1,MLB,usa/mlb/detroit-tigers-boston-red-sox-Mcak7Z4m/,-109,-107,-106,-102
31-08-2024,DET,BOS,2,1,1,MLB,usa/mlb/detroit-tigers-boston-red-sox-YXAl3rAT/,-144,124,-139,133
30-08-2024,DET,BOS,5,7,0,MLB,usa/mlb/detroit-tigers-boston-red-sox-0lzmIBz3/,101,-118,104,-114
29-08-2024,DET,LAA,0,3,0,MLB,usa/mlb/detroit-tigers-los-angeles-angels-foUUSSlL/,-174,151,-164,165
28-08-2024,DET,LAA,3,2,1,MLB,usa/mlb/detroit-tigers-los-angeles-angels-4dwWYfHB/,-158,137,-152,142
27-08-2024,DET,LAA,6,2,1,MLB,usa/mlb/detroit-tigers-los-angeles-angels-27cO3FGo/,-152,132,-147,137
26-08-2024,CHW,DET,3,6,0,MLB,usa/mlb/chicago-white-sox-detroit-tigers-x6uff2qk/,114,-132,117,-127
25-08-2024,CHW,DET,4,9,0,MLB,usa/mlb/chicago-white-sox-detroit-tigers-QRct6ar1/,133,-155,140,-147
24-08-2024,CHW,DET,4,13,0,MLB,usa/mlb/chicago-white-sox-detroit-tigers-AkvAvKlQ/,196,-231,204,-222
23-08-2024,CHW,DET,2,5,0,MLB,usa/mlb/chicago-white-sox-detroit-tigers-f5KUTNi5/,133,-154,140,-152
22-08-2024,CHC,DET,10,2,1,MLB,usa/mlb/chicago-cubs-detroit-tigers-vVytNCzj/,-185,159,-179,165
21-08-2024,CHC,DET,2,8,0,MLB,usa/mlb/chicago-cubs-detroit-tigers-fcnEdDR8/,-127,110,-119,118
20-08-2024,CHC,DET,3,1,1,MLB,usa/mlb/chicago-cubs-detroit-tigers-nFkz283l/,-145,125,-141,129
18-08-2024,DET,NYY,3,2,1,MLB,usa/mlb/detroit-tigers-new-york-yankees-lzEFVwOo/,-121,105,-118,112
17-08-2024,DET,NYY,4,0,1,MLB,usa/mlb/detroit-tigers-new-york-yankees-hYJEvZ6G/,201,-234,209,-213
16-08-2024,DET,NYY,0,3,0,MLB,usa/mlb/detroit-tigers-new-york-yankees-j1uUWs57/,175,-203,191,-189
15-08-2024,DET,SEA,2,1,1,MLB,usa/mlb/detroit-tigers-seattle-mariners-KpcHMuc6/,117,-136,124,-127
14-08-2024,DET,SEA,3,2,1,MLB,usa/mlb/detroit-tigers-seattle-mariners-2TE7XdBO/,120,-139,124,-133
13-08-2024,DET,SEA,15,1,1,MLB,usa/mlb/detroit-tigers-seattle-mariners-YNw02HAb/,-122,105,-118,114
11-08-2024,SF,DET,4,5,0,MLB,usa/mlb/san-francisco-giants-detroit-tigers-dv6txFcn/,-182,156,-175,161
10-08-2024,SF,DET,3,1,1,MLB,usa/mlb/san-francisco-giants-detroit-tigers-YqNznjRA/,-250,211,-238,229
09-08-2024,SF,DET,3,2,1,MLB,usa/mlb/san-francisco-giants-detroit-tigers-nRqmyfUk/,-188,162,-179,170
08-08-2024,SEA,DET,4,3,1,MLB,usa/mlb/seattle-mariners-detroit-tigers-E13UmXDe/,-196,168,-189,179
07-08-2024,SEA,DET,2,6,0,MLB,usa/mlb/seattle-mariners-detroit-tigers-jso0BRBJ/,-144,124,-139,129
06-08-2024,SEA,DET,2,4,0,MLB,usa/mlb/seattle-mariners-detroit-tigers-2eLEGMma/,-204,174,-196,185
04-08-2024,DET,KC,2,3,0,MLB,usa/mlb/detroit-tigers-kansas-city-royals-dbzBNU0q/,113,-130,118,-125
03-08-2024,DET,KC,6,5,1,MLB,usa/mlb/detroit-tigers-kansas-city-royals-IPdtdk78/,-102,-113,100,-108
02-08-2024,DET,KC,2,9,0,MLB,usa/mlb/detroit-tigers-kansas-city-royals-O8A11pql/,-118,101,-114,104
01-08-2024,DET,KC,1,7,0,MLB,usa/mlb/detroit-tigers-kansas-city-royals-xYyvcj9a/,139,-161,143,-156
30-07-2024,DET,CLE,0,5,0,MLB,usa/mlb/detroit-tigers-cleveland-guardians-vwCeBtU9/,115,-134,120,-127
29-07-2024,DET,CLE,4,8,0,MLB,usa/mlb/detroit-tigers-cleveland-guardians-t6AIGy6k/,136,-158,142,-152
28-07-2024,DET,MIN,0,5,0,MLB,usa/mlb/detroit-tigers-minnesota-twins-tvAGXTts/,124,-144,131,-135
27-07-2024,DET,MIN,7,2,1,MLB,usa/mlb/detroit-tigers-minnesota-twins-GEmF9Ngb/,-102,-114,102,-105
26-07-2024,DET,MIN,3,9,0,MLB,usa/mlb/detroit-tigers-minnesota-twins-rmSx2Wik/,162,-188,166,-182
25-07-2024,CLE,DET,0,3,0,MLB,usa/mlb/cleveland-guardians-detroit-tigers-6qrIbI2f/,-146,126,-141,131
24-07-2024,CLE,DET,2,1,1,MLB,usa/mlb/cleveland-guardians-detroit-tigers-65JhBen0/,-142,123,-139,129
23-07-2024,CLE,DET,5,4,1,MLB,usa/mlb/cleveland-guardians-detroit-tigers-tdwUqGhP/,-133,115,-125,127
22-07-2024,CLE,DET,2,8,0,MLB,usa/mlb/cleveland-guardians-detroit-tigers-04Imw5yA/,116,-135,121,-128
21-07-2024,TOR,DET,5,4,1,MLB,usa/mlb/toronto-blue-jays-detroit-tigers-4tN6roea/,-166,144,-147,159
