date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
22-09-2024,MIA,ATL,4,5,0,MLB,usa/mlb/miami-marlins-atlanta-braves-nZoJto4S/,165,-194
21-09-2024,MIA,ATL,2,6,0,MLB,usa/mlb/miami-marlins-atlanta-braves-WlSwWl77/,225,-267
20-09-2024,MIA,ATL,4,3,1,MLB,usa/mlb/miami-marlins-atlanta-braves-lbxXmNSh/,182,-215
19-09-2024,MIA,LAD,4,20,0,MLB,usa/mlb/miami-marlins-los-angeles-dodgers-ltq1idZp/,174,-204
18-09-2024,MIA,LAD,4,8,0,MLB,usa/mlb/miami-marlins-los-angeles-dodgers-YTvzRdQ3/,161,-189
17-09-2024,MIA,LAD,11,9,1,MLB,usa/mlb/miami-marlins-los-angeles-dodgers-Wd0kJ5Of/,182,-215
15-09-2024,WSH,MIA,4,3,1,MLB,usa/mlb/washington-nationals-miami-marlins-bX5y0NMt/,-174,149
14-09-2024,WSH,MIA,4,1,1,MLB,usa/mlb/washington-nationals-miami-marlins-A5tMg7H4/,-144,124
13-09-2024,WSH,MIA,4,1,1,MLB,usa/mlb/washington-nationals-miami-marlins-jNjIJfyR/,-142,122
12-09-2024,WSH,MIA,3,6,0,MLB,usa/mlb/washington-nationals-miami-marlins-z97NSXDs/,-193,164
11-09-2024,PIT,MIA,3,1,1,MLB,usa/mlb/pittsburgh-pirates-miami-marlins-0YaJPM3H/,-151,130
10-09-2024,PIT,MIA,6,4,1,MLB,usa/mlb/pittsburgh-pirates-miami-marlins-bqKBfs3i/,-160,139
09-09-2024,PIT,MIA,3,2,1,MLB,usa/mlb/pittsburgh-pirates-miami-marlins-b3nc6v23/,-266,224
08-09-2024,MIA,PHI,10,1,1,MLB,usa/mlb/miami-marlins-philadelphia-phillies-tn0qIy1F/,112,-130
07-09-2024,MIA,PHI,9,5,1,MLB,usa/mlb/miami-marlins-philadelphia-phillies-rB8dfgQ5/,219,-259
06-09-2024,MIA,PHI,2,16,0,MLB,usa/mlb/miami-marlins-philadelphia-phillies-8bocPDPu/,229,-273
05-09-2024,MIA,PHI,2,5,0,MLB,usa/mlb/miami-marlins-philadelphia-phillies-fTSsyBOi/,200,-238
04-09-2024,MIA,WSH,4,3,1,MLB,usa/mlb/miami-marlins-washington-nationals-S0N6Rcie/,123,-142
03-09-2024,MIA,WSH,2,6,0,MLB,usa/mlb/miami-marlins-washington-nationals-xEkdxF5D/,-111,-105
01-09-2024,SF,MIA,5,7,0,MLB,usa/mlb/san-francisco-giants-miami-marlins-jwi63i4C/,-277,231
31-08-2024,SF,MIA,3,4,0,MLB,usa/mlb/san-francisco-giants-miami-marlins-O2Z6LPPc/,-140,121
30-08-2024,SF,MIA,3,1,1,MLB,usa/mlb/san-francisco-giants-miami-marlins-4tX3ETZR/,-289,242
29-08-2024,COL,MIA,8,12,0,MLB,usa/mlb/colorado-rockies-miami-marlins-KSD9Lpse/,-136,118
28-08-2024,COL,MIA,8,2,1,MLB,usa/mlb/colorado-rockies-miami-marlins-O0AdkG1h/,-139,120
27-08-2024,COL,MIA,8,9,0,MLB,usa/mlb/colorado-rockies-miami-marlins-QorlbBpN/,-148,127
26-08-2024,COL,MIA,3,2,1,MLB,usa/mlb/colorado-rockies-miami-marlins-COX6i0T7/,-116,100
25-08-2024,MIA,CHC,7,2,1,MLB,usa/mlb/miami-marlins-chicago-cubs-j95T81br/,149,-173
24-08-2024,MIA,CHC,2,14,0,MLB,usa/mlb/miami-marlins-chicago-cubs-KAYKHdsD/,171,-199
23-08-2024,MIA,CHC,3,6,0,MLB,usa/mlb/miami-marlins-chicago-cubs-KnSHWP7n/,105,-124
21-08-2024,MIA,ARI,8,10,0,MLB,usa/mlb/miami-marlins-arizona-diamondbacks-zgFmthsS/,144,-166
20-08-2024,MIA,ARI,1,3,0,MLB,usa/mlb/miami-marlins-arizona-diamondbacks-fRD9omJ7/,108,-125
