team_1,team_2,score_1,score_2,game_url
MIN,BAL,2,6,usa/mlb/minnesota-twins-baltimore-orioles-rmULzbzn/
MIN,BAL,2,9,usa/mlb/minnesota-twins-baltimore-orioles-pY1DqgJG/
MIN,BAL,2,7,usa/mlb/minnesota-twins-baltimore-orioles-bHezx2H7/
MIN,MIA,6,8,usa/mlb/minnesota-twins-miami-marlins-06gt4K00/
MIN,MIA,8,3,usa/mlb/minnesota-twins-miami-marlins-QRVQFHaC/
MIN,MIA,1,4,usa/mlb/minnesota-twins-miami-marlins-MifTXkLc/
BOS,MIN,9,3,usa/mlb/boston-red-sox-minnesota-twins-IHdvre02/
BOS,MIN,8,1,usa/mlb/boston-red-sox-minnesota-twins-dpFamjxr/
BOS,MIN,2,4,usa/mlb/boston-red-sox-minnesota-twins-02JhqasO/
CLE,MIN,3,2,usa/mlb/cleveland-guardians-minnesota-twins-joNqGuCo/
CLE,MIN,5,4,usa/mlb/cleveland-guardians-minnesota-twins-nXrvQGuA/
CLE,MIN,1,4,usa/mlb/cleveland-guardians-minnesota-twins-AmagIPw1/
CLE,MIN,4,3,usa/mlb/cleveland-guardians-minnesota-twins-YkCqTthJ/
MIN,CIN,9,2,usa/mlb/minnesota-twins-cincinnati-reds-ngxJst7C/
MIN,CIN,1,11,usa/mlb/minnesota-twins-cincinnati-reds-KGm9d9Xo/
MIN,CIN,4,8,usa/mlb/minnesota-twins-cincinnati-reds-21ANcDE7/
MIN,LAA,6,4,usa/mlb/minnesota-twins-los-angeles-angels-CEbrO9SC/
MIN,LAA,10,5,usa/mlb/minnesota-twins-los-angeles-angels-KxXqtrlb/
MIN,LAA,2,6,usa/mlb/minnesota-twins-los-angeles-angels-8YJzkwXS/
KC,MIN,2,0,usa/mlb/kansas-city-royals-minnesota-twins-nm7zKcW2/
KC,MIN,4,2,usa/mlb/kansas-city-royals-minnesota-twins-zo5ldFeg/
KC,MIN,5,0,usa/mlb/kansas-city-royals-minnesota-twins-4pLn5AvO/
TB,MIN,3,4,usa/mlb/tampa-bay-rays-minnesota-twins-GxUwxi9o/
TB,MIN,9,4,usa/mlb/tampa-bay-rays-minnesota-twins-bupOZLqF/
TB,MIN,2,1,usa/mlb/tampa-bay-rays-minnesota-twins-Usayswir/
TB,MIN,4,5,usa/mlb/tampa-bay-rays-minnesota-twins-CQGRif50/
MIN,TOR,4,3,usa/mlb/minnesota-twins-toronto-blue-jays-jZWFxwIn/
MIN,TOR,0,15,usa/mlb/minnesota-twins-toronto-blue-jays-UPVJycXh/
MIN,TOR,2,0,usa/mlb/minnesota-twins-toronto-blue-jays-OnVNzHna/
MIN,ATL,1,5,usa/mlb/minnesota-twins-atlanta-braves-rmxzYEWH/
MIN,ATL,6,8,usa/mlb/minnesota-twins-atlanta-braves-tbdS2ZVi/
MIN,ATL,6,10,usa/mlb/minnesota-twins-atlanta-braves-W6DMCAaG/
MIN,STL,2,3,usa/mlb/minnesota-twins-st-louis-cardinals-86iaMKSs/
MIN,STL,6,0,usa/mlb/minnesota-twins-st-louis-cardinals-bFCcVFBC/
MIN,STL,1,6,usa/mlb/minnesota-twins-st-louis-cardinals-ncSdXdbc/
SD,MIN,4,11,usa/mlb/san-diego-padres-minnesota-twins-GCzNfidL/
SD,MIN,7,5,usa/mlb/san-diego-padres-minnesota-twins-fugr0nY0/
SD,MIN,5,3,usa/mlb/san-diego-padres-minnesota-twins-UH5KawvI/
TEX,MIN,6,5,usa/mlb/texas-rangers-minnesota-twins-zJAY6foo/
TEX,MIN,2,5,usa/mlb/texas-rangers-minnesota-twins-A9U9uFiA/
TEX,MIN,3,4,usa/mlb/texas-rangers-minnesota-twins-dvtQXNk1/
TEX,MIN,2,3,usa/mlb/texas-rangers-minnesota-twins-YTb9O1Sg/
MIN,KC,1,4,usa/mlb/minnesota-twins-kansas-city-royals-SjKrw1sm/
MIN,KC,13,3,usa/mlb/minnesota-twins-kansas-city-royals-SpHYodQH/
MIN,KC,8,3,usa/mlb/minnesota-twins-kansas-city-royals-rFEVt4qE/
MIN,CLE,3,5,usa/mlb/minnesota-twins-cleveland-guardians-ry2xwert/
MIN,CLE,1,2,usa/mlb/minnesota-twins-cleveland-guardians-vNNWnWB4/
MIN,CLE,6,3,usa/mlb/minnesota-twins-cleveland-guardians-UkkrxzFq/
MIN,CLE,4,2,usa/mlb/minnesota-twins-cleveland-guardians-p8YOBezn/
CHC,MIN,8,2,usa/mlb/chicago-cubs-minnesota-twins-b32S4Plm/
CHC,MIN,7,3,usa/mlb/chicago-cubs-minnesota-twins-lCNQDKXH/
CHC,MIN,0,3,usa/mlb/chicago-cubs-minnesota-twins-bBWCPHWT/
MIN,CHW,13,7,usa/mlb/minnesota-twins-chicago-white-sox-ja8wtwHA/
MIN,CHW,6,2,usa/mlb/minnesota-twins-chicago-white-sox-2HEgYoF1/
MIN,CHW,10,2,usa/mlb/minnesota-twins-chicago-white-sox-SxPV66LQ/
NYM,MIN,3,8,usa/mlb/new-york-mets-minnesota-twins-6PiIcNaA/
NYM,MIN,2,0,usa/mlb/new-york-mets-minnesota-twins-lCou3Iyj/
NYM,MIN,15,2,usa/mlb/new-york-mets-minnesota-twins-EJ8QEFz2/
DET,MIN,0,5,usa/mlb/detroit-tigers-minnesota-twins-tvAGXTts/
DET,MIN,7,2,usa/mlb/detroit-tigers-minnesota-twins-GEmF9Ngb/
DET,MIN,3,9,usa/mlb/detroit-tigers-minnesota-twins-rmSx2Wik/
MIN,PHI,5,4,usa/mlb/minnesota-twins-philadelphia-phillies-fRamXx9J/
MIN,PHI,0,3,usa/mlb/minnesota-twins-philadelphia-phillies-YgI8xYpa/
MIN,PHI,7,2,usa/mlb/minnesota-twins-philadelphia-phillies-h2cSVMTq/
MIN,MIL,7,8,usa/mlb/minnesota-twins-milwaukee-brewers-6uh6sKSe/
MIN,MIL,4,8,usa/mlb/minnesota-twins-milwaukee-brewers-pjmqGvZK/
SF,MIN,3,2,usa/mlb/san-francisco-giants-minnesota-twins-SACGEOgo/
SF,MIN,2,4,usa/mlb/san-francisco-giants-minnesota-twins-IJ3jXiR9/
SF,MIN,7,1,usa/mlb/san-francisco-giants-minnesota-twins-W4A6P0P0/
CHW,MIN,2,3,usa/mlb/chicago-white-sox-minnesota-twins-nkIrFD6H/
CHW,MIN,3,1,usa/mlb/chicago-white-sox-minnesota-twins-neLh6INn/
CHW,MIN,6,8,usa/mlb/chicago-white-sox-minnesota-twins-00jjB45q/
MIN,HOU,3,2,usa/mlb/minnesota-twins-houston-astros-8vZWNskk/
MIN,HOU,9,3,usa/mlb/minnesota-twins-houston-astros-bkw0tBMD/
MIN,HOU,12,13,usa/mlb/minnesota-twins-houston-astros-CYWMYJK4/
MIN,DET,12,3,usa/mlb/minnesota-twins-detroit-tigers-xxhxvFdp/
MIN,DET,2,9,usa/mlb/minnesota-twins-detroit-tigers-bPBDCZ29/
MIN,DET,5,3,usa/mlb/minnesota-twins-detroit-tigers-Eatx5r10/
SEA,MIN,3,5,usa/mlb/seattle-mariners-minnesota-twins-QX6pWKaa/
SEA,MIN,1,5,usa/mlb/seattle-mariners-minnesota-twins-p2DquGrU/
SEA,MIN,3,2,usa/mlb/seattle-mariners-minnesota-twins-UR4zscVE/
ARI,MIN,6,13,usa/mlb/arizona-diamondbacks-minnesota-twins-hI1aJd5B/
ARI,MIN,3,8,usa/mlb/arizona-diamondbacks-minnesota-twins-EVr8PCAm/
ARI,MIN,5,4,usa/mlb/arizona-diamondbacks-minnesota-twins-hIP57vk2/
