team_1,team_2,score_1,score_2,game_url
NYM,PHI,4,1,usa/mlb/new-york-mets-philadelphia-phillies-ADjGR1rp/
NYM,PHI,7,2,usa/mlb/new-york-mets-philadelphia-phillies-ziYCKvS9/
PHI,NYM,7,6,usa/mlb/philadelphia-phillies-new-york-mets-vPv4M0cc/
PHI,NYM,2,6,usa/mlb/philadelphia-phillies-new-york-mets-nViIbc5j/
MIL,NYM,2,4,usa/mlb/milwaukee-brewers-new-york-mets-GEZ9bzRs/
MIL,NYM,5,3,usa/mlb/milwaukee-brewers-new-york-mets-GdzOwHiT/
MIL,NYM,4,8,usa/mlb/milwaukee-brewers-new-york-mets-KUtFuwNG/
ATL,NYM,3,0,usa/mlb/atlanta-braves-new-york-mets-nHjotbof/
ATL,NYM,7,8,usa/mlb/atlanta-braves-new-york-mets-MgPZDeUO/
MIL,NYM,0,5,usa/mlb/milwaukee-brewers-new-york-mets-WUyvVg4N/
MIL,NYM,6,0,usa/mlb/milwaukee-brewers-new-york-mets-Uwqw0E3c/
MIL,NYM,8,4,usa/mlb/milwaukee-brewers-new-york-mets-6NI1hN1l/
ATL,NYM,5,1,usa/mlb/atlanta-braves-new-york-mets-f5hyWTkA/
NYM,PHI,2,1,usa/mlb/new-york-mets-philadelphia-phillies-4YfntZUE/
NYM,PHI,6,3,usa/mlb/new-york-mets-philadelphia-phillies-Ia38oU6f/
NYM,PHI,2,12,usa/mlb/new-york-mets-philadelphia-phillies-lbb232Su/
NYM,PHI,10,6,usa/mlb/new-york-mets-philadelphia-phillies-bBQiEJtb/
NYM,WSH,10,0,usa/mlb/new-york-mets-washington-nationals-AVmJGC2d/
NYM,WSH,10,1,usa/mlb/new-york-mets-washington-nationals-IgMKYpOs/
NYM,WSH,2,1,usa/mlb/new-york-mets-washington-nationals-IDp2oO7m/
PHI,NYM,2,1,usa/mlb/philadelphia-phillies-new-york-mets-4pyxb1ig/
PHI,NYM,6,4,usa/mlb/philadelphia-phillies-new-york-mets-rJvUionH/
PHI,NYM,3,11,usa/mlb/philadelphia-phillies-new-york-mets-M5slEYbl/
TOR,NYM,2,6,usa/mlb/toronto-blue-jays-new-york-mets-dCBtOw3g/
TOR,NYM,6,2,usa/mlb/toronto-blue-jays-new-york-mets-z3ApNcIa/
TOR,NYM,2,3,usa/mlb/toronto-blue-jays-new-york-mets-rT9lMHX5/
NYM,CIN,1,3,usa/mlb/new-york-mets-cincinnati-reds-bRQubG9q/
NYM,CIN,4,0,usa/mlb/new-york-mets-cincinnati-reds-rmQ93c3J/
NYM,CIN,6,4,usa/mlb/new-york-mets-cincinnati-reds-M1TV8hua/
NYM,BOS,8,3,usa/mlb/new-york-mets-boston-red-sox-O8KbXSNG/
NYM,BOS,7,2,usa/mlb/new-york-mets-boston-red-sox-OSGFPyM7/
NYM,BOS,4,1,usa/mlb/new-york-mets-boston-red-sox-EVYv1brE/
CHW,NYM,0,2,usa/mlb/chicago-white-sox-new-york-mets-dxJwoqlo/
CHW,NYM,3,5,usa/mlb/chicago-white-sox-new-york-mets-KUSFJ3fA/
CHW,NYM,1,5,usa/mlb/chicago-white-sox-new-york-mets-0CIZ87ck/
ARI,NYM,2,3,usa/mlb/arizona-diamondbacks-new-york-mets-EkDDK4d1/
ARI,NYM,8,5,usa/mlb/arizona-diamondbacks-new-york-mets-r3QcmfW4/
ARI,NYM,3,8,usa/mlb/arizona-diamondbacks-new-york-mets-MHTJhk8p/
SD,NYM,3,2,usa/mlb/san-diego-padres-new-york-mets-bX1PSMkE/
SD,NYM,1,7,usa/mlb/san-diego-padres-new-york-mets-OdKpYHRg/
SD,NYM,7,0,usa/mlb/san-diego-padres-new-york-mets-t0y7AZjp/
SD,NYM,3,8,usa/mlb/san-diego-padres-new-york-mets-YTIWqzr3/
NYM,BAL,4,3,usa/mlb/new-york-mets-baltimore-orioles-hY1FyCkq/
NYM,BAL,5,9,usa/mlb/new-york-mets-baltimore-orioles-WrchAWe8/
NYM,BAL,4,3,usa/mlb/new-york-mets-baltimore-orioles-faD72ufa/
NYM,MIA,2,3,usa/mlb/new-york-mets-miami-marlins-Y9O6BzwU/
NYM,MIA,4,0,usa/mlb/new-york-mets-miami-marlins-WIV5tex4/
NYM,MIA,7,3,usa/mlb/new-york-mets-miami-marlins-bgNMY3ze/
NYM,OAK,6,7,usa/mlb/new-york-mets-oakland-athletics-tfbDNLs0/
NYM,OAK,9,1,usa/mlb/new-york-mets-oakland-athletics-f3BaZItC/
NYM,OAK,4,9,usa/mlb/new-york-mets-oakland-athletics-vPpi4wtn/
SEA,NYM,12,1,usa/mlb/seattle-mariners-new-york-mets-Ui4lzgSb/
SEA,NYM,4,0,usa/mlb/seattle-mariners-new-york-mets-hnwxpUeN/
SEA,NYM,6,0,usa/mlb/seattle-mariners-new-york-mets-vLWYbcMd/
COL,NYM,1,9,usa/mlb/colorado-rockies-new-york-mets-U9oHBz62/
COL,NYM,3,5,usa/mlb/colorado-rockies-new-york-mets-hQ1W3q4g/
COL,NYM,6,3,usa/mlb/colorado-rockies-new-york-mets-WzDVCvmO/
STL,NYM,0,6,usa/mlb/st-louis-cardinals-new-york-mets-ILvo7j1U/
LAA,NYM,3,2,usa/mlb/los-angeles-angels-new-york-mets-8fwbqCN2/
LAA,NYM,5,4,usa/mlb/los-angeles-angels-new-york-mets-ANyLl7ar/
LAA,NYM,1,5,usa/mlb/los-angeles-angels-new-york-mets-QX6Ic2rD/
NYM,MIN,3,8,usa/mlb/new-york-mets-minnesota-twins-6PiIcNaA/
NYM,MIN,2,0,usa/mlb/new-york-mets-minnesota-twins-lCou3Iyj/
NYM,MIN,15,2,usa/mlb/new-york-mets-minnesota-twins-EJ8QEFz2/
NYM,ATL,2,9,usa/mlb/new-york-mets-atlanta-braves-WA7qVzLr/
NYM,ATL,0,4,usa/mlb/new-york-mets-atlanta-braves-x80meOv5/
NYM,ATL,8,4,usa/mlb/new-york-mets-atlanta-braves-t2K6awWj/
NYM,ATL,3,2,usa/mlb/new-york-mets-atlanta-braves-hx2s5KPQ/
NYY,NYM,3,12,usa/mlb/new-york-yankees-new-york-mets-hML48gWI/
NYY,NYM,2,3,usa/mlb/new-york-yankees-new-york-mets-vXI4wEVh/
MIA,NYM,4,6,usa/mlb/miami-marlins-new-york-mets-jgB0z3LS/
MIA,NYM,4,2,usa/mlb/miami-marlins-new-york-mets-pWjAtvr2/
