date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
22-09-2024,NYM,PHI,2,1,1,MLB,usa/mlb/new-york-mets-philadelphia-phillies-4YfntZUE/,120,-139
21-09-2024,NYM,PHI,6,3,1,MLB,usa/mlb/new-york-mets-philadelphia-phillies-Ia38oU6f/,-121,104
20-09-2024,NYM,PHI,2,12,0,MLB,usa/mlb/new-york-mets-philadelphia-phillies-lbb232Su/,104,-120
19-09-2024,NYM,PHI,10,6,1,MLB,usa/mlb/new-york-mets-philadelphia-phillies-bBQiEJtb/,-141,122
18-09-2024,NYM,WSH,10,0,1,MLB,usa/mlb/new-york-mets-washington-nationals-AVmJGC2d/,-173,148
17-09-2024,NYM,WSH,10,1,1,MLB,usa/mlb/new-york-mets-washington-nationals-IgMKYpOs/,-166,143
16-09-2024,NYM,WSH,2,1,1,MLB,usa/mlb/new-york-mets-washington-nationals-IDp2oO7m/,-204,174
15-09-2024,PHI,NYM,2,1,1,MLB,usa/mlb/philadelphia-phillies-new-york-mets-4pyxb1ig/,-133,115
14-09-2024,PHI,NYM,6,4,1,MLB,usa/mlb/philadelphia-phillies-new-york-mets-rJvUionH/,-117,101
13-09-2024,PHI,NYM,3,11,0,MLB,usa/mlb/philadelphia-phillies-new-york-mets-M5slEYbl/,-156,134
11-09-2024,TOR,NYM,2,6,0,MLB,usa/mlb/toronto-blue-jays-new-york-mets-dCBtOw3g/,115,-132
10-09-2024,TOR,NYM,6,2,1,MLB,usa/mlb/toronto-blue-jays-new-york-mets-z3ApNcIa/,109,-127
09-09-2024,TOR,NYM,2,3,0,MLB,usa/mlb/toronto-blue-jays-new-york-mets-rT9lMHX5/,112,-130
08-09-2024,NYM,CIN,1,3,0,MLB,usa/mlb/new-york-mets-cincinnati-reds-bRQubG9q/,-211,181
07-09-2024,NYM,CIN,4,0,1,MLB,usa/mlb/new-york-mets-cincinnati-reds-rmQ93c3J/,-154,133
06-09-2024,NYM,CIN,6,4,1,MLB,usa/mlb/new-york-mets-cincinnati-reds-M1TV8hua/,-168,145
04-09-2024,NYM,BOS,8,3,1,MLB,usa/mlb/new-york-mets-boston-red-sox-O8KbXSNG/,-115,-100
03-09-2024,NYM,BOS,7,2,1,MLB,usa/mlb/new-york-mets-boston-red-sox-OSGFPyM7/,-132,114
02-09-2024,NYM,BOS,4,1,1,MLB,usa/mlb/new-york-mets-boston-red-sox-EVYv1brE/,-115,100
01-09-2024,CHW,NYM,0,2,0,MLB,usa/mlb/chicago-white-sox-new-york-mets-dxJwoqlo/,150,-175
31-08-2024,CHW,NYM,3,5,0,MLB,usa/mlb/chicago-white-sox-new-york-mets-KUSFJ3fA/,165,-192
30-08-2024,CHW,NYM,1,5,0,MLB,usa/mlb/chicago-white-sox-new-york-mets-0CIZ87ck/,178,-208
29-08-2024,ARI,NYM,2,3,0,MLB,usa/mlb/arizona-diamondbacks-new-york-mets-EkDDK4d1/,-121,105
28-08-2024,ARI,NYM,8,5,1,MLB,usa/mlb/arizona-diamondbacks-new-york-mets-r3QcmfW4/,-126,109
27-08-2024,ARI,NYM,3,8,0,MLB,usa/mlb/arizona-diamondbacks-new-york-mets-MHTJhk8p/,-109,-106
25-08-2024,SD,NYM,3,2,1,MLB,usa/mlb/san-diego-padres-new-york-mets-bX1PSMkE/,-119,102
24-08-2024,SD,NYM,1,7,0,MLB,usa/mlb/san-diego-padres-new-york-mets-OdKpYHRg/,-140,121
23-08-2024,SD,NYM,7,0,1,MLB,usa/mlb/san-diego-padres-new-york-mets-t0y7AZjp/,-137,119
22-08-2024,SD,NYM,3,8,0,MLB,usa/mlb/san-diego-padres-new-york-mets-YTIWqzr3/,-156,135
21-08-2024,NYM,BAL,4,3,1,MLB,usa/mlb/new-york-mets-baltimore-orioles-hY1FyCkq/,-141,122
20-08-2024,NYM,BAL,5,9,0,MLB,usa/mlb/new-york-mets-baltimore-orioles-WrchAWe8/,-127,110
19-08-2024,NYM,BAL,4,3,1,MLB,usa/mlb/new-york-mets-baltimore-orioles-faD72ufa/,-135,116
18-08-2024,NYM,MIA,2,3,0,MLB,usa/mlb/new-york-mets-miami-marlins-Y9O6BzwU/,-197,169
17-08-2024,NYM,MIA,4,0,1,MLB,usa/mlb/new-york-mets-miami-marlins-WIV5tex4/,-188,162
16-08-2024,NYM,MIA,7,3,1,MLB,usa/mlb/new-york-mets-miami-marlins-bgNMY3ze/,-262,220
15-08-2024,NYM,OAK,6,7,0,MLB,usa/mlb/new-york-mets-oakland-athletics-tfbDNLs0/,-186,160
14-08-2024,NYM,OAK,9,1,1,MLB,usa/mlb/new-york-mets-oakland-athletics-f3BaZItC/,-223,189
13-08-2024,NYM,OAK,4,9,0,MLB,usa/mlb/new-york-mets-oakland-athletics-vPpi4wtn/,-190,163
11-08-2024,SEA,NYM,12,1,1,MLB,usa/mlb/seattle-mariners-new-york-mets-Ui4lzgSb/,-126,109
10-08-2024,SEA,NYM,4,0,1,MLB,usa/mlb/seattle-mariners-new-york-mets-hnwxpUeN/,-129,112
09-08-2024,SEA,NYM,6,0,1,MLB,usa/mlb/seattle-mariners-new-york-mets-vLWYbcMd/,-131,113
08-08-2024,COL,NYM,1,9,0,MLB,usa/mlb/colorado-rockies-new-york-mets-U9oHBz62/,127,-148
07-08-2024,COL,NYM,3,5,0,MLB,usa/mlb/colorado-rockies-new-york-mets-hQ1W3q4g/,130,-150
06-08-2024,COL,NYM,6,3,1,MLB,usa/mlb/colorado-rockies-new-york-mets-WzDVCvmO/,129,-150
05-08-2024,STL,NYM,0,6,0,MLB,usa/mlb/st-louis-cardinals-new-york-mets-ILvo7j1U/,-107,-108
04-08-2024,LAA,NYM,3,2,1,MLB,usa/mlb/los-angeles-angels-new-york-mets-8fwbqCN2/,129,-150
03-08-2024,LAA,NYM,5,4,1,MLB,usa/mlb/los-angeles-angels-new-york-mets-ANyLl7ar/,105,-122
02-08-2024,LAA,NYM,1,5,0,MLB,usa/mlb/los-angeles-angels-new-york-mets-QX6Ic2rD/,116,-135
31-07-2024,NYM,MIN,3,8,0,MLB,usa/mlb/new-york-mets-minnesota-twins-6PiIcNaA/,104,-121
30-07-2024,NYM,MIN,2,0,1,MLB,usa/mlb/new-york-mets-minnesota-twins-lCou3Iyj/,-113,-103
29-07-2024,NYM,MIN,15,2,1,MLB,usa/mlb/new-york-mets-minnesota-twins-EJ8QEFz2/,-111,-104
28-07-2024,NYM,ATL,2,9,0,MLB,usa/mlb/new-york-mets-atlanta-braves-WA7qVzLr/,-112,-103
27-07-2024,NYM,ATL,0,4,0,MLB,usa/mlb/new-york-mets-atlanta-braves-x80meOv5/,-118,101
26-07-2024,NYM,ATL,8,4,1,MLB,usa/mlb/new-york-mets-atlanta-braves-t2K6awWj/,-130,112
25-07-2024,NYM,ATL,3,2,1,MLB,usa/mlb/new-york-mets-atlanta-braves-hx2s5KPQ/,-102,-114
24-07-2024,NYY,NYM,3,12,0,MLB,usa/mlb/new-york-yankees-new-york-mets-hML48gWI/,-170,146
23-07-2024,NYY,NYM,2,3,0,MLB,usa/mlb/new-york-yankees-new-york-mets-vXI4wEVh/,-153,133
22-07-2024,MIA,NYM,4,6,0,MLB,usa/mlb/miami-marlins-new-york-mets-jgB0z3LS/,126,-146
21-07-2024,MIA,NYM,4,2,1,MLB,usa/mlb/miami-marlins-new-york-mets-pWjAtvr2/,123,-143
20-07-2024,MIA,NYM,0,1,0,MLB,usa/mlb/miami-marlins-new-york-mets-OtnmFblR/,139,-161
19-07-2024,MIA,NYM,6,4,1,MLB,usa/mlb/miami-marlins-new-york-mets-863b8mXB/,113,-131
14-07-2024,NYM,COL,5,8,0,MLB,usa/mlb/new-york-mets-colorado-rockies-00SyM61B/,-191,164
13-07-2024,NYM,COL,7,3,1,MLB,usa/mlb/new-york-mets-colorado-rockies-WQNeBA4j/,-204,175
12-07-2024,NYM,COL,7,6,1,MLB,usa/mlb/new-york-mets-colorado-rockies-4jfQqVAF/,-290,244
11-07-2024,NYM,WSH,7,0,1,MLB,usa/mlb/new-york-mets-washington-nationals-840JiJ8g/,-143,123
10-07-2024,NYM,WSH,6,2,1,MLB,usa/mlb/new-york-mets-washington-nationals-Yoh90EiO/,-193,167
09-07-2024,NYM,WSH,7,5,1,MLB,usa/mlb/new-york-mets-washington-nationals-UBGBInD9/,-138,120
08-07-2024,PIT,NYM,8,2,1,MLB,usa/mlb/pittsburgh-pirates-new-york-mets-E3ffAOKk/,-118,102
07-07-2024,PIT,NYM,2,3,0,MLB,usa/mlb/pittsburgh-pirates-new-york-mets-rcRqLuZ7/,110,-127
06-07-2024,PIT,NYM,2,5,0,MLB,usa/mlb/pittsburgh-pirates-new-york-mets-6eSZZ8as/,114,-131
05-07-2024,PIT,NYM,14,2,1,MLB,usa/mlb/pittsburgh-pirates-new-york-mets-niPZVH4N/,-137,120
04-07-2024,WSH,NYM,1,0,1,MLB,usa/mlb/washington-nationals-new-york-mets-UVvO1Ili/,-102,-113
03-07-2024,WSH,NYM,7,5,1,MLB,usa/mlb/washington-nationals-new-york-mets-fi5MADXL/,111,-127
