date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
22-09-2024,CIN,PIT,0,2,0,MLB,usa/mlb/cincinnati-reds-pittsburgh-pirates-rPgjugpL/,-110,-105
21-09-2024,CIN,PIT,7,1,1,MLB,usa/mlb/cincinnati-reds-pittsburgh-pirates-W27CplM0/,-121,104
20-09-2024,CIN,PIT,8,3,1,MLB,usa/mlb/cincinnati-reds-pittsburgh-pirates-Slc62Msn/,-127,109
19-09-2024,STL,PIT,2,3,0,MLB,usa/mlb/st-louis-cardinals-pittsburgh-pirates-x2PeDwd4/,-146,126
18-09-2024,STL,PIT,10,5,1,MLB,usa/mlb/st-louis-cardinals-pittsburgh-pirates-25pBIYXq/,-206,174
17-09-2024,STL,PIT,3,1,1,MLB,usa/mlb/st-louis-cardinals-pittsburgh-pirates-YLplv70K/,-152,131
16-09-2024,STL,PIT,4,0,1,MLB,usa/mlb/st-louis-cardinals-pittsburgh-pirates-6wsbn4hs/,112,-129
15-09-2024,PIT,KC,4,3,1,MLB,usa/mlb/pittsburgh-pirates-kansas-city-royals-rLVRuKyP/,-113,-103
14-09-2024,PIT,KC,1,5,0,MLB,usa/mlb/pittsburgh-pirates-kansas-city-royals-EwmDeTnh/,100,-116
13-09-2024,PIT,KC,3,8,0,MLB,usa/mlb/pittsburgh-pirates-kansas-city-royals-U729LG6E/,-112,-103
11-09-2024,PIT,MIA,3,1,1,MLB,usa/mlb/pittsburgh-pirates-miami-marlins-0YaJPM3H/,-151,130
10-09-2024,PIT,MIA,6,4,1,MLB,usa/mlb/pittsburgh-pirates-miami-marlins-bqKBfs3i/,-160,139
09-09-2024,PIT,MIA,3,2,1,MLB,usa/mlb/pittsburgh-pirates-miami-marlins-b3nc6v23/,-266,224
08-09-2024,PIT,WSH,7,3,1,MLB,usa/mlb/pittsburgh-pirates-washington-nationals-80GPc7F0/,-157,135
07-09-2024,PIT,WSH,6,8,0,MLB,usa/mlb/pittsburgh-pirates-washington-nationals-U3liGzmP/,-143,124
07-09-2024,PIT,WSH,3,5,0,MLB,usa/mlb/pittsburgh-pirates-washington-nationals-CjrELVO4/,-130,107
05-09-2024,PIT,WSH,9,4,1,MLB,usa/mlb/pittsburgh-pirates-washington-nationals-jeMjZlg4/,-120,103
04-09-2024,CHC,PIT,12,0,1,MLB,usa/mlb/chicago-cubs-pittsburgh-pirates-KfYWXaER/,-211,180
03-09-2024,CHC,PIT,0,5,0,MLB,usa/mlb/chicago-cubs-pittsburgh-pirates-jcmpuHLf/,101,-118
02-09-2024,CHC,PIT,3,5,0,MLB,usa/mlb/chicago-cubs-pittsburgh-pirates-Yu5zjYZC/,-145,124
01-09-2024,CLE,PIT,6,1,1,MLB,usa/mlb/cleveland-guardians-pittsburgh-pirates-dSFP8nth/,-158,136
