team_1,team_2,score_1,score_2,game_url
SF,STL,1,6,usa/mlb/san-francisco-giants-st-louis-cardinals-AF90neZc/
SF,STL,6,5,usa/mlb/san-francisco-giants-st-louis-cardinals-ETgOv4Xl/
SF,STL,3,6,usa/mlb/san-francisco-giants-st-louis-cardinals-CtLhDOwE/
COL,STL,10,8,usa/mlb/colorado-rockies-st-louis-cardinals-W4Ai1IpJ/
COL,STL,2,5,usa/mlb/colorado-rockies-st-louis-cardinals-YXhhWxpg/
COL,STL,3,7,usa/mlb/colorado-rockies-st-louis-cardinals-W0E7Oorp/
STL,CLE,2,1,usa/mlb/st-louis-cardinals-cleveland-guardians-6JSkyPRk/
STL,CLE,6,5,usa/mlb/st-louis-cardinals-cleveland-guardians-rwZOghaE/
STL,CLE,1,5,usa/mlb/st-louis-cardinals-cleveland-guardians-ADQun1c5/
STL,PIT,2,3,usa/mlb/st-louis-cardinals-pittsburgh-pirates-x2PeDwd4/
STL,PIT,10,5,usa/mlb/st-louis-cardinals-pittsburgh-pirates-25pBIYXq/
STL,PIT,3,1,usa/mlb/st-louis-cardinals-pittsburgh-pirates-YLplv70K/
STL,PIT,4,0,usa/mlb/st-louis-cardinals-pittsburgh-pirates-6wsbn4hs/
TOR,STL,3,2,usa/mlb/toronto-blue-jays-st-louis-cardinals-j1Fs7HiL/
TOR,STL,7,2,usa/mlb/toronto-blue-jays-st-louis-cardinals-AodE1eFr/
TOR,STL,4,3,usa/mlb/toronto-blue-jays-st-louis-cardinals-EmMyPJmm/
STL,CIN,6,1,usa/mlb/st-louis-cardinals-cincinnati-reds-4QGiYgjK/
STL,CIN,2,1,usa/mlb/st-louis-cardinals-cincinnati-reds-YL82T44h/
STL,CIN,0,3,usa/mlb/st-louis-cardinals-cincinnati-reds-Chogx0mN/
STL,SEA,4,10,usa/mlb/st-louis-cardinals-seattle-mariners-IBNC09Vs/
STL,SEA,2,0,usa/mlb/st-louis-cardinals-seattle-mariners-M170gDuC/
STL,SEA,1,6,usa/mlb/st-louis-cardinals-seattle-mariners-M1k1OXvn/
MIL,STL,2,3,usa/mlb/milwaukee-brewers-st-louis-cardinals-lAO2Swxk/
MIL,STL,4,7,usa/mlb/milwaukee-brewers-st-louis-cardinals-bNjhwej7/
MIL,STL,9,3,usa/mlb/milwaukee-brewers-st-louis-cardinals-0ncMDySJ/
NYY,STL,7,14,usa/mlb/new-york-yankees-st-louis-cardinals-nH8x6pQA/
NYY,STL,5,6,usa/mlb/new-york-yankees-st-louis-cardinals-6k7bBu2j/
NYY,STL,6,3,usa/mlb/new-york-yankees-st-louis-cardinals-GfVQT8ZE/
STL,SD,4,1,usa/mlb/st-louis-cardinals-san-diego-padres-Uce0r8l8/
STL,SD,4,3,usa/mlb/st-louis-cardinals-san-diego-padres-GGO5oY0H/
STL,SD,5,7,usa/mlb/st-louis-cardinals-san-diego-padres-xQB6Gh0i/
STL,SD,4,7,usa/mlb/st-louis-cardinals-san-diego-padres-x2PhF3LE/
MIN,STL,2,3,usa/mlb/minnesota-twins-st-louis-cardinals-86iaMKSs/
MIN,STL,6,0,usa/mlb/minnesota-twins-st-louis-cardinals-bFCcVFBC/
MIN,STL,1,6,usa/mlb/minnesota-twins-st-louis-cardinals-ncSdXdbc/
STL,MIL,3,0,usa/mlb/st-louis-cardinals-milwaukee-brewers-fwKSpGSd/
STL,MIL,10,6,usa/mlb/st-louis-cardinals-milwaukee-brewers-xMyJeXtF/
STL,MIL,2,3,usa/mlb/st-louis-cardinals-milwaukee-brewers-Glfv1SIf/
STL,LAD,1,2,usa/mlb/st-louis-cardinals-los-angeles-dodgers-joZ1CGNN/
STL,LAD,5,2,usa/mlb/st-louis-cardinals-los-angeles-dodgers-2qR1syNc/
STL,LAD,6,7,usa/mlb/st-louis-cardinals-los-angeles-dodgers-GUXHZqLl/
CIN,STL,9,2,usa/mlb/cincinnati-reds-st-louis-cardinals-4YhjdtlP/
CIN,STL,4,1,usa/mlb/cincinnati-reds-st-louis-cardinals-Spw41yQ4/
CIN,STL,6,1,usa/mlb/cincinnati-reds-st-louis-cardinals-zDgAZLyl/
KC,STL,8,3,usa/mlb/kansas-city-royals-st-louis-cardinals-6gghnKxi/
KC,STL,5,8,usa/mlb/kansas-city-royals-st-louis-cardinals-M3OkeFLL/
STL,TB,4,6,usa/mlb/st-louis-cardinals-tampa-bay-rays-fe1ci6Km/
STL,TB,5,2,usa/mlb/st-louis-cardinals-tampa-bay-rays-dIbm013I/
STL,TB,4,3,usa/mlb/st-louis-cardinals-tampa-bay-rays-M5ylVL2h/
STL,NYM,0,6,usa/mlb/st-louis-cardinals-new-york-mets-ILvo7j1U/
CHC,STL,6,2,usa/mlb/chicago-cubs-st-louis-cardinals-rDVAtA7L/
CHC,STL,4,5,usa/mlb/chicago-cubs-st-louis-cardinals-MulWo5q1/
CHC,STL,6,3,usa/mlb/chicago-cubs-st-louis-cardinals-Maz74YGP/
CHC,STL,5,4,usa/mlb/chicago-cubs-st-louis-cardinals-pbuneUwC/
STL,TEX,10,1,usa/mlb/st-louis-cardinals-texas-rangers-CQz1ka7j/
STL,TEX,8,1,usa/mlb/st-louis-cardinals-texas-rangers-EeQwOJDF/
STL,TEX,3,6,usa/mlb/st-louis-cardinals-texas-rangers-nwWCzccL/
STL,WSH,4,3,usa/mlb/st-louis-cardinals-washington-nationals-dz0uSPAI/
STL,WSH,3,14,usa/mlb/st-louis-cardinals-washington-nationals-2BL20JGp/
STL,WSH,8,10,usa/mlb/st-louis-cardinals-washington-nationals-t2bw60AK/
PIT,STL,5,0,usa/mlb/pittsburgh-pirates-st-louis-cardinals-lr4MQznm/
PIT,STL,1,2,usa/mlb/pittsburgh-pirates-st-louis-cardinals-8CALZVUH/
PIT,STL,2,1,usa/mlb/pittsburgh-pirates-st-louis-cardinals-bFSST0bd/
ATL,STL,2,6,usa/mlb/atlanta-braves-st-louis-cardinals-84x52L4L/
ATL,STL,5,9,usa/mlb/atlanta-braves-st-louis-cardinals-0MuR7Gt1/
