date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
29-09-2024,LAA,TEX,0,8,0,MLB,usa/mlb/los-angeles-angels-texas-rangers-6s39pZ3A/,127,-148
28-09-2024,LAA,TEX,8,9,0,MLB,usa/mlb/los-angeles-angels-texas-rangers-nshWxr21/,125,-145
27-09-2024,LAA,TEX,2,5,0,MLB,usa/mlb/los-angeles-angels-texas-rangers-88E1B28Q/,143,-166
26-09-2024,OAK,TEX,3,2,1,MLB,usa/mlb/oakland-athletics-texas-rangers-nDhvPLxQ/,-115,-101
25-09-2024,OAK,TEX,1,5,0,MLB,usa/mlb/oakland-athletics-texas-rangers-vVe0UGE5/,-120,104
24-09-2024,OAK,TEX,5,4,1,MLB,usa/mlb/oakland-athletics-texas-rangers-hG2GMPCd/,-101,-114
22-09-2024,TEX,SEA,6,5,1,MLB,usa/mlb/texas-rangers-seattle-mariners-QmqevDaR/,120,-139
21-09-2024,TEX,SEA,4,8,0,MLB,usa/mlb/texas-rangers-seattle-mariners-QP6Gq8y7/,-106,-109
20-09-2024,TEX,SEA,2,8,0,MLB,usa/mlb/texas-rangers-seattle-mariners-pQiB1tch/,-123,106
19-09-2024,TEX,TOR,0,4,0,MLB,usa/mlb/texas-rangers-toronto-blue-jays-4pDV9J72/,-134,116
18-09-2024,TEX,TOR,2,0,1,MLB,usa/mlb/texas-rangers-toronto-blue-jays-ryCZ8wN8/,-112,-103
17-09-2024,TEX,TOR,13,8,1,MLB,usa/mlb/texas-rangers-toronto-blue-jays-CAGw8cxF/,-133,115
15-09-2024,SEA,TEX,7,0,1,MLB,usa/mlb/seattle-mariners-texas-rangers-YPShfJjI/,-161,139
14-09-2024,SEA,TEX,5,4,1,MLB,usa/mlb/seattle-mariners-texas-rangers-rHqlctOd/,-168,144
13-09-2024,SEA,TEX,5,4,1,MLB,usa/mlb/seattle-mariners-texas-rangers-lIY4AjbD/,116,-134
12-09-2024,SEA,TEX,4,5,0,MLB,usa/mlb/seattle-mariners-texas-rangers-Uk9wPkD6/,-144,124
11-09-2024,ARI,TEX,14,4,1,MLB,usa/mlb/arizona-diamondbacks-texas-rangers-QFXusOYi/,-162,139
10-09-2024,ARI,TEX,6,0,1,MLB,usa/mlb/arizona-diamondbacks-texas-rangers-jcPVkJHM/,-176,152
08-09-2024,TEX,LAA,7,4,1,MLB,usa/mlb/texas-rangers-los-angeles-angels-pKp54IWF/,-173,149
07-09-2024,TEX,LAA,6,4,1,MLB,usa/mlb/texas-rangers-los-angeles-angels-M3KTdRU6/,-142,122
06-09-2024,TEX,LAA,1,5,0,MLB,usa/mlb/texas-rangers-los-angeles-angels-WCzJBfet/,-153,132
05-09-2024,TEX,LAA,3,1,1,MLB,usa/mlb/texas-rangers-los-angeles-angels-jssIKkvB/,-195,167
04-09-2024,TEX,NYY,10,6,1,MLB,usa/mlb/texas-rangers-new-york-yankees-xWrSYuaL/,-106,-110
03-09-2024,TEX,NYY,7,4,1,MLB,usa/mlb/texas-rangers-new-york-yankees-8Ycutc6l/,136,-157
02-09-2024,TEX,NYY,4,8,0,MLB,usa/mlb/texas-rangers-new-york-yankees-jHFVjEK6/,159,-185
01-09-2024,TEX,OAK,6,4,1,MLB,usa/mlb/texas-rangers-oakland-athletics-bscM9SQo/,-127,109
31-08-2024,TEX,OAK,3,2,1,MLB,usa/mlb/texas-rangers-oakland-athletics-EiSJIN9G/,-164,142
30-08-2024,TEX,OAK,2,9,0,MLB,usa/mlb/texas-rangers-oakland-athletics-SYlW7RCe/,-134,116
29-08-2024,CHW,TEX,1,2,0,MLB,usa/mlb/chicago-white-sox-texas-rangers-0pIXPaYt/,231,-274
28-08-2024,CHW,TEX,3,4,0,MLB,usa/mlb/chicago-white-sox-texas-rangers-Ei4tuWwo/,166,-193
25-08-2024,CLE,TEX,4,2,1,MLB,usa/mlb/cleveland-guardians-texas-rangers-ULu8Kbcf/,-125,108
24-08-2024,CLE,TEX,13,5,1,MLB,usa/mlb/cleveland-guardians-texas-rangers-pWA5TgtP/,-133,115
23-08-2024,CLE,TEX,3,5,0,MLB,usa/mlb/cleveland-guardians-texas-rangers-rPL5VzT9/,-144,125
21-08-2024,TEX,PIT,1,0,1,MLB,usa/mlb/texas-rangers-pittsburgh-pirates-QoMhkVJr/,-151,130
20-08-2024,TEX,PIT,0,4,0,MLB,usa/mlb/texas-rangers-pittsburgh-pirates-j7nibQ2D/,-141,122
19-08-2024,TEX,PIT,4,3,1,MLB,usa/mlb/texas-rangers-pittsburgh-pirates-biAObcgO/,-157,136
18-08-2024,TEX,MIN,6,5,1,MLB,usa/mlb/texas-rangers-minnesota-twins-zJAY6foo/,-108,-107
17-08-2024,TEX,MIN,2,5,0,MLB,usa/mlb/texas-rangers-minnesota-twins-A9U9uFiA/,-143,123
16-08-2024,TEX,MIN,3,4,0,MLB,usa/mlb/texas-rangers-minnesota-twins-dvtQXNk1/,-122,106
15-08-2024,TEX,MIN,2,3,0,MLB,usa/mlb/texas-rangers-minnesota-twins-YTb9O1Sg/,102,-118
14-08-2024,BOS,TEX,7,9,0,MLB,usa/mlb/boston-red-sox-texas-rangers-tfpIi0dt/,-134,116
13-08-2024,BOS,TEX,9,4,1,MLB,usa/mlb/boston-red-sox-texas-rangers-6yx80euB/,-142,123
12-08-2024,BOS,TEX,5,4,1,MLB,usa/mlb/boston-red-sox-texas-rangers-lGcEYuif/,-124,107
11-08-2024,NYY,TEX,8,7,1,MLB,usa/mlb/new-york-yankees-texas-rangers-WG05WARN/,-146,126
10-08-2024,NYY,TEX,4,9,0,MLB,usa/mlb/new-york-yankees-texas-rangers-0fNgfZzS/,-187,150
10-08-2024,NYY,TEX,8,0,1,MLB,usa/mlb/new-york-yankees-texas-rangers-pphdovhc/,-160,139
07-08-2024,TEX,HOU,4,6,0,MLB,usa/mlb/texas-rangers-houston-astros-UXq4AoRP/,112,-130
06-08-2024,TEX,HOU,2,4,0,MLB,usa/mlb/texas-rangers-houston-astros-tnKIFt35/,109,-127
05-08-2024,TEX,HOU,4,3,1,MLB,usa/mlb/texas-rangers-houston-astros-4lX8QcHN/,-111,-105
04-08-2024,TEX,BOS,2,7,0,MLB,usa/mlb/texas-rangers-boston-red-sox-8zJYtJ14/,-120,103
03-08-2024,TEX,BOS,7,4,1,MLB,usa/mlb/texas-rangers-boston-red-sox-8fFkZRae/,-114,-102
02-08-2024,TEX,BOS,6,11,0,MLB,usa/mlb/texas-rangers-boston-red-sox-A1UQ7n6K/,-113,-103
31-07-2024,STL,TEX,10,1,1,MLB,usa/mlb/st-louis-cardinals-texas-rangers-CQz1ka7j/,-100,-115
30-07-2024,STL,TEX,8,1,1,MLB,usa/mlb/st-louis-cardinals-texas-rangers-EeQwOJDF/,107,-124
