date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
22-09-2024,TB,TOR,4,3,1,MLB,usa/mlb/tampa-bay-rays-toronto-blue-jays-AXGumd0k/,-133,114
21-09-2024,TB,TOR,3,2,1,MLB,usa/mlb/tampa-bay-rays-toronto-blue-jays-4fGqnGFe/,-138,119
20-09-2024,TB,TOR,1,0,1,MLB,usa/mlb/tampa-bay-rays-toronto-blue-jays-2uZnozV1/,102,-118
19-09-2024,TEX,TOR,0,4,0,MLB,usa/mlb/texas-rangers-toronto-blue-jays-4pDV9J72/,-134,116
18-09-2024,TEX,TOR,2,0,1,MLB,usa/mlb/texas-rangers-toronto-blue-jays-ryCZ8wN8/,-112,-103
17-09-2024,TEX,TOR,13,8,1,MLB,usa/mlb/texas-rangers-toronto-blue-jays-CAGw8cxF/,-133,115
15-09-2024,TOR,STL,3,2,1,MLB,usa/mlb/toronto-blue-jays-st-louis-cardinals-j1Fs7HiL/,-122,105
14-09-2024,TOR,STL,7,2,1,MLB,usa/mlb/toronto-blue-jays-st-louis-cardinals-AodE1eFr/,-127,110
13-09-2024,TOR,STL,4,3,1,MLB,usa/mlb/toronto-blue-jays-st-louis-cardinals-EmMyPJmm/,-133,114
11-09-2024,TOR,NYM,2,6,0,MLB,usa/mlb/toronto-blue-jays-new-york-mets-dCBtOw3g/,115,-132
10-09-2024,TOR,NYM,6,2,1,MLB,usa/mlb/toronto-blue-jays-new-york-mets-z3ApNcIa/,109,-127
09-09-2024,TOR,NYM,2,3,0,MLB,usa/mlb/toronto-blue-jays-new-york-mets-rT9lMHX5/,112,-130
08-09-2024,ATL,TOR,4,3,1,MLB,usa/mlb/atlanta-braves-toronto-blue-jays-MJ8hLymC/,-268,226
07-09-2024,ATL,TOR,5,9,0,MLB,usa/mlb/atlanta-braves-toronto-blue-jays-4rbcKe2I/,-158,136
06-09-2024,ATL,TOR,3,1,1,MLB,usa/mlb/atlanta-braves-toronto-blue-jays-Io21JFHO/,-166,144
04-09-2024,TOR,PHI,2,4,0,MLB,usa/mlb/toronto-blue-jays-philadelphia-phillies-WljqrafP/,111,-128
03-09-2024,TOR,PHI,9,10,0,MLB,usa/mlb/toronto-blue-jays-philadelphia-phillies-YcxBwJ2t/,-115,-100
01-09-2024,MIN,TOR,4,3,1,MLB,usa/mlb/minnesota-twins-toronto-blue-jays-jZWFxwIn/,-276,231
31-08-2024,MIN,TOR,0,15,0,MLB,usa/mlb/minnesota-twins-toronto-blue-jays-UPVJycXh/,-144,125
30-08-2024,MIN,TOR,2,0,1,MLB,usa/mlb/minnesota-twins-toronto-blue-jays-OnVNzHna/,-188,162
29-08-2024,BOS,TOR,0,2,0,MLB,usa/mlb/boston-red-sox-toronto-blue-jays-MXmRZz25/,-129,112
28-08-2024,BOS,TOR,3,0,1,MLB,usa/mlb/boston-red-sox-toronto-blue-jays-0xftrmPq/,-136,118
27-08-2024,BOS,TOR,6,3,1,MLB,usa/mlb/boston-red-sox-toronto-blue-jays-fagps7vj/,-136,117
26-08-2024,BOS,TOR,3,7,0,MLB,usa/mlb/boston-red-sox-toronto-blue-jays-82cltRgd/,-157,136
25-08-2024,TOR,LAA,8,2,1,MLB,usa/mlb/toronto-blue-jays-los-angeles-angels-A7yX4AWd/,-162,140
24-08-2024,TOR,LAA,3,1,1,MLB,usa/mlb/toronto-blue-jays-los-angeles-angels-lbzy4Uo3/,-191,164
23-08-2024,TOR,LAA,5,4,1,MLB,usa/mlb/toronto-blue-jays-los-angeles-angels-dOZv3l19/,-190,164
22-08-2024,TOR,LAA,5,3,1,MLB,usa/mlb/toronto-blue-jays-los-angeles-angels-zFYr28GF/,-151,130
21-08-2024,TOR,CIN,7,11,0,MLB,usa/mlb/toronto-blue-jays-cincinnati-reds-IwOm1SVL/,100,-117
20-08-2024,TOR,CIN,10,3,1,MLB,usa/mlb/toronto-blue-jays-cincinnati-reds-WtSi0noS/,-124,107
