team_1,team_2,score_1,score_2,game_url
WSH,PHI,3,6,usa/mlb/washington-nationals-philadelphia-phillies-2DS9PXRp/
WSH,PHI,6,3,usa/mlb/washington-nationals-philadelphia-phillies-Q5xnbhY9/
WSH,PHI,9,1,usa/mlb/washington-nationals-philadelphia-phillies-vyH9j1W0/
WSH,KC,4,7,usa/mlb/washington-nationals-kansas-city-royals-Is4y50of/
WSH,KC,0,3,usa/mlb/washington-nationals-kansas-city-royals-nyXMGcp6/
WSH,KC,0,1,usa/mlb/washington-nationals-kansas-city-royals-8ljPYV5i/
CHC,WSH,5,0,usa/mlb/chicago-cubs-washington-nationals-dWZQYjNl/
CHC,WSH,1,5,usa/mlb/chicago-cubs-washington-nationals-48Be7BTD/
CHC,WSH,3,1,usa/mlb/chicago-cubs-washington-nationals-IwjJaKR4/
CHC,WSH,7,6,usa/mlb/chicago-cubs-washington-nationals-YTI4BHQG/
NYM,WSH,10,0,usa/mlb/new-york-mets-washington-nationals-AVmJGC2d/
NYM,WSH,10,1,usa/mlb/new-york-mets-washington-nationals-IgMKYpOs/
NYM,WSH,2,1,usa/mlb/new-york-mets-washington-nationals-IDp2oO7m/
WSH,MIA,4,3,usa/mlb/washington-nationals-miami-marlins-bX5y0NMt/
WSH,MIA,4,1,usa/mlb/washington-nationals-miami-marlins-A5tMg7H4/
WSH,MIA,4,1,usa/mlb/washington-nationals-miami-marlins-jNjIJfyR/
WSH,MIA,3,6,usa/mlb/washington-nationals-miami-marlins-z97NSXDs/
WSH,ATL,5,1,usa/mlb/washington-nationals-atlanta-braves-QH2nNTsJ/
WSH,ATL,0,12,usa/mlb/washington-nationals-atlanta-braves-bTVmu234/
PIT,WSH,7,3,usa/mlb/pittsburgh-pirates-washington-nationals-80GPc7F0/
PIT,WSH,6,8,usa/mlb/pittsburgh-pirates-washington-nationals-U3liGzmP/
PIT,WSH,3,5,usa/mlb/pittsburgh-pirates-washington-nationals-CjrELVO4/
PIT,WSH,9,4,usa/mlb/pittsburgh-pirates-washington-nationals-jeMjZlg4/
MIA,WSH,4,3,usa/mlb/miami-marlins-washington-nationals-S0N6Rcie/
MIA,WSH,2,6,usa/mlb/miami-marlins-washington-nationals-xEkdxF5D/
WSH,CHC,1,14,usa/mlb/washington-nationals-chicago-cubs-GKbg6gKg/
WSH,CHC,3,5,usa/mlb/washington-nationals-chicago-cubs-vFmHb2Ip/
WSH,CHC,6,7,usa/mlb/washington-nationals-chicago-cubs-UNviHVk9/
WSH,NYY,5,2,usa/mlb/washington-nationals-new-york-yankees-2i90lzHb/
WSH,NYY,4,2,usa/mlb/washington-nationals-new-york-yankees-4xshcVaT/
WSH,NYY,2,5,usa/mlb/washington-nationals-new-york-yankees-QRLlGq68/
ATL,WSH,1,5,usa/mlb/atlanta-braves-washington-nationals-bepCJIC0/
ATL,WSH,4,2,usa/mlb/atlanta-braves-washington-nationals-l4ynxnpP/
ATL,WSH,3,2,usa/mlb/atlanta-braves-washington-nationals-xnL9UfrG/
WSH,COL,8,3,usa/mlb/washington-nationals-colorado-rockies-p8xxOhLq/
WSH,COL,6,1,usa/mlb/washington-nationals-colorado-rockies-tfrAcgC2/
WSH,COL,1,3,usa/mlb/washington-nationals-colorado-rockies-8OjW2llr/
PHI,WSH,4,6,usa/mlb/philadelphia-phillies-washington-nationals-IF5WReNA/
PHI,WSH,5,1,usa/mlb/philadelphia-phillies-washington-nationals-rJQoXjaj/
PHI,WSH,3,2,usa/mlb/philadelphia-phillies-washington-nationals-tWJUVqzK/
PHI,WSH,13,3,usa/mlb/philadelphia-phillies-washington-nationals-29nMLaCC/
BAL,WSH,4,1,usa/mlb/baltimore-orioles-washington-nationals-zHqMjKBn/
