date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
22-09-2024,CHC,WSH,5,0,1,MLB,usa/mlb/chicago-cubs-washington-nationals-dWZQYjNl/,-206,175
21-09-2024,CHC,WSH,1,5,0,MLB,usa/mlb/chicago-cubs-washington-nationals-48Be7BTD/,-136,118
20-09-2024,CHC,WSH,3,1,1,MLB,usa/mlb/chicago-cubs-washington-nationals-IwjJaKR4/,-164,141
19-09-2024,CHC,WSH,7,6,1,MLB,usa/mlb/chicago-cubs-washington-nationals-YTI4BHQG/,-182,156
18-09-2024,NYM,WSH,10,0,1,MLB,usa/mlb/new-york-mets-washington-nationals-AVmJGC2d/,-173,148
17-09-2024,NYM,WSH,10,1,1,MLB,usa/mlb/new-york-mets-washington-nationals-IgMKYpOs/,-166,143
16-09-2024,NYM,WSH,2,1,1,MLB,usa/mlb/new-york-mets-washington-nationals-IDp2oO7m/,-204,174
15-09-2024,WSH,MIA,4,3,1,MLB,usa/mlb/washington-nationals-miami-marlins-bX5y0NMt/,-174,149
14-09-2024,WSH,MIA,4,1,1,MLB,usa/mlb/washington-nationals-miami-marlins-A5tMg7H4/,-144,124
13-09-2024,WSH,MIA,4,1,1,MLB,usa/mlb/washington-nationals-miami-marlins-jNjIJfyR/,-142,122
12-09-2024,WSH,MIA,3,6,0,MLB,usa/mlb/washington-nationals-miami-marlins-z97NSXDs/,-193,164
11-09-2024,WSH,ATL,5,1,1,MLB,usa/mlb/washington-nationals-atlanta-braves-QH2nNTsJ/,148,-171
10-09-2024,WSH,ATL,0,12,0,MLB,usa/mlb/washington-nationals-atlanta-braves-bTVmu234/,120,-139
08-09-2024,PIT,WSH,7,3,1,MLB,usa/mlb/pittsburgh-pirates-washington-nationals-80GPc7F0/,-157,135
07-09-2024,PIT,WSH,6,8,0,MLB,usa/mlb/pittsburgh-pirates-washington-nationals-U3liGzmP/,-143,124
07-09-2024,PIT,WSH,3,5,0,MLB,usa/mlb/pittsburgh-pirates-washington-nationals-CjrELVO4/,-130,107
05-09-2024,PIT,WSH,9,4,1,MLB,usa/mlb/pittsburgh-pirates-washington-nationals-jeMjZlg4/,-120,103
04-09-2024,MIA,WSH,4,3,1,MLB,usa/mlb/miami-marlins-washington-nationals-S0N6Rcie/,123,-142
03-09-2024,MIA,WSH,2,6,0,MLB,usa/mlb/miami-marlins-washington-nationals-xEkdxF5D/,-111,-105
01-09-2024,WSH,CHC,1,14,0,MLB,usa/mlb/washington-nationals-chicago-cubs-GKbg6gKg/,109,-128
31-08-2024,WSH,CHC,3,5,0,MLB,usa/mlb/washington-nationals-chicago-cubs-vFmHb2Ip/,-104,-111
30-08-2024,WSH,CHC,6,7,0,MLB,usa/mlb/washington-nationals-chicago-cubs-UNviHVk9/,134,-155
28-08-2024,WSH,NYY,5,2,1,MLB,usa/mlb/washington-nationals-new-york-yankees-2i90lzHb/,183,-216
27-08-2024,WSH,NYY,4,2,1,MLB,usa/mlb/washington-nationals-new-york-yankees-4xshcVaT/,212,-252
26-08-2024,WSH,NYY,2,5,0,MLB,usa/mlb/washington-nationals-new-york-yankees-QRLlGq68/,161,-187
25-08-2024,ATL,WSH,1,5,0,MLB,usa/mlb/atlanta-braves-washington-nationals-bepCJIC0/,-195,167
24-08-2024,ATL,WSH,4,2,1,MLB,usa/mlb/atlanta-braves-washington-nationals-l4ynxnpP/,-170,147
23-08-2024,ATL,WSH,3,2,1,MLB,usa/mlb/atlanta-braves-washington-nationals-xnL9UfrG/,-262,220
22-08-2024,WSH,COL,8,3,1,MLB,usa/mlb/washington-nationals-colorado-rockies-p8xxOhLq/,-151,131
21-08-2024,WSH,COL,6,1,1,MLB,usa/mlb/washington-nationals-colorado-rockies-tfrAcgC2/,-162,140
20-08-2024,WSH,COL,1,3,0,MLB,usa/mlb/washington-nationals-colorado-rockies-8OjW2llr/,-160,138
18-08-2024,PHI,WSH,4,6,0,MLB,usa/mlb/philadelphia-phillies-washington-nationals-IF5WReNA/,-159,137
