team_1,team_2,score_1,score_2,game_url
ATL,IND,131,130,usa/nba/atlanta-hawks-indiana-pacers-UuSTSQql/
ATL,NY,82,90,usa/nba-las-vegas-summer-league/atlanta-hawks-new-york-knicks-McR0DPSg/
CHI,ATL,103,99,usa/nba-las-vegas-summer-league/chicago-bulls-atlanta-hawks-OpQhv6bD/
ATL,LAL,86,87,usa/nba-las-vegas-summer-league/atlanta-hawks-los-angeles-lakers-67l4XcoT/
ATL,SA,76,79,usa/nba-las-vegas-summer-league/atlanta-hawks-san-antonio-spurs-O2uFDQWr/
WSH,ATL,94,88,usa/nba-las-vegas-summer-league/washington-wizards-atlanta-hawks-0jD0wBeT/
CHI,ATL,131,116,usa/nba-2023-2024/chicago-bulls-atlanta-hawks-W6ZoUMB7/
IND,ATL,157,115,usa/nba-2023-2024/indiana-pacers-atlanta-hawks-6NUn9RKe/
MIN,ATL,109,106,usa/nba-2023-2024/minnesota-timberwolves-atlanta-hawks-Yei6dlyj/
ATL,CHA,114,115,usa/nba-2023-2024/atlanta-hawks-charlotte-hornets-rm2x7sgt/
ATL,MIA,111,117,usa/nba-2023-2024/atlanta-hawks-miami-heat-f50ybM0J/
DEN,ATL,142,110,usa/nba-2023-2024/denver-nuggets-atlanta-hawks-2VJtj72r/
DAL,ATL,109,95,usa/nba-2023-2024/dallas-mavericks-atlanta-hawks-zR6EnYej/
ATL,DET,121,113,usa/nba-2023-2024/atlanta-hawks-detroit-pistons-ETByoLKo/
CHI,ATL,101,113,usa/nba-2023-2024/chicago-bulls-atlanta-hawks-xYuhEvjO/
ATL,MIL,113,122,usa/nba-2023-2024/atlanta-hawks-milwaukee-bucks-bJbiIVpr/
ATL,BOS,123,122,usa/nba-2023-2024/atlanta-hawks-boston-celtics-4rbqkXGe/
ATL,POR,120,106,usa/nba-2023-2024/atlanta-hawks-portland-trail-blazers-KU4e0cPd/
ATL,BOS,120,118,usa/nba-2023-2024/atlanta-hawks-boston-celtics-lAtl0x8a/
ATL,CHA,132,91,usa/nba-2023-2024/atlanta-hawks-charlotte-hornets-6ROckLgs/
PHX,ATL,128,115,usa/nba-2023-2024/phoenix-suns-atlanta-hawks-Wlj0trHQ/
LAL,ATL,136,105,usa/nba-2023-2024/los-angeles-lakers-atlanta-hawks-nLQwTXtA/
LAC,ATL,93,110,usa/nba-2023-2024/los-angeles-clippers-atlanta-hawks-YH04EYRG/
UTAH,ATL,124,122,usa/nba-2023-2024/utah-jazz-atlanta-hawks-QcI5xuFa/
POR,ATL,106,102,usa/nba-2023-2024/portland-trail-blazers-atlanta-hawks-KxFcrAoL/
ATL,NO,103,116,usa/nba-2023-2024/atlanta-hawks-new-orleans-pelicans-lpcFX6z1/
MEM,ATL,92,99,usa/nba-2023-2024/memphis-grizzlies-atlanta-hawks-h4vCxdMS/
ATL,CLE,112,101,usa/nba-2023-2024/atlanta-hawks-cleveland-cavaliers-nJoN6wWp/
NY,ATL,100,116,usa/nba-2023-2024/new-york-knicks-atlanta-hawks-ro3vF1O4/
BKN,ATL,114,102,usa/nba-2023-2024/brooklyn-nets-atlanta-hawks-GdWl8gBK/
BKN,ATL,124,97,usa/nba-2023-2024/brooklyn-nets-atlanta-hawks-vwQFkQwd/
ATL,UTAH,124,97,usa/nba-2023-2024/atlanta-hawks-utah-jazz-KC5doBnA/
ATL,ORL,109,92,usa/nba-2023-2024/atlanta-hawks-orlando-magic-YZFwhM3P/
ATL,TOR,121,123,usa/nba-2023-2024/atlanta-hawks-toronto-raptors-2c8I4cbh/
CHA,ATL,122,99,usa/nba-2023-2024/charlotte-hornets-atlanta-hawks-Ey4Cih8j/
ATL,CHI,126,136,usa/nba-2023-2024/atlanta-hawks-chicago-bulls-IVN2oHoH/
ATL,HOU,122,113,usa/nba-2023-2024/atlanta-hawks-houston-rockets-z344z4Jf/
PHI,ATL,121,127,usa/nba-2023-2024/philadelphia-76ers-atlanta-hawks-462Qq25S/
BOS,ATL,125,117,usa/nba-2023-2024/boston-celtics-atlanta-hawks-G2yXZQy4/
ATL,LAC,144,149,usa/nba-2023-2024/atlanta-hawks-los-angeles-clippers-lzdhOTxh/
ATL,GSW,141,134,usa/nba-2023-2024/atlanta-hawks-golden-state-warriors-YoKr8Hnf/
ATL,PHX,129,120,usa/nba-2023-2024/atlanta-hawks-phoenix-suns-vPb9gIX0/
ATL,LAL,138,122,usa/nba-2023-2024/atlanta-hawks-los-angeles-lakers-6yphU14k/
ATL,TOR,126,125,usa/nba-2023-2024/atlanta-hawks-toronto-raptors-E3QiAERF/
ATL,DAL,143,148,usa/nba-2023-2024/atlanta-hawks-dallas-mavericks-b93JRmRg/
GSW,ATL,134,112,usa/nba-2023-2024/golden-state-warriors-atlanta-hawks-p6wpDlC0/
SAC,ATL,122,107,usa/nba-2023-2024/sacramento-kings-atlanta-hawks-rcmRJaTF/
ATL,CLE,95,116,usa/nba-2023-2024/atlanta-hawks-cleveland-cavaliers-jmzQj1aT/
MIA,ATL,108,109,usa/nba-2023-2024/miami-heat-atlanta-hawks-l4mFY1wo/
ATL,ORL,106,104,usa/nba-2023-2024/atlanta-hawks-orlando-magic-fwKnsZPm/
ATL,SA,109,99,usa/nba-2023-2024/atlanta-hawks-san-antonio-spurs-MeEDUetr/
ATL,WSH,99,127,usa/nba-2023-2024/atlanta-hawks-washington-wizards-lrY41cCe/
ATL,IND,108,126,usa/nba-2023-2024/atlanta-hawks-indiana-pacers-4xHT3VGd/
ATL,PHI,139,132,usa/nba-2023-2024/atlanta-hawks-philadelphia-76ers-YJJEji6a/
ORL,ATL,117,110,usa/nba-2023-2024/orlando-magic-atlanta-hawks-lftYsNNR/
IND,ATL,150,116,usa/nba-2023-2024/indiana-pacers-atlanta-hawks-M5sIGpPS/
ATL,OKC,141,138,usa/nba-2023-2024/atlanta-hawks-oklahoma-city-thunder-vNPR5TAA/
WSH,ATL,126,130,usa/nba-2023-2024/washington-wizards-atlanta-hawks-Esu4fu6s/
ATL,SAC,110,117,usa/nba-2023-2024/atlanta-hawks-sacramento-kings-UkujmObE/
CHI,ATL,118,113,usa/nba-2023-2024/chicago-bulls-atlanta-hawks-hCAmTsjo/
ATL,MEM,119,125,usa/nba-2023-2024/atlanta-hawks-memphis-grizzlies-Qs2RNnE5/
MIA,ATL,122,113,usa/nba-2023-2024/miami-heat-atlanta-hawks-8pGeATq6/
HOU,ATL,127,134,usa/nba-2023-2024/houston-rockets-atlanta-hawks-Q1b5aCVm/
ATL,DET,130,124,usa/nba-2023-2024/atlanta-hawks-detroit-pistons-2mNiptQq/
CLE,ATL,127,119,usa/nba-2023-2024/cleveland-cavaliers-atlanta-hawks-2D6rJ3Rp/
TOR,ATL,104,125,usa/nba-2023-2024/toronto-raptors-atlanta-hawks-G6Rokanh/
TOR,ATL,135,128,usa/nba-2023-2024/toronto-raptors-atlanta-hawks-MqSsjuXo/
