date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2,high_moneyline_1,high_moneyline_2
20-07-2024,ATL,NY,82,90,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/atlanta-hawks-new-york-knicks-McR0DPSg/,141,-182,160,-169
19-07-2024,CHI,ATL,103,99,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/chicago-bulls-atlanta-hawks-OpQhv6bD/,-193,148,-175,164
17-07-2024,ATL,LAL,86,87,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/atlanta-hawks-los-angeles-lakers-67l4XcoT/,-257,190,-217,225
14-07-2024,ATL,SA,76,79,0,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/atlanta-hawks-san-antonio-spurs-O2uFDQWr/,-238,179,-196,200
12-07-2024,WSH,ATL,94,88,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/washington-wizards-atlanta-hawks-0jD0wBeT/,-253,187,-217,200
17-04-2024,CHI,ATL,131,116,1,NBA_2023/2024,usa/nba-2023-2024/chicago-bulls-atlanta-hawks-W6ZoUMB7/,-151,127,-147,131
14-04-2024,IND,ATL,157,115,1,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-atlanta-hawks-6NUn9RKe/,-949,628,-833,725
12-04-2024,MIN,ATL,109,106,1,NBA_2023/2024,usa/nba-2023-2024/minnesota-timberwolves-atlanta-hawks-Yei6dlyj/,-726,505,-667,571
10-04-2024,ATL,CHA,114,115,0,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-charlotte-hornets-rm2x7sgt/,-389,303,-370,351
09-04-2024,ATL,MIA,111,117,0,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-miami-heat-f50ybM0J/,135,-161,144,-149
06-04-2024,DEN,ATL,142,110,1,NBA_2023/2024,usa/nba-2023-2024/denver-nuggets-atlanta-hawks-2VJtj72r/,-670,472,-588,525
04-04-2024,DAL,ATL,109,95,1,NBA_2023/2024,usa/nba-2023-2024/dallas-mavericks-atlanta-hawks-zR6EnYej/,-667,479,-556,528
03-04-2024,ATL,DET,121,113,1,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-detroit-pistons-ETByoLKo/,-650,467,-588,503
01-04-2024,CHI,ATL,101,113,0,NBA_2023/2024,usa/nba-2023-2024/chicago-bulls-atlanta-hawks-xYuhEvjO/,-129,109,-125,117
30-03-2024,ATL,MIL,113,122,0,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-milwaukee-bucks-bJbiIVpr/,163,-196,181,-182
28-03-2024,ATL,BOS,123,122,1,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-boston-celtics-4rbqkXGe/,723,-1171,850,-1000
27-03-2024,ATL,POR,120,106,1,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-portland-trail-blazers-KU4e0cPd/,-663,468,-625,501
25-03-2024,ATL,BOS,120,118,1,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-boston-celtics-lAtl0x8a/,383,-518,440,-476
23-03-2024,ATL,CHA,132,91,1,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-charlotte-hornets-6ROckLgs/,-295,237,-278,270
21-03-2024,PHX,ATL,128,115,1,NBA_2023/2024,usa/nba-2023-2024/phoenix-suns-atlanta-hawks-Wlj0trHQ/,-410,321,-370,370
18-03-2024,LAL,ATL,136,105,1,NBA_2023/2024,usa/nba-2023-2024/los-angeles-lakers-atlanta-hawks-nLQwTXtA/,-433,337,-400,379
17-03-2024,LAC,ATL,93,110,0,NBA_2023/2024,usa/nba-2023-2024/los-angeles-clippers-atlanta-hawks-YH04EYRG/,-458,349,-435,363
15-03-2024,UTAH,ATL,124,122,1,NBA_2023/2024,usa/nba-2023-2024/utah-jazz-atlanta-hawks-QcI5xuFa/,100,-118,108,-110
13-03-2024,POR,ATL,106,102,1,NBA_2023/2024,usa/nba-2023-2024/portland-trail-blazers-atlanta-hawks-KxFcrAoL/,151,-185,161,-175
10-03-2024,ATL,NO,103,116,0,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-new-orleans-pelicans-lpcFX6z1/,202,-248,215,-233
08-03-2024,MEM,ATL,92,99,0,NBA_2023/2024,usa/nba-2023-2024/memphis-grizzlies-atlanta-hawks-h4vCxdMS/,131,-154,141,-147
06-03-2024,ATL,CLE,112,101,1,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-cleveland-cavaliers-nJoN6wWp/,-145,125,-133,138
05-03-2024,NY,ATL,100,116,0,NBA_2023/2024,usa/nba-2023-2024/new-york-knicks-atlanta-hawks-ro3vF1O4/,-122,104,-111,108
02-03-2024,BKN,ATL,114,102,1,NBA_2023/2024,usa/nba-2023-2024/brooklyn-nets-atlanta-hawks-GdWl8gBK/,-105,-111,-101,-102
29-02-2024,BKN,ATL,124,97,1,NBA_2023/2024,usa/nba-2023-2024/brooklyn-nets-atlanta-hawks-vwQFkQwd/,-116,-101,-109,104
27-02-2024,ATL,UTAH,124,97,1,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-utah-jazz-KC5doBnA/,-128,108,-119,116
25-02-2024,ATL,ORL,109,92,1,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-orlando-magic-YZFwhM3P/,-128,108,-123,114
23-02-2024,ATL,TOR,121,123,0,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-toronto-raptors-2c8I4cbh/,-302,239,-270,261
14-02-2024,CHA,ATL,122,99,1,NBA_2023/2024,usa/nba-2023-2024/charlotte-hornets-atlanta-hawks-Ey4Cih8j/,215,-268,229,-256
12-02-2024,ATL,CHI,126,136,0,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-chicago-bulls-IVN2oHoH/,-194,160,-175,177
10-02-2024,ATL,HOU,122,113,1,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-houston-rockets-z344z4Jf/,-281,222,-263,239
09-02-2024,PHI,ATL,121,127,0,NBA_2023/2024,usa/nba-2023-2024/philadelphia-76ers-atlanta-hawks-462Qq25S/,135,-160,152,-152
07-02-2024,BOS,ATL,125,117,1,NBA_2023/2024,usa/nba-2023-2024/boston-celtics-atlanta-hawks-G2yXZQy4/,-723,496,-625,528
05-02-2024,ATL,LAC,144,149,0,NBA_2023/2024,usa/nba-2023-2024/atlanta-hawks-los-angeles-clippers-lzdhOTxh/,146,-175,154,-169
