date,team_1,team_2,score_1,score_2,result,tournament,game_url,avg_moneyline_1,avg_moneyline_2
20-07-2024,LAL,CHI,107,81,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/los-angeles-lakers-chicago-bulls-QkOH9sSI/,151,-199
19-07-2024,CHI,ATL,103,99,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/chicago-bulls-atlanta-hawks-OpQhv6bD/,-193,148
16-07-2024,DET,CHI,85,77,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/detroit-pistons-chicago-bulls-SYOtOYjI/,136,-178
14-07-2024,GSW,CHI,92,82,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/golden-state-warriors-chicago-bulls-pITNB41e/,-204,154
13-07-2024,CHI,MIL,96,89,1,NBA_Las_Vegas_Summer_League,usa/nba-las-vegas-summer-league/chicago-bulls-milwaukee-bucks-AH8BehBc/,-176,133
19-04-2024,MIA,CHI,112,91,1,NBA_2023/2024,usa/nba-2023-2024/miami-heat-chicago-bulls-QwG418yo/,-134,112
17-04-2024,CHI,ATL,131,116,1,NBA_2023/2024,usa/nba-2023-2024/chicago-bulls-atlanta-hawks-W6ZoUMB7/,-151,127
14-04-2024,NY,CHI,120,119,1,NBA_2023/2024,usa/nba-2023-2024/new-york-knicks-chicago-bulls-KQYj8oz2/,-878,590
12-04-2024,WSH,CHI,127,129,0,NBA_2023/2024,usa/nba-2023-2024/washington-wizards-chicago-bulls-QVJSHb7b/,-127,107
11-04-2024,DET,CHI,105,127,0,NBA_2023/2024,usa/nba-2023-2024/detroit-pistons-chicago-bulls-6Rn21wNH/,425,-583
09-04-2024,CHI,NY,117,128,0,NBA_2023/2024,usa/nba-2023-2024/chicago-bulls-new-york-knicks-6qtYc4GP/,162,-195
07-04-2024,ORL,CHI,113,98,1,NBA_2023/2024,usa/nba-2023-2024/orlando-magic-chicago-bulls-MiQyASgE/,-282,227
05-04-2024,CHI,NY,108,100,1,NBA_2023/2024,usa/nba-2023-2024/chicago-bulls-new-york-knicks-rTRZgG3G/,103,-122
01-04-2024,CHI,ATL,101,113,0,NBA_2023/2024,usa/nba-2023-2024/chicago-bulls-atlanta-hawks-xYuhEvjO/,-129,109
31-03-2024,MIN,CHI,101,109,0,NBA_2023/2024,usa/nba-2023-2024/minnesota-timberwolves-chicago-bulls-KWeOKO6t/,-382,298
29-03-2024,BKN,CHI,125,108,1,NBA_2023/2024,usa/nba-2023-2024/brooklyn-nets-chicago-bulls-lWXn9h8R/,126,-149
27-03-2024,CHI,IND,125,99,1,NBA_2023/2024,usa/nba-2023-2024/chicago-bulls-indiana-pacers-tpg4byf9/,127,-150
25-03-2024,CHI,WSH,105,107,0,NBA_2023/2024,usa/nba-2023-2024/chicago-bulls-washington-wizards-pxzcbGxC/,-734,516
23-03-2024,CHI,BOS,113,124,0,NBA_2023/2024,usa/nba-2023-2024/chicago-bulls-boston-celtics-KUS1lu9m/,169,-204
21-03-2024,HOU,CHI,127,117,1,NBA_2023/2024,usa/nba-2023-2024/houston-rockets-chicago-bulls-boe6K0f7/,-152,128
18-03-2024,CHI,POR,110,107,1,NBA_2023/2024,usa/nba-2023-2024/chicago-bulls-portland-trail-blazers-QFuq7jKj/,-343,270
16-03-2024,CHI,WSH,127,98,1,NBA_2023/2024,usa/nba-2023-2024/chicago-bulls-washington-wizards-Gx84ctiP/,-413,320
14-03-2024,CHI,LAC,111,126,0,NBA_2023/2024,usa/nba-2023-2024/chicago-bulls-los-angeles-clippers-YqeYy8Ol/,196,-242
13-03-2024,IND,CHI,129,132,0,NBA_2023/2024,usa/nba-2023-2024/indiana-pacers-chicago-bulls-6NlrdsJI/,-205,170
